"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.58,44.74,340,295,539,577,573,707,635,724
3.11,21.58,44.74,340,295,540,577,573,707,634,724
3.21,21.58,44.74,340,295,540,577,573,707,635,724
3.29,21.58,44.74,340,294,539,577,573,707,634,724
3.4,21.58,44.74,340,295,540,577,573,707,634,725
3.5,21.58,44.74,340,295,539,576,573,707,634,724
3.6,21.58,44.74,340,294,539,577,573,707,635,724
3.7,21.58,44.74,342,295,539,576,573,707,635,724
3.8,21.58,44.74,340,295,539,577,573,707,634,724
3.9,21.57,44.78,340,295,540,576,573,707,634,724
4,21.57,44.78,340,295,539,576,573,707,635,724
4.1,21.57,44.78,342,295,539,577,573,707,635,724
4.2,21.57,44.78,342,295,540,577,573,707,635,724
4.3,21.57,44.78,341,295,539,577,573,708,635,725
4.4,21.57,44.78,340,295,539,577,573,707,635,724
4.5,21.57,44.78,340,295,540,576,573,708,635,724
4.6,21.57,44.78,340,294,539,576,573,707,635,725
4.7,21.57,44.78,340,295,540,576,573,707,635,724
4.81,21.57,44.78,340,294,540,576,573,707,635,724
4.91,21.59,44.74,340,295,540,576,573,707,635,724
5.01,21.59,44.74,340,295,539,577,573,708,635,725
5.11,21.59,44.74,340,294,539,576,573,707,635,725
5.21,21.59,44.74,340,294,540,576,573,707,634,724
5.31,21.59,44.74,341,295,539,576,573,708,635,724
5.41,21.59,44.74,339,294,539,576,574,707,635,725
5.49,21.59,44.74,340,294,539,576,573,708,635,724
5.61,21.59,44.74,341,294,540,577,573,707,635,725
5.7,21.59,44.74,340,295,539,576,573,708,635,724
5.8,21.59,44.74,340,294,540,576,573,707,635,725
5.9,21.58,44.71,342,295,539,576,574,708,634,724
6,21.58,44.71,340,295,540,576,573,707,635,724
6.1,21.58,44.71,340,294,540,576,573,707,635,725
6.2,21.58,44.71,341,294,539,576,573,707,635,724
6.3,21.58,44.71,341,295,539,576,573,707,635,724
6.4,21.58,44.71,340,295,539,577,573,708,635,725
6.5,21.58,44.71,340,294,539,576,573,708,635,724
6.6,21.58,44.71,343,295,539,577,573,707,635,725
6.7,21.58,44.71,341,294,539,577,573,707,635,724
6.8,21.58,44.71,340,294,540,576,573,707,635,725
6.9,21.57,44.78,340,294,539,576,573,708,635,725
7,21.57,44.78,340,294,540,577,573,707,635,724
7.1,21.57,44.78,340,295,539,576,573,707,635,725
7.2,21.57,44.78,340,295,540,576,574,708,635,725
7.3,21.57,44.78,340,295,540,576,573,707,635,725
7.4,21.57,44.78,340,294,540,576,573,707,635,724
7.5,21.57,44.78,340,294,540,576,573,707,635,725
7.6,21.57,44.78,340,294,540,576,573,708,635,725
7.7,21.57,44.78,340,294,540,577,573,708,635,725
7.8,21.57,44.78,341,294,540,576,573,708,635,725
7.9,21.57,44.78,341,295,540,577,573,707,635,724
8,21.58,44.74,340,294,539,577,573,707,635,725
8.1,21.58,44.74,341,294,539,577,573,708,635,725
8.2,21.58,44.74,340,294,539,577,573,707,635,725
8.29,21.58,44.74,340,294,539,576,573,707,635,725
8.4,21.58,44.74,340,294,539,576,574,707,635,725
8.49,21.58,44.74,340,294,539,577,573,707,636,725
8.6,21.58,44.74,341,294,539,576,573,707,635,725
8.7,21.58,44.74,340,294,539,577,573,708,635,725
8.79,21.58,44.74,341,294,540,577,574,708,635,725
8.9,21.58,44.74,341,294,539,576,573,708,635,725
9,21.58,44.71,341,294,540,577,573,707,635,725
9.11,21.58,44.71,341,294,539,577,574,707,635,725
9.2,21.58,44.71,340,294,540,577,573,708,636,725
9.3,21.58,44.71,340,294,540,576,574,708,635,725
9.41,21.58,44.71,340,294,540,577,574,707,636,725
9.51,21.58,44.71,340,294,540,576,573,707,635,725
9.61,21.58,44.71,341,294,539,577,574,708,635,726
9.71,21.58,44.71,341,294,539,577,574,708,635,725
9.79,21.58,44.71,341,294,540,577,574,708,635,725
9.9,21.58,44.71,341,294,539,576,574,708,635,725
10.01,21.59,44.77,342,295,539,577,573,707,636,726
10.11,21.59,44.77,340,294,540,577,574,708,635,725
10.21,21.59,44.77,341,295,540,577,574,708,636,725
10.31,21.59,44.77,341,294,540,578,573,708,636,725
10.41,21.59,44.77,340,294,540,578,574,708,636,726
10.51,21.59,44.77,340,294,540,577,574,708,636,726
10.61,21.59,44.77,340,295,540,577,574,708,636,726
10.71,21.59,44.77,340,295,540,577,574,708,636,726
10.81,21.59,44.77,340,294,539,576,573,708,636,726
10.91,21.59,44.77,340,294,539,578,574,708,636,726
10.99,21.58,44.71,341,294,540,578,574,708,636,726
11.11,21.58,44.71,341,294,540,578,574,708,636,726
11.21,21.58,44.71,341,294,540,578,574,708,636,726
11.3,21.58,44.71,341,294,539,577,574,708,636,726
11.4,21.58,44.71,340,294,540,578,574,707,636,726
11.5,21.58,44.71,341,294,540,578,574,708,637,726
11.6,21.58,44.71,341,294,540,578,574,708,636,726
11.7,21.58,44.71,341,294,540,578,574,708,636,726
11.8,21.58,44.71,340,294,540,578,574,708,637,727
11.9,21.58,44.71,340,294,540,578,575,708,636,726
12,21.57,44.71,341,294,541,579,574,708,637,726
12.1,21.57,44.71,341,294,540,578,574,708,636,726
12.2,21.57,44.71,342,295,540,578,574,708,637,726
12.29,21.57,44.71,341,295,541,579,574,708,636,727
12.39,21.57,44.71,341,294,541,578,574,708,636,727
12.5,21.57,44.71,341,295,541,579,574,709,636,727
12.59,21.57,44.71,341,294,540,579,574,708,637,726
12.7,21.57,44.71,343,294,540,578,574,708,637,726
12.8,21.57,44.71,341,294,541,579,574,708,637,727
12.89,21.57,44.71,341,294,540,578,575,708,637,726
12.99,21.57,44.71,341,294,540,579,575,708,637,727
13.11,21.57,44.71,341,294,540,579,574,708,637,726
13.2,21.57,44.71,343,294,540,579,575,708,638,727
13.29,21.57,44.71,341,294,540,579,574,708,637,727
13.4,21.57,44.71,341,293,540,579,574,708,637,727
13.49,21.57,44.71,341,294,540,579,575,708,637,727
13.59,21.57,44.71,341,294,540,580,575,708,637,726
13.7,21.57,44.71,341,294,540,579,575,708,637,726
13.79,21.57,44.71,341,294,540,579,575,708,638,726
13.9,21.57,44.71,341,294,540,579,575,709,637,727
14,21.57,44.71,341,294,540,580,575,708,637,727
14.11,21.57,44.71,341,294,540,579,575,709,638,727
14.21,21.57,44.71,343,294,541,580,575,708,638,728
14.3,21.57,44.71,341,294,540,580,575,708,638,727
14.4,21.57,44.71,341,293,540,580,575,709,637,727
14.5,21.57,44.71,341,294,540,580,575,709,638,727
14.61,21.57,44.71,341,294,541,580,575,709,638,727
14.7,21.57,44.71,341,294,540,580,575,709,638,727
14.8,21.57,44.71,341,294,540,579,575,709,638,727
14.91,21.57,44.71,342,294,541,580,575,709,638,727
15.01,21.57,44.71,342,295,540,580,575,709,638,728
15.11,21.58,44.71,341,294,540,580,575,709,638,727
15.2,21.58,44.71,341,294,541,580,575,709,638,727
15.31,21.58,44.71,342,295,540,580,575,709,638,727
15.4,21.58,44.71,341,294,540,581,575,709,638,728
15.5,21.58,44.71,341,294,540,580,575,709,638,727
15.6,21.58,44.71,341,294,541,581,576,709,639,728
15.7,21.58,44.71,341,294,540,581,575,709,638,728
15.8,21.58,44.71,342,294,541,581,575,709,639,728
15.9,21.58,44.71,342,294,540,581,575,709,639,728
16,21.58,44.71,342,294,541,581,575,709,638,728
16.1,21.56,44.74,342,294,541,581,575,709,639,728
16.2,21.56,44.74,342,294,541,581,575,709,639,728
16.3,21.56,44.74,342,294,541,581,576,709,639,728
16.4,21.56,44.74,341,294,541,581,576,709,638,728
16.5,21.56,44.74,344,294,541,582,576,710,639,728
16.6,21.56,44.74,342,295,541,582,576,709,639,728
16.7,21.56,44.74,342,294,540,582,575,709,639,728
16.8,21.56,44.74,342,294,541,582,576,710,639,728
16.9,21.56,44.74,342,294,541,581,576,709,639,728
17,21.56,44.74,342,294,541,582,576,709,639,728
17.1,21.57,44.74,342,294,541,582,576,709,639,728
17.2,21.57,44.74,344,294,541,582,576,710,639,728
17.3,21.57,44.74,342,294,541,582,576,710,639,728
17.4,21.57,44.74,344,294,541,583,576,709,639,728
17.5,21.57,44.74,344,294,541,582,577,710,639,728
17.6,21.57,44.74,342,295,541,583,576,709,639,729
17.7,21.57,44.74,342,294,541,583,576,709,639,729
17.8,21.57,44.74,342,295,541,583,576,709,639,729
17.9,21.57,44.74,343,294,541,583,576,709,639,728
18.01,21.57,44.74,342,295,541,583,576,710,639,729
18.11,21.57,44.71,342,294,541,583,576,709,639,728
18.21,21.57,44.71,342,294,541,583,576,710,639,728
18.31,21.57,44.71,342,295,541,583,576,710,639,728
18.39,21.57,44.71,343,294,541,584,576,710,639,729
18.51,21.57,44.71,344,294,541,584,577,710,640,729
18.61,21.57,44.71,342,295,541,583,577,710,639,728
18.71,21.57,44.71,342,295,542,583,576,710,640,729
18.81,21.57,44.71,344,295,541,584,576,710,639,729
18.91,21.57,44.71,342,294,542,584,576,710,639,728
19,21.57,44.71,344,294,541,584,577,710,639,729
19.11,21.56,44.74,342,294,541,584,576,710,640,729
19.2,21.56,44.74,342,294,542,584,577,710,639,729
19.3,21.56,44.74,342,295,541,584,576,710,639,729
19.4,21.56,44.74,342,295,541,584,577,710,639,729
19.5,21.56,44.74,342,294,542,584,576,710,640,729
19.6,21.56,44.74,342,295,542,584,577,710,639,728
19.7,21.56,44.74,342,295,541,584,577,710,639,729
19.8,21.56,44.74,343,295,541,585,577,710,639,729
19.9,21.56,44.74,342,294,542,585,577,710,640,728
20,21.56,44.74,342,295,542,584,577,710,639,728
20.1,21.56,44.74,342,295,541,585,577,710,639,729
20.2,21.56,44.74,342,294,542,585,577,710,639,729
20.29,21.56,44.74,343,295,542,585,577,711,639,728
20.39,21.56,44.74,343,294,542,586,577,711,639,729
20.5,21.56,44.74,345,295,542,585,576,710,640,729
20.59,21.56,44.74,343,295,541,586,577,710,639,728
20.69,21.56,44.74,344,295,542,586,577,710,639,729
20.8,21.56,44.74,342,294,542,585,577,711,639,728
20.9,21.56,44.74,343,294,542,586,577,711,639,729
21,21.56,44.74,343,295,541,586,577,711,639,729
21.11,21.56,44.74,343,295,542,587,578,711,639,729
21.2,21.55,44.71,345,295,542,586,577,711,639,729
21.31,21.55,44.71,343,295,541,586,577,710,639,729
21.4,21.55,44.71,343,294,542,586,577,711,640,729
21.5,21.55,44.71,345,294,542,586,577,710,639,729
21.61,21.55,44.71,343,294,541,587,577,711,640,729
21.7,21.55,44.71,345,295,541,587,577,711,639,729
21.81,21.55,44.71,343,295,542,587,577,711,639,729
21.91,21.55,44.71,345,294,542,587,577,711,640,729
22.01,21.55,44.71,343,294,542,587,577,711,639,729
22.1,21.55,44.71,343,294,541,587,577,711,639,729
22.21,21.57,44.71,343,295,542,587,577,710,640,729
22.31,21.57,44.71,345,295,542,587,578,711,640,729
22.41,21.57,44.71,344,294,543,587,577,710,639,729
22.51,21.57,44.71,342,294,542,588,578,710,639,729
22.61,21.57,44.71,343,294,542,588,577,711,639,729
22.71,21.57,44.71,345,294,542,588,577,711,640,729
22.81,21.57,44.71,343,295,543,588,577,710,639,728
22.91,21.57,44.71,344,294,542,588,577,711,639,729
23.01,21.57,44.71,343,295,542,588,578,710,639,729
23.09,21.57,44.71,343,295,542,588,578,711,639,729
23.21,21.56,44.71,343,294,542,588,578,711,639,729
23.31,21.56,44.71,343,294,542,588,577,711,639,729
23.41,21.56,44.71,343,294,542,589,577,710,639,728
23.5,21.56,44.71,343,294,542,589,577,710,639,729
23.55,21.56,44.71,345,294,541,589,578,711,639,729
23.55,21.56,44.71,345,294,541,589,578,711,639,729
23.55,21.56,44.71,345,294,541,589,578,711,639,729
24.07,21.56,44.71,343,294,542,590,578,711,639,729
24.07,21.56,44.71,343,294,542,590,578,711,639,729
24.11,21.56,44.71,343,294,542,589,578,711,639,729
24.21,21.56,44.77,343,295,542,589,578,711,639,729
24.31,21.56,44.77,344,294,542,590,577,711,639,729
24.41,21.56,44.77,343,294,542,590,577,711,639,729
24.51,21.56,44.77,343,294,542,590,577,711,639,729
24.6,21.56,44.77,343,295,542,590,578,711,639,729
24.7,21.56,44.77,343,294,542,590,578,711,639,730
24.81,21.56,44.77,342,294,543,590,577,711,639,729
24.91,21.56,44.77,343,294,542,591,577,711,639,729
25.01,21.56,44.77,343,294,541,590,577,711,639,729
25.09,21.56,44.77,343,295,542,591,577,711,639,729
25.19,21.57,44.74,344,294,542,590,578,710,639,729
25.31,21.57,44.74,343,295,542,591,578,711,639,729
25.41,21.57,44.74,343,295,542,591,578,711,639,728
25.51,21.57,44.74,344,294,543,591,578,711,639,729
25.59,21.57,44.74,343,295,543,591,577,710,639,729
25.7,21.57,44.74,345,294,542,591,577,711,639,728
25.81,21.57,44.74,343,295,542,591,578,711,639,729
25.9,21.57,44.74,343,294,541,591,578,711,639,729
26,21.57,44.74,343,294,542,591,577,711,639,728
26.1,21.57,44.74,344,295,541,591,578,711,639,729
26.2,21.57,44.74,345,294,542,591,578,711,639,729
26.3,21.56,44.74,343,294,542,591,578,710,639,729
26.4,21.56,44.74,342,294,542,592,578,711,639,729
26.5,21.56,44.74,343,294,542,591,577,711,639,729
26.6,21.56,44.74,343,295,542,591,578,711,639,729
26.7,21.56,44.74,343,294,542,591,578,711,639,729
26.8,21.56,44.74,343,294,543,592,577,711,639,729
26.9,21.56,44.74,343,294,542,592,578,711,639,729
27,21.56,44.74,345,294,542,592,578,711,639,729
27.11,21.56,44.74,343,294,543,592,577,711,639,729
27.21,21.56,44.74,344,294,542,592,578,711,639,729
27.31,21.58,44.74,343,294,542,592,578,711,639,729
27.41,21.58,44.74,344,295,542,592,578,711,639,729
27.51,21.58,44.74,343,294,543,592,578,711,639,729
27.61,21.58,44.74,343,294,542,592,578,711,639,729
27.69,21.58,44.74,343,294,542,592,578,712,639,729
27.81,21.58,44.74,344,294,542,593,578,711,639,729
27.91,21.58,44.74,344,295,542,592,578,711,639,729
28.01,21.58,44.74,343,294,542,592,578,711,639,729
28.11,21.58,44.74,343,294,542,593,577,711,639,729
28.21,21.58,44.74,343,294,542,593,578,711,639,728
28.3,21.56,44.77,343,294,541,593,577,711,639,729
28.4,21.56,44.77,343,293,542,593,578,711,639,729
28.51,21.56,44.77,345,295,542,593,578,711,639,729
28.59,21.56,44.77,343,294,541,593,578,711,639,729
28.71,21.56,44.77,343,294,542,594,578,711,639,729
28.81,21.56,44.77,343,294,542,593,578,711,639,729
28.91,21.56,44.77,343,294,542,593,578,712,639,729
29.01,21.56,44.77,343,294,542,594,578,711,639,729
29.11,21.56,44.77,343,294,542,593,577,711,639,729
29.21,21.56,44.77,343,294,542,593,577,711,639,729
29.31,21.56,44.77,343,294,543,593,578,711,639,729
29.41,21.56,44.77,343,294,542,594,578,711,639,729
29.51,21.56,44.77,344,294,542,594,578,711,639,729
29.59,21.56,44.77,343,294,542,594,578,711,639,729
29.7,21.56,44.77,343,294,542,594,579,711,639,729
29.8,21.56,44.77,343,294,542,594,578,711,639,729
29.9,21.56,44.77,343,294,542,594,578,711,640,729
30,21.56,44.77,343,294,542,595,578,711,639,729
30.1,21.56,44.77,343,294,542,595,578,711,639,730
30.2,21.56,44.77,343,294,542,595,578,711,639,729
30.3,21.56,44.71,343,294,543,595,578,711,639,729
30.32,21.56,44.71,343,294,543,595,578,711,639,729
30.32,21.56,44.71,343,294,543,595,578,711,639,729
30.82,21.56,44.71,343,294,543,595,578,711,639,729
30.82,21.56,44.71,343,294,543,595,578,711,639,729
