"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.48,45.09,346,295,546,590,594,733,657,751
3.11,21.48,45.09,346,295,546,590,594,733,657,750
3.2,21.48,45.09,346,294,547,590,594,733,657,751
3.3,21.48,45.09,346,295,546,590,594,733,657,751
3.4,21.48,45.09,347,295,547,590,595,734,656,751
3.5,21.48,45.09,346,295,547,590,594,734,657,750
3.6,21.48,45.09,346,295,547,590,595,733,657,751
3.7,21.48,45.09,348,295,546,590,595,733,657,751
3.79,21.48,45.09,346,295,546,590,594,733,657,750
3.91,21.48,45.09,347,295,546,589,594,733,656,750
4.01,21.48,45.09,346,295,546,590,594,733,657,750
4.1,21.48,45.09,346,294,546,590,594,733,657,750
4.2,21.48,45.09,346,295,547,590,594,733,657,751
4.3,21.48,45.09,348,295,546,590,594,733,657,750
4.4,21.48,45.09,346,295,546,590,594,733,657,750
4.49,21.48,45.09,346,295,546,590,594,733,657,751
4.61,21.48,45.09,346,295,547,590,594,733,656,750
4.71,21.48,45.09,346,295,546,590,594,733,657,750
4.81,21.48,45.09,347,295,547,590,594,733,657,750
4.91,21.48,45.09,346,295,547,590,594,733,657,751
4.99,21.48,45.09,347,295,547,589,594,733,656,750
5.09,21.48,45.09,346,295,547,590,594,733,657,750
5.21,21.48,45.09,346,295,546,590,593,733,656,750
5.31,21.48,45.09,346,295,546,590,594,733,657,750
5.4,21.48,45.09,347,295,546,590,593,733,656,751
5.5,21.48,45.09,349,295,546,590,594,733,657,750
5.59,21.48,45.09,347,294,546,590,594,733,656,750
5.71,21.48,45.09,346,295,546,590,594,732,656,750
5.79,21.48,45.09,346,295,546,589,594,733,656,750
5.9,21.48,45.09,347,295,546,589,594,733,656,750
6,21.48,45.09,347,295,547,589,594,733,656,751
6.11,21.48,45.09,346,295,546,590,594,733,657,750
6.2,21.48,45.09,346,295,546,590,594,733,657,750
6.31,21.48,45.09,346,295,547,589,594,733,657,750
6.41,21.5,45.12,349,295,547,590,594,733,656,750
6.5,21.5,45.12,346,295,546,589,594,733,657,750
6.59,21.5,45.12,346,295,547,589,594,733,656,750
6.69,21.5,45.12,346,295,546,589,594,733,656,750
6.81,21.5,45.12,346,295,546,590,594,733,656,750
6.91,21.5,45.12,346,295,546,589,594,733,657,750
7.01,21.5,45.12,346,295,546,589,594,733,656,750
7.11,21.5,45.12,346,294,547,589,594,733,657,750
7.21,21.5,45.12,346,295,547,589,594,733,656,750
7.31,21.5,45.12,346,295,546,589,594,733,656,750
7.41,21.5,45.12,346,295,547,589,594,733,657,750
7.5,21.5,45.12,346,295,547,589,595,732,657,750
7.6,21.5,45.12,346,295,546,589,594,733,656,750
7.7,21.5,45.12,346,295,546,589,594,732,656,751
7.8,21.5,45.12,346,294,547,589,594,733,657,750
7.9,21.5,45.12,348,295,546,589,594,733,657,750
8,21.5,45.12,346,295,546,589,594,732,656,750
8.1,21.5,45.12,347,295,546,589,594,733,657,751
8.19,21.5,45.12,346,294,547,589,594,733,656,750
8.31,21.5,45.12,347,295,546,589,594,733,657,750
8.41,21.5,45.12,347,295,547,589,594,733,656,750
8.51,21.5,45.09,347,295,546,589,594,733,657,751
8.6,21.5,45.09,346,294,546,590,594,733,657,750
8.71,21.5,45.09,346,295,546,589,594,733,657,750
8.81,21.5,45.09,347,295,547,589,594,733,656,750
8.91,21.5,45.09,346,295,546,590,594,733,657,751
9.01,21.5,45.09,346,295,546,589,594,733,657,750
9.11,21.5,45.09,346,294,547,590,594,732,656,750
9.21,21.5,45.09,347,294,547,589,594,733,656,751
9.3,21.5,45.09,346,294,546,590,594,733,657,750
9.4,21.5,45.09,346,295,547,590,594,733,657,750
9.5,21.48,45.09,346,295,547,590,594,733,657,750
9.6,21.48,45.09,346,295,546,590,594,733,656,751
9.7,21.48,45.09,346,295,547,590,594,733,657,750
9.81,21.48,45.09,348,295,547,589,594,732,656,750
9.9,21.48,45.09,346,295,547,590,594,733,657,750
10.01,21.48,45.09,347,295,547,589,595,733,657,750
10.11,21.48,45.09,348,294,547,590,594,733,657,750
10.2,21.48,45.09,347,295,547,590,594,733,657,751
10.3,21.48,45.09,346,295,546,590,594,733,657,751
10.4,21.48,45.09,347,295,547,590,594,733,657,751
