"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.47,45.29,347,307,553,638,586,721,651,741
3.11,21.47,45.29,347,307,552,637,586,720,650,740
3.21,21.47,45.29,347,307,552,637,586,719,650,741
3.31,21.47,45.29,348,307,552,638,587,720,650,741
3.41,21.48,45.32,349,307,553,637,586,720,650,741
3.49,21.48,45.32,347,307,552,638,586,719,651,741
3.61,21.48,45.32,348,307,552,637,586,720,651,741
3.71,21.48,45.32,348,307,552,638,586,720,651,741
3.81,21.48,45.32,347,307,552,637,586,720,651,741
3.89,21.48,45.32,347,307,553,637,586,720,651,742
3.99,21.48,45.32,347,307,553,637,586,720,651,741
4.11,21.48,45.32,347,307,553,638,586,721,651,742
4.21,21.48,45.32,347,308,553,638,586,720,651,742
4.31,21.48,45.32,348,307,552,638,586,720,651,742
4.41,21.47,45.28,347,307,552,637,586,720,651,741
4.49,21.47,45.28,347,307,553,638,587,720,651,742
4.61,21.47,45.28,347,308,553,637,586,720,650,741
4.71,21.47,45.28,347,308,553,637,586,720,650,742
4.81,21.47,45.28,347,307,552,637,586,719,650,741
4.91,21.47,45.28,349,307,552,638,586,720,650,741
4.99,21.47,45.28,348,308,552,637,586,720,651,741
5.11,21.47,45.28,347,308,552,638,586,720,651,742
5.21,21.47,45.28,347,307,553,638,586,720,651,741
5.27,21.47,45.28,347,308,552,637,586,720,650,741
5.27,21.47,45.28,347,308,552,637,586,720,650,741
5.27,21.47,45.28,347,308,552,637,586,720,650,741
5.79,21.47,45.28,348,308,552,638,587,721,652,742
5.79,21.47,45.28,348,308,552,638,587,721,652,742
5.81,21.47,45.28,347,307,552,637,586,720,651,742
5.91,21.47,45.28,347,308,553,637,586,720,651,742
6.01,21.47,45.28,347,307,552,637,586,720,651,742
6.11,21.47,45.28,350,307,553,638,586,720,651,741
6.21,21.47,45.28,347,307,553,637,586,720,651,741
6.31,21.47,45.28,348,307,553,638,586,720,651,742
6.41,21.47,45.28,348,307,552,638,586,721,651,742
6.49,21.48,45.35,348,307,552,638,587,720,651,742
6.61,21.48,45.35,348,307,552,638,586,720,650,741
6.71,21.48,45.35,347,308,553,638,586,719,650,742
6.81,21.48,45.35,347,307,552,638,587,721,651,743
6.91,21.48,45.35,348,307,552,638,587,721,652,742
7.01,21.48,45.35,348,307,553,638,586,721,652,742
7.11,21.48,45.35,348,307,553,638,587,721,652,742
7.21,21.48,45.35,348,307,553,638,586,720,651,742
7.31,21.48,45.35,350,307,553,638,587,720,651,742
7.41,21.48,45.35,348,307,553,638,587,721,651,742
7.51,21.47,45.35,349,307,552,638,587,720,651,741
7.61,21.47,45.35,348,307,553,638,586,720,651,742
7.71,21.47,45.35,347,307,552,638,586,720,651,742
7.81,21.47,45.35,348,307,552,638,587,720,652,742
7.91,21.47,45.35,348,307,552,638,586,720,651,742
8.01,21.47,45.35,348,307,552,639,586,720,652,742
8.11,21.47,45.35,347,307,553,638,586,720,652,742
8.21,21.47,45.35,351,307,553,638,586,721,651,742
8.31,21.47,45.35,348,307,554,639,587,721,652,743
8.41,21.47,45.35,347,307,553,639,587,721,652,743
8.51,21.46,45.32,348,307,553,639,588,721,652,743
8.61,21.46,45.32,347,308,553,639,587,721,652,743
8.71,21.46,45.32,348,307,553,639,587,721,652,743
8.81,21.46,45.32,348,307,553,638,587,721,652,743
8.91,21.46,45.32,348,308,552,639,587,721,651,742
9.01,21.46,45.32,348,307,554,639,586,720,652,742
9.11,21.46,45.32,348,307,553,639,587,721,652,742
9.19,21.46,45.32,348,307,553,638,587,721,652,742
9.31,21.46,45.32,348,307,553,639,587,721,652,742
9.41,21.46,45.32,348,307,553,639,587,721,651,743
9.51,21.46,45.32,349,307,554,639,587,721,652,743
9.61,21.46,45.32,348,307,553,639,586,720,652,742
9.71,21.46,45.32,348,307,554,639,587,721,652,743
9.81,21.46,45.32,348,307,553,639,587,721,651,743
9.91,21.46,45.32,348,307,553,639,587,721,652,743
10.01,21.46,45.32,350,307,553,639,587,721,652,743
10.11,21.46,45.32,349,308,553,640,587,721,652,743
10.19,21.46,45.32,348,307,554,640,588,721,652,743
10.31,21.46,45.32,349,308,553,639,587,721,651,743
10.41,21.46,45.32,348,308,554,640,587,721,652,743
10.51,21.45,45.28,348,307,553,640,587,721,652,742
10.61,21.45,45.28,349,307,555,640,588,722,652,742
10.71,21.45,45.28,349,307,554,640,587,721,652,742
10.81,21.45,45.28,348,307,553,640,587,721,652,743
10.91,21.45,45.28,348,307,554,640,588,721,652,743
11.01,21.45,45.28,348,307,553,640,587,721,652,743
11.11,21.45,45.28,348,307,554,640,587,721,652,743
11.21,21.45,45.28,349,307,554,640,587,722,652,743
11.31,21.45,45.28,348,307,554,641,587,722,652,744
11.41,21.45,45.28,348,307,554,641,588,721,653,743
11.51,21.47,45.32,348,308,554,641,587,722,653,744
11.61,21.47,45.32,350,308,554,640,588,721,652,743
11.71,21.47,45.32,348,307,554,641,588,721,652,742
11.81,21.47,45.32,348,308,554,641,587,721,652,743
11.91,21.47,45.32,348,307,554,641,587,721,652,743
12.01,21.47,45.32,348,308,554,641,587,721,652,743
12.11,21.47,45.32,348,308,554,641,587,721,652,743
12.21,21.47,45.32,348,307,553,641,588,721,652,743
12.31,21.47,45.32,348,307,554,641,587,721,652,743
12.39,21.47,45.32,350,307,554,641,587,721,653,743
12.51,21.46,45.32,349,307,554,641,588,721,652,743
12.61,21.46,45.32,348,308,554,642,588,721,653,743
12.71,21.46,45.32,350,307,554,641,588,722,652,743
12.81,21.46,45.32,349,307,554,642,587,721,653,743
12.91,21.46,45.32,348,307,555,642,588,722,653,744
12.99,21.46,45.32,350,307,554,642,588,722,652,744
13.11,21.46,45.32,348,307,554,642,588,722,652,743
13.19,21.46,45.32,349,307,555,642,588,722,653,743
13.31,21.46,45.32,348,307,554,642,588,721,652,743
13.41,21.46,45.32,349,307,555,642,587,721,653,742
13.51,21.46,45.32,348,307,555,642,587,722,653,743
13.6,21.47,45.32,349,307,553,643,588,721,653,743
13.71,21.47,45.32,351,307,555,643,587,721,653,743
13.8,21.47,45.32,348,307,554,643,587,721,653,743
13.9,21.47,45.32,348,308,555,643,588,721,653,743
14.01,21.47,45.32,349,308,554,643,588,721,652,743
14.1,21.47,45.32,350,307,555,643,588,722,653,743
14.21,21.47,45.32,348,307,554,643,588,722,654,744
14.31,21.47,45.32,348,307,554,643,588,722,653,744
14.41,21.47,45.32,348,307,554,644,588,722,653,744
14.51,21.47,45.32,351,307,554,644,588,722,653,744
14.61,21.47,45.28,349,307,554,643,588,721,653,743
14.71,21.47,45.28,349,307,554,644,588,721,653,744
14.81,21.47,45.28,351,307,554,643,588,721,652,743
14.89,21.47,45.28,349,307,554,643,588,722,653,743
15.01,21.47,45.28,349,307,554,644,587,721,653,743
15.11,21.47,45.28,349,307,554,643,587,721,653,743
15.21,21.47,45.28,348,307,554,644,588,721,653,743
15.31,21.47,45.28,349,307,554,644,588,722,653,743
15.41,21.47,45.28,348,307,554,644,588,722,653,744
15.51,21.47,45.28,348,307,555,644,588,721,653,744
15.61,21.47,45.28,348,307,554,644,588,722,653,743
15.71,21.47,45.28,349,308,555,645,589,722,654,744
15.81,21.47,45.28,348,307,555,645,588,722,653,744
15.91,21.47,45.28,349,307,554,645,589,722,654,744
16.01,21.47,45.28,349,307,554,645,588,722,654,744
16.11,21.47,45.28,348,307,554,644,588,722,653,743
16.21,21.47,45.28,348,307,554,645,588,722,653,744
16.31,21.47,45.28,349,308,554,645,588,722,653,744
16.41,21.47,45.28,348,307,555,645,588,722,654,744
16.51,21.47,45.28,350,307,554,645,588,722,654,743
16.61,21.48,45.35,349,307,554,645,588,722,653,744
16.71,21.48,45.35,349,307,555,645,588,722,654,744
16.81,21.48,45.35,349,307,554,645,588,722,653,743
16.89,21.48,45.35,349,307,554,645,588,722,654,744
16.99,21.48,45.35,348,307,554,646,588,722,653,744
17.11,21.48,45.35,349,307,554,646,589,722,654,745
17.19,21.48,45.35,348,307,554,646,588,722,653,744
17.31,21.48,45.35,348,308,554,646,589,723,654,744
17.41,21.48,45.35,349,307,555,646,588,722,653,744
17.51,21.48,45.35,349,307,554,646,588,722,653,744
17.61,21.46,45.35,349,307,554,646,588,722,653,743
17.71,21.46,45.35,348,307,554,646,588,722,653,744
17.81,21.46,45.35,348,307,555,647,589,722,654,744
17.91,21.46,45.35,348,307,554,646,589,722,654,744
18.01,21.46,45.35,348,307,554,646,588,722,653,744
18.11,21.46,45.35,349,307,555,646,588,722,654,744
18.21,21.46,45.35,349,307,555,647,588,722,653,744
18.31,21.46,45.35,348,307,555,647,589,722,653,744
18.41,21.46,45.35,349,307,554,646,589,722,653,743
18.51,21.46,45.35,348,306,554,647,588,722,653,744
18.59,21.46,45.35,349,307,555,647,588,722,653,744
18.69,21.46,45.28,348,307,554,647,588,723,653,744
18.81,21.46,45.28,348,307,555,647,588,723,654,744
18.89,21.46,45.28,349,307,554,647,588,722,654,744
19.01,21.46,45.28,349,307,555,648,589,722,653,744
19.11,21.46,45.28,348,307,554,647,588,722,653,744
19.21,21.46,45.28,348,307,554,648,588,723,653,743
19.31,21.46,45.28,348,307,555,648,588,722,653,744
19.39,21.46,45.28,350,307,555,647,589,722,653,744
19.51,21.46,45.28,348,307,554,648,589,722,654,744
19.59,21.46,45.28,348,307,554,648,589,722,653,743
19.7,21.46,45.32,348,306,554,648,589,722,654,743
19.8,21.46,45.32,348,306,554,648,588,722,654,744
19.9,21.46,45.32,348,307,555,648,589,722,654,744
20.01,21.46,45.32,348,307,555,648,589,722,653,744
20.11,21.46,45.32,349,307,555,648,589,723,654,744
20.21,21.46,45.32,349,306,554,649,589,723,654,744
20.31,21.46,45.32,349,307,554,649,589,723,654,744
20.41,21.46,45.32,348,307,555,649,589,722,653,744
20.51,21.46,45.32,348,306,554,649,589,723,653,744
20.61,21.46,45.32,350,307,554,648,588,722,653,743
20.71,21.46,45.28,350,306,554,648,589,722,654,744
20.81,21.46,45.28,348,307,554,649,588,723,653,744
20.89,21.46,45.28,348,306,554,649,589,723,653,744
21.01,21.46,45.28,348,306,555,649,588,722,654,744
21.11,21.46,45.28,348,307,554,649,588,723,653,744
21.21,21.46,45.28,350,306,555,649,589,722,653,744
21.31,21.46,45.28,348,306,554,649,589,723,654,744
21.41,21.46,45.28,348,307,554,649,588,722,654,743
21.51,21.46,45.28,348,307,554,649,589,723,654,743
21.61,21.46,45.28,348,308,555,650,589,723,653,744
21.71,21.47,45.28,348,307,555,650,589,723,653,744
21.81,21.47,45.28,348,307,554,650,589,723,654,744
21.91,21.47,45.28,348,307,554,650,589,723,654,744
