"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.4,44.36,354,309,563,629,599,735,660,752
3.1,21.4,44.36,354,309,562,629,599,736,660,753
3.2,21.4,44.36,355,308,562,629,599,736,660,753
3.3,21.4,44.36,355,309,563,629,599,736,660,753
3.4,21.4,44.36,352,308,562,629,599,736,660,752
3.5,21.4,44.36,355,309,563,630,599,736,660,752
3.6,21.4,44.36,353,309,563,629,599,736,660,753
3.7,21.4,44.36,353,309,562,629,600,736,660,752
3.8,21.4,44.36,353,309,563,629,599,736,660,753
3.9,21.4,44.36,354,309,562,629,599,736,660,752
4,21.4,44.36,353,308,563,629,599,736,660,753
4.1,21.4,44.36,354,308,562,629,599,736,661,752
4.2,21.4,44.36,353,309,562,629,600,736,660,753
4.3,21.4,44.36,353,308,563,630,599,736,661,752
4.4,21.4,44.36,354,308,563,629,599,736,660,752
4.5,21.4,44.36,353,308,563,629,599,736,661,752
4.6,21.4,44.36,352,308,562,629,599,735,660,753
4.7,21.4,44.36,355,308,563,629,600,736,660,752
4.8,21.4,44.36,353,309,562,629,599,736,660,753
4.9,21.4,44.36,355,308,562,630,599,736,661,753
5,21.4,44.36,354,309,563,629,599,736,661,753
5.1,21.4,44.36,354,308,563,629,599,736,660,753
5.2,21.4,44.36,353,309,563,629,599,736,660,753
5.3,21.4,44.36,355,308,563,630,599,736,660,753
5.4,21.4,44.36,353,308,563,630,599,736,661,753
5.5,21.4,44.36,353,309,563,630,600,736,661,753
5.6,21.4,44.36,353,308,563,630,599,736,661,754
5.7,21.4,44.36,353,308,563,630,599,736,661,753
5.8,21.4,44.36,353,308,563,630,600,736,661,753
5.9,21.4,44.36,353,309,562,630,600,736,661,754
6,21.41,44.36,353,309,563,630,600,736,661,753
6.1,21.41,44.36,353,309,563,630,600,736,661,753
6.2,21.41,44.36,353,309,563,630,600,736,661,753
6.3,21.41,44.36,354,309,563,629,599,736,661,753
6.4,21.41,44.36,355,309,563,630,599,736,661,754
6.5,21.41,44.36,353,308,563,629,599,736,661,754
6.6,21.41,44.36,353,308,563,629,599,737,661,753
6.7,21.41,44.36,353,308,563,630,600,736,661,754
6.8,21.41,44.36,353,309,563,630,600,736,661,754
6.9,21.41,44.36,353,309,563,630,600,736,661,753
6.96,21.4,44.33,353,308,563,630,600,736,661,753
6.96,21.4,44.33,353,308,563,630,600,736,661,753
6.96,21.4,44.33,353,308,563,630,600,736,661,753
7.48,21.4,44.33,353,308,563,630,600,737,662,753
7.48,21.4,44.33,353,308,563,630,600,737,662,753
7.5,21.4,44.33,354,309,563,630,600,736,661,754
7.6,21.4,44.33,353,309,563,630,600,736,662,753
7.7,21.4,44.33,354,309,564,630,600,736,662,754
7.8,21.4,44.33,353,308,563,630,600,736,662,754
7.9,21.4,44.33,353,308,563,630,600,737,662,754
8,21.4,44.36,353,309,564,630,599,736,662,754
8.1,21.4,44.36,354,309,563,630,600,736,662,754
8.2,21.4,44.36,354,308,563,631,600,736,661,754
8.3,21.4,44.36,354,309,563,631,600,737,662,754
8.4,21.4,44.36,353,309,563,631,600,736,662,754
8.48,21.4,44.36,354,308,563,631,600,736,662,754
8.48,21.4,44.36,354,308,563,631,600,736,662,754
8.48,21.4,44.36,354,308,563,631,600,736,662,754
8.99,21.4,44.36,356,309,564,631,600,737,663,754
8.99,21.4,44.36,356,309,564,631,600,737,663,754
9.01,21.4,44.36,355,308,564,631,600,736,663,755
9.1,21.4,44.36,356,308,564,631,600,736,662,755
9.2,21.4,44.36,354,309,564,631,600,737,662,754
9.3,21.4,44.36,355,308,563,631,600,737,663,755
9.4,21.4,44.36,354,309,564,631,601,737,662,755
9.5,21.4,44.36,354,309,564,631,601,737,663,755
9.6,21.4,44.36,354,309,564,631,600,737,662,754
9.69,21.4,44.36,354,309,564,631,601,737,663,755
9.81,21.4,44.36,354,309,564,632,600,737,662,755
9.89,21.4,44.36,356,309,563,632,600,737,663,755
10.01,21.4,44.33,354,309,563,632,600,737,663,755
10.11,21.4,44.33,354,309,563,632,601,737,663,755
10.21,21.4,44.33,354,308,565,632,600,738,663,755
