"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.44,41.17,337,278,528,570,592,735,652,747
3.1,22.44,41.17,337,278,528,571,592,735,652,747
3.2,22.44,41.17,338,278,528,570,593,736,652,746
3.3,22.44,41.17,338,278,528,571,592,735,652,746
3.4,22.44,41.17,337,279,528,570,592,736,652,747
3.5,22.44,41.17,337,278,528,570,593,736,652,746
3.6,22.44,41.17,337,278,529,571,593,736,652,746
3.7,22.44,41.17,337,278,528,570,592,735,652,746
3.8,22.44,41.17,337,278,528,570,592,736,652,746
3.9,22.44,41.17,337,278,528,570,592,735,652,747
4,22.44,41.17,337,278,528,570,592,735,652,746
4.1,22.44,41.17,338,278,528,570,592,735,652,747
4.2,22.44,41.17,339,278,528,570,592,735,651,746
4.3,22.44,41.1,338,278,528,570,593,736,652,746
4.4,22.44,41.1,337,278,529,570,592,735,652,747
4.5,22.44,41.1,337,279,528,570,592,735,652,746
4.6,22.44,41.1,338,279,528,570,592,734,652,747
4.7,22.44,41.1,338,278,528,570,593,736,651,746
4.8,22.44,41.1,337,278,529,570,593,736,652,746
4.9,22.44,41.1,337,278,527,570,592,735,652,746
5,22.44,41.1,338,277,528,570,593,735,652,746
5.1,22.44,41.1,338,278,528,570,592,735,652,746
5.2,22.44,41.1,338,278,529,570,593,734,652,746
5.3,22.44,41.13,338,279,527,570,592,735,652,746
5.4,22.44,41.13,338,278,528,570,592,735,652,747
5.5,22.44,41.13,338,279,528,570,592,735,652,747
5.6,22.44,41.13,339,278,528,570,592,735,652,746
5.7,22.44,41.13,337,278,528,570,592,734,651,746
5.8,22.44,41.13,337,278,528,571,593,735,652,747
5.9,22.44,41.13,337,278,528,570,592,735,652,747
6,22.44,41.13,337,278,528,570,592,735,652,747
6.1,22.44,41.13,337,278,528,570,592,734,652,746
6.2,22.44,41.13,337,278,528,570,592,735,652,746
6.3,22.45,41.17,337,278,528,570,592,735,652,747
6.4,22.45,41.17,339,278,528,570,593,735,652,746
6.5,22.45,41.17,337,278,528,570,592,735,652,747
6.6,22.45,41.17,338,278,528,571,592,734,652,746
6.7,22.45,41.17,339,278,529,570,592,735,652,746
6.8,22.45,41.17,337,278,528,570,593,735,652,747
6.9,22.45,41.17,338,278,528,570,592,735,652,746
7,22.45,41.17,337,278,528,570,592,735,652,747
7.1,22.45,41.17,337,278,528,570,593,735,652,747
7.21,22.45,41.17,339,278,528,570,593,735,652,747
7.31,22.43,41.17,338,278,529,570,593,735,652,747
7.41,22.43,41.17,338,278,528,570,593,734,652,747
7.51,22.43,41.17,339,277,528,570,592,735,652,746
7.61,22.43,41.17,337,278,528,570,592,735,652,747
7.71,22.43,41.17,339,278,528,571,593,735,652,747
7.81,22.43,41.17,338,278,527,570,592,735,652,747
7.91,22.43,41.17,340,278,527,570,593,735,652,747
8.01,22.43,41.17,337,278,528,570,592,735,653,747
8.1,22.43,41.17,337,278,528,570,592,735,652,747
8.21,22.43,41.17,337,278,529,570,592,734,652,747
8.31,22.45,41.1,337,278,528,571,593,735,652,747
8.41,22.45,41.1,339,277,528,570,592,735,653,747
8.49,22.45,41.1,340,278,528,570,593,735,652,747
