"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.3,43.4,341,285,539,585,583,718,647,738
3.09,21.3,43.4,342,284,539,585,582,718,646,738
3.2,21.3,43.4,340,285,538,585,583,717,647,738
3.3,21.3,43.4,341,284,539,585,582,718,647,738
3.4,21.3,43.4,340,284,538,585,583,718,647,738
3.5,21.3,43.4,340,284,539,585,583,718,647,738
3.6,21.3,43.4,339,284,538,584,583,717,647,738
3.7,21.3,43.4,341,284,539,585,582,718,647,738
3.8,21.3,43.4,340,284,539,585,583,718,647,738
3.9,21.3,43.4,340,284,538,584,583,717,647,738
4,21.3,43.4,340,284,539,585,583,718,647,738
4.1,21.3,43.4,342,284,539,584,583,718,647,738
4.2,21.3,43.4,341,284,538,585,583,718,647,738
4.3,21.3,43.4,340,284,539,585,583,717,647,738
4.4,21.32,43.4,340,284,538,585,583,717,647,738
4.5,21.32,43.4,342,284,539,585,583,717,647,738
4.6,21.32,43.4,340,285,539,584,583,718,647,738
4.71,21.32,43.4,340,285,538,585,583,718,647,738
4.8,21.32,43.4,341,284,539,585,583,718,647,739
4.9,21.32,43.4,340,284,538,585,583,718,647,738
5,21.32,43.4,340,284,539,585,583,718,647,738
5.1,21.32,43.4,342,284,539,584,583,718,647,738
5.2,21.32,43.4,342,284,539,584,583,718,647,738
5.3,21.32,43.4,340,284,539,585,583,718,647,738
5.4,21.3,43.4,340,284,539,585,583,718,647,739
5.5,21.3,43.4,340,284,539,585,583,718,647,738
5.6,21.3,43.4,340,284,539,585,583,718,647,738
5.7,21.3,43.4,340,284,539,585,583,718,647,738
5.8,21.3,43.4,343,284,539,585,583,718,647,738
5.9,21.3,43.4,341,284,539,584,583,718,647,739
6,21.3,43.4,342,284,539,584,583,718,648,738
6.1,21.3,43.4,342,284,538,585,583,718,647,739
6.2,21.3,43.4,341,284,539,584,583,717,647,739
6.3,21.3,43.4,342,284,539,585,583,718,647,738
6.4,21.31,43.37,341,284,539,584,583,718,648,739
6.5,21.31,43.37,341,284,539,584,583,718,647,739
6.6,21.31,43.37,341,284,539,585,583,718,648,739
6.7,21.31,43.37,341,284,539,585,583,719,647,739
6.8,21.31,43.37,340,285,539,584,583,718,648,739
6.91,21.31,43.37,340,285,539,584,583,718,648,738
7,21.31,43.37,340,284,538,584,583,718,647,738
7.1,21.31,43.37,341,284,539,585,583,718,648,738
7.2,21.31,43.37,341,284,539,585,584,718,648,739
7.3,21.31,43.37,341,284,539,585,583,718,648,739
7.4,21.31,43.37,341,284,539,584,583,719,648,739
7.5,21.31,43.36,341,284,539,584,583,718,647,739
7.6,21.31,43.36,341,284,539,585,583,718,648,739
7.7,21.31,43.36,341,284,539,585,583,719,647,739
7.8,21.31,43.36,341,284,539,584,583,719,648,739
7.9,21.31,43.36,343,284,539,585,583,718,647,739
8,21.31,43.36,342,284,540,585,584,719,647,739
8.1,21.31,43.36,344,284,539,585,583,719,647,739
8.2,21.31,43.36,341,284,539,585,583,719,648,739
8.3,21.31,43.36,343,284,539,585,584,718,648,739
8.4,21.31,43.36,341,285,540,585,584,719,648,739
8.5,21.31,43.36,341,284,539,585,584,719,648,740
