"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.16,41.03,331,298,532,599,558,685,618,704
3.1,21.16,41.03,330,297,532,599,558,685,618,704
3.2,21.16,41.03,331,297,532,599,558,685,618,704
3.3,21.16,41.03,332,298,532,599,558,685,618,704
3.4,21.16,41.03,331,298,532,599,558,686,618,704
3.5,21.16,41.03,330,298,533,599,558,685,618,704
3.6,21.16,41.03,330,298,533,599,558,686,618,704
3.7,21.16,41.03,330,298,532,600,558,686,618,705
3.79,21.16,41.03,331,298,532,599,558,685,618,704
3.9,21.17,41.06,330,297,532,600,558,685,618,704
4,21.17,41.06,333,298,532,599,558,685,618,704
4.1,21.17,41.06,330,297,532,600,558,686,618,704
4.21,21.17,41.06,332,298,532,600,557,685,618,704
4.3,21.17,41.06,332,298,532,599,558,686,618,705
4.4,21.17,41.06,330,298,532,600,558,686,618,705
4.5,21.17,41.06,330,297,532,600,558,686,618,705
4.61,21.17,41.06,331,297,532,600,557,685,618,705
4.7,21.17,41.06,331,298,532,600,558,685,618,704
4.8,21.17,41.06,331,298,532,599,558,686,618,704
4.9,21.16,41.1,331,298,532,600,558,685,618,704
5,21.16,41.1,330,298,533,600,558,685,618,704
5.1,21.16,41.1,331,298,532,600,558,685,619,704
5.2,21.16,41.1,331,298,532,600,557,685,619,705
5.3,21.16,41.1,330,297,532,599,558,685,619,704
5.4,21.16,41.1,330,298,533,599,557,685,619,705
5.5,21.16,41.1,330,297,532,599,558,685,618,704
5.6,21.16,41.1,331,298,532,600,558,685,619,705
5.7,21.16,41.1,330,298,532,600,558,685,619,705
5.8,21.16,41.1,330,298,533,599,558,686,619,704
5.89,21.16,41.1,330,297,533,600,558,686,618,704
6,21.16,41.1,330,297,532,599,558,686,619,704
6.1,21.16,41.1,331,298,532,600,558,685,619,704
6.2,21.16,41.1,333,298,532,599,558,686,619,705
6.3,21.16,41.1,330,298,533,599,558,686,619,705
6.4,21.16,41.1,330,298,533,600,558,686,619,705
6.5,21.16,41.1,333,298,533,599,558,686,619,705
6.6,21.16,41.1,331,297,533,600,558,685,619,705
6.7,21.16,41.1,331,298,532,599,558,685,619,704
6.8,21.16,41.1,332,298,533,599,558,685,619,705
6.9,21.16,41.1,331,297,532,599,558,686,619,704
7,21.18,41.06,330,298,532,600,558,686,619,705
7.11,21.18,41.06,330,298,533,600,558,685,619,705
7.2,21.18,41.06,331,297,533,600,558,686,619,705
7.3,21.18,41.06,331,297,532,600,558,686,619,705
