"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22,41.35,353,299,557,673,628,773,696,795
3.1,22,41.35,353,299,557,672,627,773,696,795
3.2,22,41.35,353,299,557,673,628,773,696,795
3.3,22,41.35,352,298,557,672,628,773,696,795
3.4,22,41.35,352,298,557,673,628,773,696,795
3.51,22,41.35,353,298,556,672,628,773,696,795
3.6,22,41.35,352,299,557,672,628,774,696,795
3.7,22,41.35,353,298,557,672,628,773,696,795
3.8,21.98,41.32,353,298,557,672,627,773,696,795
3.9,21.98,41.32,353,299,557,673,628,773,696,795
4.01,21.98,41.32,353,299,558,673,628,774,696,795
4.11,21.98,41.32,352,299,557,673,628,773,696,795
4.2,21.98,41.32,354,299,557,672,628,774,696,795
4.3,21.98,41.32,354,299,557,672,628,773,696,795
4.4,21.98,41.32,352,299,557,672,628,773,696,795
4.5,21.98,41.32,353,299,557,672,628,773,696,795
4.61,21.98,41.32,352,298,557,672,627,773,696,795
4.71,21.98,41.32,354,299,557,672,628,773,696,795
4.8,21.99,41.32,354,299,557,672,628,772,696,795
4.9,21.99,41.32,352,299,557,672,628,773,696,795
5,21.99,41.32,353,298,557,672,628,773,696,795
5.1,21.99,41.32,353,299,557,672,627,773,696,795
5.21,21.99,41.32,352,299,557,672,628,773,695,795
5.3,21.99,41.32,353,299,557,672,628,773,696,795
5.4,21.99,41.32,354,298,557,672,628,773,696,795
5.5,21.99,41.32,352,298,556,672,628,773,696,795
5.6,21.99,41.32,352,299,557,672,628,773,697,795
5.7,21.99,41.32,352,299,557,672,628,773,696,795
5.8,22,41.32,352,298,556,672,627,773,696,795
5.9,22,41.32,353,298,557,672,628,773,696,795
6,22,41.32,353,298,557,672,628,773,696,795
6.1,22,41.32,352,298,557,672,628,773,696,795
6.2,22,41.32,353,299,557,671,627,773,697,795
6.3,22,41.32,354,299,556,671,628,773,696,795
6.39,22,41.32,353,298,557,671,628,773,696,795
6.5,22,41.32,353,298,557,672,628,773,696,795
6.6,22,41.32,354,298,557,672,628,773,696,795
6.7,22,41.32,352,298,557,672,627,773,696,795
6.8,22,41.32,353,298,557,671,627,772,696,795
6.91,22,41.32,352,298,557,672,628,773,696,795
7,22,41.32,353,298,556,671,627,773,696,795
7.1,22,41.32,353,298,557,671,627,773,697,795
7.2,22,41.32,352,298,557,671,627,773,696,795
7.3,22,41.32,354,298,557,672,628,772,696,795
7.4,22,41.32,353,298,557,671,628,773,696,795
7.5,22,41.32,354,298,557,671,628,773,696,795
7.6,22,41.32,352,298,556,672,628,773,696,795
7.7,22,41.32,354,299,557,672,628,773,696,795
7.8,22.01,41.32,352,299,557,672,628,773,697,796
7.9,22.01,41.32,352,298,556,672,628,773,696,795
8,22.01,41.32,355,298,556,671,628,773,696,795
8.1,22.01,41.32,352,299,556,671,628,773,696,795
8.2,22.01,41.32,355,298,557,671,628,773,697,795
8.3,22.01,41.32,353,298,557,671,628,773,697,795
8.4,22.01,41.32,352,298,557,671,628,772,697,796
8.5,22.01,41.32,355,298,557,671,628,773,696,795
8.6,22.01,41.32,355,299,557,671,628,773,697,795
8.7,22.01,41.32,353,299,557,671,628,772,696,795
8.8,22,41.32,353,298,557,672,628,772,697,796
8.9,22,41.32,354,298,557,671,628,773,697,795
9,22,41.32,352,299,556,671,628,772,697,795
9.1,22,41.32,353,299,557,671,628,772,697,796
9.2,22,41.32,352,298,557,671,628,773,697,796
9.3,22,41.32,352,298,557,671,628,772,696,796
9.4,22,41.32,353,299,557,671,628,773,697,796
9.5,22,41.32,353,299,557,671,628,772,697,796
9.6,22,41.32,353,298,557,671,628,773,697,795
9.7,22,41.32,352,299,557,671,628,773,696,795
9.8,21.99,41.35,352,298,557,671,628,773,697,795
9.9,21.99,41.35,353,298,557,671,628,773,697,796
9.99,21.99,41.35,353,298,557,671,628,773,697,796
10.1,21.99,41.35,353,299,557,671,628,773,696,795
10.2,21.99,41.35,355,299,558,672,628,773,697,796
10.3,21.99,41.35,353,298,557,671,629,773,696,795
10.4,21.99,41.35,353,299,557,671,628,772,696,795
10.5,21.99,41.35,354,298,557,671,628,773,697,796
10.6,21.99,41.35,352,298,557,671,628,773,697,796
10.7,21.99,41.35,353,298,557,671,628,773,696,796
10.8,21.99,41.35,353,299,556,672,628,773,697,795
10.9,21.99,41.32,352,298,557,671,628,773,696,796
11.01,21.99,41.32,353,298,558,671,628,773,696,796
11.1,21.99,41.32,353,298,557,671,628,773,697,796
11.2,21.99,41.32,352,299,558,671,628,772,697,796
11.3,21.99,41.32,353,298,556,672,628,773,697,796
11.4,21.99,41.32,353,299,557,671,628,773,697,796
11.5,21.99,41.32,355,298,557,671,628,773,697,796
11.6,21.99,41.32,353,299,557,672,628,773,696,796
11.7,21.99,41.32,353,299,557,671,628,773,697,796
11.8,21.99,41.32,353,299,557,671,629,773,697,796
11.9,21.98,41.32,352,299,557,671,629,773,697,796
12.01,21.98,41.32,353,299,557,671,628,773,697,796
12.1,21.98,41.32,355,299,557,671,628,773,697,795
12.2,21.98,41.32,355,299,557,671,628,773,697,796
12.3,21.98,41.32,352,298,557,672,628,773,697,796
12.4,21.98,41.32,353,299,556,671,629,773,697,796
12.5,21.98,41.32,352,299,558,671,628,773,697,797
12.6,21.98,41.32,352,299,557,671,628,773,697,796
12.7,21.98,41.32,353,299,558,672,629,773,697,796
12.8,21.98,41.32,353,299,557,672,629,773,697,796
12.9,21.98,41.32,354,299,557,672,629,773,697,796
13,21.98,41.32,353,299,557,672,628,772,698,797
13.1,21.98,41.32,353,299,557,672,629,773,697,797
13.2,21.98,41.32,352,299,558,671,628,773,697,797
13.3,21.98,41.32,353,299,558,672,629,773,698,796
13.4,21.98,41.32,352,298,557,671,629,773,698,797
13.5,21.98,41.32,353,298,557,672,629,773,698,797
13.6,21.98,41.32,354,299,557,671,629,773,698,797
13.71,21.98,41.32,353,299,557,672,629,773,698,797
13.8,21.98,41.32,353,299,557,672,629,773,698,796
13.9,21.98,41.28,353,298,557,671,629,773,698,797
14.01,21.98,41.28,353,299,557,672,629,773,699,797
14.1,21.98,41.28,353,299,557,672,629,773,698,797
14.2,21.98,41.28,353,298,557,672,629,773,698,797
14.3,21.98,41.28,352,298,557,671,629,774,698,797
14.4,21.98,41.28,354,298,558,672,629,774,699,797
14.5,21.98,41.28,353,299,558,671,629,773,698,797
14.6,21.98,41.28,353,299,558,672,629,773,698,797
14.7,21.98,41.28,354,299,558,672,630,773,699,798
14.79,21.98,41.28,353,299,557,672,630,773,699,797
14.91,21.99,41.32,354,299,558,672,629,773,699,797
14.99,21.99,41.32,353,299,557,672,630,772,699,797
15.11,21.99,41.32,354,299,557,672,630,774,699,797
15.2,21.99,41.32,353,299,558,672,630,773,699,797
15.3,21.99,41.32,352,299,557,672,629,773,699,797
15.4,21.99,41.32,353,298,557,672,630,774,699,798
15.51,21.99,41.32,355,299,557,672,630,774,699,798
15.6,21.99,41.32,353,299,558,672,630,774,699,798
15.7,21.99,41.32,353,299,557,672,629,773,699,797
15.8,21.99,41.32,355,299,558,671,630,774,699,797
15.9,22,41.32,355,299,557,671,629,774,699,798
16,22,41.32,353,299,558,672,629,774,699,798
16.09,22,41.32,354,299,557,672,629,773,699,798
16.2,22,41.32,353,299,558,672,630,774,699,797
16.3,22,41.32,353,299,558,672,630,774,699,798
16.41,22,41.32,353,299,558,672,630,774,700,798
16.5,22,41.32,354,299,558,673,630,774,700,798
16.6,22,41.32,353,299,557,672,630,774,700,798
16.71,22,41.32,353,299,557,672,630,774,699,798
16.79,22,41.32,355,298,558,672,630,774,699,798
16.9,22,41.32,353,298,558,672,630,773,700,798
17,21.98,41.32,356,299,558,672,630,774,700,798
17.11,21.98,41.32,354,298,558,672,630,774,700,798
17.2,21.98,41.32,353,299,558,672,630,774,700,798
17.29,21.98,41.32,353,299,558,672,630,774,699,798
17.41,21.98,41.32,353,299,557,672,631,774,699,798
17.5,21.98,41.32,353,299,558,672,630,774,699,798
17.6,21.98,41.32,353,299,558,672,630,775,700,799
17.7,21.98,41.32,354,299,558,672,630,774,700,798
17.8,21.98,41.32,354,299,557,672,630,774,699,798
17.9,21.98,41.32,354,299,558,672,630,774,699,798
18,22,41.32,354,299,557,673,630,775,699,798
18.1,22,41.32,354,299,558,672,631,774,700,798
18.2,22,41.32,353,298,557,672,631,774,700,798
18.3,22,41.32,354,299,557,673,630,775,699,798
18.4,22,41.32,356,299,557,673,630,774,700,798
18.5,22,41.32,353,299,558,672,630,774,700,798
18.61,22,41.32,353,299,558,672,631,774,699,798
18.7,22,41.32,353,298,558,673,631,774,699,799
18.8,22,41.32,353,299,558,673,630,774,700,799
18.91,22,41.32,353,298,558,672,630,774,700,799
18.99,21.98,41.32,354,299,557,672,631,775,699,798
19.1,21.98,41.32,355,299,558,672,630,775,699,798
19.2,21.98,41.32,354,299,557,673,631,774,700,798
19.3,21.98,41.32,354,299,559,672,631,775,700,799
19.4,21.98,41.32,354,298,558,673,630,774,700,798
19.5,21.98,41.32,354,299,558,673,630,775,699,798
19.59,21.98,41.32,353,299,558,673,631,775,699,798
19.7,21.98,41.32,353,299,558,673,631,775,700,799
19.8,21.98,41.32,353,298,558,673,631,775,699,798
19.9,21.98,41.32,354,298,558,672,631,774,700,798
20,21.99,41.32,354,299,557,673,631,775,700,798
20.1,21.99,41.32,355,299,558,672,631,774,700,798
20.2,21.99,41.32,353,299,558,673,631,774,700,798
20.3,21.99,41.32,353,299,558,673,631,775,699,798
20.4,21.99,41.32,354,299,557,673,631,775,700,798
20.5,21.99,41.32,353,299,559,673,631,775,700,798
20.61,21.99,41.32,353,298,559,673,631,775,700,798
20.69,21.99,41.32,354,299,557,673,631,775,699,798
20.81,21.99,41.32,353,299,558,673,631,774,700,798
20.9,21.99,41.32,353,298,558,673,631,775,699,798
21,21.98,41.32,353,299,558,673,631,775,699,798
21.1,21.98,41.32,353,299,558,673,631,775,699,798
21.2,21.98,41.32,354,299,558,673,631,775,700,797
21.3,21.98,41.32,354,298,557,673,631,775,699,798
21.4,21.98,41.32,354,299,558,673,631,775,700,798
21.5,21.98,41.32,354,299,558,673,631,775,699,798
21.6,21.98,41.32,353,299,558,673,631,775,700,798
21.7,21.98,41.32,354,299,558,673,631,775,699,798
