"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.94,42.33,346,295,549,629,596,734,659,753
3.1,20.94,42.33,346,294,549,629,596,735,660,753
3.2,20.94,42.33,346,294,550,629,596,735,659,753
3.3,20.94,42.33,346,294,549,629,597,734,659,753
3.4,20.94,42.33,348,294,550,629,597,735,659,753
3.5,20.94,42.33,346,294,549,629,597,734,660,752
3.6,20.94,42.33,346,294,549,628,597,735,660,753
3.7,20.94,42.33,346,294,550,629,596,734,660,753
3.8,20.94,42.33,347,294,550,629,597,734,660,752
3.9,20.92,42.3,346,294,549,629,597,735,660,753
4,20.92,42.3,346,294,549,630,596,735,659,753
4.1,20.92,42.3,346,294,549,629,596,734,659,753
4.2,20.92,42.3,348,294,549,628,596,734,659,753
4.3,20.92,42.3,347,294,549,629,597,735,659,753
4.4,20.92,42.3,348,295,549,629,596,735,659,752
4.51,20.92,42.3,348,294,549,629,596,735,659,753
4.6,20.92,42.3,347,294,549,629,596,734,660,753
4.7,20.92,42.3,346,294,550,629,596,734,660,753
4.8,20.92,42.3,346,294,550,629,597,734,659,753
4.9,20.93,42.33,347,294,549,629,596,734,659,753
5,20.93,42.33,347,294,550,629,597,735,659,753
5.1,20.93,42.33,346,294,549,629,596,735,659,752
5.2,20.93,42.33,346,294,550,629,596,735,659,753
5.3,20.93,42.33,348,295,549,629,596,735,659,753
5.4,20.93,42.33,347,294,550,629,596,734,659,752
5.5,20.93,42.33,346,294,550,629,596,735,660,753
5.6,20.93,42.33,346,295,549,629,596,735,660,753
5.7,20.93,42.33,349,294,550,630,596,735,660,754
5.8,20.93,42.33,346,294,549,629,597,735,659,752
5.9,20.93,42.3,346,294,549,630,596,735,659,753
6,20.93,42.3,346,294,550,630,597,735,659,753
6.1,20.93,42.3,346,295,550,629,596,735,660,753
6.2,20.93,42.3,346,295,549,630,597,734,659,753
6.3,20.93,42.3,346,294,550,630,596,735,660,753
6.41,20.93,42.3,346,294,550,629,597,735,660,753
6.5,20.93,42.3,346,295,549,629,596,735,660,753
6.61,20.93,42.3,348,295,550,630,597,735,660,753
6.71,20.93,42.3,346,295,550,630,597,735,660,753
6.8,20.93,42.3,347,294,549,630,596,735,660,753
6.91,20.93,42.33,346,294,550,630,596,734,660,753
7.01,20.93,42.33,348,295,550,630,596,735,660,753
7.11,20.93,42.33,347,295,550,630,597,735,659,753
7.21,20.93,42.33,346,295,550,629,596,735,660,753
7.31,20.93,42.33,347,295,550,630,597,735,660,753
7.41,20.93,42.33,347,295,550,630,597,735,660,753
7.51,20.93,42.33,347,295,550,630,597,736,660,753
7.61,20.93,42.33,349,294,550,630,597,735,660,753
7.71,20.93,42.33,347,294,550,630,597,736,660,753
7.81,20.93,42.33,346,295,551,630,597,735,660,753
7.91,20.94,42.33,346,295,551,631,597,735,660,754
8.01,20.94,42.33,347,295,550,631,597,735,660,753
8.1,20.94,42.33,347,295,550,630,597,736,660,753
8.2,20.94,42.33,347,294,550,630,597,735,660,753
8.3,20.94,42.33,347,295,550,630,597,735,661,754
8.4,20.94,42.33,347,294,551,630,597,735,660,754
8.51,20.94,42.33,347,295,550,630,598,736,660,753
8.61,20.94,42.33,346,294,550,630,597,735,660,754
8.71,20.94,42.33,347,294,550,630,597,735,660,753
8.81,20.94,42.33,347,295,551,631,597,735,660,754
8.89,20.94,42.33,347,294,550,631,597,736,660,754
9.01,20.93,42.33,347,295,550,631,597,735,660,753
9.11,20.93,42.33,347,295,550,630,597,735,660,753
9.21,20.93,42.33,347,295,550,631,597,735,660,753
9.31,20.93,42.33,349,294,550,631,597,735,661,754
9.41,20.93,42.33,347,294,551,631,597,736,661,753
9.51,20.93,42.33,347,294,551,630,598,735,661,754
9.59,20.93,42.33,347,295,551,631,597,735,660,753
9.71,20.93,42.33,347,294,550,631,597,735,660,753
9.81,20.93,42.33,346,295,551,631,598,735,661,754
9.9,20.93,42.33,348,295,551,631,597,735,661,753
10,20.94,42.33,347,295,551,631,597,736,660,754
10.11,20.94,42.33,347,295,551,631,597,736,660,754
10.21,20.94,42.33,347,294,550,631,597,736,660,754
10.31,20.94,42.33,348,295,550,631,597,736,661,754
10.41,20.94,42.33,347,295,551,631,598,736,661,754
10.51,20.94,42.33,347,295,551,631,597,735,660,754
10.61,20.94,42.33,347,295,551,631,597,735,661,753
10.71,20.94,42.33,347,295,551,631,597,736,661,754
10.81,20.94,42.33,347,295,550,631,598,736,660,754
10.89,20.94,42.33,347,295,551,632,597,735,660,754
10.99,20.94,42.33,347,295,551,632,598,736,661,754
11.11,20.94,42.33,347,295,551,631,597,736,661,754
11.19,20.94,42.33,348,295,552,632,597,736,661,754
11.31,20.94,42.33,347,295,551,632,598,736,660,754
11.39,20.94,42.33,347,295,551,632,597,736,661,753
11.5,20.94,42.33,348,295,551,632,598,735,661,754
11.6,20.94,42.33,348,295,551,632,598,736,660,754
11.7,20.94,42.33,347,295,551,632,598,736,661,754
11.8,20.94,42.33,347,295,551,632,597,736,661,754
11.9,20.94,42.33,347,295,552,633,597,735,661,755
12,20.94,42.33,347,295,552,632,597,736,661,754
12.1,20.94,42.33,348,295,551,632,597,736,661,754
12.2,20.94,42.33,348,295,551,632,598,736,661,754
12.3,20.94,42.33,347,296,551,633,598,736,661,754
12.4,20.94,42.33,347,295,552,633,598,736,661,754
12.5,20.94,42.33,347,295,552,633,598,736,661,754
12.6,20.94,42.33,348,296,552,633,598,736,661,754
12.7,20.94,42.33,348,295,552,633,598,736,661,755
12.8,20.94,42.33,349,296,552,633,598,736,661,754
12.9,20.94,42.33,347,295,552,633,598,736,661,755
13,20.94,42.3,347,295,551,633,598,736,662,754
13.1,20.94,42.3,348,296,551,633,598,736,661,755
13.2,20.94,42.3,347,295,552,634,598,736,661,754
13.3,20.94,42.3,347,295,552,633,598,736,661,755
13.4,20.94,42.3,348,295,552,633,598,736,662,754
13.5,20.94,42.3,348,295,552,633,598,736,661,754
13.6,20.94,42.3,348,295,552,634,598,737,661,754
13.7,20.94,42.3,348,295,553,634,598,735,662,755
13.79,20.94,42.3,348,295,553,634,598,736,661,754
13.91,20.94,42.3,348,295,552,634,598,737,661,754
14,20.94,42.3,348,295,553,634,598,736,661,755
14.1,20.92,42.3,348,295,552,634,598,736,661,755
14.2,20.92,42.3,348,296,552,634,598,736,661,755
14.3,20.92,42.3,348,295,553,633,598,736,661,755
14.41,20.92,42.3,348,295,552,634,599,736,661,755
14.51,20.92,42.3,348,295,552,635,599,737,662,754
14.6,20.92,42.3,348,295,552,634,598,736,661,755
14.7,20.92,42.3,348,295,552,635,599,737,662,754
14.8,20.92,42.3,348,295,552,634,598,737,662,754
14.9,20.92,42.3,348,295,552,634,599,736,661,755
