"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.42,38.27,317,270,503,540,551,685,607,697
3.1,22.42,38.27,317,270,502,541,551,685,608,697
3.2,22.41,38.27,317,270,502,541,551,685,608,697
3.3,22.41,38.27,317,269,502,540,551,685,608,697
3.4,22.41,38.27,317,270,502,540,551,685,608,698
3.5,22.41,38.27,318,269,502,540,551,685,608,697
3.6,22.41,38.27,317,269,502,541,551,685,608,698
3.7,22.41,38.27,318,270,502,540,551,685,608,697
3.79,22.41,38.27,317,270,502,540,551,685,608,698
3.9,22.41,38.27,317,270,502,540,552,685,608,698
4,22.41,38.27,317,270,502,541,551,685,608,698
4.1,22.41,38.27,318,270,503,541,551,685,608,698
4.21,22.42,38.27,317,270,501,541,551,685,608,698
4.3,22.42,38.27,319,270,502,540,551,685,608,697
4.33,22.42,38.27,317,270,502,541,551,685,608,698
4.33,22.42,38.27,317,270,502,541,551,685,608,698
4.83,22.42,38.27,318,270,502,540,551,685,608,697
4.83,22.42,38.27,318,270,502,540,551,685,608,697
4.83,22.42,38.27,318,270,502,540,551,685,608,697
4.9,22.42,38.27,318,270,502,540,551,684,608,698
5,22.42,38.27,319,270,503,540,551,685,608,698
5.1,22.42,38.27,318,270,503,540,551,685,608,698
5.2,22.42,38.27,317,270,503,540,551,685,608,698
5.29,22.42,38.27,317,270,503,540,551,685,608,698
5.4,22.42,38.27,317,270,503,541,551,685,608,698
5.5,22.42,38.27,317,270,503,541,552,685,608,697
5.61,22.42,38.27,317,271,502,541,551,685,608,698
5.7,22.42,38.27,317,270,502,540,551,685,608,697
5.81,22.42,38.27,317,270,502,540,551,685,609,698
5.9,22.42,38.27,319,270,502,540,551,685,608,698
6,22.42,38.27,317,270,502,540,551,685,609,698
6.1,22.42,38.27,317,271,502,541,551,685,608,698
6.2,22.42,38.3,317,270,502,540,551,685,608,698
6.3,22.42,38.3,319,270,502,541,551,685,608,698
6.41,22.42,38.3,318,270,502,540,551,685,608,698
6.5,22.42,38.3,317,270,502,540,551,685,608,698
6.6,22.42,38.3,318,270,502,540,551,685,608,698
6.71,22.42,38.3,317,270,503,540,551,685,608,699
6.8,22.42,38.3,317,270,502,541,551,685,609,698
6.9,22.42,38.3,317,270,502,541,551,685,609,698
7,22.42,38.3,317,269,502,540,551,685,608,698
7.1,22.42,38.3,317,270,502,540,551,685,608,698
7.2,22.41,38.3,319,270,503,540,551,685,608,699
7.3,22.41,38.3,319,270,502,540,551,685,608,698
7.39,22.41,38.3,318,270,503,540,551,685,609,698
7.49,22.41,38.3,317,270,503,540,551,685,609,698
7.6,22.41,38.3,318,270,502,540,551,685,608,698
7.7,22.41,38.3,317,269,502,541,552,685,609,699
7.8,22.41,38.3,317,271,502,541,551,685,609,699
7.9,22.41,38.3,318,270,502,540,551,685,609,698
8.01,22.41,38.3,317,270,502,541,551,685,608,698
8.1,22.41,38.3,317,270,502,541,551,685,608,698
8.2,22.41,38.3,320,270,503,541,551,685,609,699
8.25,22.44,38.34,318,270,503,541,551,685,609,699
8.25,22.44,38.34,318,270,503,541,551,685,609,699
8.25,22.44,38.34,318,270,503,541,551,685,609,699
8.76,22.44,38.34,317,270,502,541,551,685,609,699
