"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22.44,38.78,318,270,504,540,554,687,611,700
3.11,22.44,38.78,319,270,504,541,554,688,610,700
3.19,22.44,38.78,317,270,505,541,554,688,610,700
3.31,22.44,38.78,317,270,505,541,553,687,610,700
3.4,22.44,38.78,318,270,504,541,554,687,610,700
3.5,22.44,38.78,318,270,504,540,553,687,611,701
3.59,22.44,38.78,319,270,503,540,554,688,611,700
3.7,22.43,38.74,318,271,504,541,554,688,611,701
3.8,22.43,38.74,320,270,503,539,555,688,611,700
3.9,22.43,38.74,320,271,504,539,554,688,610,700
4.01,22.43,38.74,318,270,505,541,554,687,611,701
4.11,22.43,38.74,318,271,505,541,554,687,610,700
4.21,22.43,38.74,319,270,504,541,554,688,610,699
4.27,22.43,38.74,319,270,503,540,554,688,610,700
4.27,22.43,38.74,319,270,503,540,554,688,610,700
4.27,22.43,38.74,319,270,503,540,554,688,610,700
4.77,22.43,38.74,319,270,504,541,553,687,610,701
4.77,22.43,38.74,319,270,504,541,553,687,610,701
4.81,22.43,38.74,318,271,504,540,553,687,611,701
4.91,22.43,38.74,319,270,504,541,554,687,610,700
5.01,22.43,38.74,319,270,504,539,555,689,611,700
5.1,22.43,38.74,318,270,505,541,554,687,611,701
5.2,22.43,38.74,318,270,504,541,554,687,611,701
5.3,22.43,38.74,318,270,504,540,554,688,610,701
5.4,22.43,38.74,320,270,504,541,553,687,610,700
5.5,22.43,38.74,318,270,504,541,553,687,611,701
5.6,22.43,38.74,318,271,505,540,554,687,611,701
5.7,22.42,38.74,317,270,505,541,554,687,611,700
5.79,22.42,38.74,318,270,504,540,554,687,611,700
5.9,22.42,38.74,319,270,503,539,555,688,611,700
6.01,22.42,38.74,318,270,504,541,554,687,611,701
6.11,22.42,38.74,318,270,504,540,554,687,611,701
6.19,22.42,38.74,319,270,504,540,555,688,610,700
6.3,22.42,38.74,318,270,505,540,554,687,611,700
6.41,22.42,38.74,319,270,505,540,554,687,611,701
6.51,22.42,38.74,319,270,505,541,554,688,611,700
6.59,22.42,38.74,318,271,505,541,553,687,611,701
6.69,22.42,38.74,318,270,504,541,554,687,611,701
6.8,22.42,38.78,318,271,504,541,554,687,611,700
6.9,22.42,38.78,319,270,504,541,554,687,611,700
7,22.42,38.78,318,270,504,540,554,687,611,701
7.1,22.42,38.78,318,270,504,541,554,687,610,701
7.2,22.42,38.78,320,271,504,540,554,687,611,701
7.3,22.42,38.78,320,270,505,540,555,688,611,701
7.4,22.42,38.78,318,270,504,540,555,688,611,700
7.5,22.42,38.78,319,270,504,540,555,688,611,701
7.6,22.42,38.78,319,271,504,539,554,688,611,701
7.7,22.42,38.78,319,270,504,541,554,687,610,701
7.8,22.42,38.74,318,270,505,541,554,687,611,701
7.9,22.42,38.74,318,270,505,541,554,687,612,701
8,22.42,38.74,319,271,505,541,554,687,611,701
8.1,22.42,38.74,318,270,506,541,554,687,612,701
8.19,22.42,38.74,320,270,505,541,554,688,611,701
8.3,22.42,38.74,318,270,506,541,554,687,611,702
8.4,22.42,38.74,318,271,506,541,554,687,611,702
8.5,22.42,38.74,319,271,504,540,554,687,611,702
8.6,22.42,38.74,320,270,506,541,554,687,611,702
8.7,22.42,38.74,318,270,505,541,554,687,611,701
8.8,22.43,38.78,319,270,503,540,554,688,611,701
8.9,22.43,38.78,318,270,504,541,554,688,612,701
9,22.43,38.78,319,271,504,539,555,688,611,701
9.1,22.43,38.78,319,270,503,540,555,689,611,701
9.2,22.43,38.78,318,270,505,541,555,688,611,700
9.3,22.43,38.78,319,270,505,541,554,687,611,701
9.41,22.43,38.78,319,270,504,540,555,688,611,701
9.5,22.43,38.78,318,270,504,541,554,687,611,701
9.6,22.43,38.78,318,270,504,541,555,687,611,701
9.7,22.43,38.78,318,271,505,541,555,687,611,701
9.8,22.42,38.78,318,271,505,541,554,687,612,702
9.9,22.42,38.78,318,271,505,541,554,687,611,702
10,22.42,38.78,318,271,504,541,554,688,611,701
10.1,22.42,38.78,318,270,505,541,555,687,611,702
10.2,22.42,38.78,319,270,506,541,554,687,613,702
10.3,22.42,38.78,319,270,504,540,554,687,612,702
