"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.73,36.81,310,274,503,572,535,659,588,677
3.09,20.73,36.81,310,275,503,572,535,658,588,677
3.2,20.73,36.81,310,275,503,572,535,658,588,677
3.3,20.73,36.81,310,275,503,572,536,658,588,677
3.4,20.73,36.81,310,275,503,572,536,658,588,676
3.5,20.73,36.81,310,275,503,572,535,658,588,677
3.6,20.73,36.81,310,275,503,572,535,658,588,677
3.69,20.73,36.81,310,274,503,572,535,658,588,677
3.81,20.73,36.81,310,275,503,572,535,658,588,677
3.89,20.73,36.81,310,275,503,572,536,658,588,677
4,20.74,36.81,311,275,503,572,535,658,588,677
4.1,20.74,36.81,311,276,503,572,536,658,588,677
4.2,20.74,36.81,310,275,504,572,536,658,588,677
4.3,20.74,36.81,311,275,503,572,536,659,588,678
4.4,20.74,36.81,310,275,503,572,536,659,589,678
4.5,20.74,36.81,310,275,503,572,535,658,588,677
4.6,20.74,36.81,311,275,503,573,536,658,588,677
4.7,20.74,36.81,310,274,503,572,535,659,589,678
4.8,20.74,36.81,310,275,503,572,535,658,588,677
4.91,20.74,36.81,310,275,503,572,535,658,588,677
5.01,20.74,36.85,310,275,503,572,536,659,588,677
5.11,20.74,36.85,311,275,503,572,536,658,588,677
5.2,20.74,36.85,310,275,503,572,535,659,588,677
5.3,20.74,36.85,310,275,503,572,536,658,588,677
5.41,20.74,36.85,310,275,504,572,536,659,588,678
5.51,20.74,36.85,310,275,503,572,535,659,588,677
5.61,20.74,36.85,311,275,503,572,536,658,589,678
5.71,20.74,36.85,310,274,503,572,536,659,589,677
5.8,20.74,36.85,310,275,503,573,536,658,588,677
5.9,20.74,36.85,310,275,504,572,536,658,588,677
6,20.74,36.88,310,275,504,572,536,658,589,677
6.1,20.74,36.88,310,275,503,572,536,659,588,677
6.2,20.74,36.88,310,274,504,572,535,658,588,677
6.3,20.74,36.88,311,275,503,573,536,659,589,678
6.4,20.74,36.88,310,275,504,573,536,658,589,678
6.51,20.74,36.88,311,275,503,573,536,659,588,678
6.6,20.74,36.88,310,275,504,572,536,659,589,678
6.7,20.74,36.88,310,275,503,573,536,659,589,678
6.8,20.74,36.88,310,275,503,572,536,658,588,678
6.9,20.74,36.88,310,275,504,573,536,658,588,678
7,20.74,36.91,311,275,503,573,536,659,589,678
7.1,20.74,36.91,310,275,504,572,536,658,589,678
7.2,20.74,36.91,310,275,503,572,536,658,589,678
7.3,20.74,36.91,312,275,504,573,536,659,589,678
7.4,20.74,36.91,310,274,503,573,536,658,589,677
7.5,20.74,36.91,310,275,504,573,536,658,588,678
7.6,20.74,36.91,311,275,504,573,536,658,588,678
7.71,20.74,36.91,310,275,504,573,536,658,588,678
7.81,20.74,36.91,311,275,503,573,536,659,588,678
7.91,20.74,36.91,310,275,503,572,536,659,589,678
