"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.94,36.05,311,276,503,568,533,657,586,674
3.11,20.94,36.05,311,276,503,568,534,657,585,674
3.2,20.94,36.05,312,276,504,568,533,657,585,674
3.3,20.94,36.05,311,277,503,568,533,657,585,674
3.4,20.94,36.08,311,276,503,568,533,657,585,674
3.5,20.94,36.08,311,276,503,568,533,657,585,674
3.61,20.94,36.08,313,277,503,568,533,657,585,674
3.7,20.94,36.08,311,277,503,568,533,657,585,674
3.8,20.94,36.08,312,276,503,568,533,657,585,674
3.9,20.94,36.08,312,276,503,568,533,657,585,675
4,20.94,36.08,311,277,504,568,533,657,585,674
4.1,20.94,36.08,314,277,504,568,533,658,585,674
4.21,20.94,36.08,311,276,503,569,533,657,585,674
4.3,20.94,36.08,312,276,503,568,533,657,585,674
4.4,20.93,36.08,311,276,503,568,533,657,585,674
4.5,20.93,36.08,311,277,504,568,533,657,585,674
4.6,20.93,36.08,311,276,504,568,533,657,585,674
4.7,20.93,36.08,312,276,503,569,533,657,585,674
4.81,20.93,36.08,311,276,503,568,533,657,585,674
4.9,20.93,36.08,311,276,503,569,533,657,585,674
5,20.93,36.08,312,276,503,568,533,657,585,674
5.11,20.93,36.08,311,276,503,568,533,657,585,674
5.21,20.93,36.08,312,277,503,568,534,658,585,674
5.3,20.93,36.08,312,276,503,568,533,657,585,674
5.4,20.93,36.08,312,276,503,568,533,657,585,674
5.5,20.92,36.08,311,276,504,569,533,657,585,674
5.6,20.92,36.08,311,276,504,569,534,657,585,674
5.7,20.92,36.08,311,276,504,568,534,657,585,674
5.8,20.92,36.08,311,276,504,568,533,657,585,674
5.9,20.92,36.08,312,276,504,568,533,657,585,674
6,20.92,36.08,312,276,503,568,533,657,585,674
6.1,20.92,36.08,311,276,503,568,533,657,585,674
6.2,20.92,36.08,312,276,503,568,533,657,585,674
6.3,20.92,36.08,311,276,503,568,533,657,585,674
6.4,20.92,36.08,313,276,503,569,533,657,585,674
6.5,20.94,36.08,313,276,503,568,533,656,585,674
6.6,20.94,36.08,312,276,504,568,533,657,585,674
6.7,20.94,36.08,312,276,503,568,533,657,585,674
6.8,20.94,36.08,311,276,504,569,533,657,585,674
6.9,20.94,36.08,311,276,503,568,534,657,585,674
