"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.95,36.15,315,289,512,598,529,645,578,662
3.1,20.95,36.15,316,289,512,599,528,644,578,663
3.2,20.95,36.15,317,289,512,598,528,645,578,663
3.3,20.95,36.15,315,288,512,598,528,644,578,663
3.4,20.95,36.15,314,288,512,598,529,644,579,663
3.5,20.95,36.15,314,288,512,598,529,645,578,663
3.6,20.95,36.15,315,288,513,598,528,644,578,663
3.7,20.95,36.15,315,288,512,598,528,644,578,663
3.8,20.95,36.15,315,289,512,598,529,645,579,663
3.9,20.96,36.19,314,289,512,598,528,645,578,663
4,20.96,36.19,314,288,512,598,529,645,578,663
4.1,20.96,36.19,314,288,511,598,529,645,578,663
4.21,20.96,36.19,315,288,512,598,529,645,579,663
4.3,20.96,36.19,316,289,512,598,528,645,578,663
4.4,20.96,36.19,315,289,512,598,528,645,578,663
4.5,20.96,36.19,316,288,512,598,528,644,578,663
4.6,20.96,36.19,317,289,512,598,529,645,578,663
4.71,20.96,36.19,314,289,512,598,528,645,579,663
4.8,20.96,36.19,315,288,512,598,528,644,579,663
4.91,20.96,36.15,315,288,511,599,529,645,579,663
5.01,20.96,36.15,314,288,512,598,528,644,579,663
5.11,20.96,36.15,315,289,513,598,529,644,579,663
5.21,20.96,36.15,316,288,512,599,528,645,579,663
5.31,20.96,36.15,314,288,512,598,528,644,579,663
5.39,20.96,36.15,315,288,512,598,528,644,579,663
5.51,20.96,36.15,314,288,512,598,528,645,578,663
5.59,20.96,36.15,314,288,512,598,528,645,579,664
5.71,20.96,36.15,316,289,512,598,528,645,578,663
5.79,20.96,36.15,314,288,512,599,528,644,579,663
5.91,20.96,36.15,317,288,512,598,529,645,579,663
6.01,20.96,36.19,314,289,512,599,528,645,579,663
6.11,20.96,36.19,314,289,512,598,528,645,579,663
6.21,20.96,36.19,315,288,512,599,529,644,579,663
6.31,20.96,36.19,314,288,512,598,528,645,578,663
6.41,20.96,36.19,314,288,512,598,529,645,579,663
6.51,20.96,36.19,315,288,512,598,528,644,578,663
6.61,20.96,36.19,314,288,512,598,528,644,579,663
6.71,20.96,36.19,316,288,512,598,528,644,579,663
6.81,20.96,36.19,316,288,513,598,529,644,578,663
6.91,20.96,36.19,314,289,512,599,529,645,578,664
6.99,20.96,36.19,315,289,512,598,529,645,579,663
7.09,20.96,36.19,316,288,512,599,528,645,578,663
7.21,20.96,36.19,315,288,512,599,528,645,579,664
7.31,20.96,36.19,314,288,512,599,528,645,579,664
7.41,20.96,36.19,315,288,513,598,529,645,579,663
7.51,20.96,36.19,314,288,513,599,529,645,579,664
7.61,20.96,36.19,315,288,513,599,529,645,579,664
7.69,20.96,36.19,315,289,513,599,529,645,579,664
7.79,20.96,36.19,315,288,512,599,529,645,579,664
7.9,20.96,36.19,315,289,513,599,529,645,579,664
7.99,20.97,36.22,315,288,512,599,529,645,579,664
8.09,20.97,36.22,316,289,512,599,529,646,579,664
8.2,20.97,36.22,315,289,513,600,529,645,580,664
8.3,20.97,36.22,316,288,512,599,529,645,579,664
8.4,20.97,36.22,315,289,513,599,529,645,579,664
