"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.94,41.14,349,308,557,622,593,722,640,732
3.1,20.94,41.14,350,307,557,622,593,722,640,732
3.2,20.94,41.14,349,308,556,621,593,722,639,732
3.3,20.94,41.14,349,307,556,621,592,721,639,731
3.4,20.94,41.14,350,307,555,620,592,721,639,730
3.5,20.94,41.14,348,307,556,620,592,721,639,731
3.6,20.94,41.14,350,307,556,621,592,721,639,731
3.7,20.94,41.14,349,308,557,621,593,721,639,731
3.81,20.94,41.14,349,307,556,621,592,721,640,732
3.89,20.94,41.14,349,308,557,622,593,722,640,732
4,20.94,41.14,349,307,557,621,592,720,639,731
4.1,20.94,41.14,349,307,556,621,592,720,639,731
4.2,20.94,41.14,349,307,556,621,592,720,639,731
4.3,20.94,41.14,349,307,556,622,593,721,639,731
4.4,20.94,41.14,349,308,556,621,593,721,640,732
4.5,20.94,41.14,348,307,556,621,593,722,640,732
4.6,20.94,41.14,348,307,556,621,593,721,640,732
4.7,20.94,41.14,348,307,556,621,593,721,640,732
4.8,20.93,41.14,350,307,556,621,592,720,639,731
4.9,20.93,41.14,348,307,556,621,593,721,639,731
5,20.93,41.14,348,307,556,621,592,721,639,731
5.1,20.93,41.14,349,307,556,620,592,721,639,730
5.2,20.93,41.14,349,307,556,620,592,720,639,731
5.3,20.93,41.14,350,307,556,621,592,720,638,731
5.4,20.93,41.14,349,308,556,621,593,721,639,731
5.5,20.93,41.14,351,307,556,620,592,721,639,731
5.6,20.93,41.14,349,308,555,620,592,720,639,731
5.7,20.93,41.14,350,307,556,620,592,720,639,731
5.8,20.94,41.14,350,307,557,621,593,722,640,733
5.9,20.94,41.14,349,307,556,621,593,722,640,732
6,20.94,41.14,349,307,556,621,593,722,640,732
6.1,20.94,41.14,350,308,557,622,592,721,639,732
6.2,20.94,41.14,349,307,556,620,592,720,639,731
6.3,20.94,41.14,349,307,556,621,592,721,639,731
6.4,20.94,41.14,349,308,556,620,592,720,639,731
6.5,20.94,41.14,350,307,556,621,592,721,639,731
6.6,20.94,41.14,350,308,557,621,592,721,639,731
6.7,20.94,41.14,349,308,556,621,592,720,638,731
6.8,20.94,41.1,349,307,557,620,592,721,639,731
6.9,20.94,41.1,349,307,557,621,592,721,639,731
7,20.94,41.1,350,307,556,620,592,721,639,732
7.1,20.94,41.1,348,308,556,621,592,720,639,731
7.2,20.94,41.1,350,308,557,621,592,720,639,731
7.3,20.94,41.1,349,307,557,622,593,721,640,732
7.4,20.94,41.1,349,307,556,621,592,721,640,732
7.5,20.94,41.1,351,307,556,621,593,721,640,732
7.6,20.94,41.1,348,307,556,621,592,721,640,732
7.7,20.94,41.1,349,308,556,620,592,720,639,731
7.8,20.94,41.07,350,307,556,620,592,720,639,731
7.9,20.94,41.07,349,307,556,621,592,720,639,731
8,20.94,41.07,349,307,557,620,592,721,638,731
8.1,20.94,41.07,349,307,556,621,592,720,639,731
8.2,20.94,41.07,351,308,556,621,592,720,639,731
8.3,20.94,41.07,348,307,556,620,592,720,639,731
8.35,20.94,41.07,349,307,556,620,592,720,638,731
8.35,20.94,41.07,349,307,556,620,592,720,638,731
8.35,20.94,41.07,349,307,556,620,592,720,638,731
8.86,20.93,41.07,349,307,557,621,593,721,640,732
