"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.75,39.75,347,300,549,649,587,718,639,731
3.1,20.75,39.75,345,301,550,650,588,718,638,730
3.21,20.75,39.75,345,300,550,649,587,718,639,731
3.3,20.75,39.75,345,300,550,649,587,718,638,730
3.4,20.75,39.75,347,300,549,650,587,717,639,731
3.51,20.75,39.75,345,301,550,650,588,718,638,731
3.6,20.75,39.75,345,300,549,649,588,717,638,730
3.7,20.75,39.75,345,300,550,650,587,718,638,731
3.8,20.76,39.71,345,300,550,649,587,717,639,731
3.9,20.76,39.71,345,300,550,649,587,718,639,731
4.01,20.76,39.71,346,300,549,650,588,717,637,731
4.1,20.76,39.71,345,301,549,649,588,718,638,731
4.2,20.76,39.71,345,300,549,649,588,718,638,731
4.3,20.76,39.71,345,301,550,650,588,717,638,731
4.41,20.76,39.71,345,301,550,649,588,718,638,730
4.51,20.76,39.71,347,300,549,649,587,718,638,730
4.6,20.76,39.71,346,301,550,649,588,717,638,731
4.7,20.76,39.71,345,300,549,649,588,718,638,730
4.8,20.76,39.78,347,300,549,650,588,718,638,731
4.9,20.76,39.78,344,300,550,650,587,717,638,731
5,20.76,39.78,346,301,550,650,588,717,639,731
5.1,20.76,39.78,345,300,550,650,588,718,639,731
5.2,20.76,39.78,345,301,550,649,588,718,638,731
5.3,20.76,39.78,345,301,550,649,587,718,639,731
5.4,20.76,39.78,345,301,550,650,588,718,638,731
5.5,20.76,39.78,345,300,549,649,588,717,638,731
5.6,20.76,39.78,344,300,549,649,588,718,638,731
5.7,20.76,39.78,345,301,549,649,588,718,639,730
5.8,20.76,39.78,345,301,550,649,588,718,638,731
5.9,20.76,39.78,346,300,549,650,588,718,638,731
6,20.76,39.78,344,300,550,650,588,718,639,730
6.1,20.76,39.78,344,301,549,649,588,718,638,731
6.21,20.76,39.78,346,301,550,650,587,718,639,731
6.31,20.76,39.78,344,300,550,649,587,718,638,731
6.41,20.76,39.78,345,300,550,650,588,718,639,731
6.51,20.76,39.78,344,300,550,649,588,718,638,731
6.6,20.76,39.78,345,300,549,650,587,717,639,731
6.7,20.76,39.78,345,300,549,650,588,718,639,731
6.8,20.76,39.78,345,300,549,649,588,718,638,730
6.9,20.76,39.78,345,301,550,650,587,718,638,731
7,20.76,39.78,345,300,549,650,588,718,638,731
7.1,20.76,39.78,345,300,550,650,588,718,638,731
7.2,20.76,39.78,345,301,549,650,588,718,638,731
7.3,20.76,39.78,345,300,550,650,587,718,638,731
7.4,20.76,39.78,347,301,550,649,588,718,638,731
7.5,20.76,39.78,345,300,549,650,588,718,638,731
7.6,20.76,39.78,345,300,549,650,588,718,638,731
7.7,20.76,39.78,344,300,550,650,588,718,639,731
7.8,20.75,39.72,344,301,549,650,588,718,639,731
7.9,20.75,39.72,347,300,549,650,587,718,638,731
8.01,20.75,39.72,345,300,549,650,588,718,638,731
8.09,20.75,39.72,345,301,549,650,588,718,638,731
8.2,20.75,39.72,345,300,549,650,588,718,639,731
8.3,20.75,39.72,345,301,550,650,588,718,639,731
8.4,20.75,39.72,345,301,549,650,587,718,639,731
8.5,20.75,39.72,346,301,549,650,588,718,638,731
8.61,20.75,39.72,345,300,549,650,588,718,638,731
8.71,20.75,39.72,345,301,550,650,588,718,638,731
8.81,20.76,39.71,346,301,550,650,588,718,638,731
8.89,20.76,39.71,345,301,549,650,588,718,639,731
8.99,20.76,39.71,345,300,550,650,588,718,639,731
9.1,20.76,39.71,347,301,550,650,588,718,638,731
9.2,20.76,39.71,346,301,550,650,588,718,639,731
9.3,20.76,39.71,345,300,550,651,588,717,639,731
9.4,20.76,39.71,347,300,549,650,588,718,638,731
9.51,20.76,39.71,345,301,549,650,588,718,638,731
9.6,20.76,39.71,345,301,550,650,588,719,639,731
9.7,20.76,39.71,345,301,549,650,588,718,639,731
9.8,20.76,39.71,345,301,550,650,588,718,639,732
9.9,20.74,39.75,345,301,550,651,588,718,638,731
10,20.74,39.75,346,300,550,650,588,718,639,731
10.1,20.74,39.75,345,300,550,650,588,718,639,731
10.2,20.74,39.75,345,301,550,651,588,718,638,731
10.3,20.74,39.75,346,300,550,650,588,718,639,731
10.4,20.74,39.75,345,301,549,650,588,718,639,732
10.5,20.74,39.75,345,301,549,651,588,718,638,731
10.6,20.74,39.75,345,300,549,651,588,718,639,732
10.71,20.74,39.75,346,301,551,650,588,718,638,732
10.81,20.74,39.75,345,300,550,651,588,718,639,732
10.91,20.75,39.72,345,300,550,651,588,717,639,731
11.01,20.75,39.72,345,300,550,651,588,718,639,731
11.1,20.75,39.72,346,301,551,650,588,718,639,732
11.2,20.75,39.72,345,301,550,651,588,718,639,732
11.3,20.75,39.72,345,300,551,651,588,718,639,731
11.4,20.75,39.72,346,301,551,651,588,718,639,731
11.5,20.75,39.72,348,301,550,651,589,718,639,731
11.6,20.75,39.72,346,301,550,651,588,718,639,732
11.7,20.75,39.72,345,300,550,651,588,718,639,732
11.8,20.75,39.72,345,301,550,651,588,718,639,731
11.9,20.75,39.71,345,300,550,651,588,718,639,732
12,20.75,39.71,345,301,550,651,589,718,639,732
12.1,20.75,39.71,347,301,551,651,588,717,639,731
12.2,20.75,39.71,345,301,550,651,588,718,639,731
12.3,20.75,39.71,345,301,550,651,588,718,639,732
12.4,20.75,39.71,345,301,550,651,589,718,639,732
12.51,20.75,39.71,345,301,551,651,588,718,639,732
12.6,20.75,39.71,346,301,551,651,588,718,639,732
12.7,20.75,39.71,345,301,550,651,588,718,639,732
12.8,20.75,39.71,346,301,550,652,588,718,639,731
12.9,20.76,39.71,345,301,550,651,588,718,639,732
13,20.76,39.71,346,301,550,651,588,718,639,732
13.1,20.76,39.71,345,301,551,652,588,719,639,732
13.2,20.76,39.71,345,301,551,652,588,719,639,732
13.3,20.76,39.71,345,301,551,652,589,718,639,732
13.4,20.76,39.71,346,301,551,652,589,719,639,732
13.5,20.76,39.71,345,301,550,651,588,719,640,731
13.6,20.76,39.71,346,301,551,652,589,719,639,731
13.7,20.76,39.71,346,301,551,652,589,718,639,732
13.8,20.76,39.71,345,301,551,652,589,718,639,732
13.9,20.76,39.71,346,300,550,652,588,718,639,731
14,20.76,39.71,347,301,551,652,589,718,639,732
14.1,20.76,39.71,346,302,551,652,588,718,639,732
14.2,20.76,39.71,346,301,551,652,588,718,639,731
14.3,20.76,39.71,346,301,551,652,588,718,639,732
14.4,20.76,39.71,346,301,550,652,589,718,639,731
14.51,20.76,39.71,346,301,551,652,588,718,639,732
