"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22.44,40.5,336,278,524,595,581,722,642,734
3.09,22.44,40.5,337,277,524,595,581,722,642,734
3.2,22.44,40.5,336,277,524,595,581,722,643,735
3.31,22.44,40.5,336,277,524,595,581,723,643,735
3.4,22.44,40.5,337,278,524,595,581,723,643,735
3.5,22.44,40.5,335,277,524,595,581,722,643,735
3.6,22.44,40.5,336,277,524,595,580,722,642,733
3.71,22.45,40.5,336,277,524,595,580,721,642,734
3.8,22.45,40.5,336,278,524,595,581,722,643,735
3.9,22.45,40.5,336,278,524,595,580,722,642,734
4,22.45,40.5,336,278,524,594,580,721,642,733
4.1,22.45,40.5,336,277,524,595,580,721,642,734
4.2,22.45,40.5,336,278,524,595,581,721,642,734
4.3,22.45,40.5,336,277,523,594,580,722,642,733
4.4,22.45,40.5,336,277,523,594,580,722,642,734
4.51,22.45,40.5,337,277,524,595,580,722,642,734
4.6,22.45,40.5,336,277,524,595,580,721,642,734
4.69,22.45,40.5,337,277,524,595,581,721,642,734
4.81,22.45,40.5,336,278,524,595,581,722,643,735
4.9,22.45,40.5,336,277,525,595,581,722,642,735
5,22.45,40.5,336,277,524,595,581,722,643,735
5.11,22.45,40.5,336,277,523,594,580,721,642,733
5.21,22.45,40.5,335,277,524,595,580,721,642,733
5.3,22.45,40.5,335,278,524,594,580,721,642,734
5.4,22.45,40.5,336,278,524,594,580,721,642,734
5.5,22.45,40.5,336,277,524,595,580,722,643,734
5.6,22.45,40.5,336,277,524,595,580,722,643,734
5.7,22.44,40.5,337,277,525,595,581,722,643,735
5.8,22.44,40.5,337,278,524,595,580,722,643,735
5.91,22.44,40.5,335,278,524,595,580,720,642,734
5.99,22.44,40.5,336,278,523,595,580,720,642,734
6.11,22.44,40.5,336,277,524,595,580,722,643,735
6.21,22.44,40.5,338,277,524,595,580,721,643,735
6.31,22.44,40.5,336,277,525,595,581,722,643,734
6.39,22.44,40.5,336,277,524,595,580,721,642,734
6.51,22.44,40.5,336,277,524,594,580,721,642,734
6.6,22.44,40.5,337,278,524,595,580,721,642,733
6.71,22.44,40.5,335,277,524,594,580,721,642,734
6.81,22.44,40.5,337,277,523,594,580,721,642,734
6.91,22.44,40.5,337,277,524,594,580,721,641,733
7.01,22.44,40.5,336,277,524,594,580,721,641,733
7.11,22.44,40.5,336,277,524,595,580,721,642,734
7.2,22.44,40.5,335,277,524,594,581,722,643,735
7.3,22.44,40.5,336,277,524,595,581,721,643,735
7.4,22.44,40.5,336,277,524,595,580,721,643,734
7.5,22.44,40.5,336,277,524,594,580,721,642,734
7.6,22.44,40.5,338,277,524,594,580,720,642,734
7.7,22.44,40.5,336,277,524,594,580,721,642,734
7.8,22.43,40.43,335,278,523,594,580,721,643,734
7.9,22.43,40.43,335,277,524,594,580,720,642,734
8,22.43,40.43,336,277,524,594,580,720,642,733
8.1,22.43,40.43,338,277,523,595,580,720,642,734
8.2,22.43,40.43,336,278,523,594,580,720,642,734
8.3,22.43,40.43,337,278,524,595,580,721,642,734
8.4,22.43,40.43,336,277,524,594,580,720,643,734
8.5,22.43,40.43,336,277,524,595,581,720,643,734
8.6,22.43,40.43,335,277,524,595,580,721,643,735
8.7,22.43,40.43,337,277,524,595,581,721,643,735
8.8,22.44,40.5,335,277,524,595,580,721,643,735
8.9,22.44,40.5,338,277,525,595,580,721,643,735
9,22.44,40.5,337,278,524,594,580,720,642,734
9.1,22.44,40.5,335,277,524,595,581,721,643,734
9.2,22.44,40.5,336,277,524,595,580,721,643,735
9.31,22.44,40.5,336,277,524,595,581,722,643,735
9.4,22.44,40.5,335,277,524,595,580,720,643,735
9.5,22.44,40.5,336,277,524,594,580,721,643,735
9.6,22.44,40.5,336,277,524,595,581,721,643,734
9.7,22.44,40.5,336,278,524,595,580,720,643,735
9.8,22.46,40.5,335,278,524,594,580,720,643,735
9.9,22.46,40.5,336,278,525,595,581,721,643,735
10,22.46,40.5,336,277,524,596,581,721,643,736
10.1,22.46,40.5,336,278,525,595,581,722,644,736
10.2,22.46,40.5,336,278,524,596,582,722,644,736
10.3,22.46,40.5,337,278,525,595,581,722,644,736
10.4,22.46,40.5,337,277,525,595,581,721,643,735
10.5,22.46,40.5,336,277,525,595,581,721,643,735
10.6,22.46,40.5,336,277,524,595,581,720,644,735
10.7,22.46,40.5,336,278,524,595,581,721,643,736
10.8,22.45,40.46,336,277,524,596,581,721,644,736
10.91,22.45,40.46,336,278,524,595,581,721,644,736
11.01,22.45,40.46,339,277,525,595,581,721,643,736
11.11,22.45,40.46,336,277,524,596,581,721,644,736
11.19,22.45,40.46,336,278,525,595,581,721,644,737
11.31,22.45,40.46,337,278,524,595,581,720,644,736
11.4,22.45,40.46,336,277,524,596,582,720,644,736
11.5,22.45,40.46,337,277,524,596,582,721,645,737
11.61,22.45,40.46,336,277,524,595,581,721,644,736
11.71,22.45,40.46,336,277,524,596,582,721,645,736
11.79,22.46,40.46,336,278,524,596,582,721,645,736
11.91,22.46,40.46,336,278,525,596,581,721,644,737
12.01,22.46,40.46,336,278,525,596,581,721,645,737
12.11,22.46,40.46,336,278,525,596,582,722,646,737
12.2,22.46,40.46,337,278,525,596,581,721,645,737
12.3,22.46,40.46,336,278,525,596,582,721,645,736
12.4,22.46,40.46,337,277,525,596,581,721,644,736
12.5,22.46,40.46,337,278,524,596,582,721,645,737
12.6,22.46,40.46,336,278,525,596,582,721,645,737
12.7,22.46,40.46,337,278,525,596,582,721,645,737
12.79,22.46,40.46,337,278,525,596,582,721,645,737
12.9,22.44,40.46,336,278,525,596,583,722,646,738
13.01,22.44,40.46,336,278,524,596,582,721,646,737
13.11,22.44,40.46,337,277,524,596,582,721,645,737
13.19,22.44,40.46,337,278,525,596,582,721,645,738
13.31,22.44,40.46,336,278,526,596,582,722,646,738
13.41,22.44,40.46,336,278,526,596,582,722,646,738
13.5,22.44,40.46,338,277,525,596,583,722,646,738
13.6,22.44,40.46,337,278,525,596,582,721,646,738
13.7,22.44,40.46,336,278,525,597,582,721,646,738
13.8,22.44,40.46,339,278,525,597,582,721,645,738
13.91,22.44,40.46,339,277,525,597,582,722,646,738
13.99,22.44,40.46,338,278,525,596,582,722,646,739
14.11,22.44,40.46,336,278,526,597,583,722,646,739
14.2,22.44,40.46,336,278,525,597,583,722,646,738
14.31,22.44,40.46,337,278,525,597,583,722,646,739
14.41,22.44,40.46,337,278,525,597,582,722,647,739
14.51,22.44,40.46,337,278,525,597,583,721,646,739
14.59,22.44,40.46,337,278,526,597,583,722,647,738
14.71,22.44,40.46,336,278,526,597,583,722,646,739
14.81,22.44,40.46,337,278,525,598,583,722,646,739
14.9,22.45,40.46,337,278,525,597,583,722,647,738
15.01,22.45,40.46,339,278,526,598,583,723,647,740
15.1,22.45,40.46,337,278,526,598,584,723,648,740
15.21,22.45,40.46,337,278,525,597,584,723,647,740
15.31,22.45,40.46,337,278,525,598,584,723,647,740
15.41,22.45,40.46,338,278,526,597,583,722,647,739
15.5,22.45,40.46,337,277,525,597,583,722,647,739
15.6,22.45,40.46,337,278,526,597,583,722,647,739
15.71,22.45,40.46,337,278,525,597,583,722,647,739
15.81,22.45,40.46,339,278,526,598,584,723,647,739
15.91,22.44,40.43,337,278,525,597,584,722,647,739
15.99,22.44,40.43,337,277,525,598,583,723,647,739
16.11,22.44,40.43,337,278,525,598,584,723,647,740
16.21,22.44,40.43,337,278,525,598,584,723,647,740
16.31,22.44,40.43,338,278,526,598,584,723,647,739
16.39,22.44,40.43,337,278,526,598,583,723,648,740
16.49,22.44,40.43,337,278,525,598,584,723,648,739
16.61,22.44,40.43,338,278,525,598,583,723,648,740
16.7,22.44,40.43,337,278,525,598,583,723,648,740
16.8,22.44,40.43,337,278,526,598,584,723,648,740
16.89,22.44,40.5,337,277,526,598,584,723,648,740
17.01,22.44,40.5,337,278,526,598,584,723,648,740
17.09,22.44,40.5,337,278,526,598,584,723,648,740
17.2,22.44,40.5,337,277,526,598,584,723,648,740
17.3,22.44,40.5,339,278,526,598,584,722,648,740
17.41,22.44,40.5,337,278,526,598,585,723,647,740
17.5,22.44,40.5,337,278,525,598,584,723,648,740
17.6,22.44,40.5,337,278,525,598,585,723,648,740
17.7,22.44,40.5,337,278,526,598,584,723,648,740
17.8,22.44,40.5,337,277,526,598,584,723,648,740
17.91,22.44,40.46,337,278,526,600,585,724,649,742
18,22.44,40.46,337,278,526,599,585,724,649,741
18.1,22.44,40.46,338,278,526,599,585,724,648,741
18.2,22.44,40.46,339,278,526,599,585,724,649,741
18.31,22.44,40.46,337,278,526,599,585,723,648,741
18.4,22.44,40.46,337,278,527,599,585,724,649,741
18.5,22.44,40.46,337,278,526,599,585,724,648,741
18.61,22.44,40.46,338,278,526,599,584,723,648,740
18.7,22.44,40.46,337,278,526,599,585,724,648,741
18.8,22.44,40.46,338,278,525,599,584,724,648,741
18.91,22.44,40.5,339,278,526,599,585,723,648,741
