"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22.46,40.77,334,272,521,548,584,727,644,737
3.1,22.46,40.77,333,272,521,548,583,727,643,736
3.13,22.46,40.77,334,272,519,547,584,728,643,736
3.13,22.46,40.77,334,272,519,547,584,728,643,736
3.64,22.46,40.77,335,271,521,549,583,726,643,736
3.64,22.46,40.77,335,271,521,549,583,726,643,736
3.64,22.46,40.77,335,271,521,549,583,726,643,736
3.7,22.46,40.77,333,272,522,548,583,726,643,736
3.8,22.46,40.77,333,271,520,549,584,726,643,736
3.9,22.46,40.77,334,272,521,549,583,726,643,737
4.01,22.46,40.77,334,272,520,547,583,727,644,736
4.11,22.46,40.77,334,272,520,547,584,727,643,737
4.21,22.46,40.77,335,272,521,548,583,727,643,736
4.3,22.46,40.77,334,272,522,548,582,726,643,737
4.4,22.46,40.77,334,272,520,548,584,728,643,736
4.5,22.46,40.77,334,272,519,547,584,728,643,736
4.6,22.46,40.77,334,271,521,549,584,727,643,736
4.7,22.46,40.77,334,272,521,548,583,727,643,736
4.8,22.46,40.77,334,272,520,548,583,727,643,736
4.9,22.46,40.77,334,272,520,548,583,726,644,737
5,22.46,40.77,335,272,520,548,583,727,643,737
5.1,22.46,40.77,334,272,520,548,584,727,643,737
5.2,22.46,40.77,334,272,520,548,583,727,643,736
5.3,22.46,40.77,334,271,522,548,584,726,643,736
5.4,22.46,40.77,336,271,521,549,583,727,643,736
5.5,22.46,40.77,334,271,520,546,584,727,643,736
5.6,22.46,40.77,334,273,521,547,583,727,643,737
5.7,22.46,40.73,333,271,522,549,583,726,643,736
5.8,22.46,40.73,333,271,521,549,583,726,643,736
5.91,22.46,40.73,334,271,520,547,584,727,643,736
6,22.46,40.73,335,271,520,547,584,728,643,736
6.1,22.46,40.73,334,272,520,548,582,726,644,737
6.2,22.46,40.73,335,272,520,547,584,727,644,737
6.3,22.46,40.73,334,272,520,548,583,727,643,737
6.4,22.46,40.73,334,272,521,547,584,727,644,737
6.5,22.46,40.73,335,272,521,547,583,727,643,737
6.6,22.46,40.73,335,272,521,548,583,726,643,737
6.7,22.46,40.77,333,271,520,548,584,727,643,736
6.8,22.46,40.77,333,271,520,549,584,726,642,736
6.9,22.46,40.77,334,272,520,549,584,727,643,736
7,22.46,40.77,334,272,520,549,583,727,643,736
7.1,22.46,40.77,336,272,521,549,583,726,643,737
7.2,22.46,40.77,333,272,521,549,584,727,643,736
7.3,22.46,40.77,333,272,520,548,584,727,643,736
7.4,22.46,40.77,333,271,520,548,584,727,643,736
7.5,22.46,40.77,335,273,521,548,584,727,644,737
7.6,22.46,40.77,334,272,520,548,583,726,644,738
7.7,22.46,40.77,333,272,521,549,584,726,643,736
7.8,22.46,40.77,334,273,521,549,584,727,643,737
7.91,22.46,40.77,335,272,520,548,584,727,643,736
8,22.46,40.77,334,272,521,548,584,726,643,737
8.09,22.46,40.77,334,272,521,548,584,727,644,737
8.2,22.46,40.77,333,272,521,548,583,726,643,737
8.29,22.46,40.77,335,272,520,548,583,727,644,738
8.4,22.46,40.77,334,272,521,548,583,726,644,737
8.5,22.46,40.77,334,271,520,548,584,727,643,736
8.59,22.46,40.77,335,272,520,548,584,726,644,737
8.71,22.46,40.77,334,272,521,548,584,727,644,737
8.8,22.45,40.77,334,272,521,549,584,726,643,737
8.9,22.45,40.77,334,272,521,549,584,727,643,737
9.01,22.45,40.77,334,271,521,550,584,726,643,737
9.09,22.45,40.77,334,272,521,549,584,727,643,737
9.19,22.45,40.77,334,272,521,549,584,726,644,737
9.31,22.45,40.77,334,272,519,548,584,727,643,737
9.41,22.45,40.77,334,272,520,550,584,727,643,737
9.5,22.45,40.77,334,272,521,548,584,726,644,738
9.6,22.45,40.77,334,272,520,549,585,727,644,737
9.7,22.45,40.77,334,271,522,549,584,727,643,737
9.79,22.46,40.73,335,271,522,549,584,726,643,738
9.91,22.46,40.73,335,272,521,549,584,727,644,738
10.01,22.46,40.73,335,273,521,549,584,726,645,738
10.11,22.46,40.73,334,272,521,549,584,727,644,738
10.2,22.46,40.73,334,273,522,550,584,726,645,738
10.3,22.46,40.73,334,272,522,549,583,726,645,739
10.4,22.46,40.73,334,272,522,550,584,726,644,738
10.51,22.46,40.73,333,272,521,550,584,726,644,738
10.61,22.46,40.73,334,272,521,550,584,727,644,738
10.71,22.46,40.73,335,271,521,550,585,727,644,738
10.8,22.46,40.77,336,272,521,549,585,727,645,739
10.9,22.46,40.77,334,272,521,549,584,727,645,739
11,22.46,40.77,335,272,520,549,585,727,645,739
11.1,22.46,40.77,334,272,522,550,584,726,645,738
11.2,22.46,40.77,334,272,522,550,584,726,645,739
11.3,22.46,40.77,336,271,522,550,584,726,644,738
11.4,22.46,40.77,335,271,521,550,585,727,645,738
11.51,22.46,40.77,336,272,521,550,585,727,646,739
11.6,22.46,40.77,335,273,519,549,586,727,645,739
11.7,22.46,40.77,335,271,521,550,585,727,645,739
11.81,22.46,40.77,334,271,522,550,585,726,646,739
11.91,22.46,40.77,336,272,522,550,584,726,645,739
12.01,22.46,40.77,334,272,521,550,585,727,645,739
12.11,22.46,40.77,335,272,520,550,585,727,645,739
12.19,22.46,40.77,335,272,521,551,585,727,645,739
12.31,22.46,40.77,335,272,521,550,584,726,646,740
12.4,22.46,40.77,335,273,520,550,585,727,646,740
12.5,22.46,40.77,336,272,521,550,585,727,646,739
12.6,22.46,40.77,335,273,521,550,585,727,647,741
12.71,22.46,40.77,335,273,521,550,585,727,647,740
12.81,22.45,40.73,335,272,521,550,586,726,646,740
12.91,22.45,40.73,335,272,522,551,585,727,646,740
13.01,22.45,40.73,335,272,521,550,585,727,646,741
13.11,22.45,40.73,336,273,520,549,585,728,646,740
13.21,22.45,40.73,337,273,522,550,585,727,647,741
13.31,22.45,40.73,335,272,522,551,586,727,647,740
13.4,22.45,40.73,336,273,521,550,585,727,647,741
13.5,22.45,40.73,334,272,522,552,585,727,646,740
13.6,22.45,40.73,336,273,522,551,585,727,647,741
13.7,22.45,40.73,335,272,521,551,586,728,647,740
13.8,22.45,40.73,335,272,522,551,587,727,647,741
13.9,22.46,40.77,335,273,521,551,586,727,647,741
14.01,22.46,40.77,335,271,522,551,587,728,647,741
14.1,22.46,40.77,335,272,522,552,586,727,647,741
14.2,22.46,40.77,335,272,520,550,587,729,648,741
14.31,22.46,40.77,335,272,522,551,586,728,647,742
14.39,22.46,40.77,335,272,522,552,586,727,647,742
14.49,22.46,40.77,334,271,523,552,586,727,647,741
14.59,22.46,40.77,335,272,521,551,587,728,647,741
14.7,22.46,40.77,336,272,521,551,587,728,647,741
14.8,22.46,40.77,335,272,521,551,587,728,647,741
14.91,22.45,40.73,335,272,521,551,587,728,647,741
14.99,22.45,40.73,335,272,522,552,587,728,647,741
15.09,22.45,40.73,336,273,521,551,587,728,648,742
15.2,22.45,40.73,336,273,522,551,587,728,648,742
15.29,22.45,40.73,336,272,522,551,587,728,648,742
15.4,22.45,40.73,335,271,522,552,587,728,648,742
15.49,22.45,40.73,335,272,521,551,587,729,648,742
15.6,22.45,40.73,335,273,522,552,587,728,649,743
15.7,22.45,40.73,335,272,522,551,587,728,649,743
15.8,22.45,40.73,335,273,522,552,587,728,648,742
15.91,22.46,40.77,336,272,521,552,587,728,649,743
16,22.46,40.77,335,273,522,553,588,728,648,742
16.1,22.46,40.77,335,272,523,553,588,729,647,742
16.2,22.46,40.77,335,272,521,552,588,729,648,742
16.3,22.46,40.77,335,272,523,553,588,728,648,743
16.4,22.46,40.77,335,272,521,552,588,729,649,743
16.5,22.46,40.77,336,273,523,552,587,728,649,743
16.6,22.46,40.77,335,272,522,552,587,729,649,744
16.71,22.46,40.77,335,272,523,553,587,728,648,743
