"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22.02,44.89,337,292,532,591,565,698,624,713
3.09,22.02,44.89,336,293,532,591,565,698,624,713
3.21,22.02,44.89,336,293,532,591,565,698,624,713
3.31,22.02,44.89,336,292,532,591,565,698,624,713
3.41,22.02,44.89,336,292,532,591,565,698,624,713
3.51,22.02,44.89,336,293,532,591,565,698,624,713
3.6,22.02,44.89,336,293,532,591,565,698,624,713
3.7,22.02,44.89,336,292,532,591,565,698,624,713
3.81,22.02,44.89,337,292,533,590,565,698,624,714
3.91,22.02,44.89,337,292,532,590,565,698,624,713
4.01,22.02,44.89,336,292,532,590,565,698,624,713
4.11,22.02,44.89,336,292,532,591,565,698,623,713
4.19,22.02,44.89,336,293,532,590,565,698,623,713
4.3,22.02,44.89,337,292,532,591,565,698,624,713
4.4,22.02,44.93,336,293,533,591,565,698,624,713
4.5,22.02,44.93,336,292,532,590,565,698,624,713
4.6,22.02,44.93,337,292,532,590,565,698,623,713
4.71,22.02,44.93,337,293,533,590,565,698,624,714
4.79,22.02,44.93,337,293,532,590,565,698,623,714
4.91,22.02,44.93,337,293,532,590,565,698,623,713
5.01,22.02,44.93,336,293,532,590,565,697,624,713
5.11,22.02,44.93,336,293,532,590,564,698,624,714
5.2,22.02,44.93,337,293,532,590,565,698,623,713
5.31,22.02,44.93,338,293,532,590,565,698,624,714
5.39,22.02,44.92,337,292,532,590,565,698,624,713
5.49,22.02,44.92,336,292,532,590,565,698,624,713
5.61,22.02,44.92,336,292,532,589,565,698,623,713
5.69,22.02,44.92,337,293,533,590,565,698,624,713
5.79,22.02,44.92,336,293,533,590,565,697,624,713
5.9,22.02,44.92,336,292,532,589,565,697,623,713
5.99,22.02,44.92,336,293,532,590,564,697,624,713
6.11,22.02,44.92,337,292,532,589,565,697,624,713
6.21,22.02,44.92,339,293,533,589,565,697,624,713
6.31,22.02,44.92,336,292,532,589,565,697,623,713
6.41,22.02,44.89,337,292,532,589,565,698,624,713
6.51,22.02,44.89,338,292,532,590,565,697,624,714
6.6,22.02,44.89,336,292,532,589,564,697,624,713
6.7,22.02,44.89,336,292,533,589,565,697,624,713
6.8,22.02,44.89,336,292,532,589,564,698,624,713
6.9,22.02,44.89,336,293,532,588,565,698,624,713
7.01,22.02,44.89,336,293,533,589,564,697,624,713
7.11,22.02,44.89,338,292,532,589,565,697,623,713
7.21,22.02,44.89,336,293,532,589,565,697,624,714
7.3,22.02,44.89,337,292,533,589,565,698,624,713
7.4,22.02,44.89,336,292,532,589,565,697,624,714
7.5,22.02,44.89,336,293,532,589,565,697,624,713
7.61,22.02,44.89,336,292,533,589,565,697,623,713
7.71,22.02,44.89,336,292,532,589,565,697,624,713
7.81,22.02,44.89,337,292,532,589,564,697,624,713
7.91,22.02,44.89,336,293,533,589,564,697,624,713
8,22.02,44.89,336,292,532,588,564,698,624,713
8.1,22.02,44.89,336,292,532,589,564,697,623,714
8.2,22.02,44.89,338,292,532,588,565,698,624,713
8.3,22.02,44.89,339,293,532,589,565,697,624,714
8.4,22.01,44.89,338,292,533,588,565,697,624,713
8.5,22.01,44.89,337,293,532,588,565,697,624,713
8.6,22.01,44.89,336,292,532,589,565,697,624,713
8.7,22.01,44.89,339,293,532,589,564,698,624,714
8.8,22.01,44.89,336,292,533,589,564,697,624,713
8.9,22.01,44.89,337,293,532,588,565,698,624,714
9,22.01,44.89,338,293,533,589,565,697,624,714
9.1,22.01,44.89,336,293,533,589,565,697,624,714
9.2,22.01,44.89,339,292,532,588,565,697,624,713
9.3,22.01,44.89,337,292,532,588,564,697,624,714
9.4,22.01,44.89,336,293,533,589,565,698,624,714
9.5,22.02,44.86,336,292,533,588,564,698,624,713
9.6,22.02,44.86,336,292,532,588,565,697,624,714
9.7,22.02,44.86,337,292,533,589,565,697,624,714
9.8,22.02,44.86,336,292,533,588,565,698,625,713
9.9,22.02,44.86,336,292,532,588,565,698,624,714
10,22.02,44.86,337,293,533,588,565,698,624,714
10.1,22.02,44.86,337,292,532,588,565,697,624,714
10.21,22.02,44.86,336,292,533,588,564,697,624,713
10.31,22.02,44.86,336,292,533,589,565,697,624,714
10.37,22.02,44.86,337,292,532,589,565,697,624,713
10.37,22.02,44.86,337,292,532,589,565,697,624,713
10.37,22.02,44.86,337,292,532,589,565,697,624,713
10.87,22.01,44.89,336,292,532,589,565,697,624,714
10.87,22.01,44.89,336,292,532,589,565,697,624,714
10.89,22.01,44.89,336,292,532,588,565,697,624,714
11,22.01,44.89,336,293,532,588,565,698,624,714
11.11,22.01,44.89,336,292,532,588,565,698,625,714
11.21,22.01,44.89,337,293,532,589,565,697,624,713
11.31,22.01,44.89,336,293,533,588,565,697,625,714
11.4,22.01,44.89,338,293,533,588,565,698,624,714
11.51,22.01,44.89,339,293,533,589,565,697,624,714
11.61,22.01,44.89,336,292,532,589,565,697,625,714
11.71,22.01,44.89,337,293,532,589,565,697,625,714
11.79,22.01,44.89,336,292,533,589,565,697,625,714
11.89,22.01,44.89,336,293,532,589,565,698,624,714
12,22.01,44.89,336,293,533,589,565,697,625,714
12.1,22.01,44.89,337,293,533,589,565,697,625,714
12.2,22.01,44.89,336,292,532,589,565,697,624,714
12.31,22.01,44.89,337,292,533,589,565,697,625,714
12.41,22.01,44.89,336,292,533,589,565,697,625,714
12.49,22.01,44.89,336,292,533,589,565,698,625,714
12.6,22.01,44.89,337,293,533,589,565,698,624,715
12.7,22.01,44.89,338,293,532,589,565,697,625,714
12.8,22.01,44.89,337,292,533,589,565,698,625,714
12.91,22.01,44.89,336,292,533,589,565,697,625,714
13.01,22.01,44.89,336,292,533,589,565,697,625,714
13.11,22.01,44.89,337,292,532,589,565,697,625,714
13.21,22.01,44.89,336,293,532,589,565,697,625,714
13.3,22.01,44.89,336,292,533,590,565,698,625,715
13.4,22.01,44.89,337,292,533,590,565,698,625,715
13.5,22.01,44.86,337,293,533,590,565,698,625,714
13.6,22.01,44.86,337,293,533,590,565,698,625,715
13.7,22.01,44.86,338,292,533,590,565,697,625,715
13.8,22.01,44.86,337,293,533,590,565,698,625,714
13.9,22.01,44.86,336,293,532,590,565,698,625,715
14,22.01,44.86,337,292,533,590,565,697,625,715
14.1,22.01,44.86,337,293,533,590,565,698,626,715
14.21,22.01,44.86,337,292,533,589,565,698,625,715
14.31,22.01,44.86,337,293,533,590,565,697,626,715
14.41,22.01,44.86,337,293,533,590,566,698,626,715
14.5,22.02,44.83,337,292,532,590,565,697,625,714
14.6,22.02,44.83,337,293,532,590,565,698,625,715
14.7,22.02,44.83,338,293,533,591,565,698,625,715
14.81,22.02,44.83,337,293,533,590,566,698,626,715
14.91,22.02,44.83,337,292,532,591,566,697,626,715
15.01,22.02,44.83,337,292,533,591,565,698,626,715
15.11,22.02,44.83,336,292,532,591,565,698,626,715
15.2,22.02,44.83,337,293,533,591,565,698,626,715
15.31,22.02,44.83,337,294,532,591,565,698,626,716
15.41,22.02,44.83,337,293,534,591,565,698,627,715
15.51,22.02,44.83,336,292,533,591,566,698,626,715
15.61,22.02,44.89,337,294,532,591,565,698,626,715
15.71,22.02,44.89,337,293,534,591,565,698,626,715
15.81,22.02,44.89,336,293,533,591,566,698,627,715
15.91,22.02,44.89,337,293,532,591,566,698,627,716
16.01,22.02,44.89,337,293,532,591,566,698,627,715
16.1,22.02,44.89,337,293,533,592,566,698,627,715
16.2,22.02,44.89,337,293,533,591,565,698,627,715
16.3,22.02,44.89,337,293,533,592,566,698,627,715
16.4,22.02,44.89,337,293,533,592,566,698,627,715
16.5,22.02,44.89,337,292,532,592,566,698,627,715
16.61,22.02,44.86,337,293,532,592,566,698,627,715
16.7,22.02,44.86,337,293,533,592,566,698,627,715
16.81,22.02,44.86,339,293,533,592,566,698,627,716
16.89,22.02,44.86,337,293,534,592,566,698,626,716
17.01,22.02,44.86,338,293,533,593,566,698,627,716
17.11,22.02,44.86,337,293,533,592,566,698,627,715
17.21,22.02,44.86,337,293,533,592,566,698,627,715
17.31,22.02,44.86,337,293,533,592,566,698,627,716
17.41,22.02,44.86,337,293,532,593,566,698,627,716
17.49,22.02,44.86,338,293,533,593,566,698,627,716
17.61,22.03,44.89,337,293,533,593,566,698,627,716
17.71,22.03,44.89,337,293,534,593,566,698,627,716
17.81,22.03,44.89,338,293,533,593,566,698,627,716
17.9,22.03,44.89,337,292,533,593,566,698,627,716
18,22.03,44.89,337,293,534,593,566,698,627,716
18.1,22.03,44.89,337,293,533,593,566,698,627,716
18.21,22.03,44.89,337,293,533,593,566,698,628,716
18.31,22.03,44.89,337,293,533,593,566,698,627,715
18.41,22.03,44.89,338,292,533,593,566,698,628,716
18.51,22.03,44.89,337,293,533,593,566,698,627,716
18.6,22.02,44.83,337,293,533,594,566,698,627,716
18.7,22.02,44.83,337,293,534,593,566,699,627,716
18.8,22.02,44.83,338,293,533,594,566,698,627,716
18.91,22.02,44.83,337,293,534,594,567,699,628,716
18.99,22.02,44.83,338,293,533,594,567,699,627,716
19.11,22.02,44.83,337,293,534,595,567,698,628,716
19.21,22.02,44.83,337,293,533,594,567,698,628,716
19.3,22.02,44.83,337,292,533,595,567,698,628,716
19.39,22.02,44.83,337,293,533,595,566,699,628,716
19.5,22.02,44.83,337,293,533,595,567,699,627,716
19.6,22.02,44.89,337,293,533,595,567,699,628,716
19.7,22.02,44.89,338,293,533,595,567,698,628,716
19.81,22.02,44.89,337,293,533,595,567,698,628,717
19.91,22.02,44.89,337,293,533,595,567,698,628,716
20,22.02,44.89,337,293,533,596,566,698,628,716
20.1,22.02,44.89,339,293,533,595,567,699,628,716
20.21,22.02,44.89,338,292,533,596,567,699,628,717
20.31,22.02,44.89,337,293,533,595,566,698,628,716
20.4,22.02,44.89,337,293,533,595,567,698,628,716
20.5,22.02,44.89,339,293,534,596,566,699,627,716
20.59,22.02,44.89,337,293,533,596,567,699,627,716
20.71,22.01,44.86,338,292,533,596,566,699,627,717
20.79,22.01,44.86,337,293,533,596,567,698,628,716
20.91,22.01,44.86,338,293,533,596,566,699,627,716
21.01,22.01,44.86,337,293,533,597,567,698,627,716
21.11,22.01,44.86,338,293,533,596,567,698,627,716
21.21,22.01,44.86,339,294,534,597,567,699,627,717
21.31,22.01,44.86,338,294,533,597,567,699,628,716
21.41,22.01,44.86,337,293,533,597,567,699,628,716
21.51,22.01,44.86,337,293,533,597,567,699,627,716
21.61,22.03,44.86,338,293,533,597,567,698,628,716
21.7,22.03,44.86,337,294,534,597,567,699,628,716
21.81,22.03,44.86,338,293,533,597,567,699,627,716
21.91,22.03,44.86,338,293,533,598,567,698,628,716
21.99,22.03,44.86,338,293,533,598,567,699,628,717
22.09,22.03,44.86,337,293,533,598,567,699,627,716
22.21,22.03,44.86,338,293,533,598,567,699,628,716
22.3,22.03,44.86,338,293,534,598,567,699,628,716
22.4,22.03,44.86,338,294,533,599,567,698,627,716
22.5,22.03,44.86,340,293,534,598,567,699,627,716
22.6,22.03,44.86,338,293,533,599,567,699,627,716
22.69,22.02,44.89,340,293,534,599,567,698,627,716
22.81,22.02,44.89,337,293,534,599,567,699,628,716
22.91,22.02,44.89,337,293,534,599,567,699,628,716
23.01,22.02,44.89,338,294,533,599,567,699,627,716
23.09,22.02,44.89,338,293,534,600,567,699,628,716
23.19,22.02,44.89,338,293,534,599,567,699,627,717
23.31,22.02,44.89,337,293,533,599,567,699,628,716
23.4,22.02,44.89,337,293,534,600,567,699,627,716
23.5,22.02,44.89,338,294,534,600,567,699,628,716
23.59,22.02,44.89,338,293,535,600,567,699,627,716
23.69,22.01,44.83,338,293,533,600,567,699,628,716
23.81,22.01,44.83,339,294,534,600,567,699,627,716
23.91,22.01,44.83,338,294,534,600,567,699,627,716
24,22.01,44.83,338,293,534,600,567,699,628,716
24.1,22.01,44.83,338,293,533,601,567,699,628,716
24.19,22.01,44.83,339,293,534,601,567,698,628,716
24.3,22.01,44.83,338,293,534,602,567,699,628,717
24.4,22.01,44.83,338,293,533,601,567,699,628,716
24.5,22.01,44.83,338,293,534,602,567,699,628,716
24.61,22.01,44.83,338,294,534,601,567,698,628,716
24.71,22.01,44.86,339,293,534,602,567,699,627,716
24.8,22.01,44.86,338,294,534,602,567,699,627,716
24.9,22.01,44.86,338,293,534,602,568,699,627,716
25,22.01,44.86,339,293,534,602,568,699,628,716
25.1,22.01,44.86,338,293,534,602,567,699,628,716
25.2,22.01,44.86,338,293,534,603,567,698,628,716
25.3,22.01,44.86,338,293,534,603,568,699,628,717
25.41,22.01,44.86,338,293,534,603,568,699,627,716
25.49,22.01,44.86,338,293,535,603,567,699,628,716
25.6,22.01,44.86,338,293,534,603,567,699,628,716
25.7,22,44.86,339,293,534,603,567,699,627,716
25.8,22,44.86,339,293,534,604,567,699,628,717
25.9,22,44.86,338,294,534,603,567,699,628,717
26.01,22,44.86,338,293,534,604,567,699,627,716
26.11,22,44.86,338,293,535,604,567,699,628,716
26.19,22,44.86,338,293,534,604,567,699,627,716
26.3,22,44.86,338,294,534,605,567,699,627,716
26.4,22,44.86,338,294,534,604,567,699,628,716
26.5,22,44.86,338,293,534,605,567,699,628,717
26.59,22,44.86,339,293,534,605,567,699,627,716
26.71,22.01,44.86,338,294,535,605,567,699,627,716
26.81,22.01,44.86,338,294,535,605,567,699,628,716
26.91,22.01,44.86,338,293,534,605,568,699,628,716
27.01,22.01,44.86,339,293,534,605,568,699,627,717
27.09,22.01,44.86,339,293,534,605,567,699,627,716
27.21,22.01,44.86,338,294,534,606,568,699,628,716
27.31,22.01,44.86,339,293,534,606,568,698,628,716
27.41,22.01,44.86,338,293,534,606,568,698,627,716
27.51,22.01,44.86,339,294,534,606,567,699,627,716
27.59,22.01,44.86,338,294,534,606,568,699,627,716
27.71,22.02,44.89,339,293,535,606,567,699,627,716
27.81,22.02,44.89,339,293,534,607,567,698,627,716
27.91,22.02,44.89,339,293,535,607,568,699,627,716
28.01,22.02,44.89,338,293,534,607,567,699,628,717
28.11,22.02,44.89,338,293,534,607,567,698,627,716
28.21,22.02,44.89,340,293,534,607,567,699,628,716
28.31,22.02,44.89,338,293,535,607,567,699,628,716
28.41,22.02,44.89,339,293,534,608,567,698,627,716
28.51,22.02,44.89,338,294,535,608,568,699,628,716
28.6,22.02,44.89,339,294,534,608,568,699,627,716
28.7,22.02,44.89,340,293,534,608,568,699,628,716
28.8,22.01,44.89,338,293,535,608,568,699,627,716
28.9,22.01,44.89,338,293,535,608,567,698,627,716
29,22.01,44.89,339,294,535,608,568,698,627,716
29.1,22.01,44.89,339,293,534,608,567,699,627,716
29.2,22.01,44.89,339,294,534,609,568,699,627,716
29.3,22.01,44.89,338,293,535,609,568,699,628,716
29.4,22.01,44.89,339,294,534,609,567,698,627,716
29.5,22.01,44.89,339,293,534,609,568,699,628,717
29.6,22.01,44.89,338,294,534,609,567,699,627,716
29.7,22.01,44.89,339,293,534,609,567,699,627,716
29.8,22.01,44.83,340,294,535,610,568,699,628,716
29.9,22.01,44.83,338,293,534,610,568,699,627,716
30,22.01,44.83,339,294,534,610,567,699,627,716
30.1,22.01,44.83,339,293,535,610,567,699,628,716
30.2,22.01,44.83,339,294,535,611,568,699,627,716
30.3,22.01,44.83,339,294,534,610,568,698,627,716
30.4,22.01,44.83,338,293,534,611,567,699,627,716
30.5,22.01,44.83,341,293,535,610,568,699,627,716
30.6,22.01,44.83,338,293,535,611,568,699,627,716
30.71,22.01,44.83,339,294,535,611,568,699,628,716
30.81,22.01,44.89,338,293,534,611,568,699,627,717
30.89,22.01,44.89,339,293,535,611,567,699,627,716
31.01,22.01,44.89,339,293,535,611,567,699,628,716
31.11,22.01,44.89,339,294,534,611,567,699,627,716
31.21,22.01,44.89,339,293,535,612,567,699,627,717
31.31,22.01,44.89,338,294,534,611,568,699,627,717
31.41,22.01,44.89,340,293,534,612,568,699,628,716
31.49,22.01,44.89,339,293,535,612,567,699,627,716
31.6,22.01,44.89,338,294,534,612,568,699,627,716
31.7,22.01,44.89,338,293,534,612,567,699,627,717
31.8,22.01,44.83,341,293,534,612,567,699,627,717
31.9,22.01,44.83,339,293,534,612,568,699,628,716
32,22.01,44.83,340,294,535,612,568,699,628,716
32.1,22.01,44.83,339,293,534,612,568,699,628,716
32.2,22.01,44.83,339,294,535,613,568,698,628,716
32.3,22.01,44.83,339,293,534,612,568,699,627,716
32.4,22.01,44.83,339,293,534,613,568,699,627,717
32.5,22.01,44.83,339,293,534,613,567,699,628,716
32.6,22.01,44.83,339,293,535,613,568,699,628,716
32.7,22.01,44.83,339,293,534,613,568,698,627,716
32.8,22.02,44.83,339,293,534,614,567,699,628,717
32.91,22.02,44.83,339,294,535,614,568,698,628,717
33.01,22.02,44.83,338,294,534,614,568,699,627,716
33.11,22.02,44.83,338,293,535,614,568,699,627,716
33.19,22.02,44.83,338,293,534,614,568,699,628,716
33.31,22.02,44.83,338,293,535,614,568,699,628,717
33.41,22.02,44.83,339,294,534,614,567,699,628,716
33.5,22.02,44.83,339,293,535,614,568,699,628,717
33.6,22.02,44.83,339,293,534,615,568,699,627,716
33.71,22.02,44.83,339,294,534,614,568,699,628,716
33.81,22.01,44.83,339,293,534,614,568,699,627,717
33.91,22.01,44.83,338,294,535,614,568,698,627,717
34.01,22.01,44.83,338,293,534,615,568,699,628,716
34.11,22.01,44.83,339,293,535,615,568,698,628,716
34.21,22.01,44.83,338,293,534,615,568,699,628,716
34.31,22.01,44.83,339,293,535,615,568,699,628,716
34.41,22.01,44.83,339,293,534,615,568,698,628,716
34.51,22.01,44.83,338,293,534,615,568,699,628,716
34.61,22.01,44.83,340,293,535,615,568,698,628,716
34.71,22.01,44.83,341,293,535,615,567,699,628,716
34.81,22.01,44.83,338,293,534,615,568,699,627,716
34.9,22,44.82,338,293,534,615,567,699,628,717
35,22,44.82,341,294,534,616,568,699,628,717
35.1,22,44.82,339,294,534,616,568,699,628,716
35.2,22,44.82,339,293,534,616,568,699,627,716
35.29,22,44.82,338,294,534,616,568,698,628,717
35.41,22,44.82,338,294,534,616,567,699,627,717
35.49,22,44.82,338,293,535,616,568,698,628,716
35.6,22,44.82,338,294,535,616,568,699,628,716
35.7,22,44.82,339,294,534,616,568,699,628,717
35.8,22,44.82,339,293,534,617,568,699,627,716
35.9,22.01,44.83,339,294,534,616,568,699,628,716
36,22.01,44.83,340,294,534,617,567,699,628,716
36.1,22.01,44.83,339,293,535,617,568,699,628,716
36.2,22.01,44.83,339,293,534,617,568,699,628,717
36.3,22.01,44.83,339,293,534,617,568,699,628,717
36.4,22.01,44.83,338,293,535,617,568,699,628,717
36.5,22.01,44.83,338,294,534,617,567,699,628,717
36.61,22.01,44.83,339,294,534,617,568,699,627,717
36.71,22.01,44.83,339,294,534,617,568,699,628,717
36.8,22.01,44.83,338,294,534,617,568,699,628,717
36.9,22,44.86,339,294,535,617,568,699,627,717
37,22,44.86,340,294,534,618,568,699,627,717
37.1,22,44.86,339,293,534,618,568,698,628,716
37.2,22,44.86,339,293,534,617,568,699,628,717
37.3,22,44.86,338,293,535,618,567,699,628,717
37.4,22,44.86,338,294,534,617,568,699,628,717
37.5,22,44.86,338,293,534,618,568,699,628,716
37.6,22,44.86,339,294,534,618,568,699,628,716
37.7,22,44.86,338,294,535,618,568,699,628,716
37.8,22,44.86,338,294,535,618,568,699,628,717
37.9,22,44.86,338,293,535,618,568,699,628,716
38,22,44.86,339,294,534,618,568,699,628,717
38.1,22,44.86,340,294,534,618,568,699,628,717
38.2,22,44.86,338,294,534,618,568,699,628,717
38.3,22,44.86,339,293,534,619,568,699,628,716
38.41,22,44.86,338,294,535,618,568,699,628,717
38.5,22,44.86,338,293,534,618,568,699,628,716
38.6,22,44.86,338,293,534,619,568,698,628,717
38.7,22,44.86,339,294,534,619,568,698,628,717
38.8,22,44.86,339,293,534,619,568,699,627,717
38.9,22,44.83,338,293,534,619,568,699,628,717
39,22,44.83,338,294,535,619,568,699,628,717
39.1,22,44.83,339,294,535,619,568,699,628,716
39.21,22,44.83,338,293,534,619,568,699,628,717
39.3,22,44.83,338,293,534,619,568,699,628,717
39.41,22,44.83,338,293,535,619,568,699,628,717
39.49,22,44.83,339,294,534,619,568,699,628,717
39.6,22,44.83,340,294,534,619,568,699,628,717
39.7,22,44.83,339,294,534,619,568,699,628,717
39.8,22,44.83,338,294,535,620,568,699,628,717
39.9,22.01,44.86,339,294,534,619,568,699,628,717
40.01,22.01,44.86,338,294,534,620,568,698,628,717
40.11,22.01,44.86,339,293,534,620,568,699,628,717
40.2,22.01,44.86,338,294,534,619,568,699,628,717
40.3,22.01,44.86,339,294,534,620,568,699,629,717
40.41,22.01,44.86,338,294,534,620,568,698,629,717
40.5,22.01,44.86,339,294,534,620,568,699,629,717
40.6,22.01,44.86,341,294,534,620,568,699,628,717
40.7,22.01,44.86,338,293,534,620,568,699,629,717
40.8,22.01,44.86,338,293,534,620,568,699,628,717
40.91,22.01,44.86,338,293,534,620,568,699,628,717
40.99,22.01,44.83,338,294,535,620,568,699,628,717
41.11,22.01,44.83,338,293,534,620,568,699,628,717
41.21,22.01,44.83,338,294,535,620,568,699,628,717
41.31,22.01,44.83,338,293,534,620,568,699,628,717
41.4,22.01,44.83,338,295,535,621,568,699,628,717
41.5,22.01,44.83,338,293,534,621,568,699,628,717
41.61,22.01,44.83,338,293,534,621,568,699,628,717
41.71,22.01,44.83,339,294,534,621,568,699,629,717
41.81,22.01,44.83,338,294,534,621,568,699,628,717
41.91,22.01,44.83,338,294,535,621,568,699,628,717
42.01,22.01,44.86,339,294,534,621,569,699,628,717
42.09,22.01,44.86,340,294,534,621,568,698,628,716
42.21,22.01,44.86,338,293,535,621,568,699,628,717
42.3,22.01,44.86,339,294,534,621,568,699,628,717
42.4,22.01,44.86,340,293,535,621,568,699,628,716
42.5,22.01,44.86,338,293,534,621,568,699,628,716
42.6,22.01,44.86,338,293,534,621,568,699,628,717
42.7,22.01,44.86,339,294,534,622,568,699,628,717
42.8,22.01,44.86,338,293,534,622,568,699,628,717
42.9,22.01,44.86,338,294,534,621,568,699,628,717
43,22.01,44.86,339,293,534,621,568,699,628,717
43.1,22.01,44.86,339,293,534,622,568,699,628,716
43.2,22.01,44.86,338,293,534,622,568,699,628,716
43.3,22.01,44.86,338,293,534,622,568,699,628,717
43.4,22.01,44.86,339,294,534,622,568,699,628,717
43.5,22.01,44.86,338,294,534,622,568,699,628,717
43.6,22.01,44.86,340,294,535,623,568,699,627,717
43.71,22.01,44.86,339,293,535,622,568,699,628,716
43.81,22.01,44.86,339,294,534,622,568,699,628,716
43.91,22.01,44.86,339,294,534,622,568,699,627,717
44.01,22,44.83,338,294,534,623,568,699,628,717
44.1,22,44.83,340,294,534,623,568,699,628,716
44.2,22,44.83,338,294,534,622,568,699,627,717
44.3,22,44.83,338,294,534,623,568,699,627,716
44.4,22,44.83,339,294,534,623,568,699,628,716
44.5,22,44.83,338,294,534,623,568,699,628,716
44.6,22,44.83,339,294,534,623,568,699,627,716
44.7,22,44.83,338,293,534,623,568,699,628,717
44.8,22,44.83,339,293,534,623,568,698,628,717
44.9,22,44.83,338,294,534,623,568,699,628,716
44.99,22,44.83,338,294,534,623,568,699,627,716
45.11,22,44.83,341,294,533,623,568,699,628,717
45.2,22,44.83,340,294,533,623,568,699,627,716
45.3,22,44.83,338,294,534,623,568,699,628,716
45.41,22,44.83,340,293,533,623,568,699,628,717
45.5,22,44.83,338,293,534,623,568,699,627,716
45.61,22,44.83,338,294,534,624,568,699,627,716
45.7,22,44.83,338,294,534,624,568,698,627,716
45.8,22,44.83,339,294,534,624,568,699,627,716
45.9,22,44.83,339,294,534,624,568,699,628,716
46,22.01,44.86,339,293,534,624,567,699,627,716
46.1,22.01,44.86,341,294,534,624,568,699,628,717
46.21,22.01,44.86,339,293,534,624,568,698,627,716
46.31,22.01,44.86,339,294,533,624,568,699,628,716
46.41,22.01,44.86,339,293,533,624,568,699,627,716
46.51,22.01,44.86,339,293,534,624,568,699,628,717
46.61,22.01,44.86,338,293,534,624,568,699,627,716
46.7,22.01,44.86,339,294,533,624,568,698,627,716
46.8,22.01,44.86,339,294,534,623,568,699,627,716
46.91,22.01,44.86,339,293,534,624,568,699,627,716
47.01,22,44.89,339,293,533,624,568,699,628,716
47.11,22,44.89,341,294,534,624,567,699,628,716
47.21,22,44.89,339,294,534,624,568,699,627,716
47.31,22,44.89,339,294,534,624,568,699,627,716
47.41,22,44.89,338,294,533,624,567,699,627,716
47.49,22,44.89,339,293,534,624,568,698,627,716
47.6,22,44.89,338,294,534,624,568,699,628,716
47.7,22,44.89,338,294,533,624,568,699,627,716
47.8,22,44.89,338,293,533,624,568,699,628,716
47.9,22,44.89,339,293,533,624,568,698,627,716
47.99,22,44.89,338,293,534,625,568,699,627,716
48.11,22,44.83,339,293,533,625,568,699,627,716
48.2,22,44.83,339,293,533,624,568,698,627,716
48.3,22,44.83,339,294,533,625,568,698,627,716
48.4,22,44.83,338,293,533,625,568,699,628,716
48.5,22,44.83,338,293,534,625,567,698,627,716
48.6,22,44.83,339,293,534,625,568,698,627,716
48.71,22,44.83,339,293,533,625,567,698,627,716
48.8,22,44.83,339,293,534,625,568,699,628,716
48.91,22,44.83,340,294,533,625,568,698,627,716
49.01,22,44.83,339,294,533,625,568,698,627,716
49.09,22,44.86,338,293,533,625,568,699,627,716
49.19,22,44.86,341,293,533,626,568,698,628,716
49.31,22,44.86,338,293,534,625,568,699,628,716
49.41,22,44.86,338,293,534,625,568,699,628,716
49.51,22,44.86,339,293,533,625,568,699,627,716
49.61,22,44.86,338,293,533,625,568,698,627,716
49.71,22,44.86,339,293,534,625,568,698,627,716
49.81,22,44.86,339,294,534,626,567,698,627,716
49.91,22,44.86,339,294,534,625,568,698,627,716
50,22,44.86,338,293,533,625,568,699,628,716
50.11,22,44.83,338,293,533,625,567,699,627,716
50.21,22,44.83,340,294,534,626,568,698,628,716
50.31,22,44.83,338,294,533,626,568,699,627,716
