"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.29,43.1,340,294,540,599,581,715,641,732
3.1,21.29,43.1,339,294,541,600,581,715,641,732
3.2,21.29,43.1,340,294,540,599,581,715,641,732
3.29,21.29,43.1,340,294,540,599,582,715,641,732
3.39,21.29,43.1,342,294,541,600,581,715,642,732
3.49,21.29,43.1,341,294,541,600,581,715,641,732
3.6,21.29,43.1,339,294,540,599,581,715,641,732
3.69,21.29,43.1,339,294,541,599,581,715,641,732
3.8,21.29,43.1,340,295,541,599,581,715,641,732
3.89,21.28,43.13,341,294,540,599,581,715,641,732
4,21.28,43.13,340,294,541,600,582,715,641,732
4.09,21.28,43.13,340,295,541,599,582,715,641,732
4.19,21.28,43.13,339,294,540,599,581,715,641,732
4.31,21.28,43.13,340,294,541,600,581,715,641,732
4.39,21.28,43.13,339,294,541,600,581,715,642,732
4.49,21.28,43.13,340,294,541,599,581,715,641,732
4.6,21.28,43.13,341,295,540,599,581,715,641,732
4.7,21.28,43.13,340,294,540,599,581,715,641,732
4.79,21.28,43.13,339,294,541,600,582,715,641,732
4.89,21.28,43.1,341,295,540,599,581,715,642,732
5,21.28,43.1,339,294,540,599,581,715,642,732
5.1,21.28,43.1,340,294,540,600,581,715,641,732
5.2,21.28,43.1,339,294,540,599,581,715,642,732
5.31,21.28,43.1,340,294,541,599,581,715,641,732
5.4,21.28,43.1,340,294,541,600,581,715,641,732
5.5,21.28,43.1,339,294,540,600,581,715,641,732
5.6,21.28,43.1,339,294,540,599,581,715,641,732
5.71,21.28,43.1,339,294,540,599,581,715,641,732
5.79,21.28,43.1,341,294,540,599,581,715,642,733
5.89,21.28,43.13,339,295,540,599,581,714,641,732
5.99,21.28,43.13,340,294,541,599,581,715,642,732
6.1,21.28,43.13,341,295,540,599,581,715,641,732
6.13,21.28,43.13,339,294,541,599,581,715,641,732
6.13,21.28,43.13,339,294,541,599,581,715,641,732
6.66,21.28,43.13,340,294,541,599,581,715,641,732
6.66,21.28,43.13,340,294,541,599,581,715,641,732
6.66,21.28,43.13,340,294,541,599,581,715,641,732
6.71,21.28,43.13,340,295,541,599,581,715,642,732
