"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.33,41.29,336,285,531,576,594,731,654,748
3.1,22.33,41.29,336,285,531,576,594,732,654,748
3.21,22.32,41.29,338,285,531,576,593,731,654,748
3.31,22.32,41.29,337,285,531,576,593,732,653,748
3.41,22.32,41.29,336,285,531,576,593,732,654,748
3.51,22.32,41.29,336,285,532,576,594,732,653,748
3.6,22.32,41.29,337,285,532,576,594,732,653,748
3.7,22.32,41.29,336,285,532,576,593,731,653,748
3.76,22.32,41.29,339,285,531,577,593,731,654,748
3.76,22.32,41.29,339,285,531,577,593,731,654,748
3.76,22.32,41.29,339,285,531,577,593,731,654,748
4.26,22.3,41.32,336,285,532,576,593,731,654,748
4.26,22.3,41.32,336,285,532,576,593,731,654,748
4.3,22.3,41.32,337,285,532,576,594,731,654,748
4.4,22.3,41.32,337,286,532,576,594,731,654,748
4.5,22.3,41.32,339,285,532,576,594,732,654,749
4.6,22.3,41.32,336,285,532,576,594,732,654,748
4.7,22.3,41.32,337,286,531,576,594,732,653,748
4.81,22.3,41.32,339,285,532,576,593,732,654,749
4.9,22.3,41.32,336,285,532,576,594,731,653,748
5,22.3,41.32,336,285,532,576,594,731,654,749
5.11,22.3,41.32,339,285,532,576,594,731,654,749
5.2,22.3,41.32,339,285,532,576,594,731,654,749
5.31,22.3,41.29,336,285,532,576,593,732,654,748
5.4,22.3,41.29,337,286,532,576,594,731,654,749
5.5,22.3,41.29,337,286,532,576,594,732,653,748
5.6,22.3,41.29,337,285,532,576,593,732,654,748
5.71,22.3,41.29,337,285,532,577,594,732,654,748
5.81,22.3,41.29,337,285,532,576,594,731,654,748
5.9,22.3,41.29,337,285,532,576,594,732,654,749
6.01,22.3,41.29,337,285,532,576,594,732,654,749
6.1,22.3,41.29,337,286,532,576,594,732,653,748
6.2,22.3,41.29,339,285,532,576,594,732,654,749
6.3,22.31,41.29,337,285,532,576,594,732,653,748
6.41,22.31,41.29,336,285,532,576,594,732,654,749
6.5,22.31,41.29,336,285,532,576,593,732,653,749
6.6,22.31,41.29,337,286,532,576,593,731,654,748
6.64,22.31,41.29,336,285,533,576,594,732,654,748
6.64,22.31,41.29,336,285,533,576,594,732,654,748
7.14,22.31,41.29,338,285,533,576,594,732,654,748
7.14,22.31,41.29,338,285,533,576,594,732,654,748
7.14,22.31,41.29,338,285,533,576,594,732,654,748
7.2,22.31,41.29,337,285,532,576,594,731,654,749
7.31,22.31,41.29,337,285,532,576,594,732,654,748
7.4,22.31,41.29,336,285,532,576,594,732,654,749
7.49,22.31,41.29,339,285,531,576,594,732,654,748
7.61,22.31,41.29,336,286,532,575,595,732,655,749
7.7,22.31,41.29,337,286,533,576,594,732,654,749
7.8,22.31,41.29,337,285,532,576,595,731,655,748
7.9,22.31,41.29,337,285,532,576,594,732,654,749
8,22.31,41.29,337,286,532,576,594,732,655,749
8.1,22.31,41.29,339,285,532,576,594,732,654,749
8.2,22.31,41.29,337,285,532,576,594,732,654,749
8.31,22.32,41.29,337,285,532,576,594,732,654,749
8.41,22.32,41.29,337,285,532,576,594,732,655,749
8.51,22.32,41.29,337,285,532,576,594,732,655,749
8.61,22.32,41.29,337,285,532,576,594,732,655,749
8.7,22.32,41.29,337,286,533,576,594,732,654,749
8.8,22.32,41.29,337,285,532,576,594,732,654,749
8.9,22.32,41.29,337,285,532,576,595,732,655,749
9,22.32,41.29,337,286,532,576,595,732,655,749
9.09,22.32,41.29,337,286,534,576,594,732,654,750
9.2,22.32,41.29,337,286,532,576,595,732,654,749
9.31,22.3,41.35,337,286,532,576,594,732,654,750
9.39,22.3,41.35,337,285,533,576,595,732,655,749
9.49,22.3,41.35,337,285,533,576,594,732,655,749
9.61,22.3,41.35,337,286,533,577,594,732,655,749
9.71,22.3,41.35,337,285,533,576,595,732,655,750
9.8,22.3,41.35,337,286,532,576,595,732,655,750
9.9,22.3,41.35,339,286,533,577,595,732,655,750
10,22.3,41.35,338,286,532,576,595,732,655,750
10.11,22.3,41.35,337,285,533,577,594,732,655,750
10.2,22.3,41.35,338,285,533,576,595,732,655,750
10.3,22.3,41.35,337,286,532,577,595,732,655,749
10.4,22.3,41.35,337,285,533,576,595,732,655,750
10.5,22.3,41.35,338,285,532,576,595,733,655,750
10.6,22.3,41.35,337,285,532,576,595,732,655,749
10.71,22.3,41.35,337,285,532,576,595,732,655,750
10.8,22.3,41.35,337,285,533,577,595,732,656,750
10.9,22.3,41.35,337,286,533,577,595,733,655,750
11,22.3,41.35,337,286,533,577,595,732,655,750
11.1,22.3,41.35,337,286,532,576,595,732,656,750
11.2,22.3,41.35,340,286,533,577,595,733,655,750
11.3,22.3,41.35,338,286,533,577,595,732,656,750
11.41,22.32,41.32,337,286,532,577,595,732,655,751
11.51,22.32,41.32,338,285,533,577,595,733,655,751
11.6,22.32,41.32,337,285,532,577,595,732,655,750
11.7,22.32,41.32,338,285,533,577,595,733,656,751
11.8,22.32,41.32,339,286,532,577,596,732,656,751
11.91,22.32,41.32,338,286,533,577,596,733,656,751
12.01,22.32,41.32,337,286,533,577,596,732,656,750
12.09,22.32,41.32,337,285,533,577,595,733,656,751
12.2,22.32,41.32,337,286,533,577,596,732,656,751
12.29,22.32,41.32,337,286,533,577,595,733,656,751
12.41,22.31,41.28,337,285,533,576,595,733,656,750
12.51,22.31,41.28,339,286,533,577,596,733,656,751
12.59,22.31,41.28,337,286,533,577,596,733,656,751
12.7,22.31,41.28,340,286,533,577,595,733,656,751
12.8,22.31,41.28,337,286,533,577,596,733,656,751
12.91,22.31,41.28,337,286,533,578,596,733,657,751
13.01,22.31,41.28,339,286,534,577,595,734,656,751
13.11,22.31,41.28,337,285,533,578,596,733,657,751
13.2,22.31,41.28,338,286,534,577,596,733,656,751
13.31,22.31,41.28,338,286,533,578,596,733,656,751
13.39,22.31,41.35,337,287,534,578,596,733,656,752
13.5,22.31,41.35,337,286,533,577,596,733,656,751
13.6,22.31,41.35,339,286,534,578,596,734,657,752
13.69,22.31,41.35,337,286,533,578,596,733,657,751
13.8,22.31,41.35,337,286,533,577,596,733,657,752
13.9,22.31,41.35,340,286,533,578,596,734,657,752
13.99,22.31,41.35,339,286,533,578,596,733,656,751
14.11,22.31,41.35,338,286,533,578,596,734,657,751
14.19,22.31,41.35,338,286,534,578,596,733,657,752
14.29,22.31,41.35,337,286,534,578,596,734,657,751
14.39,22.31,41.35,338,287,533,578,596,733,657,752
14.5,22.31,41.35,337,286,533,578,597,734,657,752
14.61,22.31,41.35,340,286,534,578,596,733,657,752
14.7,22.31,41.35,338,286,533,578,596,734,657,752
14.8,22.31,41.35,337,286,534,578,596,734,657,752
14.91,22.31,41.35,338,285,533,578,597,734,658,752
15,22.31,41.35,338,285,534,579,597,734,657,752
15.11,22.31,41.35,338,286,533,578,596,734,658,752
15.19,22.31,41.35,338,286,533,578,596,734,657,752
15.31,22.31,41.35,337,286,533,578,596,734,658,753
15.39,22.32,41.29,338,285,533,579,596,734,658,752
15.51,22.32,41.29,339,285,534,578,596,733,658,752
15.61,22.32,41.29,339,286,534,578,596,735,658,753
15.69,22.32,41.29,338,286,534,579,597,734,658,752
15.8,22.32,41.29,338,286,534,579,597,734,657,753
15.9,22.32,41.29,338,286,534,579,596,734,657,753
15.99,22.32,41.29,338,287,533,579,597,735,658,753
16.1,22.32,41.29,338,286,534,579,597,735,658,753
16.2,22.32,41.29,338,286,535,579,597,734,657,753
