"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3.03,22.15,41.47,339,290,536,579,596,735,657,753
3.11,22.15,41.47,339,290,536,579,597,735,657,753
3.21,22.15,41.47,339,290,536,579,596,735,658,753
3.3,22.15,41.47,339,290,536,579,597,735,658,753
3.4,22.15,41.47,339,290,536,579,596,735,658,753
3.5,22.15,41.47,339,290,536,579,596,735,658,753
3.6,22.15,41.47,340,291,537,580,596,735,657,753
3.7,22.15,41.47,339,290,536,579,596,735,658,753
3.8,22.16,41.47,339,290,537,579,596,735,658,753
3.9,22.16,41.47,339,290,536,579,597,735,658,753
4,22.16,41.47,339,290,536,579,596,735,657,753
4.11,22.16,41.47,338,290,536,579,596,735,658,753
4.21,22.16,41.47,339,290,537,579,596,735,658,753
4.31,22.16,41.47,339,290,537,579,596,734,658,753
4.41,22.16,41.47,338,290,536,579,597,735,658,753
4.5,22.16,41.47,339,290,537,578,597,735,658,753
4.61,22.16,41.47,339,290,536,579,597,735,658,753
4.69,22.16,41.47,339,290,536,579,597,735,658,753
4.79,22.14,41.47,339,291,536,578,596,735,658,753
4.83,22.14,41.47,340,290,537,579,596,735,658,753
4.83,22.14,41.47,340,290,537,579,596,735,658,753
5.34,22.14,41.47,339,290,536,579,596,735,658,753
5.34,22.14,41.47,339,290,536,579,596,735,658,753
5.34,22.14,41.47,339,290,536,579,596,735,658,753
5.41,22.14,41.47,339,290,537,579,596,735,658,753
5.51,22.14,41.47,339,290,537,579,596,735,658,753
5.61,22.14,41.47,339,290,536,579,596,735,658,753
5.7,22.14,41.47,339,290,537,579,596,735,658,753
5.8,22.16,41.47,339,290,536,579,596,735,658,753
5.9,22.16,41.47,339,290,536,578,597,735,658,753
6,22.16,41.47,339,290,536,579,596,735,658,753
6.1,22.16,41.47,339,290,536,579,596,735,658,754
6.2,22.16,41.47,341,291,537,579,596,734,658,754
6.3,22.16,41.47,339,290,536,578,597,735,658,753
6.4,22.16,41.47,338,290,536,578,596,735,658,753
6.5,22.16,41.47,339,290,536,578,596,735,658,753
6.61,22.16,41.47,340,290,536,578,596,735,658,753
6.7,22.16,41.47,339,290,536,578,596,735,658,753
6.8,22.14,41.5,339,290,536,579,596,735,658,753
6.9,22.14,41.5,341,290,536,578,596,735,658,753
7,22.14,41.5,339,289,536,578,596,735,659,753
7.1,22.14,41.5,339,290,537,579,596,735,658,754
7.2,22.14,41.5,339,290,537,578,596,735,658,753
7.3,22.14,41.5,339,290,536,579,596,735,658,753
7.4,22.14,41.5,338,290,537,578,597,735,658,753
7.5,22.14,41.5,339,290,536,578,597,735,658,753
7.6,22.14,41.5,339,290,536,578,597,735,658,753
7.7,22.14,41.5,339,290,536,578,596,735,658,753
7.8,22.15,41.47,339,290,536,578,596,735,658,752
7.89,22.15,41.47,341,290,536,578,596,735,658,753
8,22.15,41.47,339,290,536,578,596,735,659,753
8.1,22.15,41.47,339,290,536,579,596,734,658,753
8.2,22.15,41.47,339,290,536,579,596,734,659,753
8.3,22.15,41.47,339,291,536,578,596,735,658,754
8.4,22.15,41.47,339,290,536,578,596,735,658,753
8.51,22.15,41.47,339,290,536,579,596,735,658,753
8.6,22.15,41.47,340,290,536,579,596,735,658,753
8.7,22.15,41.47,339,290,536,578,596,735,658,753
8.8,22.16,41.47,339,290,536,578,597,735,658,754
8.91,22.16,41.47,339,290,537,579,596,735,659,753
9.01,22.16,41.47,341,290,536,578,596,735,659,753
9.09,22.16,41.47,339,291,537,578,596,734,658,753
9.2,22.16,41.47,340,290,536,579,596,735,658,753
9.31,22.16,41.47,339,290,537,578,597,735,658,753
9.41,22.16,41.47,339,290,536,578,596,734,659,754
9.5,22.16,41.47,339,290,536,578,597,735,659,753
9.6,22.16,41.47,339,289,536,578,596,735,658,754
9.7,22.16,41.47,339,290,537,578,596,735,659,753
9.8,22.16,41.47,339,291,536,578,596,735,658,753
9.91,22.15,41.44,339,290,536,578,596,735,659,754
9.93,22.15,41.44,339,290,536,578,596,735,659,753
9.93,22.15,41.44,339,290,536,578,596,735,659,753
10.45,22.15,41.44,339,290,536,579,596,735,659,754
10.45,22.15,41.44,339,290,536,579,596,735,659,754
10.45,22.15,41.44,339,290,536,579,596,735,659,754
10.45,22.15,41.44,339,290,536,579,596,735,659,754
10.45,22.15,41.44,339,290,536,579,596,735,659,754
10.82,22.15,41.47,339,290,537,579,596,735,659,754
10.82,22.15,41.47,339,290,537,579,596,735,659,754
10.91,22.15,41.47,339,290,537,579,597,734,658,754
11.01,22.15,41.47,339,290,537,578,596,735,659,754
11.11,22.15,41.47,340,290,537,578,597,735,659,754
11.2,22.15,41.47,339,290,536,579,596,734,659,754
11.3,22.15,41.47,340,290,536,579,596,735,659,754
11.4,22.15,41.47,338,290,536,579,597,735,659,754
11.5,22.15,41.47,339,290,536,579,596,735,659,753
11.61,22.15,41.47,339,290,536,579,597,735,659,754
11.71,22.15,41.47,339,290,536,579,597,735,659,754
11.81,22.15,41.47,339,291,537,579,597,735,660,754
11.91,22.15,41.47,339,290,536,579,597,735,659,754
12.01,22.15,41.47,339,291,537,579,596,735,659,754
12.11,22.15,41.47,339,290,536,579,597,735,659,754
12.21,22.15,41.47,339,290,536,579,596,735,660,754
12.29,22.15,41.47,339,290,537,579,598,735,660,754
12.29,22.15,41.47,339,290,537,579,598,735,660,754
12.29,22.15,41.47,339,290,537,579,598,735,660,754
12.79,22.15,41.47,342,290,537,578,596,735,660,754
12.79,22.15,41.47,342,290,537,578,596,735,660,754
12.79,22.15,41.47,342,290,537,578,596,735,660,754
12.91,22.14,41.47,339,290,537,579,598,735,660,754
13,22.14,41.47,339,290,537,579,597,735,660,754
13.11,22.14,41.47,340,290,537,579,597,735,660,755
13.21,22.14,41.47,339,290,537,579,597,736,659,755
13.31,22.14,41.47,339,291,537,579,597,735,660,754
13.39,22.14,41.47,339,290,537,579,598,735,660,754
13.49,22.14,41.47,339,290,537,579,597,734,660,755
13.59,22.14,41.47,339,290,536,579,597,735,660,754
13.71,22.14,41.47,339,290,536,579,597,735,660,755
13.81,22.14,41.47,339,290,536,579,597,735,660,755
