"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.96,41.07,342,308,552,660,574,702,633,721
3.11,20.96,41.07,342,309,552,660,574,702,634,722
3.21,20.96,41.07,342,309,552,661,574,702,633,721
3.3,20.96,41.07,341,308,552,660,574,701,634,721
3.4,20.96,41.07,344,309,552,661,574,702,633,721
3.5,20.96,41.07,342,309,552,661,573,702,633,721
3.61,20.96,41.07,342,308,552,661,574,702,633,722
3.71,20.96,41.07,341,309,552,661,574,701,633,722
3.8,20.96,41.07,341,308,552,661,574,701,633,721
3.9,20.96,41.11,341,308,552,661,574,701,633,722
4,20.96,41.11,344,309,552,661,574,702,633,721
4.09,20.96,41.11,341,309,552,661,573,701,634,722
4.2,20.96,41.11,342,308,552,661,574,702,633,722
4.3,20.96,41.11,341,309,551,661,574,702,633,721
4.4,20.96,41.11,342,309,552,661,574,701,633,721
4.5,20.96,41.11,341,308,552,661,573,702,633,721
4.6,20.96,41.11,342,308,553,662,574,701,633,722
4.7,20.96,41.11,343,308,552,661,573,702,633,722
4.8,20.96,41.11,341,308,553,661,574,701,633,721
4.9,20.95,41.11,341,308,552,661,574,702,633,722
5,20.95,41.11,341,309,552,661,574,702,633,722
5.1,20.95,41.11,343,309,553,661,574,701,634,722
5.21,20.95,41.11,341,308,552,661,573,702,633,721
5.31,20.95,41.11,341,309,552,661,574,701,634,722
5.4,20.95,41.11,342,308,552,662,574,702,633,722
5.5,20.95,41.11,343,309,553,661,573,702,633,722
5.6,20.95,41.11,341,309,552,661,574,701,633,721
5.7,20.95,41.11,342,309,552,662,574,702,633,721
5.81,20.95,41.11,344,308,552,662,574,701,634,721
5.91,20.96,41.11,342,309,553,661,575,701,633,722
6.01,20.96,41.11,341,309,552,661,574,702,633,722
6.1,20.96,41.11,343,308,552,662,574,702,634,722
6.2,20.96,41.11,342,308,552,661,574,702,633,722
6.3,20.96,41.11,342,308,553,661,574,702,633,722
6.4,20.96,41.11,342,309,553,661,574,701,633,722
6.51,20.96,41.11,342,308,552,661,574,702,634,722
6.6,20.96,41.11,343,309,552,662,574,702,634,721
6.7,20.96,41.11,342,308,553,661,574,702,633,722
6.8,20.96,41.11,342,308,552,662,574,702,633,722
6.9,20.96,41.11,342,309,553,662,574,702,634,722
7,20.94,41.07,341,308,552,662,574,701,633,722
7.09,20.94,41.07,342,308,552,662,574,702,633,722
7.2,20.94,41.07,342,308,552,662,574,702,634,722
7.3,20.94,41.07,342,308,552,662,574,702,634,722
7.41,20.94,41.07,342,309,553,662,574,702,634,722
7.51,20.94,41.07,342,308,553,662,574,702,634,722
7.6,20.94,41.07,343,308,552,662,574,702,634,722
7.7,20.94,41.07,344,308,553,662,574,702,633,722
7.8,20.94,41.07,343,308,553,663,574,702,633,722
7.9,20.94,41.07,342,309,553,662,574,702,634,722
8,20.96,41.14,342,309,553,662,574,702,634,722
8.1,20.96,41.14,343,309,553,662,574,702,634,722
8.2,20.96,41.14,342,308,553,662,574,702,634,722
8.3,20.96,41.14,342,308,553,662,574,702,634,722
8.4,20.96,41.14,342,308,553,662,574,702,634,722
8.5,20.96,41.14,343,308,553,662,574,702,634,722
8.6,20.96,41.14,342,308,553,663,574,702,634,723
8.7,20.96,41.14,343,308,553,663,574,702,634,722
8.8,20.96,41.14,342,309,553,663,574,702,635,722
8.9,20.96,41.14,342,308,553,663,574,701,634,723
9,20.95,41.14,344,309,554,662,574,702,634,723
9.1,20.95,41.14,342,308,553,663,575,702,635,723
9.2,20.95,41.14,342,308,553,662,574,702,635,723
9.3,20.95,41.14,344,309,553,663,574,702,634,723
9.4,20.95,41.14,342,308,553,663,574,703,634,722
9.5,20.95,41.14,342,309,554,663,574,702,635,722
9.6,20.95,41.14,343,309,553,663,574,702,635,723
9.7,20.95,41.14,344,308,553,663,574,702,635,723
9.8,20.95,41.14,343,308,553,663,574,702,634,723
9.9,20.95,41.14,342,308,553,663,574,702,635,723
10,20.94,41.14,344,308,553,663,574,702,635,722
10.11,20.94,41.14,342,308,553,663,574,702,634,723
10.21,20.94,41.14,342,309,554,664,574,702,635,723
10.29,20.94,41.14,342,308,554,664,574,702,635,723
10.4,20.94,41.14,343,309,553,663,575,703,635,723
10.5,20.94,41.14,343,309,553,663,575,702,635,723
10.59,20.94,41.14,342,308,554,664,575,703,635,723
10.71,20.94,41.14,343,308,553,663,575,703,635,723
10.8,20.94,41.14,343,308,553,664,575,703,635,723
10.9,20.94,41.14,344,309,553,664,575,703,635,723
11,20.94,41.14,344,309,553,664,574,703,635,723
11.1,20.94,41.14,342,308,554,664,574,702,636,723
11.21,20.94,41.14,343,309,554,664,575,703,635,723
11.31,20.94,41.14,343,308,553,664,575,703,635,723
11.4,20.94,41.14,343,308,553,664,575,702,635,723
11.5,20.94,41.14,343,309,554,664,575,702,636,723
11.6,20.94,41.14,343,309,554,664,575,703,635,724
11.69,20.94,41.14,345,309,554,665,575,702,636,723
11.81,20.94,41.14,343,309,554,664,575,703,636,723
11.9,20.94,41.14,343,309,554,664,575,703,636,724
12,20.96,41.14,343,309,554,664,575,703,636,723
12.1,20.96,41.14,343,308,554,665,575,703,636,723
12.2,20.96,41.14,343,308,554,665,575,703,636,723
12.3,20.96,41.14,343,308,554,665,575,703,636,723
12.4,20.96,41.14,344,308,554,665,575,703,636,724
12.51,20.96,41.14,344,308,554,666,575,703,636,723
12.6,20.96,41.14,344,309,554,665,575,703,636,724
12.7,20.96,41.14,343,308,554,665,575,703,636,724
12.79,20.96,41.14,343,308,554,665,575,703,636,724
12.9,20.96,41.14,343,308,554,665,575,703,636,724
13.01,20.94,41.11,343,308,554,665,575,703,637,724
13.11,20.94,41.11,343,309,554,666,575,703,636,724
13.21,20.94,41.11,343,309,554,666,575,703,636,723
13.31,20.94,41.11,343,310,554,666,575,703,637,724
13.41,20.94,41.11,344,308,554,666,575,703,636,724
13.49,20.94,41.11,345,308,555,666,575,703,637,724
13.61,20.94,41.11,343,308,554,666,576,703,636,724
13.71,20.94,41.11,343,309,555,666,575,703,637,724
13.8,20.94,41.11,343,309,555,666,575,703,636,724
13.9,20.94,41.11,343,309,554,666,575,703,637,724
14.01,20.94,41.11,342,309,555,667,575,704,637,724
14.11,20.94,41.1,343,309,554,666,575,703,637,724
14.21,20.94,41.1,343,308,554,667,575,704,637,724
14.31,20.94,41.1,343,309,554,667,576,703,637,724
14.4,20.94,41.1,343,308,554,666,575,703,637,724
14.5,20.94,41.1,343,308,555,667,576,703,637,724
14.61,20.94,41.1,344,309,555,667,575,703,637,725
14.71,20.94,41.1,343,308,555,667,576,703,636,724
14.81,20.94,41.1,346,309,555,667,576,704,637,724
14.91,20.94,41.1,343,308,555,667,576,704,637,725
15,20.94,41.1,345,309,555,667,576,703,637,725
15.11,20.94,41.11,344,309,555,667,576,703,637,725
15.21,20.94,41.11,343,309,554,667,577,703,637,725
15.31,20.94,41.11,344,309,555,667,576,703,638,725
15.41,20.94,41.11,343,308,554,667,576,704,637,724
15.51,20.94,41.11,343,308,555,668,576,704,637,724
15.59,20.94,41.11,343,309,554,668,576,704,638,724
15.71,20.94,41.11,343,308,555,667,576,704,638,724
15.81,20.94,41.11,343,308,555,668,576,703,637,725
15.89,20.94,41.11,343,308,555,668,576,703,637,725
16.01,20.94,41.11,345,309,555,667,576,704,637,725
16.11,20.94,41.07,343,309,555,668,576,704,638,725
16.2,20.94,41.07,343,308,555,668,576,704,638,725
16.31,20.94,41.07,343,308,555,668,576,704,637,724
16.41,20.94,41.07,343,308,555,669,576,703,637,725
16.51,20.94,41.07,343,309,555,668,576,704,638,725
16.59,20.94,41.07,344,309,554,668,577,704,638,725
16.71,20.94,41.07,343,309,555,668,576,704,637,725
16.81,20.94,41.07,343,308,555,669,576,704,637,725
16.91,20.94,41.07,344,308,556,669,576,704,637,725
17,20.94,41.07,343,308,555,669,576,704,638,725
17.1,20.94,41.14,343,309,555,669,576,704,638,725
17.21,20.94,41.14,343,309,554,669,577,704,637,724
17.31,20.94,41.14,344,309,555,669,576,704,637,725
17.41,20.94,41.14,343,308,555,669,577,704,637,725
17.5,20.94,41.14,343,309,555,669,577,704,638,725
17.57,20.94,41.14,343,308,556,669,576,704,637,725
17.57,20.94,41.14,343,308,556,669,576,704,637,725
17.57,20.94,41.14,343,308,556,669,576,704,637,725
18.08,20.94,41.14,343,309,555,669,577,704,638,725
18.08,20.94,41.14,343,309,555,669,577,704,638,725
18.1,20.94,41.14,346,309,555,670,577,705,638,725
18.15,20.94,41.14,343,308,555,669,577,704,637,725
18.15,20.94,41.14,343,308,555,669,577,704,637,725
18.15,20.94,41.14,343,308,555,669,577,704,637,725
18.66,20.94,41.14,343,308,555,670,577,705,638,725
18.66,20.94,41.14,343,308,555,670,577,705,638,725
18.71,20.94,41.14,343,308,556,670,577,705,638,725
18.8,20.94,41.14,343,308,555,670,577,705,637,725
18.9,20.94,41.14,344,308,555,670,577,704,637,725
19.01,20.94,41.14,343,309,555,669,577,704,638,725
19.11,20.94,41.14,343,308,556,670,577,705,638,726
19.21,20.94,41.14,343,308,555,671,577,704,637,725
19.29,20.94,41.14,345,309,555,670,577,704,638,725
19.4,20.94,41.14,343,309,555,671,577,705,638,725
19.5,20.94,41.14,343,308,555,670,577,704,638,725
