"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.95,41.6,344,300,552,646,587,721,651,742
3.1,20.95,41.6,344,300,551,646,587,722,651,742
3.2,20.95,41.6,344,299,552,646,587,722,651,742
3.31,20.95,41.6,345,300,551,646,587,722,651,742
3.4,20.94,41.57,344,300,551,646,588,722,651,742
3.51,20.94,41.57,344,301,551,646,587,722,651,742
3.61,20.94,41.57,344,300,552,646,588,721,651,743
3.71,20.94,41.57,346,300,551,646,588,721,652,742
3.81,20.94,41.57,347,300,551,646,588,722,652,743
3.91,20.94,41.57,344,300,552,647,588,722,651,743
4.01,20.94,41.57,344,300,551,647,588,722,651,742
4.09,20.94,41.57,344,300,551,646,588,722,651,743
4.21,20.94,41.57,346,301,552,646,588,722,652,742
4.31,20.94,41.57,344,301,551,647,588,722,652,742
4.41,20.95,41.57,344,301,551,646,588,722,652,743
4.51,20.95,41.57,344,301,552,646,588,722,652,743
4.61,20.95,41.57,345,300,552,647,588,722,652,743
4.7,20.95,41.57,346,301,552,646,588,722,652,743
4.81,20.95,41.57,346,300,552,647,588,722,652,743
4.89,20.95,41.57,346,300,552,647,588,722,652,743
5.01,20.95,41.57,346,300,552,647,588,722,652,743
5.1,20.95,41.57,345,300,552,646,588,722,652,743
5.21,20.95,41.57,344,300,552,646,588,722,652,743
5.29,20.95,41.57,344,300,552,647,588,722,652,743
5.4,20.95,41.54,345,301,552,647,588,723,652,742
5.5,20.95,41.54,346,300,551,647,588,722,652,743
5.61,20.95,41.54,344,301,552,647,588,722,652,743
5.71,20.95,41.54,345,300,552,647,588,723,652,743
5.8,20.95,41.54,347,300,552,647,588,722,652,743
5.9,20.95,41.54,345,300,552,647,588,722,651,743
6.01,20.95,41.54,344,300,552,647,588,722,651,743
6.1,20.95,41.54,345,300,552,647,588,721,652,743
6.21,20.95,41.54,344,300,552,647,588,722,652,743
6.31,20.95,41.54,346,300,552,648,588,723,652,743
6.41,20.94,41.54,344,300,552,647,588,722,652,743
6.5,20.94,41.54,345,300,552,647,588,722,652,743
6.59,20.94,41.54,344,300,552,648,588,722,652,743
6.7,20.94,41.54,346,300,552,647,588,722,652,743
6.8,20.94,41.54,345,301,552,647,588,722,652,743
6.9,20.94,41.54,344,300,552,647,588,723,652,744
7,20.94,41.54,346,300,552,648,588,723,653,743
7.11,20.94,41.54,344,300,553,647,589,722,653,743
7.21,20.94,41.54,345,300,552,647,588,722,652,743
7.3,20.94,41.54,344,300,552,648,589,723,652,744
7.4,20.94,41.54,345,300,552,647,588,722,652,743
7.5,20.94,41.6,345,300,553,648,588,723,652,744
7.61,20.94,41.6,346,300,552,647,588,723,652,744
7.7,20.94,41.6,346,300,553,648,589,722,652,744
7.81,20.94,41.6,345,300,552,648,588,723,653,743
7.89,20.94,41.6,345,300,553,648,588,723,652,744
8,20.94,41.6,347,300,553,648,589,723,652,744
8.11,20.94,41.6,345,301,553,648,589,723,652,743
8.21,20.94,41.6,345,300,553,648,588,723,653,744
8.31,20.94,41.6,345,300,553,648,589,723,653,744
8.39,20.94,41.6,345,300,553,648,589,723,653,744
8.5,20.94,41.6,345,300,553,648,588,723,653,744
8.6,20.94,41.6,346,300,553,648,589,723,653,744
8.7,20.94,41.6,345,300,553,648,589,723,653,744
8.81,20.94,41.6,346,301,553,648,589,723,653,744
8.91,20.94,41.6,345,300,553,648,589,723,653,744
9,20.94,41.6,346,300,553,649,589,723,653,744
9.1,20.94,41.6,345,300,553,649,589,723,653,744
9.2,20.94,41.6,345,300,553,648,589,724,653,744
9.3,20.94,41.6,345,300,553,649,589,723,653,744
9.4,20.94,41.6,345,300,553,649,589,723,653,744
9.5,20.95,41.54,346,300,553,649,589,723,654,744
9.6,20.95,41.54,346,300,554,649,589,723,653,744
9.7,20.95,41.54,345,300,554,649,589,723,654,745
9.8,20.95,41.54,345,301,554,649,589,724,654,744
9.9,20.95,41.54,346,301,553,649,589,724,654,744
10.01,20.95,41.54,346,300,554,649,590,723,653,744
10.11,20.95,41.54,345,301,553,649,589,723,654,744
10.19,20.95,41.54,346,300,553,649,589,723,654,745
10.29,20.95,41.54,348,301,554,649,589,723,654,745
10.41,20.95,41.54,346,301,554,649,589,723,654,745
10.51,20.95,41.6,346,301,554,650,589,724,654,745
10.61,20.95,41.6,346,301,554,650,589,724,654,745
10.71,20.95,41.6,346,300,554,650,589,723,654,745
10.81,20.95,41.6,346,300,554,650,590,724,654,745
10.91,20.95,41.6,348,301,553,650,589,724,654,745
11,20.95,41.6,347,300,555,650,590,724,654,745
11.1,20.95,41.6,346,301,553,650,590,724,655,746
11.2,20.95,41.6,346,301,555,651,590,724,654,745
11.3,20.95,41.6,347,301,554,650,589,724,655,746
11.4,20.95,41.6,346,301,553,651,590,724,655,746
11.5,20.94,41.57,347,301,554,651,590,724,655,745
11.6,20.94,41.57,347,300,554,651,590,724,655,746
11.7,20.94,41.57,347,301,554,651,590,724,655,746
11.8,20.94,41.57,346,301,554,651,590,724,655,746
11.9,20.94,41.57,346,301,555,651,590,724,655,745
12,20.94,41.57,346,300,555,651,590,724,655,746
12.1,20.94,41.57,346,301,555,651,590,724,655,745
12.2,20.94,41.57,346,301,554,651,590,724,654,746
12.3,20.94,41.57,347,301,555,651,589,723,655,746
12.41,20.94,41.57,346,301,555,652,590,724,655,746
12.51,20.92,41.54,347,300,555,651,590,724,655,746
12.61,20.92,41.54,346,301,555,652,590,724,655,746
12.7,20.92,41.54,346,301,555,651,590,724,655,746
12.8,20.92,41.54,346,300,555,652,590,724,655,745
12.9,20.92,41.54,346,300,554,652,590,724,656,746
13,20.92,41.54,347,300,556,652,590,724,655,746
13.11,20.92,41.54,349,301,555,652,590,724,655,746
13.19,20.92,41.54,346,301,555,652,591,724,656,746
13.29,20.92,41.54,346,301,556,652,590,725,655,746
13.41,20.92,41.54,348,301,555,653,591,725,656,747
13.49,20.92,41.54,348,301,555,652,590,724,655,747
13.59,20.93,41.54,347,300,555,652,591,725,655,747
13.69,20.93,41.54,346,300,555,652,591,725,656,747
13.8,20.93,41.54,347,300,556,653,590,724,656,746
13.9,20.93,41.54,346,301,555,652,591,724,656,746
14,20.93,41.54,347,300,555,653,590,725,656,746
14.09,20.93,41.54,349,300,555,653,591,725,655,747
14.21,20.93,41.54,347,301,555,653,591,725,656,747
14.31,20.93,41.54,347,300,556,653,591,725,656,747
14.41,20.93,41.54,347,301,555,653,591,725,657,747
14.5,20.93,41.54,347,301,555,653,591,725,656,746
14.61,20.94,41.57,347,301,555,653,591,725,656,747
14.71,20.94,41.57,347,301,556,654,591,725,656,747
14.81,20.94,41.57,347,301,555,654,591,725,656,747
14.91,20.94,41.57,347,301,556,654,591,725,657,747
15.01,20.94,41.57,347,301,556,654,592,725,656,747
15.11,20.94,41.57,347,301,556,654,591,725,657,747
15.21,20.94,41.57,347,301,556,654,591,725,657,748
15.3,20.94,41.57,349,301,555,655,591,725,657,747
15.4,20.94,41.57,348,301,556,654,592,725,657,748
15.5,20.94,41.57,348,301,556,655,592,725,657,748
15.6,20.94,41.57,347,301,556,655,591,725,656,748
15.7,20.94,41.57,347,301,556,655,592,726,657,747
15.8,20.94,41.57,347,301,556,655,591,726,657,748
15.91,20.94,41.57,348,302,556,655,591,726,657,748
16.01,20.94,41.57,347,301,556,655,592,726,657,748
16.1,20.94,41.57,348,301,556,655,592,726,657,748
16.2,20.94,41.57,347,301,556,655,592,726,657,748
16.3,20.94,41.57,348,301,556,655,592,726,658,748
16.4,20.94,41.57,348,301,557,655,592,726,657,748
16.5,20.94,41.57,347,301,556,656,592,726,657,748
16.6,20.94,41.57,348,301,556,656,593,727,657,748
16.7,20.94,41.57,347,301,556,656,593,727,658,749
16.81,20.94,41.57,350,301,557,656,593,726,658,749
16.91,20.94,41.57,349,301,557,657,592,726,658,748
17.01,20.94,41.57,348,301,557,657,592,727,658,748
17.09,20.94,41.57,348,302,557,656,593,727,657,748
17.21,20.94,41.57,348,302,557,657,592,727,658,749
17.31,20.94,41.57,347,301,557,657,593,727,658,749
17.4,20.94,41.57,348,301,557,657,592,727,658,749
17.51,20.94,41.57,348,301,557,657,593,727,657,748
17.61,20.94,41.6,348,301,557,657,593,727,658,749
17.7,20.94,41.6,348,302,557,658,594,726,658,748
17.8,20.94,41.6,349,301,557,657,593,727,658,749
17.91,20.94,41.6,350,302,558,657,593,727,658,749
18,20.94,41.6,349,301,557,657,593,727,658,749
18.1,20.94,41.6,348,301,557,658,593,727,658,749
18.2,20.94,41.6,348,302,557,658,593,727,658,749
18.3,20.94,41.6,348,301,557,658,593,727,658,749
18.4,20.94,41.6,349,301,557,658,593,728,658,748
18.5,20.94,41.6,347,301,558,658,593,727,658,749
18.6,20.94,41.6,348,302,557,658,594,727,658,749
18.7,20.94,41.6,348,301,557,658,593,727,658,748
18.8,20.94,41.6,348,301,557,658,593,727,658,749
18.9,20.94,41.6,348,301,558,658,593,728,658,749
19,20.94,41.6,348,301,557,659,593,727,658,749
19.09,20.94,41.6,350,301,557,658,593,727,659,749
19.2,20.94,41.6,348,301,557,658,593,727,658,749
19.3,20.94,41.6,348,302,558,659,594,727,658,749
19.4,20.94,41.6,347,301,557,659,594,727,658,749
19.49,20.94,41.6,348,301,558,659,594,727,659,749
19.49,20.94,41.6,348,301,558,659,594,727,659,749
19.49,20.94,41.6,348,301,558,659,594,727,659,749
20,20.94,41.6,348,301,558,660,594,727,658,749
20,20.94,41.6,348,301,558,660,594,727,658,749
20,20.94,41.6,348,301,558,660,594,727,658,749
20.11,20.94,41.6,348,301,558,660,594,728,658,749
20.21,20.94,41.6,350,302,557,660,594,728,658,750
20.3,20.94,41.6,348,301,557,660,594,728,658,750
20.4,20.94,41.6,348,301,557,660,594,728,658,750
20.51,20.94,41.6,348,301,557,660,594,728,659,750
20.6,20.94,41.6,347,301,558,660,594,728,658,750
20.7,20.94,41.6,348,301,558,660,594,728,659,750
20.81,20.94,41.6,347,301,558,660,594,728,658,749
20.9,20.94,41.6,348,301,557,660,594,728,658,749
21,20.94,41.6,348,301,557,661,594,727,658,750
21.1,20.94,41.6,348,301,558,661,594,728,658,749
21.2,20.94,41.6,348,301,558,660,594,728,659,750
21.3,20.94,41.6,348,302,557,661,594,728,659,750
21.4,20.94,41.6,348,302,557,661,594,728,659,750
21.5,20.94,41.6,348,302,557,661,594,729,658,749
21.58,20.94,41.6,349,301,558,661,594,728,659,750
21.58,20.94,41.6,349,301,558,661,594,728,659,750
21.58,20.94,41.6,349,301,558,661,594,728,659,750
22.09,20.94,41.57,348,301,558,662,595,728,659,750
22.09,20.94,41.57,348,301,558,662,595,728,659,750
22.11,20.94,41.57,348,301,557,662,595,729,659,750
22.21,20.94,41.57,348,301,558,663,595,729,659,750
22.31,20.94,41.57,348,302,558,663,594,729,659,751
22.41,20.94,41.57,348,302,558,662,595,729,659,751
22.51,20.94,41.57,348,301,558,662,595,729,659,750
22.61,20.94,41.57,348,302,558,662,594,729,659,750
22.7,20.94,41.6,349,302,558,662,594,729,659,750
22.8,20.94,41.6,348,302,558,663,595,728,659,751
22.91,20.94,41.6,350,302,558,663,594,729,659,750
23,20.94,41.6,348,301,558,663,595,729,659,750
23.1,20.94,41.6,348,302,558,663,595,729,660,750
23.2,20.94,41.6,349,301,558,663,595,729,659,750
23.3,20.94,41.6,350,302,558,663,595,729,659,751
23.41,20.94,41.6,348,301,558,663,595,729,659,751
23.5,20.94,41.6,348,302,558,663,595,729,659,751
23.6,20.94,41.6,348,301,558,664,595,729,659,750
23.71,20.94,41.54,348,301,558,664,595,729,659,751
23.81,20.94,41.54,349,301,559,663,595,729,659,750
23.9,20.94,41.54,348,301,559,664,595,729,659,750
24,20.94,41.54,348,302,558,664,595,729,659,750
24.1,20.94,41.54,348,301,558,664,595,729,659,750
24.2,20.94,41.54,348,301,558,664,595,730,659,751
24.3,20.94,41.54,348,301,558,664,595,729,659,751
24.41,20.94,41.54,348,301,558,664,595,729,659,751
24.5,20.94,41.54,349,302,558,664,595,730,659,750
24.59,20.94,41.54,348,301,557,664,595,729,659,750
