"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.58,36.72,343,301,553,632,594,727,651,745
3.11,21.58,36.72,344,301,553,632,595,727,650,745
3.2,21.58,36.72,343,301,552,632,595,727,651,745
3.29,21.59,36.76,344,301,552,632,594,727,650,745
3.41,21.59,36.76,345,301,553,633,596,728,649,744
3.45,21.59,36.76,344,302,552,631,595,728,650,744
3.45,21.59,36.76,344,302,552,631,595,728,650,744
3.95,21.59,36.76,343,301,552,632,595,727,651,745
3.95,21.59,36.76,343,301,552,632,595,727,651,745
3.95,21.59,36.76,343,301,552,632,595,727,651,745
3.99,21.59,36.76,344,302,553,632,594,727,650,745
3.99,21.59,36.76,344,302,553,632,594,727,650,745
3.99,21.59,36.76,344,302,553,632,594,727,650,745
4.49,21.59,36.76,343,301,552,632,595,728,649,744
4.49,21.59,36.76,343,301,552,632,595,728,649,744
4.5,21.59,36.76,343,301,553,632,594,727,650,744
4.61,21.59,36.76,344,301,552,631,595,727,650,745
4.7,21.59,36.76,344,302,551,632,595,728,650,745
4.81,21.59,36.76,344,301,551,631,594,727,650,744
4.9,21.59,36.76,345,301,552,632,595,728,649,744
5,21.59,36.76,344,301,552,632,594,727,650,745
5.11,21.59,36.76,344,302,552,630,593,727,651,745
5.19,21.59,36.76,344,302,553,631,594,727,651,745
5.31,21.59,36.76,344,301,553,632,594,727,651,745
5.41,21.59,36.76,343,300,552,631,595,727,650,745
5.5,21.59,36.76,344,301,552,631,595,727,650,744
5.6,21.59,36.76,345,301,552,631,595,728,650,744
5.71,21.59,36.76,343,301,552,632,594,727,650,745
5.81,21.59,36.76,344,301,552,632,595,727,650,745
5.9,21.59,36.76,345,302,551,631,595,728,651,745
5.99,21.59,36.76,344,301,552,631,595,727,651,746
6.1,21.59,36.76,344,301,552,631,594,727,651,746
6.2,21.59,36.76,343,301,552,631,594,726,651,746
6.29,21.59,36.76,344,302,553,631,594,727,651,745
6.41,21.58,36.76,344,301,552,631,595,728,650,744
6.49,21.58,36.76,347,302,551,630,595,728,650,745
6.59,21.58,36.76,344,302,551,630,595,728,651,745
6.7,21.58,36.76,343,301,551,631,595,728,650,744
6.81,21.58,36.76,345,301,553,631,594,727,651,745
6.91,21.58,36.76,346,301,552,631,595,727,650,745
7.01,21.58,36.76,344,301,551,630,595,728,650,745
7.11,21.58,36.76,346,302,552,630,595,728,650,745
7.2,21.58,36.76,343,302,552,631,595,727,650,744
7.3,21.58,36.76,344,302,553,630,594,726,651,746
7.4,21.58,36.82,344,301,553,631,595,727,650,744
7.5,21.58,36.82,345,301,552,631,594,727,651,745
7.6,21.58,36.82,343,301,552,632,595,727,650,745
7.7,21.58,36.82,344,302,551,630,595,728,650,744
7.8,21.58,36.82,344,302,551,630,595,728,651,744
7.9,21.58,36.82,344,301,552,630,594,728,651,746
8,21.58,36.82,343,301,553,631,594,727,651,746
8.1,21.58,36.82,345,301,553,630,595,727,650,745
8.19,21.58,36.82,343,301,553,631,595,726,650,745
8.3,21.58,36.82,344,301,553,630,595,727,651,745
8.33,21.58,36.79,344,301,553,631,595,727,650,745
8.33,21.58,36.79,344,301,553,631,595,727,650,745
8.84,21.58,36.79,344,301,553,631,594,727,651,746
8.84,21.58,36.79,344,301,553,631,594,727,651,746
8.84,21.58,36.79,344,301,553,631,594,727,651,746
8.9,21.58,36.79,345,302,552,630,596,728,651,745
9,21.58,36.79,343,301,553,632,595,727,651,745
9.11,21.58,36.79,345,302,551,630,595,727,651,746
9.17,21.58,36.79,344,301,552,631,595,728,650,744
9.17,21.58,36.79,344,301,552,631,595,728,650,744
9.17,21.58,36.79,344,301,552,631,595,728,650,744
9.68,21.58,36.76,344,302,552,631,595,727,651,745
9.68,21.58,36.76,344,302,552,631,595,727,651,745
9.7,21.58,36.76,344,301,553,631,595,727,651,746
9.8,21.58,36.76,344,301,552,630,595,727,652,746
9.89,21.58,36.76,344,302,552,630,595,728,651,746
9.99,21.58,36.76,344,303,553,631,595,727,652,747
10.09,21.58,36.76,346,302,552,629,595,728,652,746
10.2,21.58,36.76,348,302,553,630,595,727,653,746
10.3,21.58,36.76,344,301,553,631,596,727,651,745
10.4,21.58,36.79,345,302,552,630,596,728,651,745
10.51,21.58,36.79,345,302,553,630,595,727,652,746
10.61,21.58,36.79,344,301,552,630,595,728,652,746
10.7,21.58,36.79,345,302,552,630,596,728,652,746
10.8,21.58,36.79,344,301,553,632,596,727,651,746
10.91,21.58,36.79,344,301,553,631,595,727,653,747
11.01,21.58,36.79,344,302,553,630,595,727,652,747
11.09,21.58,36.79,344,302,553,631,595,728,652,747
11.2,21.58,36.79,345,303,552,629,596,728,652,746
11.3,21.58,36.79,347,303,553,629,595,727,653,747
