"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.48,39.93,350,297,553,628,609,747,671,767
3.11,21.48,39.93,348,295,553,630,611,749,669,766
3.21,21.48,39.93,349,296,552,627,611,750,670,765
3.31,21.48,39.93,348,295,553,630,610,748,669,765
3.41,21.48,39.93,348,296,554,630,610,748,669,766
3.51,21.48,39.93,351,295,554,630,610,748,669,765
3.6,21.48,39.93,351,297,554,628,609,747,671,768
3.71,21.48,39.93,350,296,553,628,611,749,669,765
3.81,21.48,39.93,350,296,553,629,610,749,669,765
3.91,21.48,39.93,349,296,553,630,610,749,670,765
4.01,21.48,39.93,348,296,554,629,610,748,670,766
4.11,21.48,39.93,350,296,552,627,609,749,671,767
4.21,21.48,39.93,350,297,553,627,608,748,672,767
4.31,21.48,39.93,350,297,553,628,608,747,672,767
4.39,21.48,39.93,350,296,553,629,611,749,669,765
4.49,21.48,39.93,352,296,553,628,609,748,672,767
4.59,21.48,39.93,350,297,553,628,609,747,672,768
4.71,21.48,39.93,351,297,554,629,611,749,669,765
4.81,21.49,39.99,349,296,553,629,610,748,670,766
4.91,21.49,39.99,350,296,554,630,610,748,670,766
5.01,21.49,39.99,349,296,553,629,611,749,669,765
5.11,21.49,39.99,348,296,553,629,611,748,669,765
5.21,21.49,39.99,348,296,554,630,610,749,669,765
5.31,21.49,39.99,348,296,553,630,611,749,669,765
5.41,21.49,39.99,350,296,553,629,611,748,669,765
5.51,21.49,39.99,351,297,552,627,611,750,671,766
5.61,21.49,39.99,350,297,553,627,610,749,671,767
5.71,21.49,39.99,351,297,553,628,609,747,671,768
5.81,21.49,39.92,350,297,553,628,609,747,671,767
5.91,21.49,39.92,351,296,551,627,611,749,671,766
6,21.49,39.92,348,295,554,629,611,749,670,765
6.11,21.49,39.92,348,295,552,628,610,749,669,765
6.21,21.49,39.92,349,296,553,629,610,749,670,765
6.31,21.49,39.92,349,296,553,629,611,749,670,765
6.39,21.49,39.92,348,296,553,628,611,749,670,765
6.51,21.49,39.92,349,296,552,629,611,749,669,765
6.59,21.49,39.92,349,296,552,627,612,750,670,766
6.71,21.49,39.92,349,296,552,628,611,749,670,765
6.81,21.49,39.92,350,296,553,629,610,749,670,766
6.91,21.48,39.93,348,295,554,629,610,748,670,766
7.01,21.48,39.93,349,296,552,627,611,749,670,766
7.11,21.48,39.93,350,297,553,628,609,747,672,768
7.19,21.48,39.93,349,296,553,629,610,749,670,766
7.31,21.48,39.93,349,297,553,628,609,747,672,768
7.4,21.48,39.93,348,296,553,629,610,749,669,766
7.51,21.48,39.93,348,297,553,628,611,749,670,765
7.61,21.48,39.93,349,296,552,627,611,749,670,766
7.71,21.48,39.93,348,295,554,629,611,748,670,766
7.79,21.48,39.93,350,295,553,629,611,749,670,765
7.91,21.48,39.93,349,296,551,627,611,750,671,766
8.01,21.48,39.93,350,295,553,629,610,749,670,766
8.11,21.48,39.93,351,295,553,629,610,748,670,766
8.21,21.48,39.93,348,295,554,629,610,748,671,766
8.3,21.48,39.93,350,297,553,627,609,747,672,767
8.41,21.48,39.93,350,296,552,627,611,750,670,766
8.49,21.48,39.93,348,295,554,630,611,748,670,766
8.61,21.48,39.93,350,297,553,628,608,747,672,768
8.71,21.48,39.93,351,297,553,628,609,747,672,768
8.81,21.48,39.93,349,297,552,627,609,747,672,768
8.91,21.48,39.93,350,296,553,627,609,747,672,768
9.01,21.48,39.93,350,296,553,628,611,749,670,766
9.11,21.48,39.93,350,296,552,627,612,749,671,766
9.21,21.48,39.93,348,296,552,628,611,749,671,766
9.29,21.48,39.93,349,295,552,628,611,750,670,765
9.4,21.48,39.93,351,296,552,628,611,750,671,765
9.5,21.48,39.93,349,295,553,629,611,748,671,766
9.6,21.48,39.93,349,296,553,629,611,749,671,766
9.69,21.48,39.93,352,296,553,628,609,747,672,768
9.79,21.48,39.93,349,296,552,628,611,749,671,766
9.89,21.5,39.96,348,295,552,629,611,750,671,766
10.01,21.5,39.96,349,296,552,627,611,749,671,766
10.09,21.5,39.96,349,296,553,628,611,750,671,766
10.19,21.5,39.96,348,296,554,629,611,749,671,766
10.29,21.5,39.96,351,296,553,629,611,749,670,766
10.39,21.5,39.96,351,296,552,627,612,751,671,767
10.51,21.5,39.96,349,296,551,627,612,750,672,766
10.6,21.5,39.96,350,296,554,629,611,749,671,766
10.69,21.5,39.96,349,296,553,630,611,749,671,767
10.79,21.5,39.96,350,295,553,629,611,749,670,766
10.89,21.48,39.96,350,297,553,628,609,747,673,769
10.99,21.48,39.96,351,297,554,629,609,747,673,769
11.11,21.48,39.96,349,296,552,628,612,750,671,766
11.19,21.48,39.96,350,297,553,629,610,747,673,769
11.29,21.48,39.96,350,297,552,627,612,751,672,767
11.41,21.48,39.96,351,296,552,628,612,750,672,766
11.49,21.48,39.96,350,295,552,628,612,751,672,767
