"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.46,41.13,349,293,548,609,604,741,662,757
3.11,21.46,41.13,347,294,548,609,604,742,662,758
3.21,21.46,41.13,347,294,549,608,604,742,662,758
3.31,21.46,41.13,347,293,548,609,604,742,663,758
3.4,21.46,41.13,347,293,549,609,604,742,662,758
3.5,21.46,41.13,347,294,548,608,604,742,662,757
3.6,21.46,41.13,348,294,549,608,604,742,662,758
3.7,21.46,41.13,347,293,548,608,605,742,662,757
3.8,21.46,41.13,349,294,549,608,605,742,662,757
3.9,21.46,41.13,347,294,548,608,604,741,663,758
4,21.46,41.13,347,293,549,608,604,742,663,758
4.1,21.46,41.13,347,293,548,608,604,742,663,758
4.2,21.46,41.13,347,294,549,609,604,742,663,757
4.3,21.46,41.13,347,294,549,609,604,742,662,757
4.4,21.46,41.13,347,294,549,608,604,742,662,758
4.5,21.46,41.13,347,294,549,609,604,741,663,758
4.6,21.46,41.13,347,293,549,609,605,742,663,758
4.7,21.46,41.13,347,293,548,609,604,741,663,758
4.8,21.47,41.13,347,293,548,608,604,741,662,758
4.9,21.47,41.13,347,294,549,609,604,742,663,758
5.01,21.47,41.13,347,293,549,609,604,741,663,758
5.11,21.47,41.13,347,293,549,608,604,741,662,758
5.2,21.47,41.13,347,294,549,609,604,741,663,757
5.3,21.47,41.13,346,294,549,608,604,742,663,758
5.41,21.47,41.13,347,294,549,609,604,742,663,758
5.51,21.47,41.13,347,293,549,609,604,742,662,758
5.61,21.47,41.13,347,293,548,608,604,741,663,757
5.7,21.47,41.13,348,294,548,608,604,742,663,758
5.81,21.46,41.16,347,294,549,608,605,742,663,758
5.91,21.46,41.16,347,293,549,608,604,742,662,758
6,21.46,41.16,348,293,549,609,604,742,663,758
6.1,21.46,41.16,347,293,550,609,604,741,662,757
6.2,21.46,41.16,347,294,549,609,604,742,662,758
6.3,21.46,41.16,347,293,549,609,604,741,663,758
6.4,21.46,41.16,348,294,549,609,604,741,663,758
6.5,21.46,41.16,348,293,548,609,605,741,663,758
6.6,21.46,41.16,347,294,549,609,605,742,663,758
6.7,21.46,41.16,347,293,549,609,604,742,663,758
6.8,21.46,41.16,348,294,549,609,604,742,663,758
6.9,21.45,41.13,348,293,549,609,605,742,663,758
7,21.45,41.13,347,293,549,609,605,741,663,758
7.1,21.45,41.13,348,293,550,609,604,742,663,758
7.2,21.45,41.13,347,293,550,609,604,741,663,758
7.3,21.45,41.13,347,294,549,609,604,742,663,758
7.4,21.45,41.13,347,294,549,609,605,742,663,758
7.5,21.45,41.13,347,293,549,609,604,741,664,759
7.6,21.45,41.13,347,293,549,609,605,741,663,758
7.7,21.45,41.13,347,293,549,609,605,741,663,758
7.8,21.45,41.13,347,293,549,609,605,741,663,759
7.9,21.47,41.13,347,294,548,609,604,741,663,758
8.01,21.47,41.13,347,293,549,609,604,742,663,758
8.11,21.47,41.13,349,293,549,609,604,741,663,759
8.19,21.47,41.13,347,293,549,609,604,741,663,759
8.3,21.47,41.13,347,293,549,609,604,742,663,758
8.4,21.47,41.13,347,293,549,609,605,742,663,758
8.5,21.47,41.13,347,293,549,609,604,741,663,759
8.6,21.47,41.13,347,294,548,609,604,742,663,759
8.7,21.47,41.13,347,294,549,609,604,741,663,758
8.8,21.47,41.13,347,293,548,609,605,741,663,758
8.9,21.45,41.16,347,293,549,609,604,741,663,759
9.01,21.45,41.16,349,293,549,609,604,741,663,759
9.1,21.45,41.16,349,293,549,609,604,742,663,759
