"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.26,39.13,319,290,517,593,544,669,598,687
3.1,20.26,39.13,319,289,518,593,544,669,598,687
3.2,20.26,39.13,319,289,518,593,545,669,599,687
3.31,20.26,39.13,319,289,519,593,544,669,599,687
3.39,20.26,39.13,318,289,518,593,544,669,598,687
3.5,20.26,39.13,320,289,518,593,544,669,599,687
3.6,20.26,39.13,318,289,518,592,545,668,599,686
3.71,20.26,39.13,319,290,518,592,544,669,599,686
3.8,20.26,39.13,319,289,518,593,544,669,598,687
3.9,20.26,39.13,318,289,518,593,545,668,599,687
4,20.26,39.13,319,290,518,592,545,669,599,687
4.1,20.26,39.13,319,289,518,593,544,669,598,687
4.2,20.26,39.13,319,289,518,593,544,669,599,687
4.3,20.26,39.13,319,289,518,593,544,669,599,686
4.4,20.26,39.13,319,289,518,593,544,669,599,687
4.5,20.24,39.13,321,289,517,593,545,669,598,686
4.6,20.24,39.13,318,290,517,593,544,669,598,686
4.7,20.24,39.13,319,289,518,593,544,669,598,686
4.8,20.24,39.13,319,290,519,593,544,669,598,686
4.89,20.24,39.13,321,289,518,592,544,669,599,686
5,20.24,39.13,319,289,518,593,544,668,598,686
5.1,20.24,39.13,319,290,519,593,544,668,599,686
5.2,20.24,39.13,319,289,518,593,544,668,599,687
5.3,20.24,39.13,319,289,518,593,544,669,599,687
5.4,20.24,39.13,321,289,518,593,544,669,599,686
5.5,20.26,39.13,319,289,518,593,544,668,599,687
5.6,20.26,39.13,320,289,518,593,544,669,599,687
5.71,20.26,39.13,319,289,518,593,545,669,599,687
5.8,20.26,39.13,321,289,518,593,544,669,599,686
5.9,20.26,39.13,320,290,518,593,544,669,599,687
6,20.26,39.13,320,289,518,593,544,669,599,687
6.1,20.26,39.13,319,289,518,594,544,669,599,687
6.2,20.26,39.13,319,289,519,593,544,669,598,687
6.3,20.26,39.13,319,289,518,594,544,669,599,687
6.4,20.26,39.13,319,289,518,593,544,669,599,687
6.5,20.26,39.13,319,290,518,593,544,669,599,687
6.6,20.26,39.19,319,289,518,593,544,669,599,687
6.7,20.26,39.19,319,289,518,593,544,669,599,687
6.8,20.26,39.19,319,289,517,594,544,669,599,687
