"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.34,38.56,314,281,510,575,539,663,594,683
3.1,20.34,38.56,314,281,509,575,539,664,595,683
3.2,20.34,38.56,314,281,509,576,539,663,595,683
3.3,20.34,38.56,314,281,510,575,539,662,593,681
3.4,20.34,38.56,315,281,509,575,538,663,593,682
3.51,20.34,38.56,314,281,509,575,539,663,595,683
3.53,20.34,38.56,315,281,510,575,539,662,594,682
3.53,20.34,38.56,315,281,510,575,539,662,594,682
4.04,20.32,38.56,315,281,510,575,539,662,594,682
4.04,20.32,38.56,315,281,510,575,539,662,594,682
4.04,20.32,38.56,315,281,510,575,539,662,594,682
4.1,20.32,38.56,315,281,509,575,538,663,593,681
4.2,20.32,38.56,314,281,510,575,538,663,594,682
4.3,20.32,38.56,315,281,509,575,538,663,593,681
4.4,20.32,38.56,315,281,509,575,538,663,594,682
4.49,20.32,38.56,315,281,509,575,539,663,594,682
4.59,20.32,38.56,314,281,510,575,538,663,594,682
4.71,20.32,38.56,314,281,510,575,538,663,594,682
4.81,20.32,38.56,314,281,510,575,539,663,594,682
4.9,20.32,38.56,314,282,509,575,538,663,594,682
5,20.33,38.6,315,281,510,575,539,663,594,682
5.11,20.33,38.6,315,281,510,575,538,663,594,682
5.19,20.33,38.6,317,282,509,575,538,663,594,682
5.29,20.33,38.6,314,281,510,576,539,663,595,682
5.41,20.33,38.6,314,281,510,575,538,663,594,682
5.49,20.33,38.6,314,281,509,575,538,663,594,683
5.6,20.33,38.6,314,281,510,576,538,663,595,683
5.7,20.33,38.6,315,282,510,575,539,663,595,682
5.8,20.33,38.6,314,281,511,575,539,664,595,683
5.9,20.33,38.6,314,281,510,576,539,664,595,684
5.99,20.33,38.6,314,281,510,576,539,664,596,683
6.11,20.33,38.56,317,281,509,575,538,663,594,682
6.19,20.33,38.56,314,281,510,576,538,663,594,682
6.3,20.33,38.56,315,281,510,575,538,663,595,683
6.4,20.33,38.56,314,281,510,575,539,663,595,683
6.5,20.33,38.56,315,281,510,575,538,663,595,682
6.61,20.33,38.56,314,281,509,576,539,663,595,683
6.7,20.33,38.56,315,281,510,576,539,663,596,684
6.8,20.33,38.56,315,281,510,575,539,663,595,683
6.8,20.33,38.56,315,281,510,575,539,663,595,683
6.8,20.33,38.56,315,281,510,575,539,663,595,683
7.3,20.33,38.6,315,281,510,575,539,663,595,683
7.3,20.33,38.6,315,281,510,575,539,663,595,683
7.3,20.33,38.6,315,281,510,575,539,663,595,683
7.41,20.33,38.6,314,281,510,576,538,663,595,682
7.49,20.33,38.6,315,281,510,576,539,664,596,684
7.6,20.33,38.6,315,281,510,576,539,663,595,683
