"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,20.45,38,310,285,507,583,528,649,581,667
3.11,20.45,38,310,285,507,584,528,649,581,667
3.21,20.45,38,310,285,507,583,528,649,581,667
3.29,20.45,38,310,286,507,584,529,649,581,667
3.4,20.45,38,311,286,507,584,529,649,582,668
3.5,20.45,38,312,286,506,583,528,649,581,666
3.6,20.45,38,312,286,507,584,529,649,581,667
3.7,20.45,38,310,286,507,583,529,649,581,667
3.8,20.45,38,310,285,506,583,528,649,581,667
3.9,20.45,38,310,286,506,583,528,649,581,667
4,20.45,38.07,311,285,507,583,528,649,582,667
4.1,20.45,38.07,310,285,506,584,529,650,581,667
4.2,20.45,38.07,310,285,506,583,528,649,581,667
4.3,20.45,38.07,310,285,506,583,528,649,581,667
4.4,20.45,38.07,310,285,506,583,529,649,582,667
4.5,20.45,38.07,310,286,507,584,529,650,582,668
4.6,20.45,38.07,310,286,508,584,529,650,582,668
4.7,20.45,38.07,313,285,507,584,529,651,583,668
4.8,20.45,38.07,310,285,507,584,529,650,583,668
4.9,20.45,38.07,310,285,507,583,528,649,581,667
5,20.45,38.04,311,285,506,583,528,649,581,667
5.1,20.45,38.04,310,285,507,584,529,649,582,668
5.2,20.45,38.04,310,286,506,583,529,649,581,668
5.3,20.45,38.04,310,286,507,584,528,649,582,667
5.4,20.45,38.04,310,285,507,584,529,649,582,667
5.5,20.45,38.04,311,285,507,584,528,649,582,668
5.6,20.45,38.04,311,285,508,584,529,649,581,668
5.7,20.45,38.04,311,285,507,583,529,649,582,668
5.8,20.45,38.04,311,285,507,583,528,649,582,668
5.9,20.45,38.04,311,285,507,583,528,649,582,668
6,20.45,38.04,310,285,508,584,529,650,583,668
6.1,20.44,38,310,285,507,584,530,650,583,669
6.2,20.44,38,311,285,507,584,529,650,583,669
6.3,20.44,38,312,286,508,584,530,650,583,668
6.4,20.44,38,310,285,507,584,529,649,582,668
6.5,20.44,38,312,285,508,584,529,649,582,668
6.6,20.44,38,310,285,507,583,529,649,583,668
6.7,20.44,38,310,285,507,584,529,649,582,668
6.8,20.44,38,311,285,507,584,529,650,582,668
6.91,20.44,38,311,285,507,584,529,650,583,669
7.01,20.44,38,311,285,507,584,529,650,583,668
7.09,20.46,38.07,311,285,508,584,530,650,583,669
7.21,20.46,38.07,310,285,507,584,529,649,583,668
7.3,20.46,38.07,311,285,507,584,529,649,583,668
7.4,20.46,38.07,311,285,507,584,529,650,582,669
7.5,20.46,38.07,311,285,508,584,529,650,583,669
7.6,20.46,38.07,311,285,507,584,530,651,583,670
7.7,20.46,38.07,312,286,508,584,530,651,584,670
7.8,20.46,38.07,311,285,507,584,530,650,583,670
7.9,20.46,38.07,310,285,507,584,530,650,584,669
8,20.46,38.07,311,285,507,584,529,650,583,668
8.1,20.46,38.07,311,285,507,584,529,650,582,668
8.2,20.46,38.07,311,285,507,584,529,650,582,669
8.3,20.46,38.07,311,286,507,584,529,649,583,669
8.4,20.46,38.07,311,285,507,584,529,650,583,669
8.5,20.46,38.07,310,285,508,585,529,650,583,668
8.6,20.46,38.07,311,285,507,584,529,650,583,669
8.7,20.46,38.07,311,285,508,584,530,650,583,670
8.8,20.46,38.07,311,285,507,584,530,651,583,669
8.9,20.46,38.07,311,285,508,585,530,650,583,669
9,20.46,38.07,314,286,508,585,530,651,584,670
9.1,20.46,38.04,311,285,508,585,530,651,585,670
9.2,20.46,38.04,311,285,508,585,530,651,585,671
9.3,20.46,38.04,312,286,508,585,530,651,584,671
9.4,20.46,38.04,311,285,507,584,530,651,584,669
9.5,20.46,38.04,311,285,508,585,530,650,583,670
9.61,20.46,38.04,311,285,508,585,530,651,585,671
9.71,20.46,38.04,312,286,508,586,531,651,584,671
9.8,20.46,38.04,311,285,508,585,530,650,584,670
9.91,20.46,38.04,311,286,508,585,531,651,584,671
10.01,20.46,38.04,311,285,507,585,530,651,584,670
10.11,20.45,38.07,311,285,508,585,530,651,584,670
10.21,20.45,38.07,311,285,508,585,530,651,584,670
10.3,20.45,38.07,311,286,509,585,530,651,584,670
10.4,20.45,38.07,311,285,508,585,530,650,584,670
10.5,20.45,38.07,311,285,508,586,531,651,585,672
10.6,20.45,38.07,311,285,508,586,531,652,585,671
10.7,20.45,38.07,311,285,508,586,531,652,585,671
10.8,20.45,38.07,311,285,507,586,531,651,585,672
10.9,20.45,38.07,311,285,508,586,530,651,584,670
11,20.45,38.07,311,286,508,586,531,651,585,671
11.1,20.44,38.07,311,286,508,585,530,651,585,671
11.2,20.44,38.07,312,286,508,585,530,651,584,671
11.3,20.44,38.07,312,285,508,585,530,651,584,670
11.4,20.44,38.07,311,285,508,586,530,651,584,671
11.5,20.44,38.07,311,285,508,586,530,651,585,671
11.56,20.44,38.07,311,286,507,586,530,651,584,671
11.56,20.44,38.07,311,286,507,586,530,651,584,671
11.56,20.44,38.07,311,286,507,586,530,651,584,671
12.08,20.44,38.07,312,285,507,586,530,651,584,671
