"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.2,44.27,354,300,558,585,611,748,662,757
3.1,21.2,44.27,355,300,559,585,612,748,662,757
3.21,21.2,44.27,355,300,559,585,612,748,662,758
3.31,21.2,44.27,354,300,559,585,612,748,662,758
3.4,21.2,44.27,357,299,559,584,612,748,661,757
3.5,21.2,44.27,355,300,559,585,612,748,661,758
3.61,21.2,44.27,355,299,559,585,612,748,661,758
3.71,21.2,44.27,354,299,558,585,611,747,662,757
3.81,21.2,44.27,355,300,559,584,611,748,662,757
3.91,21.2,44.27,354,300,558,585,612,748,662,758
4.01,21.2,44.27,355,299,558,585,612,748,662,758
4.09,21.2,44.27,355,299,558,584,611,748,662,757
4.19,21.2,44.27,354,299,558,585,612,748,662,758
4.31,21.2,44.27,356,299,558,584,612,748,661,758
4.41,21.2,44.27,354,300,558,584,612,748,662,758
4.51,21.2,44.27,355,300,559,584,611,747,661,758
4.61,21.2,44.27,354,299,559,585,612,748,662,758
4.71,21.2,44.27,355,300,558,585,612,748,662,757
4.81,21.2,44.27,355,300,559,584,612,748,662,758
4.91,21.2,44.27,355,300,558,584,612,748,661,757
5.01,21.2,44.27,355,300,559,584,612,748,662,758
5.11,21.2,44.27,354,299,559,585,612,747,661,757
5.21,21.2,44.27,356,300,559,584,612,748,662,757
5.3,21.2,44.27,354,300,558,585,611,748,662,758
5.4,21.2,44.27,354,299,558,584,612,748,661,757
5.5,21.2,44.27,355,300,558,584,611,747,662,757
5.6,21.2,44.27,354,300,558,584,612,748,662,758
5.7,21.2,44.27,354,300,558,584,612,748,661,757
5.81,21.2,44.27,355,300,559,584,612,748,661,758
5.91,21.2,44.27,355,299,558,585,611,748,662,758
6.01,21.2,44.27,355,299,558,584,611,748,662,758
6.11,21.2,44.27,355,299,558,584,611,747,662,758
6.2,21.2,44.27,354,299,558,584,611,747,662,758
6.31,21.2,44.27,354,300,559,584,611,747,662,757
6.39,21.2,44.27,356,299,559,584,611,748,661,757
6.51,21.2,44.27,355,299,559,584,611,747,661,758
6.61,21.2,44.27,354,300,558,584,611,748,662,758
6.71,21.2,44.27,354,299,559,584,611,748,661,757
6.8,21.2,44.27,354,300,559,584,612,747,662,757
6.9,21.22,44.27,355,299,559,584,612,748,662,758
7,21.22,44.27,355,300,559,584,611,747,662,758
7.11,21.22,44.27,355,300,559,584,612,748,662,758
7.21,21.22,44.27,355,300,559,584,612,747,662,758
7.3,21.22,44.27,355,300,559,585,612,747,661,758
7.4,21.22,44.27,356,300,558,584,611,748,661,758
7.5,21.22,44.27,356,300,558,584,611,748,661,758
7.6,21.22,44.27,355,299,558,585,611,748,662,758
7.7,21.22,44.27,355,300,559,584,612,748,661,758
7.8,21.22,44.27,355,300,558,584,611,747,661,758
7.9,21.2,44.31,354,300,558,584,611,747,662,757
8,21.2,44.31,355,300,559,584,611,747,662,758
8.1,21.2,44.31,354,300,559,584,612,748,662,758
8.21,21.2,44.31,355,299,559,584,611,747,662,758
8.3,21.2,44.31,354,300,559,584,612,747,662,757
8.4,21.2,44.31,355,299,558,584,611,747,662,758
8.5,21.2,44.31,355,300,559,585,611,748,661,757
8.6,21.2,44.31,354,300,559,585,611,748,661,758
8.7,21.2,44.31,355,299,558,584,611,748,661,758
8.8,21.2,44.31,354,299,559,584,612,747,662,758
8.9,21.21,44.27,355,300,559,584,612,747,661,758
9,21.21,44.27,355,299,558,584,612,748,662,758
9.11,21.21,44.27,355,299,559,585,611,747,661,758
9.21,21.21,44.27,355,300,559,584,611,748,661,758
9.31,21.21,44.27,355,300,559,585,611,747,661,758
9.41,21.21,44.27,354,299,559,584,611,747,662,757
9.49,21.21,44.27,354,300,559,584,612,747,661,757
9.61,21.21,44.27,354,299,558,584,611,748,661,758
9.71,21.21,44.27,355,300,559,584,611,747,661,758
9.8,21.21,44.27,354,299,559,584,611,748,661,758
9.9,21.21,44.31,355,299,559,585,611,748,661,758
10,21.21,44.31,355,299,559,585,611,747,661,758
10.1,21.21,44.31,355,299,559,584,612,748,661,758
10.21,21.21,44.31,354,300,559,584,612,748,662,758
10.31,21.21,44.31,354,300,559,585,611,747,662,758
10.41,21.21,44.31,355,300,559,585,612,747,662,758
10.51,21.21,44.31,355,300,559,584,611,747,662,758
10.61,21.21,44.31,355,299,559,585,612,747,662,758
10.7,21.21,44.31,355,300,559,584,611,747,662,758
10.8,21.21,44.31,357,300,559,584,611,747,661,759
10.9,21.2,44.31,355,300,559,585,611,747,662,758
11,21.2,44.31,355,300,559,585,611,748,661,758
11.1,21.2,44.31,354,300,559,584,612,748,661,758
11.19,21.2,44.31,355,299,559,585,611,747,661,758
11.31,21.2,44.31,355,300,559,585,611,747,662,758
11.41,21.2,44.31,354,301,559,585,611,747,662,758
11.51,21.2,44.31,355,299,559,585,611,747,662,758
11.59,21.2,44.31,354,299,559,585,612,747,662,758
11.7,21.2,44.31,357,300,559,585,612,747,661,758
11.8,21.2,44.31,355,300,559,585,612,748,661,758
11.9,21.2,44.27,356,300,559,585,612,747,661,758
12.01,21.2,44.27,355,300,559,585,611,747,662,759
12.1,21.2,44.27,356,300,559,585,611,748,661,758
12.21,21.2,44.27,355,299,559,585,612,747,662,758
12.3,21.2,44.27,355,300,559,585,612,748,662,758
12.4,21.2,44.27,355,300,559,585,611,748,662,758
12.46,21.2,44.27,357,300,560,585,611,748,662,758
12.46,21.2,44.27,357,300,560,585,611,748,662,758
12.46,21.2,44.27,357,300,560,585,611,748,662,758
12.96,21.2,44.34,355,300,559,585,612,747,662,759
12.96,21.2,44.34,355,300,559,585,612,747,662,759
13,21.2,44.34,356,300,559,585,612,747,662,758
13.11,21.2,44.34,355,300,560,585,612,748,662,758
13.21,21.2,44.34,357,300,560,585,611,747,662,759
13.31,21.2,44.34,355,300,560,585,611,747,662,758
13.41,21.2,44.34,355,300,559,585,611,747,662,759
13.51,21.2,44.34,355,299,559,585,612,748,662,759
13.6,21.2,44.34,355,300,560,585,611,748,662,758
13.7,21.2,44.34,355,300,559,586,611,747,662,758
13.8,21.2,44.34,355,300,560,586,611,747,662,759
13.9,21.2,44.34,355,300,560,585,611,747,662,758
14,21.2,44.31,355,300,559,586,611,747,662,758
14.1,21.2,44.31,355,300,560,586,611,747,662,759
14.2,21.2,44.31,355,300,559,586,612,748,662,758
14.3,21.2,44.31,355,300,559,586,612,747,662,758
14.4,21.2,44.31,355,300,560,586,612,748,662,759
14.5,21.2,44.31,355,300,560,586,612,747,662,759
14.6,21.2,44.31,355,300,559,587,612,747,662,758
14.71,21.2,44.31,355,300,560,586,612,747,662,758
14.79,21.2,44.31,355,300,559,586,612,747,661,758
14.89,21.2,44.31,355,300,559,586,612,747,661,758
15.01,21.2,44.3,355,300,560,587,611,747,662,759
15.1,21.2,44.3,356,300,560,587,611,747,661,758
15.2,21.2,44.3,355,300,560,586,611,747,661,759
15.3,21.2,44.3,355,300,560,586,611,747,662,758
15.4,21.2,44.3,355,300,560,586,612,747,662,758
15.5,21.2,44.3,356,300,559,586,611,747,662,759
15.6,21.2,44.3,355,300,560,586,612,747,661,758
15.71,21.2,44.3,356,300,559,587,612,748,662,758
15.81,21.2,44.3,356,300,560,586,611,748,662,758
15.91,21.2,44.3,356,300,560,587,612,747,661,758
16.01,21.19,44.34,357,300,559,587,611,747,662,759
16.1,21.19,44.34,355,300,560,586,612,747,662,758
16.21,21.19,44.34,356,300,560,586,612,747,662,758
