"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.66,44.85,335,294,532,565,558,689,615,701
3.1,21.66,44.85,335,294,531,564,558,688,614,700
3.2,21.66,44.85,336,294,531,564,558,687,614,701
3.3,21.66,44.85,336,294,532,564,558,689,614,701
3.4,21.66,44.85,337,294,531,564,558,689,614,701
3.5,21.66,44.85,336,293,532,564,558,688,615,701
3.6,21.66,44.85,337,294,531,564,557,688,614,701
3.7,21.66,44.85,336,294,531,564,557,688,614,701
3.8,21.66,44.85,335,293,531,563,557,688,613,701
3.9,21.66,44.85,334,292,529,560,560,691,616,703
4,21.66,44.85,334,291,528,560,559,691,617,704
4.1,21.66,44.85,334,292,529,562,556,686,617,705
4.2,21.66,44.85,334,293,529,561,555,686,618,706
4.3,21.66,44.85,337,294,532,564,557,688,615,701
4.4,21.66,44.85,336,294,532,564,558,689,615,701
4.5,21.66,44.85,336,293,532,564,558,688,615,702
4.6,21.66,44.85,336,293,530,563,557,688,614,700
4.7,21.66,44.85,336,294,531,563,558,688,615,701
4.8,21.66,44.85,335,293,531,563,558,688,615,701
4.9,21.66,44.85,336,293,531,563,558,688,614,701
5,21.66,44.85,338,293,531,563,558,687,614,700
5.1,21.66,44.85,335,293,531,562,558,688,615,701
5.2,21.66,44.85,336,293,532,563,557,687,614,701
5.3,21.66,44.85,333,291,531,564,559,689,616,702
5.4,21.66,44.85,335,293,530,562,558,688,614,701
5.49,21.66,44.85,338,293,531,563,557,688,615,700
5.59,21.66,44.85,333,291,528,560,560,691,617,704
5.7,21.66,44.85,335,293,530,562,556,686,614,700
5.8,21.66,44.85,335,293,531,562,557,687,614,700
5.9,21.66,44.85,333,291,531,564,559,689,615,703
6,21.66,44.85,335,291,532,564,559,689,615,703
6.11,21.66,44.85,336,292,530,562,557,688,615,701
6.2,21.66,44.85,335,291,528,559,559,691,617,704
6.3,21.66,44.85,335,293,531,562,557,688,614,701
6.4,21.66,44.82,338,293,530,562,557,688,614,700
6.5,21.66,44.82,335,293,531,562,557,688,614,700
6.6,21.66,44.82,336,292,531,562,558,688,614,701
6.7,21.66,44.82,335,293,531,562,558,688,614,700
6.8,21.66,44.82,335,292,531,562,557,688,614,701
6.9,21.66,44.82,335,292,531,562,557,688,614,700
7,21.66,44.82,335,292,531,562,557,688,615,701
7.1,21.66,44.82,335,293,531,561,557,687,614,700
7.2,21.66,44.82,335,293,530,561,557,687,614,701
7.29,21.66,44.82,335,292,530,561,557,687,613,700
7.4,21.66,44.82,334,292,531,562,558,688,615,702
7.5,21.66,44.82,337,292,529,561,556,687,617,705
7.61,21.66,44.82,337,293,530,561,558,688,614,701
7.7,21.66,44.82,334,291,532,562,558,688,615,701
7.8,21.66,44.82,336,293,531,562,557,688,614,701
7.9,21.66,44.82,335,292,530,560,556,686,614,703
8.01,21.66,44.82,335,291,530,560,557,687,613,702
8.1,21.66,44.82,335,292,531,561,557,688,614,701
8.2,21.66,44.82,335,292,531,561,557,687,614,701
8.3,21.66,44.82,335,292,530,561,557,688,614,701
8.39,21.66,44.82,335,291,529,560,556,687,614,702
8.5,21.66,44.82,337,292,530,561,557,687,614,700
8.6,21.66,44.82,335,292,530,561,557,687,614,700
8.7,21.66,44.82,335,292,531,561,557,688,614,700
8.8,21.66,44.82,335,292,530,561,558,687,617,705
8.89,21.66,44.82,335,292,530,560,557,687,614,701
9,21.66,44.82,335,291,530,560,558,689,617,704
9.1,21.66,44.82,334,291,529,560,558,689,617,704
9.2,21.66,44.82,335,292,531,561,557,687,614,701
9.29,21.66,44.82,335,292,530,560,557,686,614,701
9.4,21.66,44.82,334,292,530,560,556,687,614,701
9.5,21.66,44.85,335,292,530,561,557,688,614,701
9.6,21.66,44.85,335,292,531,560,557,687,614,701
9.7,21.66,44.85,337,292,530,561,557,687,614,701
9.8,21.66,44.85,334,292,530,560,557,687,615,702
9.9,21.66,44.85,335,291,530,560,557,687,613,701
10,21.66,44.85,335,292,530,561,557,687,614,701
10.1,21.66,44.85,335,292,530,561,557,687,614,701
10.2,21.66,44.85,335,292,530,560,557,687,614,701
10.3,21.66,44.85,333,290,529,561,560,689,617,703
10.4,21.66,44.85,335,291,530,561,557,687,616,703
10.51,21.64,44.85,335,292,531,561,557,687,615,701
10.6,21.64,44.85,335,292,530,561,557,687,617,705
10.7,21.64,44.85,335,291,531,561,558,688,615,701
10.8,21.64,44.85,335,291,529,559,555,686,619,707
10.9,21.64,44.85,334,291,529,559,556,686,619,707
11,21.64,44.85,335,292,531,561,557,687,614,701
11.1,21.64,44.85,335,291,531,561,557,687,614,701
11.2,21.64,44.85,335,291,530,561,557,687,614,700
11.3,21.64,44.85,336,291,530,560,557,686,616,705
11.4,21.64,44.85,335,291,530,561,557,687,614,701
11.5,21.64,44.78,335,291,530,561,557,687,614,701
11.6,21.64,44.78,334,291,530,560,556,687,614,702
11.7,21.64,44.78,334,291,529,559,559,690,617,704
11.8,21.64,44.78,334,291,529,560,559,690,617,703
11.9,21.64,44.78,333,291,530,562,558,689,616,704
11.99,21.64,44.78,336,291,529,561,556,686,614,702
12.1,21.64,44.78,336,291,530,561,557,687,615,701
12.2,21.64,44.78,336,292,530,561,558,687,615,701
12.3,21.64,44.78,334,291,529,560,556,686,619,707
12.39,21.64,44.78,335,292,531,561,557,687,615,701
12.5,21.64,44.78,335,291,530,561,557,687,615,701
12.6,21.64,44.78,335,291,530,561,557,687,614,702
12.7,21.64,44.78,334,291,529,560,556,686,620,706
12.8,21.64,44.78,334,291,529,561,556,686,619,707
12.9,21.64,44.78,335,291,530,561,557,687,615,702
13,21.64,44.78,335,291,529,561,557,687,616,705
13.1,21.64,44.78,335,291,530,560,557,686,616,704
13.2,21.64,44.78,335,291,529,561,558,688,619,705
13.3,21.64,44.78,334,290,531,562,558,688,618,706
13.4,21.64,44.78,334,290,531,562,558,688,618,705
13.51,21.64,44.78,335,291,531,562,558,689,618,705
13.6,21.64,44.78,334,291,530,560,556,687,620,707
13.7,21.64,44.78,334,291,530,561,557,686,618,706
13.8,21.64,44.78,335,291,529,561,557,686,620,707
13.9,21.64,44.78,335,292,530,561,557,687,616,703
14,21.64,44.78,336,291,530,561,557,687,618,706
14.1,21.64,44.78,336,291,529,561,557,687,617,706
14.2,21.64,44.78,335,291,531,561,557,687,617,706
14.3,21.64,44.78,334,291,529,561,557,686,619,707
14.4,21.64,44.78,335,291,530,561,557,687,617,705
14.51,21.64,44.78,333,289,532,564,559,690,618,704
14.6,21.64,44.82,335,291,530,562,559,690,619,705
14.7,21.64,44.82,334,289,531,563,559,689,617,706
14.8,21.64,44.82,337,292,531,562,559,689,619,705
14.9,21.64,44.82,335,292,531,562,558,688,619,707
15,21.64,44.82,335,291,530,562,557,687,618,706
15.1,21.64,44.82,335,291,530,562,557,687,618,707
15.2,21.64,44.82,335,291,530,561,557,687,620,707
15.3,21.64,44.82,334,290,529,562,561,692,619,705
15.4,21.64,44.82,334,290,529,560,560,692,621,706
15.5,21.64,44.82,335,291,531,562,557,687,620,708
15.6,21.64,44.78,335,290,530,562,557,687,621,708
15.7,21.64,44.78,337,290,529,562,557,686,621,708
15.79,21.64,44.78,335,291,531,563,559,690,620,705
