"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.61,44.91,342,303,543,587,568,699,624,712
3.1,21.61,44.91,342,303,542,587,569,698,624,712
3.2,21.61,44.91,342,303,543,587,568,698,624,712
3.31,21.61,44.91,343,303,542,587,569,698,624,712
3.39,21.61,44.91,342,303,542,587,568,698,624,713
3.5,21.61,44.91,342,303,542,587,569,698,624,712
3.59,21.61,44.91,342,303,543,587,568,698,624,712
3.71,21.61,44.91,342,302,543,587,568,698,624,712
3.8,21.61,44.91,343,303,542,587,568,698,623,712
3.9,21.63,44.94,344,303,542,587,569,699,624,712
4,21.63,44.94,343,304,542,587,568,698,624,712
4.1,21.63,44.94,343,303,542,588,568,698,624,712
4.2,21.63,44.94,342,303,542,587,568,698,623,712
4.3,21.63,44.94,342,303,543,587,569,698,624,712
4.39,21.63,44.94,343,302,542,588,568,698,624,712
4.5,21.63,44.94,342,303,543,587,568,698,624,712
4.6,21.63,44.94,342,303,542,587,568,698,624,712
4.7,21.63,44.94,342,303,542,588,568,698,623,712
4.8,21.63,44.94,343,303,542,588,568,698,623,712
4.9,21.62,44.94,343,303,542,588,568,698,624,712
5,21.62,44.94,342,302,542,587,568,698,623,712
5.1,21.62,44.94,344,303,543,588,568,698,623,712
5.2,21.62,44.94,342,303,543,588,568,698,623,712
5.3,21.62,44.94,342,303,542,588,568,697,624,711
5.4,21.62,44.94,342,302,542,588,568,698,624,712
5.5,21.62,44.94,342,303,543,588,568,698,623,712
5.61,21.62,44.94,342,303,542,588,568,698,624,712
5.69,21.62,44.94,343,303,543,589,568,698,623,711
5.8,21.62,44.94,342,303,542,588,568,698,623,712
5.9,21.63,44.91,342,303,542,588,568,698,624,712
6,21.63,44.91,343,303,542,589,568,698,623,712
6.1,21.63,44.91,342,303,542,588,568,698,624,712
6.21,21.63,44.91,342,303,542,589,568,698,623,712
6.3,21.63,44.91,343,303,542,588,568,698,623,711
6.41,21.63,44.91,344,303,543,589,568,698,623,712
6.5,21.63,44.91,342,303,542,589,568,698,624,712
6.6,21.63,44.91,342,303,543,589,568,698,624,711
6.71,21.63,44.91,343,303,543,588,568,698,624,711
6.8,21.63,44.91,342,303,543,589,568,698,623,712
6.9,21.63,44.91,343,303,543,589,568,697,623,712
7,21.62,44.91,343,303,543,589,568,697,624,712
7.1,21.62,44.91,343,303,542,589,568,698,624,712
7.2,21.62,44.91,345,303,543,589,567,698,624,712
7.3,21.62,44.91,343,303,543,589,568,698,624,712
7.41,21.62,44.91,343,303,543,589,568,698,624,711
7.5,21.62,44.91,342,303,543,589,568,697,624,711
7.6,21.62,44.91,344,303,543,589,568,698,624,711
7.7,21.62,44.91,342,303,543,590,568,698,623,712
7.79,21.62,44.91,343,303,543,590,568,698,624,711
7.89,21.62,44.91,344,303,542,590,568,698,624,712
