"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.54,44.9,345,299,546,600,584,720,645,736
3.1,21.54,44.9,345,299,547,600,584,720,645,737
3.2,21.54,44.9,345,299,546,599,584,720,646,736
3.3,21.54,44.9,346,299,546,600,584,720,645,736
3.4,21.55,44.9,345,299,547,599,584,720,646,736
3.5,21.55,44.9,346,300,546,599,584,720,645,736
3.6,21.55,44.9,347,300,547,599,584,720,645,736
3.7,21.55,44.9,345,299,546,599,584,720,645,737
3.81,21.55,44.9,345,299,546,599,584,720,645,736
3.9,21.55,44.9,344,299,546,600,584,720,646,736
4,21.55,44.9,345,299,546,599,584,720,645,737
4.1,21.55,44.9,345,299,546,599,584,720,645,736
4.2,21.55,44.9,345,298,546,600,584,720,645,736
4.2,21.55,44.9,345,298,546,600,584,720,645,736
4.2,21.55,44.9,345,298,546,600,584,720,645,736
4.71,21.54,44.87,344,299,547,599,584,719,646,736
4.71,21.54,44.87,344,299,547,599,584,719,646,736
4.71,21.54,44.87,344,299,547,599,584,719,646,736
4.8,21.54,44.87,344,299,546,599,584,720,646,736
4.81,21.54,44.87,345,299,546,600,584,720,645,736
4.81,21.54,44.87,345,299,546,600,584,720,645,736
5.32,21.54,44.87,345,299,546,599,584,720,646,736
5.32,21.54,44.87,345,299,546,599,584,720,646,736
5.32,21.54,44.87,345,299,546,599,584,720,646,736
5.4,21.55,44.9,346,298,546,599,584,720,645,737
5.5,21.55,44.9,344,299,546,599,584,720,645,737
5.6,21.55,44.9,344,299,547,599,584,720,645,737
5.6,21.55,44.9,344,299,547,599,584,720,645,737
5.6,21.55,44.9,344,299,547,599,584,720,645,737
6.11,21.55,44.9,346,299,546,599,584,720,645,736
6.11,21.55,44.9,346,299,546,599,584,720,645,736
6.11,21.55,44.9,346,299,546,599,584,720,645,736
6.21,21.55,44.9,345,298,547,599,584,720,646,737
6.3,21.55,44.9,344,298,546,599,584,719,645,737
6.4,21.55,44.9,345,298,546,598,584,719,645,737
6.5,21.54,44.9,344,299,547,599,584,720,646,737
6.6,21.54,44.9,344,298,546,599,584,720,646,737
6.7,21.54,44.9,345,299,547,599,584,719,646,737
6.8,21.54,44.9,347,299,546,599,584,720,646,737
6.9,21.54,44.9,345,298,547,599,584,719,646,737
7,21.54,44.9,346,299,546,599,584,720,646,737
7.1,21.54,44.9,344,298,546,599,584,720,646,737
7.2,21.54,44.9,347,298,546,599,584,720,646,737
7.3,21.54,44.9,344,299,546,599,584,720,646,736
7.4,21.54,44.9,345,299,546,599,584,720,646,737
7.5,21.53,44.9,344,299,546,599,584,719,646,737
7.61,21.53,44.9,344,298,547,599,584,720,646,737
7.71,21.53,44.9,345,299,546,599,584,720,646,737
7.8,21.53,44.9,345,298,546,599,584,720,646,737
7.9,21.53,44.9,345,298,546,599,584,720,646,737
8,21.53,44.9,345,299,546,599,584,720,646,737
8.11,21.53,44.9,344,298,547,599,584,720,646,737
8.2,21.53,44.9,344,298,546,599,584,720,646,737
8.29,21.53,44.9,344,298,546,599,584,720,646,737
8.41,21.53,44.9,345,298,546,599,584,720,646,737
8.5,21.54,44.9,344,299,546,599,584,720,646,737
8.6,21.54,44.9,344,299,546,599,584,720,646,737
8.7,21.54,44.9,347,298,546,598,584,720,646,737
8.8,21.54,44.9,346,298,546,599,584,719,646,737
8.9,21.54,44.9,345,298,546,599,584,720,646,737
