"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.48,40.13,340,264,525,527,610,759,668,767
3.1,22.48,40.13,341,263,524,527,610,759,668,767
3.2,22.46,40.16,342,263,525,527,610,759,668,767
3.3,22.46,40.16,342,263,525,528,610,759,668,767
3.4,22.46,40.16,341,263,524,527,610,759,668,767
3.5,22.46,40.16,339,263,524,528,610,759,668,767
3.6,22.46,40.16,342,263,524,528,610,759,668,767
3.7,22.46,40.16,340,264,525,527,610,759,668,767
3.8,22.46,40.16,340,264,525,527,610,759,668,768
3.9,22.46,40.16,342,264,525,527,610,759,668,767
4,22.46,40.16,342,264,524,528,610,759,668,767
4.1,22.46,40.16,339,263,524,528,610,758,669,767
4.2,22.46,40.16,341,264,524,527,610,759,668,767
4.3,22.46,40.16,340,264,525,527,610,759,668,767
4.4,22.46,40.16,340,264,524,527,610,758,668,767
4.5,22.46,40.16,341,264,524,528,610,758,668,767
4.6,22.46,40.16,340,263,525,528,610,759,668,767
4.69,22.46,40.16,340,264,524,527,610,759,668,767
4.8,22.46,40.16,341,264,524,527,610,759,669,767
4.9,22.46,40.16,341,264,524,527,610,759,668,767
5,22.46,40.16,340,264,524,527,610,759,669,767
5.09,22.46,40.16,340,264,524,528,610,758,668,767
5.2,22.47,40.16,340,264,524,527,610,759,669,767
5.3,22.47,40.16,342,264,524,527,610,758,668,767
5.4,22.47,40.16,340,264,525,528,610,759,668,767
5.5,22.47,40.16,342,264,525,527,610,758,668,767
5.6,22.47,40.16,340,264,524,527,610,758,668,767
5.7,22.47,40.16,340,264,525,527,610,759,669,767
5.8,22.47,40.16,341,263,524,527,610,759,669,768
5.9,22.47,40.16,340,263,525,528,609,759,668,767
6,22.47,40.16,340,263,524,527,610,758,668,767
6.1,22.47,40.16,341,264,525,527,610,758,668,768
6.2,22.47,40.16,342,264,524,528,610,758,668,767
6.3,22.46,40.16,341,263,525,527,610,759,668,767
6.4,22.46,40.16,340,263,525,528,610,759,668,767
6.5,22.46,40.16,340,264,525,528,609,759,668,767
6.6,22.46,40.16,340,264,525,528,610,759,668,767
6.7,22.46,40.16,340,264,524,528,610,759,669,767
6.79,22.46,40.16,340,264,524,527,610,758,668,767
6.9,22.46,40.16,342,263,525,528,610,758,669,767
7,22.46,40.16,342,264,524,528,610,759,668,767
7.1,22.46,40.16,341,264,524,528,610,759,669,767
7.2,22.46,40.16,342,264,524,528,610,758,668,767
7.3,22.46,40.16,342,264,525,528,610,758,669,767
7.4,22.46,40.16,341,263,525,528,610,758,669,767
7.5,22.46,40.16,340,264,525,528,610,758,668,768
7.59,22.46,40.16,340,264,525,528,610,758,669,767
7.7,22.46,40.16,341,264,525,528,611,758,668,767
7.8,22.46,40.16,342,264,525,528,610,759,669,768
7.9,22.46,40.16,343,264,524,528,610,758,669,768
8,22.46,40.16,342,264,525,528,610,759,669,768
8.1,22.46,40.16,342,264,525,528,610,759,669,768
8.2,22.46,40.16,341,264,525,528,610,759,669,768
8.3,22.46,40.13,342,264,525,528,610,759,669,768
8.4,22.46,40.13,340,264,525,528,610,758,669,768
8.5,22.46,40.13,343,264,525,528,610,758,670,768
8.59,22.46,40.13,343,264,524,529,610,758,669,768
8.7,22.46,40.13,341,264,525,528,610,758,669,768
8.8,22.46,40.13,342,264,525,528,610,759,669,768
8.9,22.46,40.13,341,264,525,528,611,758,670,768
9,22.46,40.13,341,263,525,529,610,758,669,768
9.1,22.46,40.13,343,264,525,529,610,759,670,768
9.2,22.46,40.13,340,264,525,529,611,759,669,768
9.3,22.47,40.16,340,264,525,529,611,758,669,769
9.4,22.47,40.16,343,264,525,529,611,759,669,768
9.5,22.47,40.16,342,264,525,528,610,759,670,768
9.6,22.47,40.16,342,264,525,529,611,759,670,768
9.7,22.47,40.16,341,264,525,529,610,759,670,769
9.8,22.47,40.16,341,264,525,529,610,759,670,769
9.9,22.47,40.16,341,264,525,529,611,758,670,769
10,22.47,40.16,342,264,525,529,611,758,670,769
10.11,22.47,40.16,342,264,525,529,611,759,670,769
10.2,22.47,40.16,340,264,526,529,611,758,671,769
10.3,22.46,40.16,343,264,525,529,612,759,670,770
10.4,22.46,40.16,341,263,525,529,611,759,671,769
10.5,22.46,40.16,342,265,525,529,611,758,670,769
10.6,22.46,40.16,343,264,525,529,611,759,670,770
10.7,22.46,40.16,342,264,525,529,611,759,670,769
10.79,22.46,40.16,341,264,526,530,611,759,671,770
10.9,22.46,40.16,343,264,525,530,611,759,671,770
11,22.46,40.16,341,264,525,530,611,759,671,770
