"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.07,45.16,350,294,547,650,575,709,644,734
3.11,22.06,45.16,348,294,548,651,575,709,644,734
3.2,22.06,45.16,349,294,547,650,575,709,644,734
3.3,22.06,45.16,349,295,547,650,574,708,644,734
3.41,22.06,45.16,349,295,547,650,575,709,644,734
3.5,22.06,45.16,349,294,547,650,575,709,644,734
3.6,22.06,45.16,351,294,548,650,575,709,644,735
3.7,22.06,45.16,352,294,548,650,575,709,644,734
3.79,22.06,45.16,349,294,547,650,575,709,644,734
3.9,22.06,45.16,349,294,548,650,575,709,644,734
4,22.06,45.16,348,294,547,650,575,709,644,734
4.11,22.07,45.16,350,294,547,650,575,709,644,734
4.19,22.07,45.16,349,294,547,650,575,709,644,734
4.29,22.07,45.16,349,294,547,650,575,709,644,734
4.39,22.07,45.16,349,294,548,650,575,709,644,734
4.5,22.07,45.16,349,294,547,650,575,709,644,734
4.6,22.07,45.16,349,294,548,650,575,709,644,734
4.7,22.07,45.16,348,294,548,650,575,709,644,735
4.79,22.07,45.16,349,294,547,650,575,709,644,734
4.91,22.07,45.16,349,295,548,650,575,709,644,734
5,22.07,45.16,349,294,547,650,575,709,644,734
5.1,22.07,45.16,349,295,548,650,575,709,643,734
5.2,22.07,45.19,349,294,547,650,575,709,644,734
5.31,22.07,45.19,351,294,548,650,575,709,644,734
5.4,22.07,45.19,351,294,547,650,575,709,644,734
5.51,22.07,45.19,349,294,547,650,575,709,644,734
5.6,22.07,45.19,349,294,548,650,575,709,644,734
5.7,22.07,45.19,349,294,548,650,575,709,644,734
5.8,22.07,45.19,349,294,547,650,575,709,644,734
5.9,22.07,45.19,351,295,547,651,575,709,644,734
6,22.07,45.19,349,294,548,651,575,708,644,734
6.1,22.07,45.19,348,295,548,650,575,708,643,734
6.19,22.08,45.23,349,295,548,650,575,709,644,734
6.3,22.08,45.23,349,294,548,650,575,708,644,734
6.4,22.08,45.23,348,294,547,650,575,708,644,734
6.5,22.08,45.23,349,295,548,650,575,709,644,734
6.6,22.08,45.23,349,294,547,650,575,708,644,734
6.69,22.08,45.23,349,294,547,650,575,708,643,734
6.8,22.08,45.23,348,294,547,650,575,709,644,734
6.9,22.08,45.23,349,295,548,650,575,709,644,734
6.99,22.08,45.23,350,294,548,651,575,709,643,734
7.1,22.08,45.23,349,294,548,650,575,709,644,734
7.2,22.08,45.19,349,294,548,650,575,709,644,734
7.3,22.08,45.19,349,294,547,651,575,709,644,734
7.4,22.08,45.19,349,294,547,650,575,708,644,734
7.51,22.08,45.19,350,295,547,650,575,709,644,734
7.61,22.08,45.19,349,294,547,651,575,709,645,734
7.7,22.08,45.19,349,294,547,651,575,708,644,735
7.8,22.08,45.19,350,294,547,651,575,709,644,735
7.91,22.08,45.19,349,295,548,651,575,709,644,734
8.01,22.08,45.19,349,294,548,650,575,709,644,734
8.11,22.08,45.19,350,294,548,651,575,709,644,735
8.2,22.06,45.16,349,294,548,651,575,709,644,734
8.3,22.06,45.16,349,294,547,651,575,709,644,734
8.39,22.06,45.16,349,294,548,651,576,709,644,735
8.49,22.06,45.16,349,295,548,651,575,709,644,734
8.6,22.06,45.16,349,294,547,651,575,709,645,735
8.7,22.06,45.16,349,295,548,651,575,709,644,734
8.8,22.06,45.16,349,295,548,651,576,709,644,735
8.89,22.06,45.16,349,295,547,651,575,708,644,734
9,22.06,45.16,351,294,548,651,575,709,645,735
9.09,22.06,45.16,350,295,548,651,575,709,644,735
9.2,22.06,45.16,349,294,548,651,575,709,644,734
9.29,22.06,45.16,349,294,548,652,575,710,645,734
9.39,22.06,45.16,349,294,547,652,575,709,644,735
9.39,22.06,45.16,349,294,547,652,575,709,644,735
9.39,22.06,45.16,349,294,547,652,575,709,644,735
9.91,22.06,45.16,350,294,548,653,576,709,644,734
9.91,22.06,45.16,350,294,548,653,576,709,644,734
9.91,22.06,45.16,350,294,548,653,576,709,644,734
9.99,22.06,45.16,350,295,548,653,575,709,645,735
10.04,22.06,45.16,349,294,548,653,575,709,644,735
10.04,22.06,45.16,349,294,548,653,575,709,644,735
10.54,22.07,45.16,350,294,548,653,576,709,644,735
10.54,22.07,45.16,350,294,548,653,576,709,644,735
10.54,22.07,45.16,350,294,548,653,576,709,644,735
10.6,22.07,45.16,349,294,549,653,576,709,644,735
10.7,22.07,45.16,349,295,548,653,575,709,645,735
10.8,22.07,45.16,350,295,548,654,576,709,645,734
10.9,22.07,45.16,350,294,547,653,575,709,644,735
11,22.07,45.16,349,294,548,654,575,709,645,735
11.1,22.07,45.16,350,294,549,654,576,709,645,735
11.2,22.07,45.16,350,295,548,654,575,709,644,735
11.3,22.07,45.16,349,295,548,654,575,709,645,735
11.4,22.07,45.16,351,294,548,654,576,709,644,734
11.5,22.07,45.16,349,295,548,654,575,709,645,735
11.6,22.07,45.16,349,295,548,655,576,709,644,735
11.69,22.07,45.16,350,294,548,655,576,709,645,734
11.79,22.07,45.16,352,295,549,655,576,709,644,735
11.9,22.07,45.16,350,294,548,655,576,709,645,735
12,22.07,45.16,350,295,548,655,576,709,644,735
12.07,22.07,45.16,350,295,548,655,576,709,645,735
12.07,22.07,45.16,350,295,548,655,576,709,645,735
12.07,22.07,45.16,350,295,548,655,576,709,645,735
12.59,22.07,45.16,350,295,548,656,576,709,645,735
12.59,22.07,45.16,350,295,548,656,576,709,645,735
12.61,22.07,45.16,351,294,549,656,576,710,645,735
12.7,22.07,45.16,352,295,548,656,576,709,645,735
12.81,22.07,45.16,350,295,549,656,576,710,645,735
