"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.46,40.83,354,282,545,679,600,744,674,767
3.1,22.46,40.83,351,282,546,679,600,744,674,767
3.19,22.45,40.83,351,281,545,679,600,744,674,767
3.3,22.45,40.83,351,281,544,679,600,744,674,767
3.4,22.45,40.83,351,282,545,679,600,744,674,767
3.5,22.45,40.83,351,281,545,680,600,744,674,767
3.61,22.45,40.83,354,281,544,679,600,744,674,767
3.7,22.45,40.83,351,281,544,679,600,744,674,766
3.8,22.45,40.83,351,281,546,679,600,743,675,767
3.91,22.45,40.83,351,281,544,679,601,744,674,767
4,22.45,40.83,353,281,545,679,600,744,674,766
4.1,22.45,40.83,351,281,545,678,600,744,674,766
4.21,22.46,40.8,351,281,545,679,600,743,674,767
4.3,22.46,40.8,351,281,545,679,600,744,674,767
4.41,22.46,40.8,352,282,545,679,600,744,675,767
4.5,22.46,40.8,351,281,545,678,600,744,674,767
4.6,22.46,40.8,353,281,544,679,600,744,674,767
4.7,22.46,40.8,351,281,545,679,600,744,674,766
4.8,22.46,40.8,351,281,545,679,600,743,674,767
4.9,22.46,40.8,353,281,545,679,600,744,674,766
5,22.46,40.8,351,282,545,679,600,744,674,767
5.1,22.46,40.8,351,281,545,679,600,744,674,767
5.2,22.46,40.8,351,281,545,679,600,743,674,766
5.3,22.46,40.83,352,282,545,678,600,744,674,767
5.4,22.46,40.83,351,281,545,679,600,744,674,767
5.5,22.46,40.83,352,282,544,679,600,744,674,766
5.6,22.46,40.83,352,281,544,679,600,744,674,767
5.7,22.46,40.83,351,281,545,679,600,744,674,767
5.8,22.46,40.83,351,282,545,679,600,743,674,767
5.9,22.46,40.83,353,281,545,679,600,744,674,767
6,22.46,40.83,354,282,545,679,600,744,674,767
6.1,22.46,40.83,351,281,545,679,600,744,674,767
6.19,22.46,40.83,351,281,545,678,600,744,674,767
6.3,22.44,40.83,351,281,545,679,600,744,674,767
6.4,22.44,40.83,351,281,545,679,600,744,674,767
6.5,22.44,40.83,352,281,545,679,600,744,674,767
6.6,22.44,40.83,351,281,545,679,599,743,674,767
6.7,22.44,40.83,351,281,544,679,600,744,674,767
6.8,22.44,40.83,351,282,545,679,600,743,675,767
6.89,22.44,40.83,352,281,545,678,600,744,674,767
7,22.44,40.83,353,281,545,678,600,743,674,767
7.1,22.44,40.83,354,281,545,679,600,744,674,767
7.2,22.44,40.83,351,281,545,679,600,743,675,767
7.3,22.45,40.83,353,281,545,678,600,744,674,767
7.4,22.45,40.83,353,282,545,679,600,744,674,767
7.5,22.45,40.83,351,281,545,678,600,744,675,768
7.6,22.45,40.83,351,281,545,679,600,744,674,766
7.7,22.45,40.83,351,282,545,679,600,743,674,767
7.79,22.45,40.83,351,281,545,679,600,744,674,767
7.9,22.45,40.83,353,282,546,679,600,744,675,767
8,22.45,40.83,351,281,545,679,600,744,674,767
8.1,22.45,40.83,353,282,545,678,600,744,674,767
8.21,22.45,40.83,351,281,546,678,600,744,675,767
8.3,22.44,40.83,351,281,545,679,600,744,674,767
8.4,22.44,40.83,351,281,545,679,600,743,674,767
8.5,22.44,40.83,351,281,545,678,600,744,675,767
8.6,22.44,40.83,351,282,546,678,600,744,674,768
8.7,22.44,40.83,352,281,545,679,600,744,675,767
8.8,22.44,40.83,352,282,546,679,600,743,675,768
8.89,22.44,40.83,351,281,546,679,601,744,675,768
9,22.44,40.83,351,281,545,679,600,744,675,768
9.09,22.44,40.83,351,281,545,678,600,744,675,767
