"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,22.45,41.24,341,279,533,627,592,735,660,754
3.11,22.45,41.24,341,279,533,626,592,735,662,754
3.21,22.45,41.24,341,279,533,627,591,734,662,755
3.31,22.45,41.24,342,279,533,626,591,734,661,755
3.41,22.45,41.24,341,279,532,625,591,736,661,754
3.51,22.45,41.24,341,279,532,626,591,735,662,754
3.61,22.45,41.24,341,278,532,625,591,736,661,754
3.71,22.45,41.23,342,279,532,626,591,735,662,755
3.8,22.45,41.23,342,279,533,626,591,734,661,755
3.9,22.45,41.23,343,279,532,626,591,734,662,755
4,22.45,41.23,341,278,533,625,591,735,662,754
4.1,22.45,41.23,342,279,532,625,592,736,661,754
4.19,22.45,41.23,341,278,532,625,591,735,661,755
4.3,22.45,41.23,341,279,533,625,591,736,662,754
4.4,22.45,41.23,341,278,532,625,591,735,662,754
4.51,22.45,41.23,343,279,532,625,591,735,661,754
4.61,22.45,41.23,342,279,532,625,590,734,662,755
4.7,22.45,41.2,341,279,532,625,591,735,661,755
4.8,22.45,41.2,341,279,532,625,591,734,662,755
4.9,22.45,41.2,342,279,533,624,592,736,662,754
5,22.45,41.2,341,279,532,625,591,736,661,754
5.11,22.45,41.2,342,279,532,625,591,736,662,755
5.2,22.45,41.2,341,278,532,624,591,735,661,754
5.3,22.45,41.2,342,279,532,625,591,735,662,754
5.4,22.45,41.2,341,279,532,625,591,736,661,755
5.5,22.45,41.2,344,278,532,625,591,734,662,754
5.6,22.45,41.2,342,279,533,625,591,734,661,755
5.7,22.45,41.2,342,279,532,624,592,736,661,754
5.8,22.44,41.2,341,279,532,625,591,735,662,754
5.9,22.44,41.2,342,279,531,625,591,736,662,754
6,22.44,41.2,341,278,532,625,591,735,662,755
6.1,22.44,41.2,341,279,533,625,591,735,662,754
6.2,22.44,41.2,341,278,532,624,592,737,661,754
6.3,22.44,41.2,341,278,532,624,591,736,662,754
6.4,22.44,41.2,341,279,532,624,591,735,662,755
6.5,22.44,41.2,341,279,532,624,591,734,662,755
6.6,22.44,41.2,341,279,532,623,593,737,661,753
6.7,22.44,41.2,341,279,532,623,592,737,661,754
