"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.34,43.89,351,309,559,632,592,726,653,744
3.1,21.34,43.89,350,310,559,632,592,726,652,744
3.2,21.34,43.89,350,310,560,632,592,726,652,744
3.3,21.34,43.89,351,310,559,632,592,725,653,744
3.4,21.35,43.89,351,310,560,632,592,726,653,744
3.5,21.35,43.89,351,310,560,632,592,726,653,744
3.59,21.35,43.89,351,310,559,632,593,725,652,743
3.71,21.35,43.89,352,310,560,632,593,725,653,744
3.8,21.35,43.89,351,310,560,632,592,726,652,743
3.9,21.35,43.89,351,310,559,632,592,725,652,743
4,21.35,43.89,350,309,560,632,592,726,652,743
4.1,21.35,43.89,351,310,560,632,592,726,652,744
4.2,21.35,43.89,351,309,559,632,593,726,652,743
4.3,21.35,43.89,352,310,560,632,592,726,652,744
4.4,21.34,43.89,353,310,559,632,593,726,653,744
4.5,21.34,43.89,353,310,560,632,593,726,653,744
4.61,21.34,43.89,350,310,560,631,592,726,652,744
4.7,21.34,43.89,350,310,560,632,593,726,652,744
4.8,21.34,43.89,351,310,559,632,592,726,652,744
4.9,21.34,43.89,350,310,560,631,593,726,653,743
5,21.34,43.89,351,310,559,632,592,726,652,743
5.11,21.34,43.89,352,310,560,632,593,726,653,744
5.2,21.34,43.89,353,310,560,632,592,726,652,744
5.3,21.34,43.89,350,310,560,632,592,726,653,743
5.4,21.34,43.9,351,310,559,632,592,726,652,743
5.51,21.34,43.9,350,310,560,631,592,726,653,743
5.53,21.34,43.9,351,310,559,632,593,726,652,744
5.53,21.34,43.9,351,310,559,632,593,726,652,744
6.04,21.34,43.9,350,309,560,632,592,726,652,744
6.04,21.34,43.9,350,309,560,632,592,726,652,744
6.04,21.34,43.9,350,309,560,632,592,726,652,744
6.1,21.34,43.9,351,309,560,632,592,726,653,744
6.2,21.34,43.9,350,310,561,632,592,726,653,744
6.3,21.34,43.9,352,310,559,632,592,726,653,744
6.41,21.34,43.9,350,310,560,632,592,726,653,744
6.51,21.34,43.9,351,310,560,632,592,726,653,744
6.6,21.34,43.9,350,310,560,632,592,726,653,744
6.7,21.34,43.9,351,310,560,632,592,726,653,743
6.8,21.34,43.9,351,310,559,632,592,726,653,744
6.9,21.34,43.9,351,309,559,632,592,726,653,744
7,21.34,43.9,350,309,560,632,592,726,653,744
7.1,21.34,43.9,351,310,560,632,592,726,653,744
7.2,21.34,43.9,352,310,560,632,592,726,653,743
7.3,21.34,43.9,351,310,560,633,593,726,653,744
7.4,21.34,43.9,353,310,560,633,592,726,654,745
