"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.41,40.83,328,289,522,590,565,695,619,708
3.1,22.41,40.83,329,290,522,590,565,695,620,708
3.2,22.41,40.83,328,290,523,589,564,695,619,708
3.31,22.41,40.83,327,290,522,590,564,695,619,707
3.4,22.41,40.83,328,289,522,590,564,694,619,707
3.5,22.41,40.83,328,289,522,590,564,695,619,707
3.61,22.41,40.83,328,289,522,590,564,695,620,708
3.71,22.41,40.83,328,290,522,590,564,695,620,708
3.81,22.4,40.86,328,290,522,590,565,695,620,708
3.91,22.4,40.86,328,290,522,590,564,695,619,708
4.01,22.4,40.86,328,290,522,589,564,695,618,707
4.11,22.4,40.86,328,289,523,589,564,695,619,707
4.21,22.4,40.86,328,290,522,590,564,695,619,707
4.3,22.4,40.86,328,289,522,590,564,695,619,707
4.41,22.4,40.86,329,290,523,589,564,695,618,707
4.51,22.4,40.86,328,289,522,589,564,694,618,707
4.61,22.4,40.86,328,290,522,590,564,695,619,707
4.71,22.4,40.86,328,290,522,589,564,695,619,707
4.81,22.42,40.83,328,290,522,590,563,695,619,707
4.89,22.42,40.83,329,290,522,589,564,694,619,707
5,22.42,40.83,329,290,522,589,564,694,619,707
5.11,22.42,40.83,328,290,522,590,564,695,619,707
5.21,22.42,40.83,329,290,523,590,564,695,620,708
5.29,22.42,40.83,331,290,522,590,564,695,619,708
5.41,22.42,40.83,328,290,523,589,564,695,619,708
5.5,22.42,40.83,328,290,523,589,564,695,619,707
5.6,22.42,40.83,328,290,522,590,564,694,619,707
5.7,22.42,40.83,328,290,522,589,564,694,618,707
5.8,22.4,40.86,328,290,522,589,563,694,619,707
5.9,22.4,40.86,328,290,523,589,564,695,620,708
6,22.4,40.86,330,290,522,590,564,695,619,708
6.1,22.4,40.86,328,289,522,590,564,695,620,708
6.2,22.4,40.86,328,290,522,589,564,694,619,708
6.3,22.4,40.86,330,289,522,589,564,694,619,707
6.4,22.4,40.86,328,290,522,589,563,694,619,707
6.5,22.4,40.86,327,289,523,589,564,694,619,707
6.6,22.4,40.86,330,289,522,589,564,695,619,707
6.7,22.4,40.86,328,289,522,589,564,694,619,707
6.8,22.4,40.89,328,289,522,589,564,694,619,707
6.91,22.4,40.89,328,289,522,589,564,694,619,707
7.01,22.4,40.89,329,290,523,589,564,694,619,707
7.11,22.4,40.89,328,289,522,589,564,694,618,707
7.21,22.4,40.89,328,289,522,589,564,694,619,707
7.31,22.4,40.89,328,290,522,588,564,694,619,707
7.41,22.4,40.89,328,289,522,589,564,694,619,707
7.49,22.4,40.89,329,289,522,589,564,694,619,707
7.61,22.4,40.89,328,289,522,589,563,694,619,707
7.7,22.4,40.89,328,290,523,589,564,695,619,708
7.81,22.4,40.89,328,289,522,589,564,695,619,708
7.91,22.4,40.89,328,290,522,589,564,695,619,707
8.01,22.4,40.89,328,289,523,589,565,695,620,708
8.09,22.4,40.89,328,289,522,589,564,694,619,708
8.21,22.4,40.89,328,289,523,589,564,694,619,708
8.31,22.4,40.89,328,290,522,589,564,694,619,708
8.41,22.4,40.89,328,290,522,589,564,694,619,707
8.49,22.4,40.89,328,289,522,589,564,695,619,708
8.61,22.4,40.89,328,290,522,588,564,694,619,708
8.7,22.4,40.89,328,290,522,589,564,694,619,708
8.8,22.41,40.83,328,289,522,589,564,695,620,708
8.89,22.41,40.83,328,289,523,589,564,694,619,708
9,22.41,40.83,328,289,522,589,564,695,619,708
9.11,22.41,40.83,328,290,522,589,564,694,619,708
9.2,22.41,40.83,328,289,523,589,564,694,620,708
9.3,22.41,40.83,328,290,522,589,564,694,619,708
9.4,22.41,40.83,330,289,523,589,564,694,619,708
9.51,22.41,40.83,328,290,523,589,565,695,620,708
9.6,22.41,40.83,329,289,523,589,564,694,620,708
9.71,22.41,40.83,327,289,522,589,564,694,620,708
9.81,22.4,40.83,328,290,523,589,564,694,619,708
9.91,22.4,40.83,331,290,522,589,564,694,619,708
10.01,22.4,40.83,328,290,522,589,564,694,619,708
10.11,22.4,40.83,328,289,522,588,564,695,619,708
10.21,22.4,40.83,328,289,523,589,564,695,620,708
10.31,22.4,40.83,328,290,522,589,564,695,619,708
10.41,22.4,40.83,328,289,523,589,564,694,620,708
