"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.26,42.83,335,296,536,612,570,701,629,718
3.11,21.26,42.83,338,297,536,612,570,701,629,718
3.21,21.26,42.83,335,296,537,613,571,702,630,719
3.3,21.26,42.83,335,296,536,613,570,701,629,718
3.41,21.26,42.8,338,296,537,613,571,702,630,719
3.49,21.26,42.8,336,296,536,612,570,701,630,719
3.61,21.26,42.8,336,296,536,613,570,700,630,718
3.71,21.26,42.8,336,296,536,612,570,701,630,718
3.8,21.26,42.8,336,296,537,613,570,701,630,718
3.9,21.26,42.8,336,297,537,612,570,702,630,718
4.01,21.26,42.8,336,297,536,613,571,701,630,718
4.11,21.26,42.8,335,296,536,613,570,702,630,718
4.21,21.26,42.8,335,296,538,613,570,701,630,718
4.3,21.26,42.8,338,296,536,613,570,701,630,719
4.4,21.26,42.8,336,297,537,613,570,702,630,719
4.51,21.26,42.8,336,296,536,613,570,701,629,718
4.6,21.26,42.8,335,296,537,613,570,702,630,718
4.7,21.26,42.8,337,296,536,613,571,701,629,718
4.81,21.26,42.8,336,296,536,613,571,701,630,718
4.91,21.26,42.8,336,297,537,613,570,701,630,719
5.01,21.26,42.8,336,296,537,613,571,701,631,719
5.09,21.26,42.8,335,296,538,613,571,701,630,719
5.21,21.26,42.8,338,296,536,613,570,701,630,718
5.31,21.26,42.8,335,296,537,613,570,701,629,718
5.41,21.26,42.83,336,296,536,613,570,701,630,718
5.51,21.26,42.83,335,296,537,613,570,702,630,718
5.61,21.26,42.83,336,297,538,613,571,701,629,718
5.71,21.26,42.83,337,297,537,613,570,700,629,718
5.81,21.26,42.83,336,296,537,613,571,701,630,719
5.91,21.26,42.83,336,296,536,613,571,701,630,718
6.01,21.26,42.83,336,296,537,613,571,701,629,718
6.09,21.26,42.83,336,297,538,614,571,701,629,718
6.2,21.26,42.83,336,296,537,613,570,701,630,718
6.29,21.26,42.83,336,297,537,614,570,701,630,719
6.39,21.26,42.83,337,296,537,614,571,701,630,718
6.51,21.24,42.87,336,296,537,614,570,701,630,719
6.61,21.24,42.87,336,296,537,614,570,701,630,719
6.71,21.24,42.87,336,297,538,614,571,701,629,718
6.81,21.24,42.87,337,297,537,614,570,701,629,719
6.91,21.24,42.87,336,296,537,614,571,701,629,718
7.01,21.24,42.87,336,296,537,614,571,701,630,719
7.11,21.24,42.87,337,297,537,614,571,701,629,719
7.21,21.24,42.87,337,297,537,614,571,701,630,718
7.31,21.24,42.87,336,297,538,614,570,701,630,718
7.41,21.24,42.87,337,296,537,615,571,702,630,718
7.49,21.26,42.83,337,297,537,614,570,701,629,718
7.6,21.26,42.83,336,297,538,615,570,701,630,719
7.69,21.26,42.83,336,296,537,614,571,701,629,718
7.73,21.26,42.83,336,297,537,615,571,701,630,718
7.73,21.26,42.83,336,297,537,615,571,701,630,718
8.25,21.26,42.83,336,296,537,615,571,701,630,719
8.25,21.26,42.83,336,296,537,615,571,701,630,719
8.25,21.26,42.83,336,296,537,615,571,701,630,719
8.31,21.26,42.83,336,297,537,615,571,702,630,719
8.41,21.26,42.83,336,296,537,615,570,701,630,719
8.5,21.25,42.9,336,296,537,615,571,701,630,718
8.61,21.25,42.9,337,297,538,615,571,701,630,719
8.71,21.25,42.9,336,297,538,615,571,701,630,718
8.81,21.25,42.9,337,296,538,615,570,702,630,719
8.91,21.25,42.9,337,296,538,615,571,702,630,719
9.01,21.25,42.9,336,297,538,616,571,701,630,719
9.09,21.25,42.9,337,297,538,616,571,701,630,719
9.21,21.25,42.9,337,297,538,616,572,702,631,719
9.31,21.25,42.9,336,297,539,616,571,702,631,719
9.41,21.25,42.9,336,297,538,616,571,702,631,719
9.51,21.26,42.83,336,297,538,616,571,701,631,720
9.61,21.26,42.83,337,297,538,616,571,701,631,719
9.71,21.26,42.83,338,297,538,616,571,702,630,720
9.81,21.26,42.83,337,297,538,616,571,702,631,719
9.91,21.26,42.83,339,298,538,616,571,702,631,719
10.01,21.26,42.83,337,297,538,616,571,702,630,719
10.11,21.26,42.83,337,297,539,617,571,702,631,719
10.21,21.26,42.83,337,297,538,617,571,702,631,719
10.31,21.26,42.83,337,297,539,617,571,702,631,719
10.41,21.26,42.83,336,297,538,617,571,702,631,719
10.51,21.26,42.83,337,297,539,617,571,702,631,719
10.61,21.26,42.83,337,297,539,617,571,703,631,720
