"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.3,41.38,339,282,534,560,602,743,662,758
3.09,22.3,41.38,339,282,533,560,602,744,662,758
3.2,22.3,41.38,339,283,534,560,601,743,662,758
3.3,22.3,41.38,339,282,533,560,602,744,662,758
3.41,22.3,41.38,339,283,534,560,602,744,661,758
3.5,22.3,41.38,340,282,534,560,601,743,662,758
3.6,22.3,41.38,339,283,534,560,601,744,662,759
3.7,22.3,41.38,339,282,533,560,602,743,662,758
3.8,22.3,41.42,339,283,534,560,601,743,661,758
3.9,22.3,41.42,339,283,534,560,602,743,662,758
4,22.3,41.42,339,283,533,560,601,744,662,758
4.1,22.3,41.42,342,283,533,560,601,744,662,758
4.2,22.3,41.42,340,282,533,560,601,743,662,758
4.3,22.3,41.42,339,282,533,560,601,744,662,758
4.41,22.3,41.42,340,282,534,560,602,743,662,759
4.5,22.3,41.42,339,283,534,560,601,743,662,758
4.6,22.3,41.42,339,282,534,560,602,743,662,758
4.71,22.3,41.42,340,283,533,560,601,744,662,758
4.8,22.29,41.38,340,282,534,560,601,743,662,758
4.9,22.29,41.38,341,282,534,560,601,743,662,758
5,22.29,41.38,339,283,534,560,601,743,662,758
5.1,22.29,41.38,340,282,534,560,602,743,662,758
5.2,22.29,41.38,341,282,533,559,601,743,661,758
5.3,22.29,41.38,339,282,533,560,601,743,662,758
5.4,22.29,41.38,341,283,534,560,601,743,662,758
5.5,22.29,41.38,340,282,534,560,601,743,662,758
5.6,22.29,41.38,340,282,533,560,601,743,662,758
5.7,22.29,41.38,341,283,533,560,601,743,662,758
5.8,22.29,41.42,339,282,534,559,601,743,663,758
5.9,22.29,41.42,341,283,534,560,602,744,662,758
6,22.29,41.42,339,282,533,560,601,743,663,758
6.1,22.29,41.42,339,282,534,560,601,743,662,759
6.2,22.29,41.42,340,283,533,560,601,743,662,758
6.3,22.29,41.42,341,282,535,560,601,743,662,759
6.4,22.29,41.42,341,282,534,559,601,743,662,758
6.5,22.29,41.42,339,283,534,559,601,743,662,759
6.6,22.29,41.42,340,282,533,560,601,743,662,758
6.7,22.29,41.42,339,282,533,560,601,743,662,759
6.8,22.3,41.42,339,282,534,559,601,743,662,759
6.9,22.3,41.42,339,282,533,559,602,743,662,758
7,22.3,41.42,339,282,534,560,602,743,663,758
7.1,22.3,41.42,339,282,533,560,602,744,663,758
7.2,22.3,41.42,340,282,534,560,602,743,663,758
7.3,22.3,41.42,340,283,533,559,602,743,663,758
7.4,22.3,41.42,339,283,533,560,602,743,662,758
7.5,22.3,41.42,340,283,534,559,602,743,663,759
7.6,22.3,41.42,340,283,534,560,601,743,663,759
7.7,22.3,41.42,340,282,533,559,602,743,663,759
7.8,22.29,41.42,339,283,534,560,601,743,663,759
7.9,22.29,41.42,340,282,534,560,602,743,663,759
8,22.29,41.42,340,282,534,559,601,743,663,759
8.1,22.29,41.42,340,282,534,559,602,743,663,759
8.2,22.29,41.42,339,282,534,560,602,743,663,758
8.3,22.29,41.42,339,282,533,559,601,743,662,758
8.4,22.29,41.42,339,282,534,559,602,743,662,759
8.5,22.29,41.42,339,282,534,559,601,743,662,759
8.59,22.29,41.42,339,283,534,560,602,743,663,759
8.7,22.29,41.42,339,283,533,560,602,744,662,759
8.8,22.29,41.42,340,282,534,560,602,744,662,759
8.9,22.29,41.42,341,282,534,560,602,743,663,759
9,22.29,41.42,339,283,534,560,602,743,663,759
9.1,22.29,41.42,340,282,533,560,602,743,662,759
9.2,22.29,41.42,342,283,534,560,602,743,662,759
9.3,22.29,41.42,340,282,534,559,602,743,663,759
9.4,22.29,41.42,340,282,534,560,602,743,663,759
9.5,22.29,41.42,341,282,534,560,602,743,662,759
9.6,22.29,41.42,339,283,534,560,602,743,662,759
9.7,22.29,41.42,342,283,534,560,601,743,663,759
9.8,22.29,41.42,339,282,534,559,602,743,663,759
9.89,22.29,41.42,340,283,534,560,602,743,663,760
10,22.29,41.42,342,283,534,560,602,743,662,760
10.1,22.29,41.42,340,283,534,560,602,743,663,759
10.2,22.29,41.42,340,282,534,560,602,743,663,760
10.3,22.29,41.42,339,282,534,560,602,743,663,759
10.4,22.29,41.42,342,283,535,560,602,743,663,759
10.5,22.29,41.42,339,283,533,559,602,743,663,759
10.6,22.29,41.42,339,282,534,560,602,743,663,760
10.7,22.29,41.42,339,283,533,560,602,743,663,759
10.8,22.29,41.42,339,283,534,560,602,743,663,759
10.9,22.29,41.42,342,282,534,560,602,744,663,760
11,22.29,41.42,339,283,534,560,602,743,664,760
11.1,22.29,41.42,339,282,534,560,602,743,663,760
11.2,22.29,41.42,340,282,534,560,602,743,663,760
11.3,22.29,41.42,339,282,534,560,602,743,664,760
11.4,22.29,41.42,339,283,534,560,602,743,663,760
11.49,22.29,41.42,340,282,533,560,602,744,663,759
11.6,22.29,41.42,339,283,534,560,602,743,663,760
11.7,22.29,41.42,340,282,535,560,602,743,664,760
11.79,22.29,41.42,340,282,535,560,602,744,664,760
11.89,22.28,41.42,341,283,534,560,603,743,664,760
12,22.28,41.42,339,283,534,560,602,743,664,760
12.1,22.28,41.42,339,283,534,560,602,743,664,760
12.2,22.28,41.42,340,282,534,561,602,744,663,760
12.31,22.28,41.42,340,282,535,560,603,743,663,760
12.4,22.28,41.42,339,282,533,560,602,743,663,761
12.5,22.28,41.42,339,283,534,560,603,743,664,761
12.6,22.28,41.42,341,282,535,561,602,744,663,760
12.7,22.28,41.42,340,282,535,560,602,743,664,761
12.8,22.28,41.42,339,283,534,560,602,744,664,761
12.9,22.28,41.42,340,282,535,561,603,743,664,761
13,22.28,41.42,339,283,534,561,603,744,664,761
13.1,22.28,41.42,339,282,534,561,602,743,664,761
13.2,22.28,41.42,340,282,534,561,602,744,664,761
13.3,22.28,41.42,340,283,534,561,603,744,665,761
13.4,22.28,41.42,340,282,534,561,603,744,664,761
13.5,22.28,41.42,342,283,534,560,603,744,664,761
13.6,22.28,41.42,339,283,534,561,602,743,664,761
13.7,22.28,41.42,340,283,534,561,602,744,664,761
13.8,22.28,41.42,342,283,535,561,603,744,664,761
13.9,22.28,41.38,340,282,534,561,603,744,665,762
14,22.28,41.38,340,283,534,561,603,744,664,762
14.1,22.28,41.38,339,283,535,561,603,744,664,762
14.2,22.28,41.38,339,282,534,561,603,743,665,762
14.3,22.28,41.38,340,283,535,560,603,744,664,762
14.4,22.28,41.38,340,283,534,561,603,744,664,761
14.5,22.28,41.38,342,283,534,561,603,744,665,762
14.6,22.28,41.38,340,283,534,562,603,744,665,763
14.7,22.28,41.38,339,283,535,561,603,744,665,762
14.8,22.28,41.38,340,282,535,561,603,744,665,762
14.9,22.28,41.42,340,282,534,562,603,744,665,763
15,22.28,41.42,339,282,535,561,603,744,665,762
15.1,22.28,41.42,340,283,535,562,603,744,665,762
15.2,22.28,41.42,340,283,534,561,603,744,665,763
15.29,22.28,41.42,340,283,534,561,603,744,665,762
15.4,22.28,41.42,340,282,534,562,603,744,665,763
15.5,22.28,41.42,340,283,535,561,604,744,665,763
15.6,22.28,41.42,340,283,535,561,603,744,665,763
15.7,22.28,41.42,340,282,534,562,604,744,666,763
15.8,22.28,41.42,341,283,535,562,604,745,666,763
15.91,22.26,41.42,343,283,535,562,604,744,666,763
16,22.26,41.42,341,283,535,561,604,745,665,763
16.1,22.26,41.42,340,283,534,562,604,744,665,763
16.2,22.26,41.42,342,283,534,562,603,744,666,763
16.3,22.26,41.42,340,283,534,562,603,744,666,763
16.4,22.26,41.42,341,283,535,562,604,745,666,764
16.49,22.26,41.42,340,283,534,562,604,745,665,764
16.6,22.26,41.42,339,283,534,562,603,745,666,763
16.7,22.26,41.42,340,283,534,562,604,745,666,764
16.8,22.26,41.42,340,283,535,562,604,745,666,764
16.9,22.26,41.42,341,283,535,562,604,745,666,764
17,22.28,41.38,340,283,534,562,604,745,667,764
17.11,22.28,41.38,340,283,535,563,604,745,666,763
17.2,22.28,41.38,341,283,534,563,604,745,667,764
17.3,22.28,41.38,340,283,535,562,604,745,667,764
17.4,22.28,41.38,340,283,535,562,605,745,667,764
17.5,22.28,41.38,341,283,535,563,604,745,666,764
17.6,22.28,41.38,341,283,534,563,604,745,666,764
17.7,22.28,41.38,340,283,535,563,605,745,667,764
17.8,22.28,41.38,341,283,535,562,604,745,667,764
17.9,22.28,41.38,340,283,535,563,604,745,667,764
18,22.28,41.38,340,283,534,563,605,745,667,764
18.1,22.28,41.38,341,283,535,563,605,745,667,764
18.2,22.28,41.38,341,283,534,562,604,745,667,764
18.3,22.28,41.38,341,283,535,563,604,745,667,764
18.4,22.28,41.38,340,283,535,563,605,746,667,765
18.5,22.28,41.38,343,283,535,563,604,745,668,764
18.6,22.28,41.38,340,283,535,563,605,745,667,764
18.7,22.28,41.38,342,283,534,563,605,745,667,765
18.81,22.28,41.38,342,283,534,563,605,746,667,765
18.9,22.28,41.38,341,282,535,563,605,746,667,765
18.99,22.28,41.42,340,283,535,563,605,746,667,765
19.1,22.28,41.42,340,283,535,563,604,746,667,765
19.2,22.28,41.42,342,283,535,563,605,745,667,765
19.31,22.28,41.42,340,283,534,563,605,745,667,765
19.4,22.28,41.42,342,283,535,563,604,746,668,765
19.5,22.28,41.42,340,283,535,563,605,746,667,765
19.6,22.28,41.42,341,283,535,563,605,746,667,765
19.7,22.28,41.42,341,283,535,564,605,746,667,766
19.8,22.28,41.42,340,283,535,563,606,746,667,765
19.9,22.28,41.42,343,283,535,563,605,746,668,765
20,22.29,41.39,341,283,535,564,606,745,668,765
20.1,22.29,41.39,341,283,535,564,605,746,668,766
20.2,22.29,41.39,341,283,534,563,605,746,668,765
20.3,22.29,41.39,342,283,535,564,605,746,668,765
20.4,22.29,41.39,342,283,535,564,606,746,668,765
20.5,22.29,41.39,341,283,535,564,606,747,668,766
20.6,22.29,41.39,341,283,535,564,606,746,668,766
20.7,22.29,41.39,340,283,535,564,606,746,668,766
20.79,22.29,41.39,342,282,535,564,605,746,668,765
20.9,22.29,41.39,340,283,535,564,605,746,668,765
21,22.28,41.42,342,283,535,564,605,746,668,766
21.1,22.28,41.42,342,283,536,563,606,746,668,766
21.19,22.28,41.42,341,283,535,564,606,747,668,765
21.3,22.28,41.42,341,283,535,564,606,747,668,766
21.41,22.28,41.42,343,283,535,564,606,746,668,766
21.5,22.28,41.42,341,283,535,564,605,747,668,765
21.6,22.28,41.42,342,283,536,565,606,747,668,765
21.7,22.28,41.42,340,283,535,564,606,747,668,766
21.8,22.28,41.42,341,283,535,565,606,747,668,765
21.91,22.28,41.42,340,283,536,565,606,747,668,766
21.99,22.28,41.42,340,283,535,565,605,746,668,765
22.1,22.29,41.42,340,283,536,565,606,746,668,766
22.2,22.29,41.42,340,283,535,564,606,747,668,765
22.3,22.29,41.42,341,283,535,565,606,747,668,766
22.4,22.29,41.42,341,283,535,565,606,747,668,766
22.5,22.29,41.42,343,283,536,565,606,747,668,766
22.6,22.29,41.42,341,283,535,565,606,747,668,765
