"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.19,41.76,335,299,537,599,565,695,623,710
3.1,21.19,41.76,334,299,536,598,565,695,623,711
3.2,21.19,41.76,336,299,536,599,565,695,623,711
3.31,21.19,41.76,334,299,537,598,566,695,623,710
3.4,21.2,41.76,334,299,537,599,565,695,623,711
3.5,21.2,41.76,335,300,536,598,565,695,623,711
3.6,21.2,41.76,334,299,536,599,565,695,623,711
3.7,21.2,41.76,334,298,537,599,565,695,623,710
3.8,21.2,41.76,335,299,536,599,565,695,623,711
3.9,21.2,41.76,336,300,537,598,565,695,623,711
4,21.2,41.76,334,299,536,599,565,695,623,711
4.1,21.2,41.76,334,299,536,598,565,695,623,710
4.2,21.2,41.76,334,300,537,598,566,695,623,710
4.3,21.2,41.76,334,299,536,599,565,695,622,710
4.4,21.19,41.76,334,299,537,599,565,695,622,710
4.5,21.19,41.76,334,299,537,598,565,695,623,711
4.6,21.19,41.76,334,299,537,598,566,695,623,711
4.7,21.19,41.76,335,299,537,598,565,695,623,711
4.8,21.19,41.76,335,299,537,599,565,695,622,711
4.9,21.19,41.76,334,299,537,598,566,695,623,711
5,21.19,41.76,334,299,537,598,565,695,622,711
5.1,21.19,41.76,334,299,536,598,565,695,623,711
5.2,21.19,41.76,334,299,537,598,565,695,623,711
5.3,21.19,41.76,335,299,537,598,565,695,623,711
5.4,21.18,41.76,334,299,536,599,565,695,623,711
5.5,21.18,41.76,335,299,536,599,565,695,623,710
5.6,21.18,41.76,336,299,537,598,565,695,623,711
5.7,21.18,41.76,336,299,537,599,565,695,622,711
5.8,21.18,41.76,334,299,537,599,565,695,623,710
5.9,21.18,41.76,335,299,536,599,565,695,622,711
6,21.18,41.76,334,299,537,599,565,695,623,711
6.1,21.18,41.76,334,299,537,598,566,695,623,710
6.2,21.18,41.76,334,299,537,598,565,695,623,711
6.3,21.18,41.76,334,299,537,599,565,695,623,711
6.4,21.18,41.76,334,299,537,599,565,695,622,710
6.5,21.18,41.83,335,299,537,599,565,695,623,711
6.6,21.18,41.83,334,299,537,599,566,695,623,711
6.7,21.18,41.83,335,299,537,599,565,695,623,711
6.8,21.18,41.83,335,299,537,599,565,695,623,711
6.9,21.18,41.83,334,299,537,599,565,696,623,711
7,21.18,41.83,335,299,538,599,565,695,623,711
7.1,21.18,41.83,335,300,537,599,565,695,623,711
7.2,21.18,41.83,334,299,537,599,565,695,623,711
7.3,21.18,41.83,335,299,537,599,565,696,623,711
7.4,21.18,41.83,335,299,537,599,565,695,624,711
7.5,21.19,41.76,335,299,537,599,565,695,623,711
7.6,21.19,41.76,335,299,537,599,565,695,623,711
7.7,21.19,41.76,335,300,538,599,566,695,624,711
7.8,21.19,41.76,335,299,537,599,565,695,624,711
7.9,21.19,41.76,334,300,537,600,565,696,624,711
8,21.19,41.76,336,300,537,599,566,695,624,712
8.1,21.19,41.76,336,299,537,599,565,695,624,711
8.2,21.19,41.76,334,299,537,599,565,695,624,712
8.3,21.19,41.76,334,299,537,599,565,695,624,711
8.4,21.19,41.76,335,299,537,600,565,695,624,712
8.5,21.19,41.8,334,300,537,599,566,695,624,712
8.6,21.19,41.8,334,299,537,599,566,696,624,712
8.7,21.19,41.8,335,299,538,599,566,695,624,711
8.8,21.19,41.8,334,300,537,599,565,695,624,711
8.9,21.19,41.8,335,299,537,599,565,695,624,712
9,21.19,41.8,335,299,538,600,566,696,624,711
9.1,21.19,41.8,335,299,537,600,565,695,624,712
9.2,21.19,41.8,335,299,538,600,566,695,624,711
9.3,21.19,41.8,335,299,537,600,566,695,624,711
9.4,21.19,41.8,335,299,537,599,566,695,624,711
9.5,21.18,41.76,335,299,537,600,566,695,624,712
9.6,21.18,41.76,335,299,538,599,566,695,624,712
9.7,21.18,41.76,336,299,537,600,566,696,624,712
9.8,21.18,41.76,335,299,537,600,566,696,624,712
9.9,21.18,41.76,335,299,538,600,566,695,624,712
10,21.18,41.76,335,299,538,600,566,695,624,712
10.11,21.18,41.76,335,299,539,600,566,696,624,712
10.2,21.18,41.76,336,299,538,600,566,695,624,712
10.3,21.18,41.76,335,299,538,600,566,696,624,712
10.4,21.18,41.76,335,299,538,600,566,696,624,712
10.5,21.18,41.76,335,299,537,600,566,695,624,712
10.6,21.18,41.76,337,299,539,600,566,696,625,712
10.7,21.18,41.76,335,298,538,601,566,695,625,712
10.8,21.18,41.76,336,299,538,600,566,696,625,712
10.9,21.18,41.76,335,299,538,600,566,696,624,712
11,21.18,41.76,335,299,538,600,566,695,625,712
11.1,21.18,41.76,336,299,538,601,566,696,625,712
11.2,21.18,41.76,336,298,539,601,566,696,624,712
11.3,21.18,41.76,336,299,539,601,567,696,625,712
11.4,21.18,41.76,335,299,538,601,566,696,625,713
11.49,21.19,41.76,335,299,538,601,566,696,625,712
11.6,21.19,41.76,336,299,538,601,567,696,625,712
11.7,21.19,41.76,335,299,539,601,567,696,625,712
11.79,21.19,41.76,337,299,538,601,566,695,625,712
11.9,21.19,41.76,336,299,538,601,566,696,625,712
12,21.19,41.76,335,299,538,601,567,696,625,712
12.1,21.19,41.76,337,299,538,602,567,696,625,713
12.2,21.19,41.76,336,300,538,602,567,696,624,712
12.3,21.19,41.76,336,299,539,602,567,696,625,713
