"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.12,40.56,329,292,529,602,565,696,625,713
3.1,21.12,40.56,330,292,530,602,564,697,625,713
3.2,21.12,40.56,328,293,529,602,564,697,625,713
3.3,21.12,40.56,329,292,530,602,565,697,625,713
3.4,21.13,40.59,329,292,529,601,564,697,626,713
3.5,21.13,40.59,328,292,530,602,564,697,626,713
3.6,21.13,40.59,329,293,530,602,564,696,626,714
3.7,21.13,40.59,328,292,530,601,564,696,625,713
3.8,21.13,40.59,330,293,529,602,564,697,626,713
3.9,21.13,40.59,329,293,529,601,564,696,625,713
4,21.13,40.59,328,293,529,602,564,696,625,713
4.1,21.13,40.59,328,293,529,602,564,696,626,714
4.2,21.13,40.59,328,293,529,601,564,696,626,713
4.3,21.13,40.59,329,293,530,601,564,697,625,713
4.41,21.12,40.59,328,293,529,601,564,697,626,713
4.5,21.12,40.59,329,293,529,602,564,697,626,713
4.6,21.12,40.59,329,292,529,602,564,697,625,713
4.7,21.12,40.59,329,292,529,601,565,696,626,713
4.8,21.12,40.59,329,292,529,602,564,696,626,714
4.9,21.12,40.59,329,292,530,602,564,696,626,713
5,21.12,40.59,328,293,530,602,564,697,626,714
5.1,21.12,40.59,328,292,529,601,564,696,625,713
5.2,21.12,40.59,329,292,529,601,565,697,625,714
5.3,21.12,40.59,328,292,530,601,564,696,626,714
5.4,21.14,40.56,328,293,530,602,565,697,626,713
5.5,21.14,40.56,329,293,529,601,564,697,626,713
5.6,21.14,40.56,329,292,529,601,564,696,626,713
5.7,21.14,40.56,329,292,530,602,565,696,626,714
5.8,21.14,40.56,329,292,529,602,564,696,626,713
5.9,21.14,40.56,329,292,529,602,564,697,626,714
6,21.14,40.56,328,292,529,602,564,696,626,714
6.1,21.14,40.56,329,292,529,601,564,696,626,714
6.2,21.14,40.56,328,293,530,602,565,697,626,713
6.3,21.14,40.56,329,292,529,601,564,697,626,714
6.4,21.12,40.59,329,292,529,601,564,696,626,714
6.5,21.12,40.59,331,293,530,602,565,697,626,713
6.6,21.12,40.59,329,292,530,601,564,696,626,714
6.71,21.12,40.59,329,293,530,602,565,696,626,714
6.8,21.12,40.59,329,292,530,602,564,696,626,714
6.9,21.12,40.59,329,292,530,602,564,696,626,714
7,21.12,40.59,329,292,529,602,564,696,626,713
7.09,21.12,40.59,329,293,530,601,564,696,626,714
7.2,21.12,40.59,329,293,529,601,564,697,626,714
7.3,21.12,40.59,329,293,530,602,564,697,626,714
7.4,21.12,40.59,328,292,530,602,565,696,626,714
7.5,21.13,40.56,329,292,530,601,564,697,626,714
7.59,21.13,40.56,331,292,529,602,564,697,626,714
7.7,21.13,40.56,329,292,529,601,564,696,627,714
7.8,21.13,40.56,329,293,530,602,564,696,626,714
7.9,21.13,40.56,329,292,530,601,565,697,626,714
8,21.13,40.56,329,292,529,602,564,697,626,714
8.11,21.13,40.56,329,292,530,602,565,696,626,714
8.2,21.13,40.56,329,292,530,602,565,696,627,714
8.3,21.13,40.56,329,292,531,602,564,697,626,714
8.4,21.13,40.56,329,292,530,602,564,696,626,715
8.5,21.13,40.62,329,293,530,602,565,696,626,714
8.6,21.13,40.62,329,293,530,602,565,697,627,714
8.7,21.13,40.62,330,293,530,602,565,697,626,714
8.8,21.13,40.62,329,293,530,602,565,697,627,714
8.9,21.13,40.62,330,292,530,602,565,697,627,714
9,21.13,40.62,330,292,530,602,565,697,627,715
9.11,21.13,40.62,329,293,530,603,565,697,627,715
9.2,21.13,40.62,329,292,531,602,564,697,626,715
9.3,21.13,40.62,330,292,530,603,565,697,626,714
