"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.96,44.92,339,300,539,586,558,687,617,704
3.1,21.96,44.92,339,300,539,586,559,687,616,703
3.2,21.96,44.92,339,300,539,586,558,687,616,704
3.3,21.96,44.92,339,300,539,585,559,686,616,704
3.4,21.96,44.92,339,300,539,586,558,686,616,704
3.5,21.96,44.92,339,300,539,586,558,687,616,704
3.6,21.96,44.92,339,300,539,585,559,687,616,703
3.7,21.96,44.92,340,300,539,585,559,687,617,704
3.8,21.96,44.92,338,300,539,586,559,687,617,704
3.9,21.97,44.89,340,300,539,586,558,687,617,704
4,21.97,44.89,339,300,539,585,559,687,617,703
4.1,21.97,44.89,338,300,539,585,558,687,616,704
4.2,21.97,44.89,338,300,540,585,559,687,616,704
4.3,21.97,44.89,338,300,539,585,559,687,617,704
4.4,21.97,44.89,338,300,539,585,558,687,617,704
4.5,21.97,44.89,339,300,539,585,558,687,616,704
4.6,21.97,44.89,339,299,538,585,559,687,617,704
4.7,21.97,44.89,338,300,539,585,559,686,617,703
4.8,21.97,44.89,340,300,539,585,558,687,616,704
4.9,21.96,44.95,340,300,539,584,558,687,617,704
5,21.96,44.95,338,300,538,585,558,687,616,704
5.11,21.96,44.95,338,300,538,585,559,687,617,704
5.2,21.96,44.95,341,300,539,585,559,687,616,704
5.3,21.96,44.95,338,300,539,584,559,686,617,704
5.4,21.96,44.95,338,299,539,585,558,686,616,704
5.5,21.96,44.95,339,300,540,585,559,687,616,704
5.6,21.96,44.95,339,300,539,584,558,687,616,704
5.7,21.96,44.95,338,300,539,585,558,687,617,704
5.8,21.96,44.95,340,300,539,585,558,686,617,704
5.9,21.96,44.95,339,300,539,584,559,686,616,704
6,21.96,44.95,339,300,539,585,558,687,617,704
6.1,21.96,44.95,339,299,539,584,558,687,617,704
6.2,21.96,44.95,338,300,539,584,559,687,617,704
6.3,21.96,44.95,339,300,539,584,558,687,617,704
6.4,21.96,44.95,340,299,539,585,559,687,617,704
6.5,21.96,44.95,338,299,539,584,559,687,616,705
6.6,21.96,44.95,339,300,539,584,559,687,617,704
6.7,21.96,44.95,340,300,539,584,559,687,617,704
6.8,21.96,44.95,338,300,539,584,559,687,617,704
6.9,21.96,44.95,339,300,539,584,559,687,617,704
7,21.96,44.95,338,299,539,584,558,687,617,704
7.11,21.96,44.95,338,300,540,584,559,686,617,704
7.2,21.96,44.95,338,299,539,584,559,687,617,704
7.3,21.96,44.95,339,300,539,584,559,687,617,704
7.4,21.96,44.95,339,300,539,584,559,687,617,704
7.5,21.96,44.95,338,299,540,584,559,687,617,704
7.6,21.96,44.95,339,300,539,584,559,687,617,704
7.71,21.96,44.95,339,300,539,584,559,687,617,704
7.8,21.96,44.95,339,300,539,584,559,687,617,704
7.9,21.96,44.95,338,300,539,584,559,687,617,705
8,21.96,44.95,339,299,539,584,559,687,617,704
8.1,21.96,44.95,338,300,540,583,559,687,618,705
8.12,21.96,44.95,338,299,539,583,559,687,618,704
8.12,21.96,44.95,338,299,539,583,559,687,618,704
8.63,21.96,44.95,338,299,539,583,559,687,618,704
8.63,21.96,44.95,338,299,539,583,559,687,618,704
8.63,21.96,44.95,338,299,539,583,559,687,618,704
8.71,21.96,44.95,339,300,539,584,559,687,617,705
8.81,21.96,44.95,339,300,538,583,559,687,617,705
8.91,21.96,44.95,341,300,539,583,559,687,617,705
9.01,21.96,44.92,339,300,540,583,559,687,617,705
9.11,21.96,44.92,340,299,539,583,559,687,617,705
9.21,21.96,44.92,338,299,539,584,559,686,618,705
9.31,21.96,44.92,338,299,539,583,559,687,617,705
9.41,21.96,44.92,338,300,539,583,558,687,617,705
9.51,21.96,44.92,338,300,539,583,559,687,618,705
9.6,21.96,44.92,338,300,539,584,559,687,618,705
9.7,21.96,44.92,339,300,539,583,559,687,618,705
9.8,21.96,44.92,339,300,539,584,559,687,618,705
9.9,21.96,44.92,338,300,539,583,559,687,618,705
10,21.96,44.89,338,299,539,583,559,687,618,704
10.11,21.96,44.89,339,299,539,583,559,687,617,705
10.2,21.96,44.89,339,300,539,583,559,687,618,705
10.3,21.96,44.89,338,300,540,583,559,687,618,705
10.4,21.96,44.89,338,300,539,583,559,687,618,705
10.5,21.96,44.89,339,299,539,583,559,687,618,705
10.6,21.96,44.89,339,299,539,583,559,687,618,705
10.7,21.96,44.89,339,300,539,583,559,687,617,705
10.8,21.96,44.89,339,300,540,583,559,687,618,705
10.9,21.96,44.89,340,299,539,584,559,687,618,705
11,21.96,44.89,339,300,539,583,559,687,618,705
11.1,21.96,44.89,339,300,539,583,559,687,618,705
11.2,21.96,44.89,339,299,539,583,559,687,618,706
