"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.85,38.08,340,291,541,628,595,730,655,750
3.1,21.85,38.08,339,292,542,628,595,730,655,750
3.2,21.85,38.08,339,291,541,627,596,731,655,750
3.3,21.85,38.08,340,291,541,627,595,731,655,750
3.4,21.85,38.08,340,291,541,628,596,730,655,749
3.49,21.85,38.08,339,292,542,628,595,731,656,750
3.6,21.85,38.08,340,291,541,628,596,730,656,750
3.71,21.85,38.08,341,291,541,628,596,731,655,750
3.8,21.84,38.08,339,292,541,628,596,731,655,750
3.91,21.84,38.08,339,292,541,627,595,730,656,750
3.99,21.84,38.08,339,291,542,627,595,730,655,750
4.09,21.84,38.08,339,292,541,627,595,730,655,750
4.21,21.84,38.08,339,291,541,628,596,731,655,750
4.3,21.84,38.08,339,292,541,627,595,731,655,750
4.4,21.84,38.08,339,292,540,627,596,731,654,749
4.51,21.84,38.08,339,291,541,628,595,731,655,750
4.6,21.84,38.08,340,291,541,628,595,730,655,750
4.7,21.84,38.08,339,292,542,627,596,731,656,750
4.8,21.84,38.04,342,291,542,627,596,730,655,750
4.9,21.84,38.04,341,291,541,628,596,731,656,750
5.01,21.84,38.04,339,291,541,627,595,730,656,750
5.1,21.84,38.04,340,292,542,628,595,730,655,750
5.2,21.84,38.04,339,291,541,627,596,731,655,749
5.3,21.84,38.04,341,292,541,628,595,730,655,750
5.4,21.84,38.04,340,291,542,627,595,731,655,750
5.5,21.84,38.04,339,292,542,628,595,730,656,750
5.6,21.84,38.04,339,291,542,627,596,731,656,750
5.7,21.84,38.04,340,291,541,627,596,731,655,749
5.8,21.84,38.08,341,291,542,627,596,731,655,749
5.9,21.84,38.08,340,291,541,628,595,730,655,750
6.01,21.84,38.08,341,291,541,627,596,731,655,750
6.1,21.84,38.08,339,291,541,627,596,731,654,749
6.2,21.84,38.08,340,291,542,627,596,731,655,750
6.3,21.84,38.08,339,291,541,627,596,731,655,750
6.4,21.84,38.08,339,291,541,627,596,730,655,750
6.5,21.84,38.08,339,291,542,627,596,730,655,750
6.6,21.84,38.08,339,291,542,627,596,731,655,749
6.7,21.84,38.08,340,291,541,627,596,731,655,750
6.8,21.85,38.08,339,291,541,627,596,731,656,750
6.9,21.85,38.08,339,291,541,627,596,731,655,750
7,21.85,38.08,341,291,542,627,596,731,655,750
7.1,21.85,38.08,341,291,542,627,596,731,656,751
7.2,21.85,38.08,339,291,542,627,596,731,655,750
7.3,21.85,38.08,342,291,542,627,596,731,655,750
7.4,21.85,38.08,341,291,541,626,596,731,656,750
7.5,21.85,38.08,340,291,542,627,597,730,655,750
7.59,21.85,38.08,340,291,542,627,596,731,656,751
7.7,21.85,38.08,340,291,542,627,596,731,656,751
7.8,21.85,38.08,340,291,541,625,597,732,655,749
7.9,21.85,38.08,340,291,542,626,597,732,656,750
8.01,21.85,38.08,339,291,542,627,596,731,657,751
8.11,21.85,38.08,341,291,542,627,597,731,655,750
8.21,21.85,38.08,339,291,541,626,597,731,655,750
8.3,21.85,38.08,340,291,542,627,596,731,656,751
8.4,21.85,38.08,340,291,542,627,596,731,656,751
8.51,21.85,38.08,340,291,541,625,597,732,656,750
8.6,21.85,38.08,340,291,541,626,597,732,656,750
8.69,21.85,38.08,339,291,542,626,597,731,656,750
8.8,21.85,38.08,340,291,541,627,596,732,656,750
8.9,21.85,38.08,340,291,542,627,597,731,656,751
9,21.85,38.08,340,292,542,626,597,732,656,750
9.1,21.85,38.08,342,291,541,626,597,731,655,751
9.2,21.85,38.08,340,291,542,626,598,732,655,751
9.3,21.85,38.08,342,291,542,627,597,732,656,751
9.4,21.85,38.08,339,291,542,627,597,730,656,751
9.5,21.85,38.08,340,291,542,626,597,732,656,751
9.6,21.85,38.08,339,291,542,627,597,731,656,751
9.7,21.85,38.08,340,291,542,626,597,732,655,751
9.81,21.85,38.08,340,292,541,626,597,732,656,751
9.89,21.85,38.01,340,292,542,626,598,732,657,751
10,21.85,38.01,339,291,542,626,597,732,657,751
10.1,21.85,38.01,341,291,542,627,597,732,656,752
10.19,21.85,38.01,340,291,542,626,598,732,657,751
10.3,21.85,38.01,342,291,542,627,597,732,657,751
10.4,21.85,38.01,342,292,542,627,596,731,657,752
10.51,21.85,38.01,340,290,542,627,597,731,657,752
10.6,21.85,38.01,340,291,542,626,598,732,656,752
10.7,21.85,38.01,340,291,541,625,598,732,656,751
10.8,21.85,38.01,341,291,542,627,598,732,656,751
10.9,21.85,38.01,340,292,541,625,598,733,657,751
11,21.85,38.01,340,291,541,626,598,732,656,752
11.1,21.85,38.01,341,291,542,626,597,733,656,751
11.2,21.85,38.01,340,292,541,626,598,733,657,751
11.3,21.85,38.01,341,291,541,625,597,733,657,751
11.4,21.85,38.01,340,291,542,626,598,733,656,752
11.5,21.85,38.01,340,292,542,626,598,733,656,751
11.6,21.85,38.01,340,291,542,627,597,732,656,752
11.71,21.85,38.01,341,291,541,626,598,733,656,752
11.8,21.85,38.01,343,291,541,626,598,733,656,751
11.9,21.85,38.01,342,291,542,626,598,732,657,752
12,21.85,38.01,341,291,542,626,599,733,657,752
12.1,21.85,38.01,340,291,542,627,598,732,657,751
12.2,21.85,38.01,341,292,541,626,598,733,657,752
12.3,21.85,38.01,341,292,542,625,599,733,658,752
12.39,21.85,38.01,340,291,542,626,598,733,657,752
12.5,21.85,38.01,342,292,541,626,598,733,657,752
12.6,21.85,38.01,341,291,541,626,599,732,657,752
12.7,21.85,38.01,343,291,542,625,598,733,657,752
12.8,21.85,38.01,341,291,542,626,598,733,657,752
12.9,21.85,38.01,341,291,541,626,599,733,657,752
13,21.85,38.01,340,291,542,626,598,732,657,752
13.1,21.85,38.01,342,292,542,626,598,733,658,753
13.2,21.85,38.01,340,292,542,626,598,733,658,753
13.31,21.85,38.01,341,292,542,626,599,734,658,753
13.4,21.85,38.01,341,292,542,626,599,734,658,753
13.5,21.85,38.01,340,291,541,626,599,733,657,752
13.6,21.85,38.01,340,291,542,627,598,733,658,753
13.7,21.85,38.01,341,291,541,626,599,733,657,752
13.79,21.85,38.01,340,291,542,626,599,732,657,752
13.89,21.85,37.97,341,292,542,626,598,734,658,753
14,21.85,37.97,343,292,543,626,599,734,658,752
14.1,21.85,37.97,341,291,542,626,599,733,657,753
14.19,21.85,37.97,341,291,542,627,599,733,658,753
14.3,21.85,37.97,341,291,542,626,599,733,658,753
14.4,21.85,37.97,342,291,542,627,599,733,657,753
14.5,21.85,37.97,341,292,542,626,599,734,658,752
14.6,21.85,37.97,341,291,542,627,599,733,658,752
14.7,21.85,37.97,342,291,542,627,599,733,657,753
14.8,21.85,37.97,342,291,542,626,599,734,658,753
14.9,21.85,37.97,343,291,542,627,599,734,657,753
15,21.84,37.97,340,292,542,627,600,734,658,753
15.1,21.84,37.97,341,292,543,626,599,734,658,753
15.2,21.84,37.97,342,292,541,626,599,734,658,753
