"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.71,41.91,342,294,541,589,582,716,641,734
3.11,20.7,41.91,340,294,540,589,582,716,640,733
3.21,20.7,41.91,340,293,540,589,582,716,641,733
3.31,20.7,41.91,341,293,541,589,582,716,640,733
3.39,20.7,41.91,340,293,540,589,582,716,641,733
3.5,20.7,41.91,340,293,541,589,583,716,640,733
3.59,20.7,41.91,340,293,541,589,582,716,641,733
3.71,20.7,41.91,342,294,541,589,582,716,641,733
3.8,20.7,41.91,340,293,541,589,582,715,641,733
3.9,20.7,41.91,340,294,540,589,582,716,641,733
4,20.7,41.91,340,293,540,589,582,716,640,733
4.1,20.71,41.91,340,293,541,589,582,715,641,733
4.2,20.71,41.91,340,294,540,589,582,716,640,733
4.3,20.71,41.91,341,293,541,589,582,715,641,733
4.39,20.71,41.91,341,293,541,589,582,715,641,733
4.49,20.71,41.91,341,293,541,589,582,715,641,733
4.59,20.71,41.91,339,293,541,589,582,716,641,733
4.7,20.71,41.91,342,293,540,589,582,716,641,733
4.8,20.71,41.91,342,294,541,589,582,716,641,733
4.9,20.71,41.91,340,293,540,589,582,715,640,733
5,20.71,41.91,341,293,540,589,582,716,641,733
5.11,20.72,41.91,340,293,540,588,582,716,641,733
5.2,20.72,41.91,340,293,540,589,582,716,640,733
5.31,20.72,41.91,342,293,540,589,582,716,641,733
5.39,20.72,41.91,342,293,541,589,582,716,641,733
5.5,20.72,41.91,340,292,541,589,582,716,641,733
5.6,20.72,41.91,340,293,540,589,582,716,641,733
5.7,20.72,41.91,340,293,540,589,582,716,640,733
5.8,20.72,41.91,340,293,540,589,582,716,640,733
5.9,20.72,41.91,340,293,540,589,582,716,641,733
6,20.72,41.91,340,293,541,589,582,716,640,733
6.1,20.72,41.91,340,293,540,588,582,716,641,733
6.2,20.72,41.91,340,292,541,588,583,716,640,733
6.3,20.72,41.91,340,293,541,589,582,716,640,733
6.4,20.72,41.91,340,293,540,589,582,716,641,733
6.5,20.72,41.91,340,293,540,588,582,715,641,733
6.6,20.72,41.91,339,293,541,588,582,715,641,733
6.7,20.72,41.91,339,293,540,589,582,715,641,733
6.8,20.72,41.91,340,292,540,588,581,716,640,733
6.91,20.72,41.91,342,292,540,588,582,716,640,733
7,20.72,41.91,340,293,541,588,582,715,641,732
7.11,20.7,41.91,340,293,541,589,582,716,640,733
7.2,20.7,41.91,340,292,540,589,582,715,640,733
7.31,20.7,41.91,339,292,540,589,582,715,641,733
7.4,20.7,41.91,340,292,540,588,582,716,640,733
7.5,20.7,41.91,340,292,540,589,582,716,641,733
7.6,20.7,41.91,340,292,540,588,582,715,640,733
7.71,20.7,41.91,342,292,540,588,582,715,640,733
7.81,20.7,41.91,340,292,540,588,581,716,640,733
7.91,20.7,41.91,340,293,540,589,581,716,641,733
8,20.7,41.91,340,292,540,588,582,716,641,733
8.1,20.7,41.91,341,292,541,588,582,715,641,733
8.2,20.7,41.91,340,292,540,588,582,715,640,732
8.31,20.7,41.91,340,292,540,588,582,715,641,733
8.4,20.7,41.91,340,292,541,588,582,715,641,732
8.5,20.7,41.91,339,292,540,588,581,716,641,733
8.6,20.7,41.91,339,292,540,588,581,715,641,733
8.7,20.7,41.91,341,292,540,588,582,716,641,733
8.8,20.7,41.91,342,292,540,588,581,715,640,733
8.9,20.7,41.91,340,292,540,588,581,715,641,733
9,20.7,41.91,340,292,540,588,582,716,640,733
9.1,20.7,41.91,340,292,541,588,582,715,641,733
9.2,20.7,41.91,339,292,540,588,582,715,640,733
9.3,20.7,41.91,339,292,540,588,582,715,641,733
9.4,20.7,41.91,342,292,540,588,581,716,641,733
9.5,20.7,41.91,342,292,541,588,582,715,641,733
9.61,20.7,41.91,339,292,540,588,582,716,640,733
9.7,20.7,41.91,340,292,540,588,581,716,640,733
9.8,20.7,41.91,340,292,540,588,581,715,641,733
9.9,20.7,41.91,340,292,540,588,581,715,641,733
10,20.7,41.91,340,292,540,588,581,715,641,733
10.1,20.7,41.91,340,292,541,588,582,715,641,733
10.21,20.72,41.88,341,292,540,588,582,715,641,734
10.31,20.72,41.88,340,292,540,588,582,715,640,733
10.41,20.72,41.88,340,292,541,588,582,715,641,733
10.5,20.72,41.88,340,293,541,588,582,715,641,733
10.6,20.72,41.88,340,292,540,588,582,715,642,734
10.7,20.72,41.88,340,292,540,588,582,716,641,734
10.81,20.72,41.88,340,292,540,588,582,716,641,733
10.9,20.72,41.88,340,292,540,588,582,715,641,733
