"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.64,41.5,337,300,536,608,571,700,630,720
3.1,20.64,41.5,337,300,536,607,570,700,630,719
3.2,20.64,41.5,335,300,537,608,571,700,630,720
3.3,20.64,41.5,337,300,537,608,571,701,629,720
3.4,20.64,41.5,335,300,537,608,570,700,630,719
3.5,20.64,41.5,335,300,536,608,571,700,630,720
3.6,20.64,41.5,335,300,536,608,571,700,630,719
3.71,20.64,41.5,337,301,536,608,571,700,630,719
3.8,20.64,41.5,335,300,537,608,570,700,630,720
3.9,20.64,41.5,336,300,536,608,571,700,630,719
4,20.64,41.5,335,300,537,607,570,700,630,720
4.1,20.64,41.5,335,300,537,607,571,701,630,720
4.2,20.64,41.5,336,300,537,608,571,700,630,720
4.29,20.64,41.5,335,300,538,608,571,701,630,720
4.4,20.64,41.5,335,300,537,608,571,700,630,719
4.5,20.64,41.5,335,301,538,608,571,700,630,720
4.61,20.64,41.5,336,300,536,608,571,700,630,720
4.7,20.64,41.5,335,300,536,608,571,701,631,720
4.81,20.64,41.5,337,300,537,608,571,701,631,720
4.91,20.64,41.5,336,300,537,608,571,700,630,720
5,20.64,41.5,335,300,537,608,571,701,630,720
5.09,20.64,41.5,335,300,538,608,571,701,630,720
5.2,20.64,41.5,335,300,537,608,571,701,630,720
5.3,20.64,41.5,337,300,537,608,571,701,630,720
5.4,20.64,41.5,335,300,538,608,571,701,631,721
5.5,20.64,41.5,335,300,537,608,571,701,630,720
5.6,20.64,41.51,335,300,537,608,571,701,630,720
5.7,20.64,41.51,336,300,537,608,571,701,631,720
5.8,20.64,41.51,335,300,537,608,571,701,630,720
5.9,20.64,41.51,336,300,537,608,571,701,630,720
6,20.64,41.51,335,300,537,608,571,701,630,720
6.1,20.64,41.51,335,300,537,608,571,701,630,720
6.2,20.64,41.51,335,300,537,608,571,701,630,720
6.3,20.64,41.51,335,300,537,608,571,701,630,720
6.4,20.64,41.51,335,300,536,608,571,701,630,720
6.5,20.64,41.51,336,300,537,608,571,701,630,720
6.6,20.64,41.47,335,300,537,608,571,701,630,720
6.7,20.64,41.47,337,300,537,608,571,701,630,720
6.8,20.64,41.47,336,300,537,608,571,700,630,720
6.9,20.64,41.47,336,300,537,608,571,700,631,720
7,20.64,41.47,335,300,537,608,571,701,630,720
7.1,20.64,41.47,336,299,537,608,571,700,630,720
7.19,20.64,41.47,335,300,537,608,571,701,630,720
7.3,20.64,41.47,335,300,537,608,571,701,630,720
7.4,20.64,41.47,335,300,536,608,571,701,630,720
7.5,20.64,41.47,335,300,537,608,571,700,630,720
7.61,20.64,41.51,335,299,536,608,571,701,630,720
7.7,20.64,41.51,335,300,537,608,571,700,630,720
7.8,20.64,41.51,335,300,536,608,571,701,630,720
7.9,20.64,41.51,336,300,537,608,571,700,630,719
8,20.64,41.51,336,300,537,608,571,700,630,720
8.1,20.64,41.51,335,299,536,608,571,700,630,720
8.2,20.64,41.51,335,299,537,608,571,700,630,720
8.3,20.64,41.51,335,300,536,608,571,701,630,720
8.41,20.64,41.51,335,300,537,608,571,700,630,720
8.5,20.64,41.51,335,300,536,608,571,700,630,720
8.6,20.64,41.51,336,299,537,608,570,701,630,720
8.7,20.63,41.47,335,299,536,608,571,700,630,720
8.8,20.63,41.47,336,300,537,608,571,700,630,720
8.9,20.63,41.47,336,299,537,608,570,701,630,720
9,20.63,41.47,335,299,536,608,571,701,630,720
9.1,20.63,41.47,335,300,537,608,571,700,630,720
9.2,20.63,41.47,336,299,536,608,571,700,630,720
9.3,20.63,41.47,335,299,537,608,571,700,630,720
9.4,20.63,41.47,336,299,537,608,571,701,630,720
9.49,20.63,41.47,336,299,536,608,571,701,630,720
9.6,20.63,41.47,335,300,537,608,571,700,630,720
9.7,20.64,41.5,335,300,537,608,571,701,630,720
9.8,20.64,41.5,336,299,536,608,571,701,630,720
9.9,20.64,41.5,336,300,537,608,571,701,630,720
