"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.89,45.04,339,299,538,567,563,693,617,705
3.1,21.89,45.04,339,299,539,568,564,693,617,705
3.2,21.89,45.04,338,299,538,567,564,693,617,706
3.3,21.89,45.04,338,300,539,567,563,693,617,705
3.4,21.89,45.04,338,299,539,567,563,693,617,706
3.5,21.89,45.04,338,300,538,567,563,693,617,706
3.6,21.89,45.04,338,299,538,567,563,693,617,705
3.7,21.89,45.04,338,299,538,567,563,693,617,706
3.8,21.89,45.04,340,299,539,567,563,693,617,706
3.9,21.88,45.01,339,299,538,567,563,693,617,705
4,21.88,45.01,340,299,539,567,563,694,617,705
4.1,21.88,45.01,338,299,538,567,563,693,617,706
4.2,21.88,45.01,339,299,538,567,563,693,617,705
4.3,21.88,45.01,339,300,538,566,563,693,617,705
4.4,21.88,45.01,339,299,538,567,563,693,616,705
4.5,21.88,45.01,340,299,538,567,563,693,617,705
4.61,21.88,45.01,340,299,538,567,563,693,617,705
4.7,21.88,45.01,339,299,538,566,563,693,617,705
4.8,21.88,45.01,339,299,538,567,563,693,617,705
4.9,21.88,45.01,339,299,538,566,563,693,617,706
5,21.88,45.01,338,299,538,567,563,693,616,705
5.11,21.88,45.01,338,299,538,566,563,693,617,706
5.2,21.88,45.01,338,299,538,567,563,693,617,706
5.3,21.88,45.01,338,299,538,566,563,693,616,706
5.4,21.88,45.01,339,299,539,566,563,693,616,705
5.5,21.88,45.01,338,299,538,566,563,693,617,705
5.6,21.88,45.01,339,299,537,566,563,693,617,705
5.7,21.88,45.01,338,299,538,566,563,692,617,705
5.8,21.88,45.01,340,299,538,566,563,693,616,705
5.89,21.88,45.01,338,299,539,566,563,693,617,705
6,21.88,45.01,339,299,538,566,563,693,617,706
6.1,21.88,45.01,338,299,538,566,563,692,616,705
6.2,21.88,45.01,339,299,537,566,563,693,616,705
