"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.5,39.26,349,300,555,652,613,751,672,769
3.11,21.5,39.26,350,300,556,653,612,751,672,768
3.19,21.5,39.26,350,300,555,652,613,751,672,768
3.29,21.5,39.22,350,300,556,652,612,751,672,768
3.41,21.5,39.22,348,299,557,653,612,751,672,768
3.51,21.5,39.22,350,300,556,652,613,751,672,768
3.61,21.5,39.22,350,300,556,652,612,751,672,769
3.71,21.5,39.22,350,300,556,652,612,751,672,768
3.81,21.5,39.22,349,300,555,652,612,751,672,769
3.91,21.5,39.22,349,300,556,652,613,751,672,768
4.01,21.5,39.22,350,300,555,652,612,751,672,768
4.11,21.5,39.22,350,300,556,652,612,751,672,769
4.21,21.5,39.22,351,300,555,652,612,751,672,768
4.29,21.49,39.26,349,300,556,651,612,751,672,769
4.41,21.49,39.26,350,300,555,652,612,751,672,768
4.51,21.49,39.26,350,299,556,652,612,751,671,768
4.61,21.49,39.26,351,299,556,652,613,751,672,768
4.71,21.49,39.26,351,300,556,652,613,751,672,768
4.81,21.49,39.26,349,299,557,652,612,751,672,768
4.89,21.49,39.26,350,300,557,652,612,751,672,768
4.99,21.49,39.26,349,299,556,652,613,751,672,768
5.11,21.49,39.26,349,300,556,651,613,750,672,768
5.21,21.49,39.26,349,300,555,651,612,751,672,768
5.3,21.51,39.26,350,300,556,652,612,751,672,768
5.4,21.51,39.26,350,300,556,652,612,751,672,768
5.51,21.51,39.26,350,301,556,651,612,751,673,768
5.6,21.51,39.26,350,299,556,652,612,751,672,769
5.7,21.51,39.26,350,300,556,652,613,751,672,768
5.8,21.51,39.26,351,300,556,653,612,750,672,769
5.9,21.51,39.26,350,301,556,652,612,751,673,768
6,21.51,39.26,350,300,555,651,612,751,672,768
6.1,21.51,39.26,350,300,555,651,613,751,672,768
6.2,21.51,39.26,350,300,557,652,612,750,672,768
6.31,21.49,39.22,349,299,556,652,613,751,672,768
6.4,21.49,39.22,349,300,555,651,612,751,672,769
6.51,21.49,39.22,351,301,556,651,612,751,672,768
6.61,21.49,39.22,349,300,556,651,612,750,672,768
6.71,21.49,39.22,349,300,556,651,613,751,672,768
6.81,21.49,39.22,351,300,557,652,612,751,672,768
6.91,21.49,39.22,350,300,556,651,612,750,673,768
7.01,21.49,39.22,350,300,555,651,612,751,672,769
7.11,21.49,39.22,350,299,556,651,612,751,672,768
7.21,21.49,39.22,350,300,555,651,612,751,672,768
7.31,21.49,39.22,350,300,556,652,612,750,672,768
7.4,21.5,39.25,350,300,555,651,612,751,672,769
7.5,21.5,39.25,350,301,556,651,612,751,672,768
