"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.44,41.69,353,287,550,588,619,760,675,773
3.1,21.44,41.69,352,287,551,588,620,760,676,774
3.2,21.44,41.69,353,287,551,588,620,761,675,773
3.3,21.43,41.69,352,287,550,588,620,761,675,774
3.4,21.43,41.69,353,288,551,588,620,761,675,774
3.5,21.43,41.69,355,287,551,588,619,761,676,774
3.6,21.43,41.69,352,287,551,588,619,761,675,773
3.7,21.43,41.69,352,287,551,588,619,760,675,773
3.8,21.43,41.69,352,287,551,588,619,760,675,773
3.9,21.43,41.69,352,286,551,588,619,761,675,773
4,21.43,41.69,352,287,551,588,619,761,675,774
4.1,21.43,41.69,352,287,551,588,619,761,675,773
4.21,21.43,41.69,352,286,551,588,619,760,675,773
4.31,21.43,41.72,352,287,551,588,619,760,675,773
4.4,21.43,41.72,353,287,551,588,619,760,675,773
4.5,21.43,41.72,352,286,551,588,619,761,675,773
4.6,21.43,41.72,354,287,550,588,619,760,675,773
4.7,21.43,41.72,354,287,551,588,619,761,675,773
4.8,21.43,41.72,353,287,552,588,619,760,675,773
4.9,21.43,41.72,352,287,551,588,619,760,675,773
5,21.43,41.72,352,287,551,588,619,760,675,773
5.11,21.43,41.72,352,287,551,588,619,761,675,774
5.2,21.43,41.72,354,287,550,588,619,760,675,772
5.3,21.43,41.66,352,287,551,588,619,761,675,773
5.4,21.43,41.66,353,287,551,588,619,760,675,773
5.5,21.43,41.66,355,287,550,588,619,760,675,773
5.6,21.43,41.66,352,287,550,588,619,760,675,773
5.7,21.43,41.66,352,287,551,588,619,760,675,773
5.8,21.43,41.66,352,286,551,588,619,760,675,773
5.9,21.43,41.66,352,287,551,588,619,760,675,773
6,21.43,41.66,352,286,550,588,619,760,674,773
6.1,21.43,41.66,352,286,550,588,619,760,675,773
6.2,21.43,41.66,352,287,550,588,619,760,675,773
6.3,21.43,41.66,352,286,550,588,619,760,675,773
6.4,21.44,41.72,352,287,551,588,619,760,675,773
6.51,21.44,41.72,352,287,551,588,619,760,675,773
6.61,21.44,41.72,352,286,551,588,619,760,675,773
6.71,21.44,41.72,352,286,550,588,619,760,675,774
6.81,21.44,41.72,353,287,550,588,619,760,675,773
6.91,21.44,41.72,352,287,551,588,619,760,674,773
7,21.44,41.72,352,286,551,588,619,760,675,773
7.11,21.44,41.72,352,287,550,588,619,760,675,773
7.21,21.44,41.72,352,287,551,588,619,760,675,773
7.29,21.44,41.72,352,287,551,588,619,760,675,773
7.41,21.44,41.72,352,287,550,588,619,760,675,773
7.51,21.44,41.72,352,286,550,588,619,760,675,773
7.61,21.44,41.72,352,287,551,588,619,760,675,774
7.71,21.44,41.72,352,287,550,589,619,760,675,774
7.81,21.44,41.72,352,286,550,588,619,761,675,774
7.91,21.44,41.72,352,286,551,588,619,761,675,773
8.01,21.44,41.72,353,287,551,588,619,760,675,774
8.11,21.44,41.72,352,287,551,588,619,760,675,773
8.21,21.44,41.72,352,287,551,589,619,760,675,774
8.31,21.44,41.72,353,287,551,589,619,760,675,774
8.41,21.44,41.69,352,287,551,588,619,760,675,774
