"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.24,43.59,349,297,550,596,609,748,662,758
3.1,21.24,43.59,348,297,550,595,609,748,662,758
3.2,21.24,43.59,348,297,550,595,609,748,662,758
3.3,21.25,43.62,348,297,550,595,609,748,662,758
3.4,21.25,43.62,348,298,549,595,609,747,662,758
3.5,21.25,43.62,348,297,549,595,609,748,662,758
3.6,21.25,43.62,348,298,550,596,610,748,662,758
3.7,21.25,43.62,348,297,550,596,610,747,661,758
3.8,21.25,43.62,348,297,549,595,609,748,662,758
3.9,21.25,43.62,348,297,550,595,610,748,662,758
4,21.25,43.62,348,297,549,595,609,747,662,758
4.1,21.25,43.62,348,297,549,595,609,748,662,758
4.2,21.25,43.62,348,298,549,595,609,748,662,758
4.2,21.25,43.62,348,298,549,595,609,748,662,758
4.2,21.25,43.62,348,298,549,595,609,748,662,758
4.71,21.25,43.62,350,297,549,596,610,747,662,758
4.71,21.25,43.62,350,297,549,596,610,747,662,758
4.71,21.25,43.62,350,297,549,596,610,747,662,758
4.8,21.25,43.62,348,298,550,595,609,747,662,759
4.9,21.25,43.62,348,297,549,596,609,748,662,758
5,21.25,43.62,348,297,550,595,609,747,661,758
5.1,21.25,43.62,349,297,549,595,609,747,662,758
5.2,21.25,43.62,348,297,549,596,610,747,662,758
5.3,21.24,43.62,348,297,550,595,610,748,662,758
5.4,21.24,43.62,348,298,549,596,610,747,662,759
5.49,21.24,43.62,348,298,549,595,609,748,662,758
5.49,21.24,43.62,348,298,549,595,609,748,662,758
5.49,21.24,43.62,348,298,549,595,609,748,662,758
6,21.24,43.62,348,297,549,595,609,747,663,759
6,21.24,43.62,348,297,549,595,609,747,663,759
6,21.24,43.62,348,297,549,595,609,747,663,759
6.1,21.24,43.62,349,297,550,595,609,748,662,758
6.2,21.24,43.62,348,297,549,595,609,747,663,758
6.3,21.24,43.62,348,297,550,595,610,747,662,759
6.41,21.25,43.62,348,297,549,595,609,747,662,758
6.51,21.25,43.62,349,297,549,595,609,748,662,758
6.61,21.25,43.62,348,297,550,596,609,747,662,759
6.71,21.25,43.62,348,297,549,595,609,747,662,759
6.79,21.25,43.62,348,298,549,595,610,748,662,758
6.91,21.25,43.62,349,298,549,596,609,747,662,758
7,21.25,43.62,348,297,550,595,609,748,662,758
7.1,21.25,43.62,349,297,550,595,609,748,662,758
7.1,21.25,43.62,349,297,550,595,609,748,662,758
7.1,21.25,43.62,349,297,550,595,609,748,662,758
7.61,21.24,43.62,348,298,550,596,609,747,662,758
7.61,21.24,43.62,348,298,550,596,609,747,662,758
7.61,21.24,43.62,348,298,550,596,609,747,662,758
7.71,21.24,43.62,348,298,549,595,609,748,662,758
7.8,21.24,43.62,348,297,549,596,609,748,662,759
7.82,21.24,43.62,348,297,550,596,610,747,662,758
7.82,21.24,43.62,348,297,550,596,610,747,662,758
8.33,21.24,43.62,349,298,550,595,609,747,662,758
8.33,21.24,43.62,349,298,550,595,609,747,662,758
8.33,21.24,43.62,349,298,550,595,609,747,662,758
8.41,21.24,43.62,348,298,549,596,610,747,662,758
8.51,21.24,43.62,348,298,549,596,609,747,663,758
8.61,21.24,43.62,348,297,549,596,609,747,662,759
8.7,21.24,43.62,349,298,549,596,610,747,663,759
8.8,21.24,43.62,348,297,549,596,609,748,662,759
8.9,21.24,43.62,348,298,550,596,609,748,663,758
9,21.24,43.62,350,297,550,596,609,747,663,758
9.1,21.24,43.62,350,297,550,596,609,748,662,758
9.2,21.24,43.62,348,298,549,596,609,747,663,758
9.3,21.24,43.62,351,298,549,596,610,747,663,758
9.4,21.24,43.62,348,297,550,596,609,747,662,758
9.5,21.24,43.62,348,297,550,596,609,747,662,759
9.6,21.24,43.62,348,297,549,596,609,747,662,758
9.7,21.24,43.62,348,298,550,596,609,747,663,758
9.8,21.24,43.62,348,297,550,596,609,747,663,758
9.91,21.24,43.62,348,297,549,596,609,748,662,758
9.99,21.24,43.62,348,297,550,596,609,747,662,758
10.11,21.24,43.62,349,297,550,596,609,747,662,758
10.21,21.24,43.62,348,297,550,596,609,748,663,758
10.31,21.24,43.62,348,298,549,596,610,747,662,758
10.41,21.24,43.62,348,297,549,596,609,747,662,758
10.5,21.24,43.62,348,298,550,596,609,748,662,758
10.6,21.24,43.62,348,298,549,596,609,748,662,758
10.7,21.24,43.62,350,297,550,596,609,748,662,758
10.81,21.24,43.62,349,297,550,596,609,748,662,758
10.89,21.24,43.62,348,297,550,596,609,747,663,758
10.99,21.24,43.62,347,297,550,597,609,747,662,758
11.1,21.24,43.62,348,297,550,597,609,747,663,759
11.19,21.24,43.62,349,298,550,596,609,747,662,758
11.31,21.24,43.62,348,297,550,596,610,747,663,758
11.4,21.24,43.65,348,297,550,596,609,747,663,759
11.5,21.24,43.65,351,297,550,596,610,747,662,759
11.6,21.24,43.65,350,297,550,597,609,747,663,758
11.69,21.24,43.65,350,298,550,597,610,747,663,758
11.79,21.24,43.65,350,297,550,596,609,747,662,759
11.91,21.24,43.65,348,298,550,597,609,747,663,758
11.99,21.24,43.65,349,297,550,597,609,747,662,758
12.09,21.24,43.65,350,298,550,596,609,747,663,759
12.21,21.24,43.65,348,298,549,597,609,747,662,759
12.3,21.24,43.65,349,297,550,596,609,747,662,758
12.4,21.24,43.69,348,297,549,597,610,747,662,758
12.5,21.24,43.69,350,297,550,597,609,747,662,758
12.56,21.24,43.69,349,298,550,597,609,747,663,758
12.56,21.24,43.69,349,298,550,597,609,747,663,758
12.56,21.24,43.69,349,298,550,597,609,747,663,758
13.07,21.24,43.69,348,297,550,597,609,747,663,758
13.07,21.24,43.69,348,297,550,597,609,747,663,758
13.1,21.24,43.69,348,297,550,596,609,747,662,759
13.2,21.24,43.69,348,298,550,597,609,747,662,758
13.3,21.24,43.69,349,297,550,597,609,747,662,758
13.4,21.24,43.69,349,297,550,596,609,747,662,759
13.5,21.24,43.65,348,297,550,597,609,747,663,759
13.6,21.24,43.65,348,297,551,596,610,747,662,759
13.65,21.24,43.65,349,297,550,597,609,747,662,759
13.65,21.24,43.65,349,297,550,597,609,747,662,759
13.65,21.24,43.65,349,297,550,597,609,747,662,759
14.16,21.24,43.65,349,297,551,597,610,747,662,759
14.16,21.24,43.65,349,297,551,597,610,747,662,759
14.2,21.24,43.65,349,297,551,597,610,747,663,759
14.29,21.24,43.65,349,297,550,597,609,747,663,759
14.41,21.24,43.65,350,298,551,597,609,747,663,759
14.49,21.23,43.65,349,298,550,597,610,747,662,759
