"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.64,36.73,301,269,489,559,520,641,576,663
3.11,20.64,36.73,301,268,489,559,519,641,575,663
3.2,20.64,36.73,301,268,489,559,520,640,575,663
3.31,20.64,36.73,301,268,488,559,520,640,575,662
3.41,20.64,36.73,302,269,489,558,519,641,575,662
3.5,20.64,36.73,302,268,489,559,519,640,575,662
3.6,20.64,36.73,301,268,489,559,520,640,576,662
3.71,20.64,36.73,301,268,489,559,519,640,575,662
3.8,20.64,36.73,301,268,488,559,520,640,575,662
3.9,20.64,36.73,301,268,489,559,519,640,575,662
4,20.65,36.8,301,268,489,559,519,640,575,662
4.1,20.65,36.8,301,268,490,559,519,640,575,662
4.2,20.65,36.8,301,269,489,559,519,640,575,662
4.31,20.65,36.8,301,269,489,559,519,640,575,662
4.4,20.65,36.8,301,268,488,559,519,640,575,662
4.5,20.65,36.8,300,268,488,559,519,640,575,662
4.6,20.65,36.8,301,268,488,559,519,640,574,661
4.7,20.65,36.8,300,268,489,559,519,640,575,662
4.81,20.65,36.8,301,267,488,559,519,640,575,661
4.91,20.65,36.8,301,268,489,558,519,640,575,662
5,20.64,36.8,300,268,489,559,519,640,575,661
5.1,20.64,36.8,301,268,489,559,519,640,575,662
5.2,20.64,36.8,301,268,488,559,519,640,574,662
5.3,20.64,36.8,301,268,489,558,519,640,575,661
5.41,20.64,36.8,301,268,489,558,519,640,575,662
5.49,20.64,36.8,301,268,488,558,519,640,575,661
5.6,20.64,36.8,300,268,488,559,519,639,574,662
5.7,20.64,36.8,301,268,489,558,519,639,574,661
5.8,20.64,36.8,301,268,489,558,519,639,575,662
5.9,20.64,36.8,301,268,489,558,519,639,575,662
6.01,20.65,36.8,301,268,489,559,519,639,575,661
6.1,20.65,36.8,301,269,488,558,519,640,575,661
6.19,20.65,36.8,302,268,489,558,519,639,575,661
6.3,20.65,36.8,301,267,489,558,519,640,574,661
6.41,20.65,36.8,300,267,489,558,519,639,574,661
6.51,20.65,36.8,301,267,489,558,519,639,574,661
6.59,20.65,36.8,300,267,489,558,518,639,574,661
6.7,20.65,36.8,301,268,488,558,518,639,574,661
6.79,20.65,36.8,301,267,488,558,518,639,574,661
6.9,20.65,36.8,301,268,488,559,518,639,574,661
7,20.65,36.87,302,268,489,558,519,639,574,661
7.1,20.65,36.87,301,268,488,557,519,639,575,661
7.2,20.65,36.87,302,268,489,558,518,639,575,662
7.3,20.65,36.87,302,267,488,558,519,639,574,661
7.4,20.65,36.87,300,268,489,559,519,639,575,661
7.5,20.65,36.87,301,267,489,558,519,639,575,661
7.6,20.65,36.87,301,267,488,558,518,639,574,661
7.7,20.65,36.87,301,267,488,558,518,639,574,661
7.8,20.65,36.87,301,267,489,558,519,639,575,661
7.9,20.65,36.87,300,267,488,558,518,639,574,661
8.01,20.64,36.87,303,267,489,558,518,638,574,661
8.11,20.64,36.87,300,268,488,558,518,639,574,661
8.19,20.64,36.87,300,267,488,558,518,639,575,661
8.3,20.64,36.87,300,267,489,558,518,639,574,661
8.4,20.64,36.87,301,267,489,558,518,639,575,661
8.5,20.64,36.87,303,268,488,558,518,639,574,661
8.6,20.64,36.87,300,267,489,558,518,639,575,662
8.71,20.64,36.87,301,267,488,558,519,639,574,661
8.81,20.64,36.87,300,268,489,557,519,639,575,661
8.91,20.64,36.87,301,267,488,558,518,638,575,661
9.01,20.64,36.87,300,268,489,557,518,639,575,661
9.11,20.65,36.9,301,268,488,558,518,639,575,661
9.21,20.65,36.9,300,267,488,558,518,639,574,661
9.31,20.65,36.9,301,267,488,558,518,639,575,662
9.39,20.65,36.9,300,267,489,558,518,639,575,661
9.51,20.65,36.9,301,268,489,558,518,639,574,661
9.61,20.65,36.9,300,267,489,558,518,639,575,662
9.69,20.65,36.9,301,267,488,558,518,639,574,661
9.81,20.65,36.9,302,267,488,558,518,639,574,661
9.91,20.65,36.9,301,267,489,558,519,638,575,661
10.01,20.65,36.9,301,267,488,558,518,639,574,662
10.09,20.64,36.9,300,267,489,558,518,639,575,661
10.21,20.64,36.9,301,267,488,558,518,639,575,661
10.31,20.64,36.9,301,268,488,558,519,639,574,662
10.41,20.64,36.9,301,268,489,558,518,639,574,661
10.51,20.64,36.9,301,267,488,558,519,639,575,661
10.61,20.64,36.9,300,268,488,558,518,639,575,661
10.71,20.64,36.9,301,267,489,557,518,639,575,661
10.81,20.64,36.9,301,267,488,558,519,639,575,661
10.89,20.64,36.9,301,268,489,558,518,639,575,661
11.01,20.64,36.9,300,268,488,558,518,639,575,661
11.11,20.64,36.94,301,267,489,558,518,638,575,662
11.21,20.64,36.94,300,268,488,558,518,639,575,662
11.31,20.64,36.94,301,267,488,558,518,639,575,661
11.4,20.64,36.94,300,267,489,559,518,639,574,661
11.5,20.64,36.94,301,267,488,558,518,639,575,662
11.6,20.64,36.94,301,267,489,558,518,639,575,662
11.7,20.64,36.94,302,268,488,558,518,639,575,662
11.8,20.64,36.94,301,267,488,558,518,639,575,662
11.89,20.64,36.94,300,267,488,558,518,639,575,661
12.01,20.64,36.94,300,268,489,558,519,639,575,662
12.11,20.64,36.9,300,267,488,559,518,639,575,662
12.21,20.64,36.9,301,267,489,559,518,639,575,662
12.31,20.64,36.9,302,267,489,558,518,639,575,662
12.41,20.64,36.9,301,267,489,558,518,639,575,662
12.51,20.64,36.9,301,267,488,558,519,639,575,662
12.59,20.64,36.9,300,267,488,558,519,639,575,662
12.71,20.64,36.9,301,267,488,558,518,639,575,661
12.81,20.64,36.9,301,267,488,558,518,639,575,662
12.91,20.64,36.9,301,267,489,559,519,639,575,662
13.01,20.64,36.9,301,268,488,558,518,639,575,662
13.11,20.64,36.9,301,268,489,559,519,640,575,661
13.21,20.64,36.9,301,268,488,558,518,639,575,662
13.29,20.64,36.9,301,267,488,558,518,639,575,662
13.41,20.64,36.9,301,267,489,558,519,639,575,663
13.51,20.64,36.9,301,267,488,559,519,639,575,662
13.61,20.64,36.9,301,267,488,558,519,639,575,662
13.71,20.64,36.9,301,268,489,558,519,639,575,662
13.81,20.64,36.9,301,267,488,558,519,639,576,662
13.91,20.64,36.9,301,268,489,559,519,639,576,662
14.01,20.64,36.9,301,267,489,559,518,639,575,662
14.11,20.65,36.94,301,267,488,558,518,639,575,662
14.21,20.65,36.94,301,267,488,559,518,639,575,662
14.31,20.65,36.94,300,267,489,558,519,639,575,662
14.39,20.65,36.94,300,267,488,559,519,639,575,662
14.49,20.65,36.94,303,267,488,559,519,639,575,662
14.61,20.65,36.94,301,267,488,558,519,639,576,663
14.71,20.65,36.94,301,267,489,558,519,639,575,663
14.81,20.65,36.94,301,267,488,559,519,639,575,662
14.91,20.65,36.94,301,267,488,559,519,639,575,663
14.99,20.65,36.94,302,267,488,559,519,639,576,662
15.11,20.65,36.94,301,267,488,559,519,639,575,662
15.19,20.64,36.87,301,267,488,559,518,639,575,663
15.31,20.64,36.87,300,268,488,559,519,639,575,663
15.41,20.64,36.87,301,267,488,559,519,639,575,663
15.51,20.64,36.87,303,267,489,559,519,639,575,662
15.61,20.64,36.87,300,267,488,559,519,639,575,663
15.7,20.64,36.87,301,267,488,559,519,639,576,663
15.8,20.64,36.87,303,267,488,559,519,640,575,662
15.9,20.64,36.87,301,267,488,559,519,639,575,662
16,20.64,36.87,301,267,488,560,519,639,576,663
16.1,20.64,36.87,301,266,488,559,519,639,576,663
16.2,20.65,36.94,301,267,488,560,519,639,575,663
16.31,20.65,36.94,301,267,488,559,519,639,575,663
16.41,20.65,36.94,300,267,488,559,518,639,575,663
16.49,20.65,36.94,301,267,488,559,518,639,576,663
16.59,20.65,36.94,300,267,488,559,519,640,575,663
16.7,20.65,36.94,302,267,488,560,519,639,575,663
