"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,20.77,36.17,303,266,492,544,525,647,577,667
3.11,20.77,36.17,303,266,492,543,525,647,577,666
3.21,20.77,36.17,303,266,492,543,525,647,577,667
3.29,20.77,36.17,303,267,492,544,525,647,577,666
3.41,20.77,36.17,304,266,493,543,525,646,578,666
3.51,20.76,36.13,303,267,492,543,525,647,578,667
3.61,20.76,36.13,303,266,492,543,525,647,577,666
3.71,20.76,36.13,303,266,492,543,525,647,578,666
3.81,20.76,36.13,303,266,493,544,525,647,578,666
3.91,20.76,36.13,303,266,492,543,525,647,578,666
4.01,20.76,36.13,303,266,492,543,525,647,577,666
4.11,20.76,36.13,303,266,492,543,525,647,578,667
4.21,20.76,36.13,303,266,492,543,525,647,577,667
4.29,20.76,36.13,303,266,493,543,525,647,577,666
4.41,20.76,36.13,303,266,493,543,525,646,577,666
4.51,20.76,36.13,303,266,492,543,525,647,577,666
4.61,20.76,36.13,303,266,492,543,525,646,578,667
4.69,20.76,36.13,303,267,493,543,525,647,578,666
4.81,20.76,36.13,303,267,493,543,525,647,577,667
4.91,20.76,36.13,303,266,492,543,525,646,577,666
5.01,20.76,36.13,304,266,492,543,525,647,578,666
5.11,20.76,36.13,303,266,493,543,525,647,577,665
5.21,20.76,36.13,303,266,492,543,525,647,578,666
5.31,20.76,36.13,305,266,493,542,525,646,578,666
5.41,20.76,36.13,303,266,493,543,525,647,577,667
5.51,20.77,36.17,303,267,492,543,525,646,578,667
5.59,20.77,36.17,303,266,492,543,525,646,578,666
5.71,20.77,36.17,303,266,493,543,525,647,578,667
5.8,20.77,36.17,303,266,493,543,524,646,578,666
5.91,20.77,36.17,303,265,493,543,525,647,577,667
6.01,20.77,36.17,303,266,493,542,525,646,577,666
6.11,20.77,36.17,303,266,493,543,525,646,578,666
6.21,20.77,36.17,305,265,492,543,525,647,578,667
6.29,20.77,36.17,303,266,492,543,525,646,577,666
6.41,20.77,36.17,303,266,492,543,525,646,578,667
6.51,20.76,36.13,303,265,493,543,525,647,577,667
6.61,20.76,36.13,304,266,492,543,525,646,577,667
6.69,20.76,36.13,305,266,493,543,525,647,578,667
6.81,20.76,36.13,303,265,492,543,524,646,577,666
6.91,20.76,36.13,303,266,493,543,525,647,577,667
7.01,20.76,36.13,305,266,493,542,525,646,578,666
7.11,20.76,36.13,303,265,492,543,525,647,578,667
7.21,20.76,36.13,303,266,493,543,525,647,578,667
7.31,20.76,36.13,303,266,492,543,525,647,578,667
7.41,20.76,36.13,303,265,493,543,525,647,578,666
7.51,20.76,36.2,303,265,493,543,525,646,578,667
7.59,20.76,36.2,305,266,492,543,525,647,578,667
7.71,20.76,36.2,305,266,493,543,525,647,578,666
7.79,20.76,36.2,304,265,492,543,525,646,577,667
7.9,20.76,36.2,304,266,493,542,524,647,578,666
8.01,20.76,36.2,303,266,493,543,525,647,578,667
8.11,20.76,36.2,303,266,493,542,525,646,577,666
8.21,20.76,36.2,303,266,492,543,525,647,578,666
8.31,20.76,36.2,303,265,492,543,525,647,578,666
8.41,20.76,36.2,303,266,493,543,525,647,578,667
8.49,20.76,36.2,303,266,492,543,525,647,578,667
8.61,20.76,36.23,303,265,493,543,525,647,578,667
8.71,20.76,36.23,304,266,492,543,525,647,578,667
8.79,20.76,36.23,304,266,493,543,525,647,578,667
8.9,20.76,36.23,304,266,493,543,525,647,578,667
8.99,20.76,36.23,303,266,493,543,525,647,578,667
9.09,20.76,36.23,304,265,493,543,525,647,578,667
9.19,20.76,36.23,303,265,493,543,525,647,578,667
9.3,20.76,36.23,303,265,492,543,525,647,578,667
9.4,20.76,36.23,303,265,492,543,525,647,579,667
9.5,20.76,36.23,303,265,494,543,525,647,578,667
9.61,20.78,36.27,303,266,492,543,525,647,578,667
9.71,20.78,36.27,304,266,493,543,525,647,578,667
9.8,20.78,36.27,303,265,493,543,525,646,579,667
9.9,20.78,36.27,303,266,493,543,525,646,579,667
10,20.78,36.27,303,266,493,543,525,647,579,667
10.1,20.78,36.27,305,266,493,543,525,647,579,667
10.2,20.78,36.27,303,265,493,543,525,646,578,667
10.3,20.78,36.27,303,265,493,543,525,647,579,667
