"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,21.01,43.3,355,302,561,596,609,742,658,753
3.09,21.01,43.3,356,302,561,597,608,742,658,754
3.21,21.01,43.3,355,302,561,596,608,742,657,754
3.29,21.01,43.3,356,302,560,597,608,742,658,754
3.39,21.01,43.3,356,302,561,596,608,742,658,753
3.51,21.01,43.3,356,302,561,596,608,742,658,754
3.59,21.01,43.3,355,302,561,596,608,742,657,753
3.71,21.01,43.3,355,302,561,596,608,742,658,753
3.79,21.04,43.27,356,303,561,596,608,742,658,754
3.91,21.04,43.27,355,302,560,596,608,742,657,754
4.01,21.04,43.27,355,302,560,596,609,742,658,754
4.11,21.04,43.27,356,302,560,596,608,742,657,753
4.21,21.04,43.27,356,302,560,596,608,742,657,753
4.31,21.04,43.27,356,302,560,596,608,742,658,753
4.41,21.04,43.27,356,302,560,596,608,742,657,753
4.49,21.04,43.27,355,303,560,596,608,742,657,754
4.61,21.04,43.27,355,302,561,596,608,742,657,753
4.71,21.04,43.27,355,302,561,596,608,741,657,753
4.79,21.01,43.27,355,302,561,596,608,742,658,753
4.91,21.01,43.27,355,302,560,595,608,742,658,753
5.01,21.01,43.27,355,302,561,596,608,742,658,753
5.11,21.01,43.27,356,302,562,596,608,742,657,754
5.19,21.01,43.27,356,302,561,595,608,742,657,753
5.31,21.01,43.27,355,302,561,596,608,742,658,753
5.41,21.01,43.27,357,302,561,596,608,742,658,754
5.51,21.01,43.27,355,302,561,596,608,742,658,753
5.61,21.01,43.27,356,303,561,596,608,742,658,754
5.71,21.01,43.27,355,303,560,595,608,742,658,754
5.81,21.02,43.3,355,303,561,595,608,742,658,753
5.89,21.02,43.3,356,303,560,596,608,742,658,754
6.01,21.02,43.3,357,302,561,596,608,742,658,754
6.11,21.02,43.3,357,302,561,596,608,742,658,754
6.21,21.02,43.3,355,302,561,595,608,742,658,753
6.31,21.02,43.3,358,303,561,596,608,742,658,754
