"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.87,40.4,349,303,553,619,591,719,639,730
3.04,20.87,40.4,348,303,554,619,590,720,639,731
3.04,20.87,40.4,348,303,554,619,590,720,639,731
3.55,20.87,40.4,347,303,553,619,591,719,638,730
3.55,20.87,40.4,347,303,553,619,591,719,638,730
3.55,20.87,40.4,347,303,553,619,591,719,638,730
3.6,20.87,40.4,347,303,553,619,591,718,638,730
3.7,20.87,40.4,346,303,554,619,590,719,638,730
3.8,20.87,40.4,347,302,554,619,590,719,638,730
3.9,20.87,40.4,347,303,553,619,590,719,638,730
4,20.87,40.4,346,303,554,619,590,719,638,731
4.1,20.87,40.4,347,303,553,619,590,719,638,730
4.2,20.87,40.4,347,303,553,619,591,719,639,730
4.3,20.87,40.43,347,303,554,619,590,719,639,730
4.39,20.87,40.43,348,303,554,619,591,719,639,731
4.5,20.87,40.43,346,303,553,619,590,719,638,730
4.6,20.87,40.43,348,303,553,619,590,719,638,730
4.7,20.87,40.43,346,303,553,619,590,719,638,730
4.8,20.87,40.43,346,303,554,619,590,720,638,730
4.9,20.87,40.43,348,303,553,619,590,719,639,730
5,20.87,40.43,349,303,553,619,591,719,638,730
5.1,20.87,40.43,347,303,553,619,590,719,638,731
5.2,20.87,40.43,347,303,554,620,591,719,639,731
5.29,20.88,40.4,348,303,554,619,591,719,638,730
5.4,20.88,40.4,347,303,554,620,591,719,638,731
5.5,20.88,40.4,347,303,553,620,591,719,638,730
5.6,20.88,40.4,347,303,553,619,591,719,638,730
5.71,20.88,40.4,349,303,553,619,590,719,638,731
5.8,20.88,40.4,347,303,553,619,591,719,638,730
5.9,20.88,40.4,347,303,553,620,590,719,638,730
6,20.88,40.4,349,303,554,620,591,720,639,731
6.1,20.88,40.4,347,303,554,619,591,720,639,731
6.21,20.88,40.4,347,302,553,620,590,719,639,730
6.3,20.88,40.4,347,303,554,619,591,719,638,730
6.4,20.88,40.4,347,302,554,620,590,720,638,730
6.5,20.88,40.4,347,303,554,620,591,719,638,731
6.6,20.88,40.4,347,303,553,620,591,720,639,731
6.7,20.88,40.4,347,303,554,620,590,720,639,730
6.8,20.88,40.4,347,303,553,619,590,719,638,731
6.89,20.88,40.4,349,303,554,619,590,719,639,731
7,20.88,40.4,347,303,554,619,591,720,639,731
7.1,20.88,40.4,347,302,554,620,591,720,638,731
7.2,20.88,40.4,347,303,554,620,591,720,639,730
7.3,20.87,40.36,347,304,554,620,591,719,639,731
