"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.02,36.19,310,270,498,575,536,659,592,681
3.1,21.02,36.19,310,269,499,575,535,660,591,681
3.2,21.02,36.19,310,270,499,575,535,660,592,681
3.29,21.02,36.19,310,270,499,575,536,660,592,681
3.39,21.02,36.19,311,270,499,575,535,660,591,681
3.5,21.02,36.19,310,269,499,575,535,659,591,682
3.6,21.02,36.19,310,270,499,575,536,660,592,681
3.7,21.02,36.19,310,270,499,575,536,660,592,681
3.8,21.02,36.19,310,270,499,575,536,660,592,681
3.9,21.02,36.16,309,270,499,575,536,660,592,682
4,21.02,36.16,310,269,499,575,536,660,592,682
4.1,21.02,36.16,310,270,499,575,535,659,592,681
4.2,21.02,36.16,309,270,499,575,536,660,592,681
4.3,21.02,36.16,310,270,499,575,536,660,592,681
4.4,21.02,36.16,310,270,500,575,536,661,592,682
4.51,21.02,36.16,309,269,499,575,536,660,592,681
4.61,21.02,36.16,310,270,499,575,536,660,592,682
4.71,21.02,36.16,310,270,499,575,536,660,592,682
4.81,21.02,36.16,310,270,499,575,536,660,592,681
4.89,21.02,36.16,310,270,499,574,536,660,592,682
5.01,21.01,36.16,310,270,500,575,536,660,592,682
5.11,21.01,36.16,310,270,499,575,536,660,592,682
5.21,21.01,36.16,310,270,500,575,535,661,592,681
5.31,21.01,36.16,310,270,499,575,537,660,592,682
5.41,21.01,36.16,310,270,499,575,536,661,592,682
5.51,21.01,36.16,310,270,500,574,536,660,592,681
5.61,21.01,36.16,310,270,500,575,537,660,593,682
5.71,21.01,36.16,310,271,500,575,536,660,593,682
5.81,21.01,36.16,310,270,500,575,536,661,593,682
5.91,21.01,36.16,310,270,499,575,536,660,592,682
6.01,21.02,36.16,310,269,499,575,536,660,593,682
6.09,21.02,36.16,310,270,500,575,536,661,592,682
6.19,21.02,36.16,310,270,499,575,536,661,593,682
6.29,21.02,36.16,310,269,499,575,536,661,593,682
6.41,21.02,36.16,310,270,500,575,536,660,593,682
6.51,21.02,36.16,310,270,500,575,536,661,593,683
6.61,21.02,36.16,310,269,499,575,536,661,593,682
6.71,21.02,36.16,313,270,499,575,536,661,593,682
6.8,21.02,36.16,310,270,499,575,536,661,592,682
