"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.84,40.19,344,301,550,623,586,714,635,728
3.1,20.84,40.19,344,300,550,624,586,714,636,727
3.2,20.84,40.19,345,300,550,624,586,714,636,728
3.3,20.84,40.19,345,300,550,624,586,714,636,728
3.37,20.84,40.19,344,300,551,624,585,714,636,728
3.37,20.84,40.19,344,300,551,624,585,714,636,728
3.37,20.84,40.19,344,300,551,624,585,714,636,728
3.88,20.85,40.19,344,300,550,624,586,713,635,727
3.88,20.85,40.19,344,300,550,624,586,713,635,727
3.9,20.85,40.19,345,301,550,624,586,714,636,728
4,20.85,40.19,344,300,549,624,586,714,636,727
4.1,20.85,40.19,346,300,551,624,586,714,636,727
4.2,20.85,40.19,344,300,550,624,586,714,636,728
4.3,20.85,40.19,347,300,550,624,586,714,635,728
4.4,20.85,40.19,345,300,550,624,586,714,635,728
4.5,20.85,40.19,344,300,549,624,586,714,636,728
4.6,20.85,40.19,344,300,551,624,586,714,636,727
4.7,20.85,40.19,346,301,550,624,587,714,636,727
4.8,20.86,40.19,345,300,550,624,586,714,636,727
4.9,20.86,40.19,344,300,550,624,586,714,636,728
5,20.86,40.19,345,301,550,624,586,714,635,727
5.11,20.86,40.19,344,300,550,624,586,713,636,728
5.2,20.86,40.19,344,301,550,624,586,713,636,727
5.3,20.86,40.19,345,300,550,624,586,714,636,727
5.4,20.86,40.19,345,300,551,624,586,714,636,728
5.5,20.86,40.19,345,301,550,624,586,714,635,727
5.6,20.86,40.19,346,300,550,625,586,713,635,727
5.7,20.86,40.19,344,300,551,624,586,714,636,728
5.8,20.83,40.19,344,300,550,624,585,714,636,728
5.89,20.83,40.19,345,301,551,624,586,713,635,728
6,20.83,40.19,344,300,550,624,586,714,635,727
6.09,20.83,40.19,346,300,549,624,586,714,636,727
6.2,20.83,40.19,345,300,550,624,586,714,636,728
6.3,20.83,40.19,345,301,550,624,586,714,635,727
6.4,20.83,40.19,345,300,550,624,586,714,636,728
6.5,20.83,40.19,345,300,551,624,585,714,636,727
6.6,20.83,40.19,346,301,550,624,586,714,636,727
6.7,20.83,40.19,346,300,550,624,586,714,635,727
6.8,20.84,40.19,347,300,550,624,586,713,636,728
6.9,20.84,40.19,344,300,551,624,585,713,635,728
7,20.84,40.19,344,300,551,624,586,714,635,727
7.1,20.84,40.19,346,300,551,624,586,713,636,727
7.2,20.84,40.19,346,301,550,624,586,714,636,728
7.3,20.84,40.19,346,300,550,624,586,714,636,728
7.41,20.84,40.19,345,300,551,624,586,714,636,727
7.5,20.84,40.19,345,300,551,624,586,714,636,728
7.6,20.84,40.19,344,301,551,624,585,713,636,727
7.7,20.84,40.19,347,301,550,624,586,714,635,727
7.8,20.84,40.16,345,300,550,624,586,715,635,727
7.9,20.84,40.16,345,300,551,624,586,713,636,728
8,20.84,40.16,344,300,550,624,586,714,636,727
8.1,20.84,40.16,344,300,550,624,586,714,636,728
8.2,20.84,40.16,344,300,550,624,586,713,636,728
8.3,20.84,40.16,345,300,550,624,586,714,636,728
