"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.78,39.99,346,297,548,631,588,719,637,729
3.1,20.78,39.99,347,298,549,631,588,719,637,729
3.21,20.78,39.99,346,298,549,630,589,718,637,728
3.31,20.78,39.99,345,297,548,631,588,719,636,729
3.4,20.78,39.99,347,298,549,631,588,719,638,730
3.5,20.78,39.99,346,298,549,631,589,719,637,730
3.6,20.78,39.99,347,298,550,631,589,719,638,730
3.7,20.78,39.99,347,298,548,631,588,718,637,728
3.8,20.78,39.99,345,298,549,631,588,719,637,729
3.9,20.78,39.99,346,297,549,631,588,718,637,728
4,20.78,39.99,347,298,548,631,588,718,637,728
4.1,20.78,39.99,346,298,549,631,588,719,637,729
4.2,20.78,39.99,345,298,549,631,588,719,637,729
4.3,20.78,39.99,346,297,549,631,588,719,637,729
4.4,20.78,39.99,346,297,548,631,588,718,637,729
4.5,20.78,39.99,346,298,548,631,588,718,637,728
4.6,20.78,39.99,346,298,548,631,589,719,637,728
4.7,20.78,39.99,346,298,549,631,588,718,637,728
4.8,20.78,39.99,346,298,549,631,589,719,637,730
4.9,20.78,39.99,346,298,548,632,588,719,638,730
5,20.78,39.99,347,298,549,631,588,719,638,730
5.1,20.78,39.99,347,298,550,632,589,719,638,730
5.2,20.78,39.99,347,297,549,631,588,718,637,728
5.3,20.78,39.99,346,299,549,631,588,719,637,729
5.41,20.78,39.99,346,297,549,631,588,719,638,730
5.5,20.78,39.99,346,297,549,631,588,719,637,729
5.6,20.78,39.99,345,297,548,631,588,719,636,729
5.7,20.78,39.99,346,298,549,631,588,718,637,728
5.8,20.78,39.99,347,298,549,631,588,719,637,729
5.9,20.78,39.99,346,297,548,631,588,718,637,729
6,20.78,39.99,346,297,550,631,588,719,637,728
6.1,20.78,39.99,346,298,548,631,588,719,637,728
6.2,20.78,39.99,348,298,549,632,588,719,637,730
6.3,20.78,39.99,347,298,549,632,588,719,637,730
6.4,20.78,39.99,346,298,549,631,589,719,637,730
6.5,20.78,39.99,347,298,549,632,588,719,638,730
6.6,20.78,39.99,346,298,549,631,588,719,637,729
6.7,20.78,39.99,346,298,548,631,588,718,636,728
6.81,20.78,39.99,346,297,550,632,588,719,638,729
6.91,20.78,39.99,346,298,550,632,589,719,638,730
7,20.78,39.99,346,297,549,631,588,718,637,729
7.1,20.78,39.99,346,298,548,631,588,718,637,729
7.2,20.78,39.99,345,298,549,631,588,718,636,728
7.3,20.78,39.99,346,298,548,631,588,718,637,729
7.4,20.78,39.99,347,298,549,631,588,719,637,729
7.51,20.78,39.99,346,298,548,631,588,719,637,729
7.6,20.78,39.99,346,297,548,631,588,719,637,729
