"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,20.73,39.58,338,293,540,636,581,709,632,724
3.11,20.73,39.58,338,293,540,635,581,709,633,723
3.21,20.72,39.51,338,293,540,635,580,709,633,724
3.31,20.72,39.51,339,292,540,635,580,709,633,724
3.41,20.72,39.51,339,293,540,635,580,709,633,724
3.49,20.72,39.51,338,293,540,635,581,709,633,724
3.61,20.72,39.51,340,293,539,634,580,709,632,723
3.71,20.72,39.51,339,292,540,635,581,709,632,724
3.81,20.72,39.51,338,293,540,635,580,709,633,724
3.89,20.72,39.51,338,293,540,635,581,709,633,724
4,20.72,39.51,338,292,540,634,580,709,633,724
4.1,20.72,39.51,339,293,540,635,581,709,633,724
4.2,20.72,39.51,339,293,539,634,580,710,632,723
4.3,20.74,39.51,338,293,539,634,580,709,632,724
4.4,20.74,39.51,339,293,539,633,581,710,632,724
4.5,20.74,39.51,338,293,539,634,581,710,632,724
4.61,20.74,39.51,338,292,540,634,581,709,633,724
4.71,20.74,39.51,339,292,541,634,580,709,633,725
4.81,20.74,39.51,339,293,539,633,581,710,632,724
4.91,20.74,39.51,339,293,539,634,580,709,632,724
5.01,20.74,39.51,338,292,541,634,580,709,633,724
5.11,20.74,39.51,338,292,540,634,580,709,633,724
5.21,20.74,39.51,338,292,539,634,581,709,632,724
5.29,20.74,39.51,339,292,539,634,580,709,633,724
5.4,20.74,39.51,339,293,540,634,581,709,633,725
5.5,20.74,39.51,339,292,540,634,580,709,633,724
5.6,20.74,39.51,340,292,540,634,581,709,633,724
5.7,20.74,39.51,338,292,540,634,581,709,633,724
5.8,20.74,39.51,339,292,540,634,581,710,633,724
5.9,20.74,39.51,339,292,540,635,581,709,633,725
6,20.74,39.51,339,293,539,634,581,709,633,724
6.1,20.74,39.51,339,292,539,633,581,709,632,724
6.2,20.74,39.51,339,292,539,633,581,710,632,724
6.3,20.73,39.51,340,293,540,633,581,709,633,724
6.4,20.73,39.51,338,292,540,633,581,709,633,724
6.5,20.73,39.51,339,292,539,633,581,710,633,724
6.61,20.73,39.51,339,293,539,633,581,709,632,724
6.71,20.73,39.51,339,292,539,634,581,709,632,724
6.81,20.73,39.51,339,292,539,633,581,709,632,725
6.91,20.73,39.51,339,292,539,633,581,709,632,724
