"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3.16,22.45,40.8,335,278,525,572,588,730,647,739
3.16,22.45,40.8,335,278,525,572,588,730,647,739
3.19,22.45,40.8,336,277,525,572,587,729,646,739
3.31,22.45,40.8,336,277,525,572,587,729,646,739
3.39,22.45,40.8,336,278,525,572,588,729,647,739
3.51,22.45,40.8,335,278,526,572,588,729,647,739
3.59,22.45,40.8,335,277,525,572,587,729,647,739
3.71,22.45,40.8,335,277,525,572,587,729,647,739
3.79,22.45,40.8,335,278,525,572,588,729,647,739
3.91,22.45,40.8,337,278,525,572,587,730,646,739
3.99,22.45,40.8,336,277,524,572,588,730,647,739
4.11,22.45,40.8,336,277,525,572,587,730,647,739
4.21,22.46,40.8,336,278,525,572,588,730,647,739
4.23,22.46,40.8,337,277,525,572,587,729,647,739
4.23,22.46,40.8,337,277,525,572,587,729,647,739
4.75,22.46,40.8,337,278,526,572,588,729,647,739
4.75,22.46,40.8,337,278,526,572,588,729,647,739
4.75,22.46,40.8,337,278,526,572,588,729,647,739
4.81,22.46,40.8,337,277,526,572,587,729,647,740
4.91,22.46,40.8,335,278,525,572,587,729,647,739
5.01,22.46,40.8,336,277,525,572,588,730,647,740
5.09,22.46,40.8,335,278,525,572,588,730,647,739
5.19,22.46,40.83,335,278,525,571,588,730,647,739
5.29,22.46,40.83,336,277,525,572,588,730,647,740
5.41,22.46,40.83,336,278,525,572,588,730,648,739
5.51,22.46,40.83,336,277,525,572,587,729,647,739
5.61,22.46,40.83,335,277,525,572,588,729,647,740
5.71,22.46,40.83,336,277,525,572,588,730,648,739
5.81,22.46,40.83,337,277,525,572,587,729,647,740
5.89,22.46,40.83,335,278,525,572,588,730,647,739
6,22.46,40.83,336,277,525,572,588,730,647,740
6.1,22.46,40.83,336,277,525,572,588,729,647,740
6.2,22.46,40.77,336,277,525,572,588,729,647,740
6.3,22.46,40.77,336,277,525,572,587,729,648,740
6.4,22.46,40.77,336,277,526,572,587,730,647,740
6.5,22.46,40.77,336,277,525,572,588,729,647,739
6.6,22.46,40.77,336,277,525,572,588,729,648,740
6.7,22.46,40.77,336,277,525,572,588,730,648,740
6.8,22.46,40.77,336,277,525,572,588,730,647,740
6.9,22.46,40.77,336,277,525,572,588,729,648,740
7,22.46,40.77,336,278,525,572,588,729,648,740
7.1,22.46,40.77,336,277,525,572,588,730,648,740
7.2,22.46,40.77,337,277,526,572,588,729,648,740
7.3,22.45,40.8,336,277,525,572,588,729,648,740
7.4,22.45,40.8,336,277,525,572,588,729,648,740
7.5,22.45,40.8,336,278,525,572,588,730,648,740
7.6,22.45,40.8,336,277,526,572,589,729,648,740
7.7,22.45,40.8,336,277,525,572,588,729,648,740
7.8,22.45,40.8,337,278,525,572,588,730,648,741
7.9,22.45,40.8,336,277,525,572,588,730,648,740
8,22.45,40.8,336,277,525,572,588,730,648,740
8.1,22.45,40.8,336,278,526,572,588,729,648,741
8.2,22.45,40.8,336,278,526,573,588,730,649,741
8.29,22.46,40.8,337,277,525,572,588,730,648,741
8.4,22.46,40.8,337,277,526,572,589,730,649,740
8.5,22.46,40.8,338,278,525,572,588,730,649,741
8.6,22.46,40.8,336,277,525,572,589,730,649,741
8.7,22.46,40.8,336,277,525,572,589,730,649,741
8.8,22.46,40.8,336,277,525,572,588,730,649,741
8.9,22.46,40.8,336,277,525,572,589,729,649,741
9,22.46,40.8,336,277,526,572,589,730,649,741
9.1,22.46,40.8,339,278,526,573,589,730,649,741
9.2,22.46,40.8,336,277,525,572,589,730,649,741
9.3,22.44,40.77,336,278,526,572,589,730,649,741
9.4,22.44,40.77,336,277,525,573,589,730,649,741
9.5,22.44,40.77,336,277,525,572,589,730,649,741
9.6,22.44,40.77,336,278,526,573,589,731,649,742
9.7,22.44,40.77,336,278,526,572,589,730,650,742
9.8,22.44,40.77,336,277,525,573,588,731,650,742
9.9,22.44,40.77,336,277,526,573,589,730,650,742
10,22.44,40.77,337,278,526,573,589,730,650,742
10.1,22.44,40.77,337,278,526,572,589,730,650,742
10.2,22.44,40.77,336,277,526,573,589,730,650,742
10.3,22.46,40.77,336,277,526,573,589,730,650,742
10.4,22.46,40.77,336,277,526,573,590,730,650,742
10.5,22.46,40.77,336,278,525,573,589,731,650,743
10.6,22.46,40.77,336,277,526,573,590,730,650,742
10.7,22.46,40.77,336,277,526,573,590,731,650,742
10.8,22.46,40.77,337,277,526,573,589,730,650,742
10.9,22.46,40.77,338,278,526,572,590,730,650,743
11.01,22.46,40.77,336,278,527,573,590,731,650,743
11.1,22.46,40.77,336,277,526,573,589,731,651,743
11.2,22.46,40.77,338,277,526,573,589,731,650,743
11.3,22.47,40.77,337,278,526,573,589,731,650,743
11.4,22.47,40.77,337,278,526,573,590,731,651,744
11.51,22.47,40.77,337,278,526,573,590,731,650,743
11.6,22.47,40.77,337,277,526,573,590,731,651,743
11.7,22.47,40.77,337,277,526,573,590,731,651,743
11.8,22.47,40.77,337,277,526,574,590,731,651,743
11.9,22.47,40.77,337,278,527,574,590,730,651,743
12,22.47,40.77,336,277,527,574,590,731,651,744
12.1,22.47,40.77,336,278,527,573,590,731,651,743
12.2,22.47,40.77,336,278,526,574,590,731,651,744
12.3,22.46,40.77,338,278,526,574,590,730,651,744
12.4,22.46,40.77,336,278,527,574,590,731,651,744
12.51,22.46,40.77,337,277,526,574,590,731,651,744
12.6,22.46,40.77,336,278,526,574,590,731,652,744
12.7,22.46,40.77,336,277,526,574,590,731,652,744
12.8,22.46,40.77,338,278,526,574,590,731,652,744
12.9,22.46,40.77,337,277,526,574,591,731,652,744
13,22.46,40.77,336,278,527,574,591,731,652,745
13.1,22.46,40.77,336,278,526,574,591,732,652,745
13.2,22.46,40.77,337,277,527,574,591,731,652,745
13.3,22.46,40.77,336,277,526,574,590,731,652,745
13.4,22.45,40.77,336,277,526,574,591,731,652,745
13.5,22.45,40.77,338,277,527,574,591,731,652,745
13.6,22.45,40.77,336,278,527,575,591,731,652,744
13.7,22.45,40.77,337,277,526,574,591,732,652,745
13.8,22.45,40.77,339,277,527,574,591,731,652,745
13.9,22.45,40.77,338,277,526,574,591,732,652,745
14,22.45,40.77,337,278,526,574,591,732,652,745
14.04,22.45,40.77,338,277,527,575,591,732,652,745
14.04,22.45,40.77,338,277,527,575,591,732,652,745
14.55,22.46,40.77,336,277,527,575,591,731,652,746
14.55,22.46,40.77,336,277,527,575,591,731,652,746
14.55,22.46,40.77,336,277,527,575,591,731,652,746
14.6,22.46,40.77,337,277,527,575,591,732,652,746
14.7,22.46,40.77,337,277,527,575,591,731,653,746
14.8,22.46,40.77,337,277,527,574,592,732,652,746
14.9,22.46,40.77,339,278,527,575,591,732,653,745
15,22.46,40.77,337,277,526,575,592,732,652,746
15.1,22.46,40.77,338,277,527,575,591,732,653,747
15.2,22.46,40.77,336,277,527,575,592,732,653,746
15.3,22.46,40.77,337,277,527,575,592,732,653,746
15.38,22.45,40.77,337,278,527,575,591,731,653,746
15.38,22.45,40.77,337,278,527,575,591,731,653,746
15.38,22.45,40.77,337,278,527,575,591,731,653,746
15.88,22.45,40.77,336,277,527,575,592,733,653,746
15.88,22.45,40.77,336,277,527,575,592,733,653,746
15.91,22.45,40.77,339,277,526,576,592,732,653,746
16,22.45,40.77,337,277,527,576,592,733,652,746
16.09,22.45,40.77,337,278,527,576,592,732,652,747
16.2,22.45,40.77,337,277,526,575,592,732,653,746
16.3,22.45,40.77,337,278,527,575,592,732,653,747
16.4,22.46,40.77,337,278,526,576,592,732,653,747
16.5,22.46,40.77,337,277,527,575,593,733,653,747
16.61,22.46,40.77,336,277,527,575,592,733,653,747
16.69,22.46,40.77,337,277,527,576,592,732,653,747
16.8,22.46,40.77,336,277,527,576,592,733,653,747
16.9,22.46,40.77,338,277,527,576,592,733,653,746
17,22.46,40.77,337,278,527,576,592,733,653,747
17.11,22.46,40.77,337,277,527,576,592,732,653,747
17.2,22.46,40.77,338,277,527,576,592,733,653,747
17.31,22.46,40.77,337,277,527,576,592,733,653,747
17.4,22.46,40.77,337,278,527,576,592,732,653,747
17.5,22.46,40.77,337,277,527,576,592,733,653,747
17.6,22.46,40.77,337,277,527,576,593,733,653,747
17.7,22.46,40.77,336,278,527,576,593,733,653,747
17.8,22.46,40.77,339,277,527,576,593,733,652,747
17.9,22.46,40.77,337,277,528,576,593,733,653,746
18,22.46,40.77,338,277,527,576,592,733,653,747
18.1,22.46,40.77,337,277,527,576,593,733,653,747
18.2,22.46,40.77,337,277,527,576,592,733,653,747
18.3,22.46,40.77,337,277,527,576,593,733,653,747
18.4,22.46,40.8,337,277,527,576,593,732,653,747
18.5,22.46,40.8,339,277,527,576,592,733,653,747
18.6,22.46,40.8,337,277,527,577,593,733,653,747
18.7,22.46,40.8,338,278,527,577,592,733,653,747
18.81,22.46,40.8,337,277,527,577,593,733,653,747
18.9,22.46,40.8,337,277,527,577,593,733,653,747
19,22.46,40.8,337,277,527,577,593,733,653,747
