"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.6,44.65,336,292,534,588,571,705,630,719
3.1,21.6,44.65,337,293,534,588,571,706,630,720
3.21,21.6,44.65,336,292,533,588,571,705,630,719
3.31,21.6,44.65,337,293,533,588,571,705,630,720
3.41,21.6,44.65,336,293,533,588,571,705,630,719
3.5,21.6,44.65,338,293,534,588,571,705,631,720
3.6,21.6,44.65,336,293,534,588,571,705,630,719
3.7,21.6,44.65,336,293,533,588,571,706,630,719
3.81,21.6,44.65,336,292,534,589,572,706,631,720
3.91,21.6,44.65,336,293,533,588,572,705,630,720
4,21.6,44.65,336,293,534,589,571,705,630,720
4.1,21.6,44.65,336,293,533,588,571,706,631,720
4.2,21.6,44.65,337,294,534,588,571,705,631,719
4.31,21.6,44.65,336,293,533,588,572,705,630,719
4.39,21.6,44.65,337,293,533,589,571,705,630,720
4.5,21.6,44.65,336,293,533,588,571,705,630,720
4.6,21.6,44.65,336,293,533,588,572,705,631,720
4.71,21.6,44.65,337,293,534,588,572,705,631,719
4.81,21.6,44.65,336,293,533,588,572,706,630,719
4.91,21.6,44.65,337,292,533,589,571,705,631,720
5,21.6,44.65,338,293,534,589,572,705,631,720
5.1,21.6,44.65,336,293,534,588,571,706,630,720
5.2,21.6,44.65,336,293,534,589,572,706,630,719
5.3,21.6,44.65,336,293,533,588,571,705,630,720
5.4,21.61,44.65,337,293,534,588,571,705,630,720
5.5,21.61,44.65,337,293,533,588,571,705,630,720
5.6,21.61,44.65,336,293,533,589,572,706,631,719
5.7,21.61,44.65,336,293,534,588,571,705,630,720
5.8,21.61,44.65,336,293,534,588,571,705,630,719
5.9,21.61,44.65,336,293,534,588,571,705,630,719
6,21.61,44.65,337,292,533,589,571,706,631,719
6.1,21.61,44.65,336,293,533,589,571,705,631,719
6.2,21.61,44.65,338,293,533,589,571,705,630,720
6.3,21.61,44.65,336,293,534,589,572,705,630,719
6.4,21.59,44.65,336,293,533,588,571,705,630,719
6.5,21.59,44.65,337,292,533,589,572,706,630,720
6.6,21.59,44.65,337,293,534,589,572,706,630,720
6.71,21.59,44.65,336,293,534,589,571,705,630,720
6.8,21.59,44.65,336,293,534,589,571,705,630,719
6.91,21.59,44.65,337,292,533,589,571,705,631,720
7.01,21.59,44.65,338,293,534,589,571,706,631,720
7.11,21.59,44.65,336,293,533,589,571,705,631,719
7.2,21.59,44.65,337,292,533,589,571,706,631,720
7.3,21.59,44.65,336,293,533,589,572,705,631,719
7.4,21.59,44.65,337,293,534,589,572,706,631,720
7.5,21.6,44.65,336,293,533,589,572,706,631,720
7.6,21.6,44.65,336,293,534,589,572,706,631,719
7.7,21.6,44.65,337,293,534,589,572,705,631,719
7.8,21.6,44.65,337,293,534,589,571,705,630,720
7.9,21.6,44.65,337,293,534,589,571,705,631,720
8.01,21.6,44.65,339,293,534,589,571,706,630,720
8.11,21.6,44.65,338,293,534,589,571,705,631,720
8.2,21.6,44.65,338,293,534,589,571,706,630,720
8.3,21.6,44.65,336,292,533,589,571,705,631,720
8.4,21.6,44.65,336,293,533,590,572,705,631,719
8.5,21.59,44.65,336,292,534,589,572,705,631,720
8.6,21.59,44.65,336,293,534,589,571,705,631,720
8.7,21.59,44.65,336,292,533,589,571,705,631,719
8.8,21.59,44.65,336,293,534,589,571,706,631,720
8.9,21.59,44.65,337,292,533,589,572,705,631,720
9,21.59,44.65,336,293,534,589,572,705,631,720
9.11,21.59,44.65,337,293,534,589,572,706,631,720
9.21,21.59,44.65,336,293,534,590,572,705,631,720
9.31,21.59,44.65,339,293,534,589,571,705,631,720
9.4,21.59,44.65,337,293,534,590,572,705,631,720
9.5,21.6,44.65,336,292,534,590,572,705,631,720
9.6,21.6,44.65,337,292,534,590,572,706,631,720
9.7,21.6,44.65,337,293,535,590,571,705,631,720
9.8,21.6,44.65,339,292,534,590,571,705,631,721
9.91,21.6,44.65,339,293,534,590,572,706,631,720
10,21.6,44.65,338,293,534,590,572,706,631,720
10.11,21.6,44.65,337,292,534,590,572,705,632,721
10.21,21.6,44.65,336,292,534,590,572,705,631,720
10.29,21.6,44.65,337,293,534,590,572,705,632,720
10.4,21.6,44.65,338,293,534,590,572,706,632,720
10.5,21.6,44.65,337,293,534,590,572,706,631,721
10.61,21.6,44.65,336,293,534,591,572,706,632,721
10.69,21.6,44.65,336,293,534,590,572,705,632,721
10.81,21.6,44.65,337,293,534,590,572,706,632,720
10.9,21.6,44.65,336,293,534,591,572,705,632,721
11,21.6,44.65,336,293,534,590,572,705,632,720
11.1,21.6,44.65,337,293,534,590,572,706,632,720
11.21,21.6,44.65,336,293,534,590,572,705,631,721
11.31,21.6,44.65,337,293,535,590,572,706,632,721
11.4,21.6,44.65,337,292,534,591,572,706,632,720
11.5,21.61,44.61,337,293,534,591,572,705,632,721
11.6,21.61,44.61,337,293,534,591,573,706,632,721
11.69,21.61,44.61,337,293,534,591,572,706,631,721
11.79,21.61,44.61,338,293,534,591,572,706,632,721
11.91,21.61,44.61,339,293,534,591,572,706,632,721
11.99,21.61,44.61,337,292,534,591,572,705,632,721
12.1,21.61,44.61,337,293,535,591,572,706,632,721
12.2,21.61,44.61,337,292,535,591,572,706,632,721
12.29,21.61,44.61,337,293,535,592,572,706,632,721
12.41,21.61,44.61,337,293,534,592,573,706,632,722
12.5,21.6,44.61,339,293,535,591,572,706,633,722
12.6,21.6,44.61,338,293,535,592,572,706,633,721
12.7,21.6,44.61,337,293,535,591,572,705,632,721
12.8,21.6,44.61,337,293,535,592,572,706,633,721
12.9,21.6,44.61,337,293,534,592,573,706,633,722
13,21.6,44.61,338,293,535,592,572,706,632,722
13.11,21.6,44.61,339,293,535,592,572,706,633,722
13.19,21.6,44.61,337,293,534,592,573,706,633,721
13.31,21.6,44.61,337,293,535,592,572,705,632,721
13.4,21.6,44.61,337,293,535,592,573,706,633,722
13.49,21.6,44.61,338,293,535,592,572,706,633,722
13.6,21.6,44.61,337,293,534,592,573,706,633,722
13.7,21.6,44.61,340,293,535,592,572,706,632,722
13.79,21.6,44.61,338,293,535,593,572,706,633,721
13.91,21.6,44.61,337,293,535,592,572,706,633,721
14.01,21.6,44.61,337,293,535,592,572,706,632,722
14.11,21.6,44.61,338,293,535,593,573,706,633,722
14.21,21.6,44.61,337,293,535,593,573,706,632,722
14.3,21.6,44.61,337,293,535,593,573,706,633,722
