"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.44,40.63,349,275,537,625,596,741,668,760
3.1,22.44,40.63,349,275,537,625,596,740,669,760
3.2,22.44,40.63,348,275,537,625,596,741,668,760
3.31,22.44,40.63,348,275,537,625,596,741,668,760
3.4,22.44,40.63,348,275,537,625,596,741,669,761
3.5,22.44,40.63,347,275,537,625,596,741,669,760
3.6,22.44,40.63,347,275,537,625,596,741,668,761
3.71,22.44,40.63,349,275,537,625,596,741,669,761
3.81,22.44,40.63,348,275,537,625,597,741,668,760
3.91,22.44,40.63,348,275,537,625,597,742,669,761
4.01,22.44,40.63,347,275,537,625,596,741,668,761
4.11,22.44,40.63,348,275,537,625,597,741,669,761
4.21,22.44,40.63,348,275,537,625,596,741,669,760
4.31,22.44,40.63,347,275,537,625,596,741,669,761
4.41,22.44,40.63,348,275,537,625,596,741,669,761
4.51,22.44,40.63,348,275,537,625,596,741,669,761
4.59,22.44,40.63,347,275,537,625,596,741,669,761
4.7,22.44,40.63,349,275,537,625,597,741,669,761
4.8,22.44,40.63,349,275,537,626,596,742,670,761
4.9,22.44,40.63,347,275,537,626,596,741,669,761
5,22.44,40.63,347,275,537,626,597,741,669,761
5.1,22.44,40.63,349,275,537,625,596,742,669,761
5.2,22.44,40.63,347,275,537,625,596,741,669,761
5.3,22.44,40.63,349,275,537,626,597,741,669,762
5.4,22.44,40.63,349,275,537,626,596,741,669,761
5.5,22.44,40.63,349,275,537,626,597,742,669,762
5.6,22.44,40.63,348,275,537,625,596,742,669,761
5.7,22.44,40.63,348,275,537,626,596,742,670,761
5.8,22.44,40.63,349,275,537,627,597,742,669,762
5.91,22.44,40.63,348,275,538,626,597,742,669,762
6.01,22.44,40.63,349,275,537,626,597,742,670,762
6.11,22.44,40.63,348,275,538,626,596,742,670,762
6.21,22.44,40.63,347,275,537,626,597,742,670,762
6.3,22.44,40.63,350,275,537,626,597,742,670,763
6.4,22.44,40.63,348,275,537,626,597,741,669,762
6.49,22.44,40.63,349,276,537,626,597,742,670,762
6.61,22.44,40.63,349,275,537,626,597,742,670,762
6.7,22.44,40.63,347,275,538,626,597,742,670,762
6.79,22.45,40.63,350,275,538,626,597,742,670,762
6.91,22.45,40.63,348,275,538,626,597,741,670,762
7.01,22.45,40.63,347,275,538,626,597,742,670,763
7.09,22.45,40.63,347,275,538,626,597,741,670,763
7.19,22.45,40.63,348,275,538,626,597,742,670,762
7.29,22.45,40.63,350,275,538,626,597,742,670,763
7.41,22.45,40.63,347,275,537,626,597,742,670,763
7.51,22.45,40.63,347,275,537,627,597,742,670,762
7.61,22.45,40.63,349,275,537,627,597,742,670,763
7.71,22.45,40.63,348,275,537,627,597,742,670,762
7.8,22.45,40.63,349,275,538,627,598,742,670,763
7.91,22.45,40.63,348,275,538,627,598,742,670,763
8.01,22.45,40.63,349,275,537,627,598,742,670,763
8.11,22.45,40.63,348,275,537,627,597,743,671,763
8.21,22.45,40.63,350,275,538,627,598,742,672,763
8.31,22.45,40.63,349,275,537,627,597,742,671,763
8.39,22.45,40.63,348,275,538,627,598,742,671,763
8.49,22.45,40.63,348,275,538,627,597,742,672,763
8.6,22.45,40.63,348,276,538,627,598,742,671,764
8.7,22.45,40.63,348,275,537,627,598,743,671,763
8.8,22.46,40.57,350,275,538,627,598,743,671,763
8.9,22.46,40.57,348,275,538,628,598,742,671,764
9,22.46,40.57,349,276,538,627,598,742,671,763
9.1,22.46,40.57,348,275,538,628,598,742,671,763
9.2,22.46,40.57,348,275,538,627,598,743,672,764
9.3,22.46,40.57,350,275,538,628,598,743,672,763
9.4,22.46,40.57,350,275,538,627,598,742,672,764
9.5,22.46,40.57,348,275,538,628,598,742,672,764
9.6,22.46,40.57,350,275,538,628,598,742,672,764
9.7,22.46,40.57,348,275,538,627,598,743,672,764
9.8,22.45,40.6,350,275,538,628,598,743,672,764
9.9,22.45,40.6,348,275,538,628,598,742,672,764
10,22.45,40.6,348,275,538,628,598,743,672,764
10.11,22.45,40.6,350,275,538,628,599,743,672,764
10.21,22.45,40.6,348,275,538,628,598,743,672,764
10.3,22.45,40.6,348,275,538,628,599,743,672,765
10.41,22.45,40.6,348,275,538,628,599,743,673,764
10.5,22.45,40.6,350,275,539,628,598,743,672,765
10.6,22.45,40.6,348,275,539,628,599,743,672,765
10.7,22.45,40.6,349,276,539,628,599,743,672,765
10.81,22.46,40.6,349,275,539,629,599,743,672,764
10.9,22.46,40.6,348,276,538,629,599,744,673,765
11.01,22.46,40.6,349,275,539,628,599,743,673,765
11.1,22.46,40.6,349,275,539,629,599,743,673,765
11.19,22.46,40.6,349,275,539,628,599,744,673,765
11.31,22.46,40.6,349,275,539,629,599,743,673,765
11.4,22.46,40.6,350,275,538,629,599,743,673,765
11.51,22.46,40.6,350,275,539,629,599,744,673,765
11.61,22.46,40.6,349,275,539,629,600,744,673,766
11.71,22.46,40.6,349,275,539,629,599,744,674,765
11.81,22.44,40.57,349,275,539,629,599,743,673,766
11.89,22.44,40.57,349,275,539,629,599,743,674,765
12.01,22.44,40.57,349,276,539,630,599,744,673,766
12.11,22.44,40.57,349,275,539,630,599,744,674,766
12.21,22.44,40.57,351,275,539,630,600,744,674,766
12.31,22.44,40.57,349,275,539,630,600,744,674,766
12.41,22.44,40.57,349,275,539,630,599,744,674,766
12.51,22.44,40.57,350,275,539,630,600,744,674,766
12.61,22.44,40.57,350,275,539,630,600,744,674,766
12.71,22.44,40.57,351,275,539,630,600,744,674,767
12.81,22.44,40.57,350,275,539,630,600,744,674,767
12.91,22.46,40.63,349,275,539,630,600,744,674,766
13.01,22.46,40.63,350,275,539,630,600,744,674,767
13.11,22.46,40.63,349,275,539,630,600,744,674,766
13.21,22.46,40.63,349,275,539,630,600,744,675,767
13.31,22.46,40.63,351,275,540,631,600,744,675,767
13.41,22.46,40.63,349,275,539,631,600,744,675,766
13.51,22.46,40.63,350,275,539,631,600,744,674,766
13.59,22.46,40.63,349,275,540,631,600,744,675,767
13.7,22.46,40.63,349,275,540,631,600,744,675,767
13.8,22.46,40.63,349,275,539,631,600,745,675,767
13.9,22.46,40.6,349,276,539,631,600,744,675,767
14,22.46,40.6,349,275,539,631,601,745,675,767
14.09,22.46,40.6,351,275,539,631,600,745,675,767
14.19,22.46,40.6,351,275,540,631,600,745,675,767
14.3,22.46,40.6,352,275,540,631,601,745,675,767
14.4,22.46,40.6,352,275,539,632,601,745,675,767
14.5,22.46,40.6,350,275,539,632,601,745,675,767
14.6,22.46,40.6,351,276,540,632,601,745,675,767
14.7,22.46,40.6,350,275,540,632,601,744,675,767
14.8,22.46,40.6,352,275,540,632,601,745,675,767
14.9,22.45,40.6,351,275,540,632,601,745,676,768
15,22.45,40.6,350,275,540,632,602,745,675,767
15.1,22.45,40.6,350,275,540,632,601,745,675,767
15.2,22.45,40.6,351,275,540,632,601,745,675,767
15.3,22.45,40.6,349,275,540,633,601,745,675,767
15.4,22.45,40.6,349,276,540,632,601,745,675,767
15.5,22.45,40.6,350,276,540,633,601,745,676,767
15.59,22.45,40.6,351,275,540,633,601,745,675,767
15.71,22.45,40.6,351,275,540,632,601,745,675,767
15.79,22.45,40.6,352,276,540,632,602,746,675,767
15.91,22.45,40.6,350,276,540,632,602,745,675,768
15.99,22.45,40.6,351,276,540,632,601,745,675,768
16.11,22.45,40.6,351,276,540,632,602,745,676,768
16.19,22.45,40.6,351,275,540,632,602,746,676,768
