"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.46,39.96,336,283,526,591,583,722,644,737
3.1,22.46,39.96,335,282,526,591,583,721,645,737
3.2,22.46,39.96,335,283,526,591,583,721,645,736
3.3,22.46,39.96,335,282,526,591,583,721,644,737
3.4,22.46,39.96,334,282,526,590,583,722,645,737
3.5,22.46,39.96,334,282,527,591,583,722,644,737
3.6,22.46,39.96,336,283,526,591,583,721,644,737
3.7,22.45,39.96,335,283,526,591,583,721,645,737
3.8,22.45,39.96,335,283,526,591,583,721,644,737
3.9,22.45,39.96,334,283,526,591,584,722,645,737
4,22.45,39.96,335,283,527,591,583,722,644,737
4.1,22.45,39.96,335,283,526,590,583,721,645,737
4.2,22.45,39.96,335,283,526,590,584,721,645,737
4.3,22.45,39.96,334,283,526,591,583,721,645,737
4.4,22.45,39.96,334,283,526,590,583,721,645,737
4.5,22.45,39.96,334,283,526,590,584,721,645,737
4.57,22.45,39.96,335,283,526,591,583,721,645,737
4.57,22.45,39.96,335,283,526,591,583,721,645,737
4.57,22.45,39.96,335,283,526,591,583,721,645,737
5.08,22.46,39.96,335,282,526,591,583,721,644,737
5.08,22.46,39.96,335,282,526,591,583,721,644,737
5.1,22.46,39.96,335,283,526,591,583,721,645,737
5.2,22.46,39.96,334,283,527,591,583,721,645,737
5.3,22.46,39.96,336,282,526,590,583,720,644,737
5.4,22.46,39.96,335,283,527,590,583,721,645,737
5.5,22.46,39.96,336,283,525,590,583,720,644,738
5.6,22.46,39.96,334,283,526,591,583,721,644,737
5.69,22.46,39.96,334,282,526,591,583,721,644,737
5.8,22.45,39.96,335,283,526,590,584,721,645,737
5.9,22.45,39.96,336,283,526,590,583,721,645,736
6,22.45,39.96,334,282,525,591,584,721,644,737
6.1,22.45,39.96,335,283,526,590,583,721,644,737
6.2,22.45,39.96,335,283,525,591,583,721,645,737
6.3,22.45,39.96,335,283,526,590,583,721,645,737
6.4,22.45,39.96,335,282,525,591,583,721,645,737
6.5,22.45,39.96,335,282,525,591,583,721,645,737
6.6,22.45,39.96,334,283,526,590,583,721,645,737
6.7,22.45,39.96,335,283,525,590,584,721,645,736
6.8,22.45,39.96,334,282,525,590,583,721,645,737
6.85,22.45,39.96,335,282,526,590,583,721,645,737
6.85,22.45,39.96,335,282,526,590,583,721,645,737
6.85,22.45,39.96,335,282,526,590,583,721,645,737
7.36,22.45,39.96,334,283,526,590,583,721,645,737
7.36,22.45,39.96,334,283,526,590,583,721,645,737
7.4,22.45,39.96,336,283,526,591,583,721,645,737
7.5,22.45,39.96,335,282,526,590,583,721,645,737
7.6,22.45,39.96,335,283,526,590,583,721,644,737
7.7,22.45,39.96,335,282,526,590,583,721,645,737
7.81,22.46,39.96,334,282,525,590,583,721,645,738
7.9,22.46,39.96,334,282,526,590,583,721,645,737
8,22.46,39.96,334,282,526,590,583,721,645,737
8.1,22.46,39.96,335,282,526,590,583,721,645,737
8.2,22.46,39.96,336,283,526,590,583,721,645,737
8.3,22.46,39.96,334,282,526,591,583,721,645,737
8.4,22.46,39.96,335,282,526,590,583,721,645,737
8.5,22.46,39.96,334,283,527,590,583,721,645,738
8.6,22.46,39.96,334,283,526,590,583,721,645,738
8.7,22.46,39.96,334,283,527,590,583,721,645,738
8.8,22.46,39.96,334,282,526,590,583,721,645,737
8.9,22.46,39.96,334,283,526,590,583,721,645,737
9,22.46,39.96,335,283,525,590,583,721,645,738
9.1,22.46,39.96,336,284,526,590,583,721,645,738
9.2,22.46,39.96,334,282,526,590,583,721,646,737
9.3,22.46,39.96,335,282,526,591,583,721,645,738
9.4,22.46,39.96,334,282,526,590,583,720,645,738
9.5,22.46,39.96,334,283,526,591,583,721,645,738
9.6,22.46,39.96,335,282,526,590,584,721,646,738
9.7,22.46,39.96,335,282,526,591,583,721,645,738
9.8,22.46,39.89,336,282,526,590,583,721,646,739
9.9,22.46,39.89,334,282,526,591,584,721,646,738
10,22.46,39.89,335,282,527,591,584,721,646,738
10.1,22.46,39.89,335,283,526,591,583,722,645,738
10.2,22.46,39.89,335,283,526,591,584,721,645,738
10.3,22.46,39.89,335,282,526,590,584,721,646,739
10.4,22.46,39.89,334,283,526,591,584,722,646,738
10.5,22.46,39.89,334,282,526,591,584,721,645,738
10.6,22.46,39.89,334,283,526,590,584,721,646,738
10.7,22.46,39.89,335,283,526,591,584,721,646,739
